C:\_z-Tree\Data\Channel1\191009_0955.xls
191009_0955	1	EET	
191009_0955	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191009_0955	1	session	1	35.85333803686392	0	0	0	35.85333803686392	35.85333803686392	50.39223153084539	37.51455858374097	25.57323357302978	30.06322444678609	31.75767237943404	31.85333803686392	27.63047669702812	29.72354138398914	30.62852538275585	30.89201183431952	31.15674125659277	30.56667005179244	0	1	2	1	35.85333803686392	2.5	0.5	1	0	
191009_0955	1	session	2	34	0	0	0	34	34	40.11954918896146	32.191940368041	33.41606292059134	27.87548923679061	29.4097199449072	30	31.95757508094228	30.16791044776121	26.92544459644322	25.2810650887574	30	29.5663939971708	0	0	1	1	34	-0.5	0.5	1	1	
191009_0955	1	session	3	30.74789915966388	0	0	0	30.74789915966388	30.74789915966388	29.59558263518659	32.37700386954118	29.89977772617192	31.75447839831401	25.60325684678016	26.74789915966388	30.21301775147929	30	35.02983802216539	27.91823561054331	29.56301251618472	30	0	0	1	1	30.74789915966388	0.5	2.5	0	0	
191009_0955	1	session	4	37.67190354402631	0	0	0	37.67190354402631	37.67190354402631	31.57733014680778	31.13804713804714	30.68632112854652	34.90508806262231	36.70513424399435	33.67190354402631	30	30.07407077874414	32.64705882352942	33.96138274680786	30.11687072666561	30.64454148471617	0	1	2	1	37.67190354402631	0.5	0.5	0	0	
191009_0955	1	session	5	26	0	0	0	26	26	14	14	18	34	22	22	34	34	22	22	22	30	1	0	3	1	26	0.5	0.5	0	0	
191009_0955	1	session	6	33.4738765071246	0	0	0	33.4738765071246	33.4738765071246	15.95184518451846	22.37037037037036	27.85469263178848	28.53759836782279	30.52318968785543	29.4738765071246	30.17081612146924	29.4839585065873	29.97837370242215	30.58114961961116	28.97469788519638	29.94652882987256	0	0	1	1	33.4738765071246	-2.5	2.5	1	1	
191009_0955	1	session	7	34	0	0	0	34	34	28.25623079549334	30	28.24636634005358	30	23.23834196891193	30	30	30	30	30	30	30	0	0	1	1	34	-2.5	0.5	1	1	
191009_0955	1	session	8	34	0	0	0	34	34	18.1930693069307	23.2435465768799	29.11969611518428	27.09911361804996	29.77616580310881	30	32.31914487497614	29.96669544837794	29.45115546218487	30	29.92020228556416	30.030824556897	0	0	1	1	34	0.5	0.5	1	1	
191009_0955	1	session	9	34.02877237851662	0	0	0	34.02877237851662	34.02877237851662	32.20777301610758	30.35665294924555	30.07339017350629	29.55886130136986	34.76851078054487	30.02877237851662	30.01238475299298	30.08574150523976	30.00784313725491	30.26948028801598	30.03823640483384	30.09719678828004	0	1	2	1	34.02877237851662	-0.5	2.5	0	0	
191009_0955	1	session	10	33.89210358056266	0	0	0	33.89210358056266	33.89210358056266	30	29.09236396890718	30.7344726976849	30.38431078767123	28.67098445595854	29.89210358056266	23.01907914389772	30.18808777429468	26.4244521337947	29.25716886663631	30	29.44246978775262	0	0	1	1	33.89210358056266	0.5	0.5	1	1	
191009_0955	1	session	11	5	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191009_0955	1	summary	
191009_0955	1	timelog	
191009_0955	1	markets	
191009_0955	1	groups	
191009_0955	1	structure	Period	MarketID	IsTraining	Treatment	i	
191009_0955	1	structure	-1	3	1	0	2	
191009_0955	1	structure	0	3	1	0	2	
191009_0955	1	structure	1	3	0	6	2	
191009_0955	1	structure	2	3	0	6	2	
191009_0955	1	structure	3	3	0	6	2	
191009_0955	1	structure	4	3	0	5	2	
191009_0955	1	structure	5	3	0	5	2	
191009_0955	1	structure	6	3	0	5	2	
191009_0955	1	structure	7	3	0	-1	2	
191009_0955	1	structure	8	3	0	-1	2	
191009_0955	1	structure	9	3	0	-1	2	
191009_0955	1	structure	10	3	0	-1	2	
191009_0955	1	structure	11	3	0	-1	2	
191009_0955	1	structure	12	3	0	-1	2	
191009_0955	1	tagnums	TagID	TagNum	
191009_0955	1	tagnums	0	52	
191009_0955	1	tagnums	1	263	
191009_0955	1	tagnums	2	238	
191009_0955	1	tagnums	3	197	
191009_0955	1	tagnums	4	122	
191009_0955	1	tagnums	5	262	
191009_0955	1	tagnums	6	143	
191009_0955	1	tagnums	7	247	
191009_0955	1	tagnums	8	181	
191009_0955	1	tagnums	9	182	
191009_0955	1	tagnums	10	161	
191009_0955	1	tagnums	11	269	
191009_0955	1	tagnums	12	187	
191009_0955	1	tagnums	13	221	
191009_0955	1	tagnums	14	246	
191009_0955	1	tagnums	15	252	
191009_0955	1	tagnums	16	13	
191009_0955	1	tagnums	17	188	
191009_0955	1	tagnums	18	94	
191009_0955	1	tagnums	19	19	
191009_0955	1	tagnums	20	267	
191009_0955	1	tagnums	21	76	
191009_0955	1	tagnums	22	264	
191009_0955	1	tagnums	23	171	
191009_0955	1	tagnums	24	77	
191009_0955	1	tagnums	25	87	
191009_0955	1	tagnums	26	158	
191009_0955	1	tagnums	27	179	
191009_0955	1	tagnums	28	204	
191009_0955	1	tagnums	29	259	
191009_0955	1	tagnums	30	196	
191009_0955	1	tagnums	31	205	
191009_0955	1	tagnums	32	27	
191009_0955	1	tagnums	33	43	
191009_0955	1	tagnums	34	152	
191009_0955	1	tagnums	35	83	
191009_0955	1	tagnums	36	145	
191009_0955	1	tagnums	37	175	
191009_0955	1	tagnums	38	235	
191009_0955	1	tagnums	39	201	
191009_0955	1	tagnums	40	147	
191009_0955	1	tagnums	41	153	
191009_0955	1	tagnums	42	194	
191009_0955	1	tagnums	43	137	
191009_0955	1	tagnums	44	163	
191009_0955	1	tagnums	45	176	
191009_0955	1	tagnums	46	245	
191009_0955	1	tagnums	47	271	
191009_0955	1	tagnums	48	108	
191009_0955	1	tagnums	49	32	
191009_0955	1	tagnums	50	216	
191009_0955	1	tagnums	51	229	
191009_0955	1	tagnums	52	134	
191009_0955	1	tagnums	53	59	
191009_0955	1	tagnums	54	132	
191009_0955	1	tagnums	55	218	
191009_0955	1	tagnums	56	105	
191009_0955	1	tagnums	57	167	
191009_0955	1	tagnums	58	273	
191009_0955	1	tagnums	59	140	
191009_0955	1	tagnums	60	164	
191009_0955	1	tagnums	61	26	
191009_0955	1	tagnums	62	280	
191009_0955	1	tagnums	63	209	
191009_0955	1	tagnums	64	234	
191009_0955	1	tagnums	65	99	
191009_0955	1	tagnums	66	274	
191009_0955	1	tagnums	67	251	
191009_0955	1	tagnums	68	178	
191009_0955	1	tagnums	69	265	
191009_0955	1	tagnums	70	47	
191009_0955	1	tagnums	71	20	
191009_0955	1	tagnums	72	275	
191009_0955	1	tagnums	73	157	
191009_0955	1	tagnums	74	270	
191009_0955	1	tagnums	75	62	
191009_0955	1	tagnums	76	129	
191009_0955	1	tagnums	77	148	
191009_0955	1	tagnums	78	266	
191009_0955	1	tagnums	79	42	
191009_0955	1	tagnums	80	155	
191009_0955	1	tagnums	81	149	
191009_0955	1	tagnums	82	126	
191009_0955	1	tagnums	83	192	
191009_0955	1	tagnums	84	98	
191009_0955	1	tagnums	85	277	
191009_0955	1	tagnums	86	97	
191009_0955	1	tagnums	87	225	
191009_0955	1	tagnums	88	191	
191009_0955	1	tagnums	89	115	
191009_0955	1	tagnums	90	177	
191009_0955	1	tagnums	91	212	
191009_0955	1	tagnums	92	18	
191009_0955	1	tagnums	93	159	
191009_0955	1	tagnums	94	243	
191009_0955	1	tagnums	95	120	
191009_0955	1	tagnums	96	116	
191009_0955	1	tagnums	97	41	
191009_0955	1	tagnums	98	75	
191009_0955	1	tagnums	99	257	
191009_0955	1	tagnums	100	45	
191009_0955	1	tagnums	101	71	
191009_0955	1	tagnums	102	81	
191009_0955	1	tagnums	103	222	
191009_0955	1	tagnums	104	244	
191009_0955	1	tagnums	105	80	
191009_0955	1	tagnums	106	133	
191009_0955	1	tagnums	107	198	
191009_0955	1	tagnums	108	54	
191009_0955	1	tagnums	109	106	
191009_0955	1	tagnums	110	96	
191009_0955	1	tagnums	111	183	
191009_0955	1	tagnums	112	24	
191009_0955	1	tagnums	113	170	
191009_0955	1	tagnums	114	101	
191009_0955	1	tagnums	115	35	
191009_0955	1	tagnums	116	174	
191009_0955	1	tagnums	117	85	
191009_0955	1	tagnums	118	51	
191009_0955	1	tagnums	119	57	
