C:\_z-Tree\Data\Channel1\191009_0955.xls
191009_0955	1	EET	left[1]	left[2]	left[3]	left[4]	left[5]	left[6]	left[7]	left[8]	left[9]	left[10]	ownprofit[1]	ownprofit[2]	ownprofit[3]	ownprofit[4]	ownprofit[5]	ownprofit[6]	ownprofit[7]	ownprofit[8]	ownprofit[9]	ownprofit[10]	otherprofit[1]	otherprofit[2]	otherprofit[3]	otherprofit[4]	otherprofit[5]	otherprofit[6]	otherprofit[7]	otherprofit[8]	otherprofit[9]	otherprofit[10]	ownleft[1]	ownleft[2]	ownleft[3]	ownleft[4]	ownleft[5]	ownleft[6]	ownleft[7]	ownleft[8]	ownleft[9]	ownleft[10]	otherleft[1]	otherleft[2]	otherleft[3]	otherleft[4]	otherleft[5]	otherleft[6]	otherleft[7]	otherleft[8]	otherleft[9]	otherleft[10]	Period	Subject	GroupEET	ownPayoffEET	right	
191009_0955	1	EET	1	1	1	1	1	0	0	0	1	1	2	3	4	5	6	4	4	4	5	6	7	7	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	1	2	1	4	
191009_0955	1	EET	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	2	1	0	4	
191009_0955	1	EET	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	3	5	0	4	
191009_0955	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	4	3	1	4	
191009_0955	1	EET	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	5	2	0	4	
191009_0955	1	EET	0	0	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	6	5	1	4	
191009_0955	1	EET	0	0	0	0	0	0	0	0	1	1	4	4	4	4	4	4	4	4	5	6	4	4	4	4	4	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	7	4	1	4	
191009_0955	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	8	1	1	4	
191009_0955	1	EET	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	9	3	0	4	
191009_0955	1	EET	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	10	4	0	4	
191009_0955	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	11	-77777	-77777	4	
191009_0955	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191009_0955	1	session	1	0	0	0	0	0	0	50.39223153084539	37.51455858374097	25.57323357302978	30.06322444678609	31.75767237943404	31.85333803686392	27.63047669702812	29.72354138398914	30.62852538275585	30.89201183431952	31.15674125659277	30.56667005179244	0	1	2	1	35.85333803686392	2.5	0.5	1	0	
191009_0955	1	session	2	0	0	0	0	0	0	40.11954918896146	32.191940368041	33.41606292059134	27.87548923679061	29.4097199449072	30	31.95757508094228	30.16791044776121	26.92544459644322	25.2810650887574	30	29.5663939971708	0	0	1	1	34	-0.5	0.5	1	1	
191009_0955	1	session	3	0	0	0	0	0	0	29.59558263518659	32.37700386954118	29.89977772617192	31.75447839831401	25.60325684678016	26.74789915966388	30.21301775147929	30	35.02983802216539	27.91823561054331	29.56301251618472	30	0	0	1	1	30.74789915966388	0.5	2.5	0	0	
191009_0955	1	session	4	0	0	0	0	0	0	31.57733014680778	31.13804713804714	30.68632112854652	34.90508806262231	36.70513424399435	33.67190354402631	30	30.07407077874414	32.64705882352942	33.96138274680786	30.11687072666561	30.64454148471617	0	1	2	1	37.67190354402631	0.5	0.5	0	0	
191009_0955	1	session	5	0	0	0	0	0	0	14	14	18	34	22	22	34	34	22	22	22	30	1	0	3	1	26	0.5	0.5	0	0	
191009_0955	1	session	6	0	0	0	0	0	0	15.95184518451846	22.37037037037036	27.85469263178848	28.53759836782279	30.52318968785543	29.4738765071246	30.17081612146924	29.4839585065873	29.97837370242215	30.58114961961116	28.97469788519638	29.94652882987256	0	0	1	1	33.4738765071246	-2.5	2.5	1	1	
191009_0955	1	session	7	0	0	0	0	0	0	28.25623079549334	30	28.24636634005358	30	23.23834196891193	30	30	30	30	30	30	30	0	0	1	1	34	-2.5	0.5	1	1	
191009_0955	1	session	8	0	0	0	0	0	0	18.1930693069307	23.2435465768799	29.11969611518428	27.09911361804996	29.77616580310881	30	32.31914487497614	29.96669544837794	29.45115546218487	30	29.92020228556416	30.030824556897	0	0	1	1	34	0.5	0.5	1	1	
191009_0955	1	session	9	0	0	0	0	0	0	32.20777301610758	30.35665294924555	30.07339017350629	29.55886130136986	34.76851078054487	30.02877237851662	30.01238475299298	30.08574150523976	30.00784313725491	30.26948028801598	30.03823640483384	30.09719678828004	0	1	2	1	34.02877237851662	-0.5	2.5	0	0	
191009_0955	1	session	10	0	0	0	0	0	0	30	29.09236396890718	30.7344726976849	30.38431078767123	28.67098445595854	29.89210358056266	23.01907914389772	30.18808777429468	26.4244521337947	29.25716886663631	30	29.44246978775262	0	0	1	1	33.89210358056266	0.5	0.5	1	1	
191009_0955	1	session	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191009_0955	1	summary	Period	
191009_0955	1	summary	-1	
191009_0955	1	summary	0	
191009_0955	1	summary	1	
191009_0955	1	summary	2	
191009_0955	1	summary	3	
191009_0955	1	summary	4	
191009_0955	1	summary	5	
191009_0955	1	summary	6	
191009_0955	1	summary	7	
191009_0955	1	summary	8	
191009_0955	1	summary	9	
191009_0955	1	summary	10	
191009_0955	1	summary	11	
191009_0955	1	summary	12	
191009_0955	1	timelog	Data[1]	Data[2]	Data[3]	Data[4]	Period	ID	Time	Subject	Event	
191009_0955	1	timelog	0	0	0	0	0	1	0	0	1	
191009_0955	1	timelog	0	0	0	0	-1	2	2.577999999979511	7	192	
191009_0955	1	timelog	0	0	0	0	-1	3	23.43700000003446	10	192	
191009_0955	1	timelog	0	0	0	0	-1	4	38.20299999997951	8	192	
191009_0955	1	timelog	0	0	0	0	-1	5	49.32799999997951	2	192	
191009_0955	1	timelog	0	0	0	0	-1	6	54.81200000003446	1	192	
191009_0955	1	timelog	0	0	0	0	-1	7	73.82799999997951	3	192	
191009_0955	1	timelog	0	0	0	0	-1	8	94.95299999997951	9	192	
191009_0955	1	timelog	0	0	0	0	-1	9	95.23400000005495	5	192	
191009_0955	1	timelog	0	0	0	0	-1	10	132.8120000000345	4	192	
191009_0955	1	timelog	0	0	0	0	-1	11	219.25	6	192	
191009_0955	1	timelog	0	0	0	0	-1	12	219.25	0	206	
191009_0955	1	timelog	0	0	0	0	-1	13	225.030999999959	6	207	
191009_0955	1	timelog	0	0	0	0	-1	14	226.390000000014	10	207	
191009_0955	1	timelog	0	0	0	0	-1	15	226.984000000055	8	207	
191009_0955	1	timelog	0	0	0	0	-1	16	227	6	207	
191009_0955	1	timelog	0	0	0	0	-1	17	227.545999999973	9	207	
191009_0955	1	timelog	0	0	0	0	-1	18	228.0620000000345	6	207	
191009_0955	1	timelog	0	0	0	0	-1	19	228.280999999959	2	207	
191009_0955	1	timelog	0	0	0	0	-1	20	228.484000000055	5	207	
191009_0955	1	timelog	0	0	0	0	-1	21	229.015000000014	7	207	
191009_0955	1	timelog	0	0	0	0	-1	22	229.390000000014	3	207	
191009_0955	1	timelog	0	0	0	0	-1	23	229.4679999999935	6	207	
191009_0955	1	timelog	0	0	0	0	-1	24	229.545999999973	8	207	
191009_0955	1	timelog	1	0	0	0	-1	25	230.0929999999935	1	207	
191009_0955	1	timelog	0	0	0	0	-1	26	230.155999999959	10	207	
191009_0955	1	timelog	0	0	0	0	-1	27	231.0620000000345	4	207	
191009_0955	1	timelog	0	0	0	0	-1	28	231.4679999999935	6	207	
191009_0955	1	timelog	1	0	0	0	-1	29	231.9529999999795	8	207	
191009_0955	1	timelog	1	0	0	0	-1	30	232.359000000055	1	207	
191009_0955	1	timelog	0	0	0	0	-1	31	232.359000000055	7	207	
191009_0955	1	timelog	0	0	0	0	-1	32	232.8120000000345	6	207	
191009_0955	1	timelog	0	0	0	0	-1	33	232.8429999999935	3	207	
191009_0955	1	timelog	0	0	0	0	-1	34	233.0620000000345	5	207	
191009_0955	1	timelog	1	0	0	0	-1	35	233.375	10	207	
191009_0955	1	timelog	0	0	0	0	-1	36	233.8120000000345	6	207	
191009_0955	1	timelog	1	0	0	0	-1	37	233.920999999973	8	207	
191009_0955	1	timelog	0	0	0	0	-1	38	233.9370000000345	2	207	
191009_0955	1	timelog	0	0	0	0	-1	39	233.9529999999795	7	207	
191009_0955	1	timelog	1	0	0	0	-1	40	234.265000000014	1	207	
191009_0955	1	timelog	0	0	0	0	-1	41	234.8429999999935	6	207	
191009_0955	1	timelog	0	0	0	0	-1	42	235.1870000000345	9	207	
191009_0955	1	timelog	1	0	0	0	-1	43	235.5	8	207	
191009_0955	1	timelog	1	0	0	0	-1	44	236.0620000000345	1	207	
191009_0955	1	timelog	0	0	0	0	-1	45	236.545999999973	6	207	
191009_0955	1	timelog	0	0	0	0	-1	46	236.984000000055	2	207	
191009_0955	1	timelog	1	0	0	0	-1	47	237	10	207	
191009_0955	1	timelog	0	0	0	0	-1	48	237.4679999999935	9	207	
191009_0955	1	timelog	1	0	0	0	-1	49	237.545999999973	1	207	
191009_0955	1	timelog	0	0	0	0	-1	50	238.045999999973	8	207	
191009_0955	1	timelog	0	0	0	0	-1	51	238.0929999999935	6	207	
191009_0955	1	timelog	0	0	0	0	-1	52	238.109000000055	7	207	
191009_0955	1	timelog	0	0	0	0	-1	53	238.9529999999795	4	207	
191009_0955	1	timelog	1	0	0	0	-1	54	239.0929999999935	5	207	
191009_0955	1	timelog	1	0	0	0	-1	55	239.1870000000345	10	207	
191009_0955	1	timelog	0	0	0	0	-1	56	239.545999999973	7	207	
191009_0955	1	timelog	1	0	0	0	-1	57	239.545999999973	2	207	
191009_0955	1	timelog	0	0	0	0	-1	58	239.75	8	207	
191009_0955	1	timelog	1	0	0	0	-1	59	240.265000000014	9	207	
191009_0955	1	timelog	0	0	0	0	-1	60	241.390000000014	7	207	
191009_0955	1	timelog	1	0	0	0	-1	61	241.9679999999935	3	207	
191009_0955	1	timelog	1	0	0	0	-1	62	242.3429999999935	9	207	
191009_0955	1	timelog	1	0	0	0	-1	63	243	5	207	
191009_0955	1	timelog	1	0	0	0	-1	64	243.515000000014	2	207	
191009_0955	1	timelog	0	0	0	0	-1	65	243.640000000014	10	207	
191009_0955	1	timelog	1	0	0	0	-1	66	244.155999999959	4	207	
191009_0955	1	timelog	0	0	0	0	-1	67	245.109000000055	8	207	
191009_0955	1	timelog	0	0	0	0	-1	68	245.265000000014	1	207	
191009_0955	1	timelog	0	0	0	0	-1	69	245.3120000000345	9	207	
191009_0955	1	timelog	0	0	0	0	-1	70	246.734000000055	1	207	
191009_0955	1	timelog	1	0	0	0	-1	71	247.045999999973	3	207	
191009_0955	1	timelog	1	0	0	0	-1	72	247.3120000000345	8	207	
191009_0955	1	timelog	0	0	0	0	-1	73	247.5	2	207	
191009_0955	1	timelog	0	0	0	0	-1	74	247.5929999999935	9	207	
191009_0955	1	timelog	1	0	0	0	-1	75	247.6870000000345	5	207	
191009_0955	1	timelog	0	0	0	0	-1	76	247.734000000055	10	207	
191009_0955	1	timelog	0	0	0	0	-1	77	248.5	7	207	
191009_0955	1	timelog	0	0	0	0	-1	78	249.0779999999795	1	207	
191009_0955	1	timelog	1	0	0	0	-1	79	249.170999999973	8	207	
191009_0955	1	timelog	1	0	0	0	-1	80	249.359000000055	3	207	
191009_0955	1	timelog	1	0	0	0	-1	81	249.984000000055	4	207	
191009_0955	1	timelog	0	0	0	0	-1	82	250.25	2	207	
191009_0955	1	timelog	0	0	0	0	-1	83	250.545999999973	9	207	
191009_0955	1	timelog	0	0	0	0	-1	84	250.905999999959	10	207	
191009_0955	1	timelog	0	0	0	0	-1	85	251.3120000000345	5	207	
191009_0955	1	timelog	1	0	0	0	-1	86	252.0929999999935	1	207	
191009_0955	1	timelog	1	0	0	0	-1	87	253.125	4	207	
191009_0955	1	timelog	0	0	0	0	-1	88	253.3120000000345	3	207	
191009_0955	1	timelog	0	0	0	0	-1	89	254.045999999973	9	207	
191009_0955	1	timelog	1	0	0	0	-1	90	254.359000000055	10	207	
191009_0955	1	timelog	0	0	0	0	-1	91	254.875	7	207	
191009_0955	1	timelog	0	0	0	0	-1	92	255.265000000014	5	207	
191009_0955	1	timelog	0	0	0	0	-1	93	255.405999999959	2	207	
191009_0955	1	timelog	1	0	0	0	-1	94	255.5929999999935	1	207	
191009_0955	1	timelog	0	0	0	0	-1	95	256.405999999959	3	207	
191009_0955	1	timelog	1	0	0	0	-1	96	256.5	9	207	
191009_0955	1	timelog	1	0	0	0	-1	97	256.734000000055	10	207	
191009_0955	1	timelog	0	0	0	0	-1	98	257.109000000055	4	207	
191009_0955	1	timelog	1	0	0	0	-1	99	257.8120000000345	2	207	
