C:\_z-Tree\Data\Channel2\191009_0956.xls
191009_0956	1	EET	left[1]	left[2]	left[3]	left[4]	left[5]	left[6]	left[7]	left[8]	left[9]	left[10]	ownprofit[1]	ownprofit[2]	ownprofit[3]	ownprofit[4]	ownprofit[5]	ownprofit[6]	ownprofit[7]	ownprofit[8]	ownprofit[9]	ownprofit[10]	otherprofit[1]	otherprofit[2]	otherprofit[3]	otherprofit[4]	otherprofit[5]	otherprofit[6]	otherprofit[7]	otherprofit[8]	otherprofit[9]	otherprofit[10]	ownleft[1]	ownleft[2]	ownleft[3]	ownleft[4]	ownleft[5]	ownleft[6]	ownleft[7]	ownleft[8]	ownleft[9]	ownleft[10]	otherleft[1]	otherleft[2]	otherleft[3]	otherleft[4]	otherleft[5]	otherleft[6]	otherleft[7]	otherleft[8]	otherleft[9]	otherleft[10]	Period	Subject	GroupEET	ownPayoffEET	right	
191009_0956	1	EET	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	1	3	0	4	
191009_0956	1	EET	0	0	1	1	1	0	0	0	0	1	4	4	4	5	6	4	4	4	4	6	4	4	7	7	7	4	4	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	2	3	1	4	
191009_0956	1	EET	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	3	2	0	4	
191009_0956	1	EET	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	4	4	0	4	
191009_0956	1	EET	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	5	5	0	4	
191009_0956	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	6	1	1	4	
191009_0956	1	EET	0	0	0	0	0	0	0	0	0	1	4	4	4	4	4	4	4	4	4	6	4	4	4	4	4	4	4	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	7	2	1	4	
191009_0956	1	EET	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	8	1	0	4	
191009_0956	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	9	5	1	4	
191009_0956	1	EET	0	0	0	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	4	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	10	4	1	4	
191009_0956	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	11	-77777	-77777	4	
191009_0956	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191009_0956	1	session	1	0	0	0	0	0	0	14	42	22	26	14	22	26	14	22	38	22	18	1	0	3	1	26	1.5	0.5	0	0	
191009_0956	1	session	2	0	0	0	0	0	0	30.83296014330497	26.56208881578947	30.2674049564454	31.33204633204633	33.38789808917198	35.30861596797978	31.99578208849261	32.45192307692308	30.68272498891681	34.41503874276984	30.61904761904762	30.49086084905661	0	1	2	1	34.6827249889168	0.5	2.5	0	0	
191009_0956	1	session	3	0	0	0	0	0	0	28.76989945538333	30.81079968139568	31.55242665700834	30.75933075933076	29.83877388535032	29.22206506364922	29.18115577421217	26.56153846153847	34.05806796895905	25.4846256684492	31.24716553287982	29.59095852839647	0	0	1	1	38.05806796895905	-77778	-77778	0	1	
191009_0956	1	session	4	0	0	0	0	0	0	27.42578849721706	29.19943217847467	30	30.6036036036036	30.5015923566879	30	30	30	30.1080108010801	31.02172459893048	31.39077853363568	33.13250428816467	0	0	1	1	34.1080108010801	0.5	0.5	1	1	
191009_0956	1	session	5	0	0	0	0	0	0	29.46053946053946	40.09205012268755	32.9767721566564	31.78378378378378	30.24136775058666	35.20396039603961	30	33.56410256410257	22.05170517051706	30.60444203410352	30.82681828950486	30.27403414195867	0	0	1	1	26.05170517051706	0.5	2.5	1	1	
191009_0956	1	session	6	0	0	0	0	0	0	27.63157894736842	33.07541801555252	36.55502988047809	31.92307692307692	27.47550220480157	34.35643564356435	33.03390852234195	30.74786324786325	29.52676623594563	32.28797627005348	34.16225749559084	33.09352390409987	0	0	1	1	33.52676623594563	0.5	0.5	1	1	
191009_0956	1	session	7	0	0	0	0	0	0	32.71335807050093	15.66877530364373	30	34.07900207900207	34.48513800424627	29.88206173558532	30	31.5	35.57836271432021	27.71902377972466	30	30	0	1	2	1	39.57836271432021	-2.5	2.5	1	0	
191009_0956	1	session	8	0	0	0	0	0	0	33.39565606806985	26.85444078947369	30.69949709359284	31.94103194103194	34.55204492122024	33.02970297029703	24.27651823294309	33.33091436865022	33.23019801980199	18.42968637086284	31.10449735449736	25.00471698113207	0	1	2	1	37.23019801980199	0.5	2.5	0	0	
191009_0956	1	session	9	0	0	0	0	0	0	31.70686456400743	27.33042075422433	30.75574624578609	29.65965965965966	29.36533212010919	29.85997171145686	34.5122555087893	25.03846153846154	25.04788183736406	31.12239604118445	29.40917107583774	30.29866468383059	0	0	1	1	29.04788183736406	0.5	0.5	1	1	
191009_0956	1	session	10	0	0	0	0	0	0	28.09561128526646	19.23810545827033	18.87794277435712	17.46088193456615	17.28430804863927	16.74167416741674	21.31648879564597	28.42307692307692	28.79896685320707	25.17635122230711	20.29649595687332	17.14285714285714	0	0	1	1	32.79896685320706	-0.5	0.5	0	0	
191009_0956	1	session	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191009_0956	1	summary	Period	
191009_0956	1	summary	-1	
191009_0956	1	summary	0	
191009_0956	1	summary	1	
191009_0956	1	summary	2	
191009_0956	1	summary	3	
191009_0956	1	summary	4	
191009_0956	1	summary	5	
191009_0956	1	summary	6	
191009_0956	1	summary	7	
191009_0956	1	summary	8	
191009_0956	1	summary	9	
191009_0956	1	summary	10	
191009_0956	1	summary	11	
191009_0956	1	summary	12	
191009_0956	1	timelog	Data[1]	Data[2]	Data[3]	Data[4]	Period	ID	Time	Subject	Event	
191009_0956	1	timelog	0	0	0	0	0	1	0	0	1	
191009_0956	1	timelog	0	0	0	0	-1	2	8.687000000034459	6	192	
191009_0956	1	timelog	0	0	0	0	-1	3	16.09299999999348	2	192	
191009_0956	1	timelog	0	0	0	0	-1	4	43	1	192	
191009_0956	1	timelog	0	0	0	0	-1	5	46.96799999999348	5	192	
191009_0956	1	timelog	0	0	0	0	-1	6	50.125	4	192	
191009_0956	1	timelog	0	0	0	0	-1	7	52.28100000007544	9	192	
191009_0956	1	timelog	0	0	0	0	-1	8	69.32799999997951	7	192	
191009_0956	1	timelog	0	0	0	0	-1	9	73.625	10	192	
191009_0956	1	timelog	0	0	0	0	-1	10	169.9679999999935	3	192	
191009_0956	1	timelog	0	0	0	0	-1	11	213.5310000000754	8	192	
191009_0956	1	timelog	0	0	0	0	-1	12	213.5310000000754	0	206	
191009_0956	1	timelog	0	0	0	0	-1	13	219.6560000000754	2	207	
191009_0956	1	timelog	0	0	0	0	-1	14	220.0310000000754	6	207	
191009_0956	1	timelog	0	0	0	0	-1	15	220.1560000000754	5	207	
191009_0956	1	timelog	0	0	0	0	-1	16	220.7029999999795	10	207	
191009_0956	1	timelog	0	0	0	0	-1	17	221.1870000000345	1	207	
191009_0956	1	timelog	0	0	0	0	-1	18	222.5310000000754	9	207	
191009_0956	1	timelog	0	0	0	0	-1	19	223.8120000000345	8	207	
191009_0956	1	timelog	0	0	0	0	-1	20	223.984000000055	4	207	
191009_0956	1	timelog	0	0	0	0	-1	21	224.9370000000345	2	207	
191009_0956	1	timelog	0	0	0	0	-1	22	225.359000000055	6	207	
191009_0956	1	timelog	0	0	0	0	-1	23	225.6720000000205	9	207	
191009_0956	1	timelog	0	0	0	0	-1	24	225.9529999999795	5	207	
191009_0956	1	timelog	0	0	0	0	-1	25	226.6720000000205	10	207	
191009_0956	1	timelog	0	0	0	0	-1	26	227.4220000000205	7	207	
191009_0956	1	timelog	1	0	0	0	-1	27	227.609000000055	6	207	
191009_0956	1	timelog	1	0	0	0	-1	28	228.2810000000754	9	207	
191009_0956	1	timelog	1	0	0	0	-1	29	228.4370000000345	2	207	
191009_0956	1	timelog	0	0	0	0	-1	30	229.2029999999795	3	207	
191009_0956	1	timelog	0	0	0	0	-1	31	229.2970000000205	7	207	
191009_0956	1	timelog	1	0	0	0	-1	32	229.484000000055	1	207	
191009_0956	1	timelog	0	0	0	0	-1	33	229.625	10	207	
191009_0956	1	timelog	1	0	0	0	-1	34	229.7810000000754	6	207	
191009_0956	1	timelog	0	0	0	0	-1	35	229.875	8	207	
191009_0956	1	timelog	1	0	0	0	-1	36	230.125	9	207	
191009_0956	1	timelog	1	0	0	0	-1	37	230.1720000000205	5	207	
191009_0956	1	timelog	0	0	0	0	-1	38	230.609000000055	7	207	
191009_0956	1	timelog	0	0	0	0	-1	39	230.890000000014	4	207	
191009_0956	1	timelog	0	0	0	0	-1	40	231.7810000000754	7	207	
191009_0956	1	timelog	1	0	0	0	-1	41	231.9529999999795	2	207	
191009_0956	1	timelog	0	0	0	0	-1	42	232	3	207	
191009_0956	1	timelog	1	0	0	0	-1	43	232.5929999999935	6	207	
191009_0956	1	timelog	1	0	0	0	-1	44	232.7029999999795	5	207	
191009_0956	1	timelog	1	0	0	0	-1	45	232.8429999999935	9	207	
191009_0956	1	timelog	0	0	0	0	-1	46	233.140000000014	7	207	
191009_0956	1	timelog	1	0	0	0	-1	47	233.5929999999935	1	207	
191009_0956	1	timelog	1	0	0	0	-1	48	233.9220000000205	8	207	
191009_0956	1	timelog	1	0	0	0	-1	49	234.375	10	207	
191009_0956	1	timelog	1	0	0	0	-1	50	234.5	2	207	
191009_0956	1	timelog	1	0	0	0	-1	51	234.640000000014	5	207	
191009_0956	1	timelog	0	0	0	0	-1	52	234.890000000014	7	207	
191009_0956	1	timelog	1	0	0	0	-1	53	235.5620000000345	4	207	
191009_0956	1	timelog	1	0	0	0	-1	54	235.9060000000754	1	207	
191009_0956	1	timelog	0	0	0	0	-1	55	236.0470000000205	9	207	
191009_0956	1	timelog	0	0	0	0	-1	56	236.0929999999935	7	207	
191009_0956	1	timelog	0	0	0	0	-1	57	237.3120000000345	2	207	
191009_0956	1	timelog	0	0	0	0	-1	58	237.484000000055	7	207	
191009_0956	1	timelog	0	0	0	0	-1	59	237.7179999999935	6	207	
191009_0956	1	timelog	0	0	0	0	-1	60	238.0470000000205	3	207	
191009_0956	1	timelog	1	0	0	0	-1	61	238.265000000014	1	207	
191009_0956	1	timelog	1	0	0	0	-1	62	238.4370000000345	8	207	
191009_0956	1	timelog	1	0	0	0	-1	63	238.4679999999935	4	207	
191009_0956	1	timelog	1	0	0	0	-1	64	238.5620000000345	10	207	
191009_0956	1	timelog	0	0	0	0	-1	65	239.4679999999935	7	207	
191009_0956	1	timelog	0	0	0	0	-1	66	239.5310000000754	9	207	
191009_0956	1	timelog	0	0	0	0	-1	67	239.9220000000205	6	207	
191009_0956	1	timelog	0	0	0	0	-1	68	240.015000000014	2	207	
191009_0956	1	timelog	1	0	0	0	-1	69	240.2029999999795	8	207	
191009_0956	1	timelog	1	0	0	0	-1	70	240.3279999999795	3	207	
191009_0956	1	timelog	0	0	0	0	-1	71	240.7179999999935	1	207	
191009_0956	1	timelog	0	0	0	0	-1	72	240.765000000014	5	207	
191009_0956	1	timelog	1	0	0	0	-1	73	241.625	4	207	
191009_0956	1	timelog	0	0	0	0	-1	74	241.7029999999795	9	207	
191009_0956	1	timelog	1	0	0	0	-1	75	241.734000000055	3	207	
191009_0956	1	timelog	0	0	0	0	-1	76	242.015000000014	2	207	
191009_0956	1	timelog	0	0	0	0	-1	77	242.5620000000345	1	207	
191009_0956	1	timelog	0	0	0	0	-1	78	242.9220000000205	6	207	
191009_0956	1	timelog	0	0	0	0	-1	79	243.7810000000754	8	207	
191009_0956	1	timelog	0	0	0	0	-1	80	244.640000000014	1	207	
191009_0956	1	timelog	0	0	0	0	-1	81	245.1560000000754	2	207	
191009_0956	1	timelog	1	0	0	0	-1	82	245.1560000000754	9	207	
191009_0956	1	timelog	0	0	0	0	-1	83	246.140000000014	5	207	
191009_0956	1	timelog	0	0	0	0	-1	84	246.515000000014	10	207	
191009_0956	1	timelog	0	0	0	0	-1	85	246.765000000014	4	207	
191009_0956	1	timelog	1	0	0	0	-1	86	247	9	207	
191009_0956	1	timelog	0	0	0	0	-1	87	247.015000000014	8	207	
191009_0956	1	timelog	1	0	0	0	-1	88	247.3120000000345	2	207	
191009_0956	1	timelog	1	0	0	0	-1	89	247.5929999999935	6	207	
191009_0956	1	timelog	1	0	0	0	-1	90	247.9529999999795	1	207	
191009_0956	1	timelog	0	0	0	0	-1	91	249.0310000000754	5	207	
191009_0956	1	timelog	1	0	0	0	-1	92	249.9370000000345	6	207	
191009_0956	1	timelog	0	0	0	0	-1	93	250.109000000055	4	207	
191009_0956	1	timelog	0	0	0	0	-1	94	250.1720000000205	8	207	
191009_0956	1	timelog	0	0	0	0	-1	95	250.9679999999935	10	207	
191009_0956	1	timelog	0	0	0	0	-1	96	251.8429999999935	5	207	
191009_0956	1	timelog	0	0	0	0	-1	97	252.75	4	207	
191009_0956	1	timelog	0	0	0	0	-1	98	252.8429999999935	3	207	
191009_0956	1	timelog	1	0	0	0	-1	99	252.9060000000754	1	207	
191009_0956	1	timelog	1	0	0	0	-1	100	253.484000000055	7	207	
