C:\_z-Tree\Data\Channel1\191010_0826.xls
191010_0826	1	EET	left[1]	left[2]	left[3]	left[4]	left[5]	left[6]	left[7]	left[8]	left[9]	left[10]	ownprofit[1]	ownprofit[2]	ownprofit[3]	ownprofit[4]	ownprofit[5]	ownprofit[6]	ownprofit[7]	ownprofit[8]	ownprofit[9]	ownprofit[10]	otherprofit[1]	otherprofit[2]	otherprofit[3]	otherprofit[4]	otherprofit[5]	otherprofit[6]	otherprofit[7]	otherprofit[8]	otherprofit[9]	otherprofit[10]	ownleft[1]	ownleft[2]	ownleft[3]	ownleft[4]	ownleft[5]	ownleft[6]	ownleft[7]	ownleft[8]	ownleft[9]	ownleft[10]	otherleft[1]	otherleft[2]	otherleft[3]	otherleft[4]	otherleft[5]	otherleft[6]	otherleft[7]	otherleft[8]	otherleft[9]	otherleft[10]	Period	Subject	GroupEET	ownPayoffEET	right	
191010_0826	1	EET	0	0	1	0	1	0	1	0	0	1	4	4	4	4	6	4	3	4	4	6	4	4	7	4	7	4	1	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	1	3	1	4	
191010_0826	1	EET	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	2	5	0	4	
191010_0826	1	EET	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	3	3	0	4	
191010_0826	1	EET	0	0	0	1	1	0	0	0	1	0	4	4	4	5	6	4	4	4	5	4	4	4	4	7	7	4	4	4	1	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	4	1	1	4	
191010_0826	1	EET	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	5	2	0	4	
191010_0826	1	EET	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	6	4	0	4	
191010_0826	1	EET	0	1	0	0	1	0	0	0	1	1	4	3	4	4	6	4	4	4	5	6	4	7	4	4	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	7	5	1	4	
191010_0826	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	8	4	1	4	
191010_0826	1	EET	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	9	1	0	4	
191010_0826	1	EET	0	0	0	0	1	0	0	1	1	1	4	4	4	4	6	4	4	4	5	6	4	4	4	4	7	4	4	1	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	10	2	1	4	
191010_0826	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	11	-77777	-77777	4	
191010_0826	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191010_0826	1	session	1	0	0	0	0	0	0	3.447936130456945	29.23496574473483	27.70588235294118	35.08359253499222	28.56211003970505	26.52219873150105	29.5488183337312	28.89390396432651	29.35929288103202	12.27696216826652	28.70879120879121	26.74607430103409	0	0	1	1	32.74607430103409	-77778	-77778	0	1	
191010_0826	1	session	2	0	0	0	0	0	0	60.49577782704206	31.22755081902506	31.79028132992328	39.63685847589426	30.55913483663138	32.73003033367037	30.62002449479486	31.56370656370657	34.48121372568985	38.61244019138756	32.1824686940966	41.74079941506217	0	1	2	1	48.74079941506217	0.5	2.5	0	0	
191010_0826	1	session	3	0	0	0	0	0	0	34	30	26	22	30	30	30	30	30	30	30	30	1	0	3	1	37	0.5	0.5	0	0	
191010_0826	1	session	4	0	0	0	0	0	0	28.70912604042806	28.74637748901561	30.54498269896194	33.47750308360594	30.96509671993272	32.28657869796601	30.90470240799637	31.59628378378378	32.88970146263276	67.13286713286712	32.43356643356643	38.64677185426099	0	1	2	1	44.64677185426099	-77778	-77778	0	0	
191010_0826	1	session	5	0	0	0	0	0	0	26.78953626634959	33.03525071731111	30.25575447570332	27.31693426499901	30.08996401439424	31.07822410147993	28.69878361075545	32.28612070717335	31.18788819875776	16.32750314201928	28.7995337995338	28.16677452158638	0	0	1	1	35.16677452158638	0.5	2.5	0	1	
191010_0826	1	session	6	0	0	0	0	0	0	34.38094530321045	30.25542512935362	29.70588235294118	43.89096717246017	29.11585365853659	24.71597407548609	29.433733548834	28.38310613820817	23.44438170525127	24.47174447174447	26.80958385876419	24.51663775429743	0	0	1	1	31.51663775429743	-77778	-77778	0	0	
191010_0826	1	session	7	0	0	0	0	0	0	12.74798172601539	29.59904492909763	28.52257181942544	30	29.92576882290562	30.22031823745411	30.37510778959471	30.0608108108108	31.15233736515201	33.95604395604394	30.13133208255159	30.08364611260053	0	1	2	1	36.08364611260053	-77778	-77778	0	0	
191010_0826	1	session	8	0	0	0	0	0	0	44.63971462544589	31.36690091898988	30.34602076124568	0	31.01694915254236	32.09947325043897	30.16599597585513	27.63375620518479	25.49999999999999	29.04487303741036	30.26075619295958	23.69815486516321	0	0	1	1	29.69815486516321	0.5	0.5	0	0	
191010_0826	1	session	9	0	0	0	0	0	0	30.38115094554754	31.41364538710688	29.33503836317136	31.47726208098334	32.77439024390244	29.65116279069767	30.41697553743514	30.22484669543493	31.3975155279503	27.46385689781916	31.04567307692308	32.99049475993176	0	0	1	1	39.99049475993176	0.5	0.5	1	1	
191010_0826	1	session	10	0	0	0	0	0	0	17.89266025294563	14.93339253996448	30.17301038062284	28.06084758942457	28.57459613557175	29.65116279069768	29.91784037558686	29.97995247995248	30.11878881987578	28.45835199283476	30.47008547008547	29.12577223452617	0	0	1	1	35.12577223452617	-2.5	-0.5	0	0	
191010_0826	1	session	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191010_0826	1	summary	Period	
191010_0826	1	summary	-1	
191010_0826	1	summary	0	
191010_0826	1	summary	1	
191010_0826	1	summary	2	
191010_0826	1	summary	3	
191010_0826	1	summary	4	
191010_0826	1	summary	5	
191010_0826	1	summary	6	
191010_0826	1	summary	7	
191010_0826	1	summary	8	
191010_0826	1	summary	9	
191010_0826	1	summary	10	
191010_0826	1	summary	11	
191010_0826	1	summary	12	
191010_0826	1	timelog	Data[1]	Data[2]	Data[3]	Data[4]	Period	ID	Time	Subject	Event	
191010_0826	1	timelog	0	0	0	0	0	1	0	0	1	
191010_0826	1	timelog	0	0	0	0	-1	2	18.04700000002049	9	192	
191010_0826	1	timelog	0	0	0	0	-1	3	51.64000000001397	4	192	
191010_0826	1	timelog	0	0	0	0	-1	4	58.20300000009593	10	192	
191010_0826	1	timelog	0	0	0	0	-1	5	61.20300000009593	3	192	
191010_0826	1	timelog	0	0	0	0	-1	6	71.40600000007544	1	192	
191010_0826	1	timelog	0	0	0	0	-1	7	78.71900000004098	8	192	
191010_0826	1	timelog	0	0	0	0	-1	8	82.90600000007544	7	192	
191010_0826	1	timelog	0	0	0	0	-1	9	90.53100000007544	6	192	
191010_0826	1	timelog	0	0	0	0	-1	10	94.51500000001397	2	192	
191010_0826	1	timelog	0	0	0	0	-1	11	97.29700000002049	5	192	
191010_0826	1	timelog	0	0	0	0	-1	12	97.29700000002049	0	206	
191010_0826	1	timelog	0	0	0	0	-1	13	101.6560000000754	5	207	
191010_0826	1	timelog	0	0	0	0	-1	14	102.9060000000754	4	207	
191010_0826	1	timelog	0	0	0	0	-1	15	104.0310000000754	10	207	
191010_0826	1	timelog	0	0	0	0	-1	16	104.3280000000959	3	207	
191010_0826	1	timelog	0	0	0	0	-1	17	105.0620000000345	6	207	
191010_0826	1	timelog	0	0	0	0	-1	18	107.5470000000205	3	207	
191010_0826	1	timelog	0	0	0	0	-1	19	108.5310000000754	8	207	
191010_0826	1	timelog	0	0	0	0	-1	20	108.7810000000754	4	207	
191010_0826	1	timelog	0	0	0	0	-1	21	108.984000000055	10	207	
191010_0826	1	timelog	0	0	0	0	-1	22	110	2	207	
191010_0826	1	timelog	0	0	0	0	-1	23	110.4060000000754	7	207	
191010_0826	1	timelog	1	0	0	0	-1	24	110.8280000000959	3	207	
191010_0826	1	timelog	0	0	0	0	-1	25	110.859000000055	9	207	
191010_0826	1	timelog	0	0	0	0	-1	26	112.015000000014	6	207	
191010_0826	1	timelog	1	0	0	0	-1	27	112.2030000000959	7	207	
191010_0826	1	timelog	1	0	0	0	-1	28	113.6560000000754	3	207	
191010_0826	1	timelog	0	0	0	0	-1	29	113.734000000055	10	207	
191010_0826	1	timelog	0	0	0	0	-1	30	113.859000000055	7	207	
191010_0826	1	timelog	0	0	0	0	-1	31	114.375	8	207	
191010_0826	1	timelog	0	0	0	0	-1	32	114.390000000014	4	207	
191010_0826	1	timelog	1	0	0	0	-1	33	116.625	3	207	
191010_0826	1	timelog	1	0	0	0	-1	34	117.5310000000754	4	207	
191010_0826	1	timelog	1	0	0	0	-1	35	117.8280000000959	6	207	
191010_0826	1	timelog	0	0	0	0	-1	36	117.890000000014	7	207	
191010_0826	1	timelog	0	0	0	0	-1	37	119.4530000000959	2	207	
191010_0826	1	timelog	0	0	0	0	-1	38	119.984000000055	5	207	
191010_0826	1	timelog	1	0	0	0	-1	39	120.375	8	207	
191010_0826	1	timelog	1	0	0	0	-1	40	120.8120000000345	4	207	
191010_0826	1	timelog	1	0	0	0	-1	41	120.859000000055	6	207	
191010_0826	1	timelog	0	0	0	0	-1	42	120.9220000000205	10	207	
191010_0826	1	timelog	0	0	0	0	-1	43	122.4370000000345	9	207	
191010_0826	1	timelog	1	0	0	0	-1	44	122.9370000000345	8	207	
191010_0826	1	timelog	0	0	0	0	-1	45	123.2970000000205	3	207	
191010_0826	1	timelog	1	0	0	0	-1	46	123.594000000041	10	207	
191010_0826	1	timelog	1	0	0	0	-1	47	123.890000000014	6	207	
191010_0826	1	timelog	1	0	0	0	-1	48	124.344000000041	8	207	
191010_0826	1	timelog	0	0	0	0	-1	49	125.640000000014	3	207	
191010_0826	1	timelog	1	0	0	0	-1	50	125.8120000000345	2	207	
191010_0826	1	timelog	1	0	0	0	-1	51	126.4060000000754	7	207	
191010_0826	1	timelog	1	0	0	0	-1	52	126.640000000014	9	207	
191010_0826	1	timelog	0	0	0	0	-1	53	127.9530000000959	4	207	
191010_0826	1	timelog	0	0	0	0	-1	54	128.3120000000345	10	207	
191010_0826	1	timelog	0	0	0	0	-1	55	128.75	7	207	
191010_0826	1	timelog	0	0	0	0	-1	56	128.7970000000205	3	207	
191010_0826	1	timelog	0	0	0	0	-1	57	130.109000000055	8	207	
191010_0826	1	timelog	0	0	0	0	-1	58	130.5470000000205	1	207	
191010_0826	1	timelog	1	0	0	0	-1	59	131.140000000014	9	207	
191010_0826	1	timelog	1	0	0	0	-1	60	131.5470000000205	3	207	
191010_0826	1	timelog	1	0	0	0	-1	61	131.640000000014	5	207	
191010_0826	1	timelog	1	0	0	0	-1	62	132.3280000000959	2	207	
191010_0826	1	timelog	0	0	0	0	-1	63	132.640000000014	8	207	
191010_0826	1	timelog	0	0	0	0	-1	64	133.0310000000754	10	207	
191010_0826	1	timelog	1	0	0	0	-1	65	133.4370000000345	3	207	
191010_0826	1	timelog	0	0	0	0	-1	66	133.75	7	207	
191010_0826	1	timelog	1	0	0	0	-1	67	135.140000000014	2	207	
191010_0826	1	timelog	1	0	0	0	-1	68	135.4220000000205	9	207	
191010_0826	1	timelog	0	0	0	0	-1	69	135.8280000000959	4	207	
191010_0826	1	timelog	1	0	0	0	-1	70	136.515000000014	5	207	
191010_0826	1	timelog	0	0	0	0	-1	71	136.9530000000959	6	207	
191010_0826	1	timelog	0	0	0	0	-1	72	137.2030000000959	7	207	
191010_0826	1	timelog	0	0	0	0	-1	73	137.734000000055	8	207	
191010_0826	1	timelog	0	0	0	0	-1	74	139.9220000000205	6	207	
191010_0826	1	timelog	0	0	0	0	-1	75	140.515000000014	9	207	
191010_0826	1	timelog	0	0	0	0	-1	76	140.5310000000754	2	207	
191010_0826	1	timelog	0	0	0	0	-1	77	141.0620000000345	4	207	
191010_0826	1	timelog	1	0	0	0	-1	78	141.1870000000345	10	207	
191010_0826	1	timelog	1	0	0	0	-1	79	142.1720000000205	8	207	
191010_0826	1	timelog	1	0	0	0	-1	80	143.125	5	207	
191010_0826	1	timelog	1	0	0	0	-1	81	143.5780000000959	10	207	
191010_0826	1	timelog	1	0	0	0	-1	82	144.359000000055	4	207	
191010_0826	1	timelog	1	0	0	0	-1	83	144.5470000000205	7	207	
191010_0826	1	timelog	1	0	0	0	-1	84	145.125	6	207	
191010_0826	1	timelog	1	0	0	0	-1	85	145.75	8	207	
191010_0826	1	timelog	0	0	0	0	-1	86	145.9530000000959	9	207	
191010_0826	1	timelog	0	0	0	0	-1	87	146.1870000000345	2	207	
191010_0826	1	timelog	1	0	0	0	-1	88	146.359000000055	10	207	
191010_0826	1	timelog	0	0	0	0	-1	89	148.0470000000205	4	207	
191010_0826	1	timelog	0	0	0	0	-1	90	148.359000000055	5	207	
191010_0826	1	timelog	0	0	0	0	-1	91	149.0310000000754	9	207	
191010_0826	1	timelog	0	0	0	0	-1	92	149.890000000014	6	207	
191010_0826	1	timelog	0	0	0	0	-1	93	150.109000000055	1	207	
191010_0826	1	timelog	0	0	0	0	-1	94	151.344000000041	2	207	
191010_0826	1	timelog	1	0	0	0	-1	95	151.5	9	207	
191010_0826	1	timelog	0	0	0	0	-1	96	154.5310000000754	5	207	
191010_0826	1	timelog	1	0	0	0	-1	97	154.6560000000754	9	207	
191010_0826	1	timelog	0	0	0	0	-1	98	154.6560000000754	2	207	
191010_0826	1	timelog	0	0	0	0	-1	99	154.7970000000205	6	207	
191010_0826	1	timelog	0	0	0	0	-1	100	157.25	2	207	
191010_0826	1	timelog	1	0	0	0	-1	101	160.125	7	207	
