C:\_z-Tree\Data\Channel2\191010_0826.xls
191010_0826	1	EET	left[1]	left[2]	left[3]	left[4]	left[5]	left[6]	left[7]	left[8]	left[9]	left[10]	ownprofit[1]	ownprofit[2]	ownprofit[3]	ownprofit[4]	ownprofit[5]	ownprofit[6]	ownprofit[7]	ownprofit[8]	ownprofit[9]	ownprofit[10]	otherprofit[1]	otherprofit[2]	otherprofit[3]	otherprofit[4]	otherprofit[5]	otherprofit[6]	otherprofit[7]	otherprofit[8]	otherprofit[9]	otherprofit[10]	ownleft[1]	ownleft[2]	ownleft[3]	ownleft[4]	ownleft[5]	ownleft[6]	ownleft[7]	ownleft[8]	ownleft[9]	ownleft[10]	otherleft[1]	otherleft[2]	otherleft[3]	otherleft[4]	otherleft[5]	otherleft[6]	otherleft[7]	otherleft[8]	otherleft[9]	otherleft[10]	Period	Subject	GroupEET	ownPayoffEET	right	
191010_0826	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	1	4	1	4	
191010_0826	1	EET	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	2	1	0	4	
191010_0826	1	EET	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	3	5	0	4	
191010_0826	1	EET	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	4	3	0	4	
191010_0826	1	EET	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	5	2	0	4	
191010_0826	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	6	5	1	4	
191010_0826	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	7	3	1	4	
191010_0826	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	8	1	1	4	
191010_0826	1	EET	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	9	4	0	4	
191010_0826	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	10	2	1	4	
191010_0826	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	11	-77777	-77777	4	
191010_0826	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191010_0826	1	session	1	0	0	0	0	0	0	33.22734499205087	29.28670842032011	30	28.16778523489933	30	30	30	30	30	29.60920538428137	28.46240715805933	30	0	0	1	1	36	0.5	0.5	1	1	
191010_0826	1	session	2	0	0	0	0	0	0	30.89949324324324	33.43572919773336	36.54612194956155	30.87643110935651	34.83312560587176	38.70320855614973	37.39203391327386	30.03441189122019	31.93347610761612	30	30.96307721970501	30.24282237015748	0	1	2	1	39.70320855614973	-0.5	0.5	0	0	
191010_0826	1	session	3	0	0	0	0	0	0	14	22	30	30	30	30	30	30	30	30	30	30	1	0	3	1	31	-0.5	-0.5	0	0	
191010_0826	1	session	4	0	0	0	0	0	0	30.114198705748	31.88830897703549	30.55652890858497	30	30	30	30	30	30	30	30	30	0	1	2	1	31	-2.5	0.5	0	1	
191010_0826	1	session	5	0	0	0	0	0	0	28.77477477477478	31.01578810020877	30.77757278495253	31.98270958935274	32.76286966046003	32.80175706646296	25.66023045780131	30.08032367465937	36.03833234538629	30.34415138739092	34.22339335382814	29.98253952856727	0	1	2	1	33.80175706646296	-77778	-77778	0	0	
191010_0826	1	session	6	0	0	0	0	0	0	28.53501228501229	22.58089770354907	30.82741083653908	29.28859060402684	30.01964379256155	30.11106540518305	28.04253958100112	29.92412799887597	30	31.71666446412053	25.80054727880814	30.82734799056966	0	0	1	1	36.11106540518306	0.5	0.5	1	1	
191010_0826	1	session	7	0	0	0	0	0	0	30.58677098150782	30	33.2884849030284	25.80057526366251	33.94979919678715	30	30	30.05718771024894	24.33886583679116	28.58336951801998	30	30	0	0	1	1	36	0.5	0.5	0	0	
191010_0826	1	session	8	0	0	0	0	0	0	28.20101351351351	27.09541937860739	22.42332268370608	30.98125433927332	22.09236947791165	15.35157583342815	22.58558748943365	30	30	29.83165770399812	30	28.70929456271789	0	0	1	1	21.35157583342815	0.5	0.5	1	1	
191010_0826	1	session	9	0	0	0	0	0	0	30.11750881316099	32.34864300626305	29.7929712460064	30	31.76626506024096	30.23413788119671	25.5003859017237	29.92761636674375	30.16597510373444	30.37993920972644	30	29.99290668348045	0	0	1	1	31.23413788119671	0.5	2.5	1	1	
191010_0826	1	session	10	0	0	0	0	0	0	29.06019656019656	35.09299677358131	27.05066179826563	34.59507829977628	15.90361445783131	30.80562659846547	35.82248520710059	30	30.04600396896987	30.11264080100125	30.72800808897877	30	0	0	1	1	36.80562659846547	0.5	0.5	0	0	
191010_0826	1	session	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191010_0826	1	summary	Period	
191010_0826	1	summary	-1	
191010_0826	1	summary	0	
191010_0826	1	summary	1	
191010_0826	1	summary	2	
191010_0826	1	summary	3	
191010_0826	1	summary	4	
191010_0826	1	summary	5	
191010_0826	1	summary	6	
191010_0826	1	summary	7	
191010_0826	1	summary	8	
191010_0826	1	summary	9	
191010_0826	1	summary	10	
191010_0826	1	summary	11	
191010_0826	1	summary	12	
191010_0826	1	timelog	Data[1]	Data[2]	Data[3]	Data[4]	Period	ID	Time	Subject	Event	
191010_0826	1	timelog	0	0	0	0	0	1	0	0	1	
191010_0826	1	timelog	0	0	0	0	-1	2	4.905999999959022	7	192	
191010_0826	1	timelog	0	0	0	0	-1	3	6.546999999904074	2	192	
191010_0826	1	timelog	0	0	0	0	-1	4	8.140999999945052	10	192	
191010_0826	1	timelog	0	0	0	0	-1	5	34.09399999992456	9	192	
191010_0826	1	timelog	0	0	0	0	-1	6	40.07799999997951	4	192	
191010_0826	1	timelog	0	0	0	0	-1	7	43.20299999997951	1	192	
191010_0826	1	timelog	0	0	0	0	-1	8	44.04699999990407	3	192	
191010_0826	1	timelog	0	0	0	0	-1	9	61.98399999993853	5	192	
191010_0826	1	timelog	0	0	0	0	-1	10	105.155999999959	6	192	
191010_0826	1	timelog	0	0	0	0	-1	11	110.8909999999451	8	192	
191010_0826	1	timelog	0	0	0	0	-1	12	110.8909999999451	0	206	
191010_0826	1	timelog	0	0	0	0	-1	13	115.8439999999246	6	207	
191010_0826	1	timelog	0	0	0	0	-1	14	117.9689999999246	9	207	
191010_0826	1	timelog	0	0	0	0	-1	15	118	5	207	
191010_0826	1	timelog	0	0	0	0	-1	16	118.405999999959	3	207	
191010_0826	1	timelog	0	0	0	0	-1	17	118.875	7	207	
191010_0826	1	timelog	0	0	0	0	-1	18	119.375	6	207	
191010_0826	1	timelog	0	0	0	0	-1	19	119.7189999999246	1	207	
191010_0826	1	timelog	0	0	0	0	-1	20	119.75	2	207	
191010_0826	1	timelog	0	0	0	0	-1	21	119.8909999999451	8	207	
191010_0826	1	timelog	0	0	0	0	-1	22	120.0779999999795	5	207	
191010_0826	1	timelog	0	0	0	0	-1	23	120.3439999999246	10	207	
191010_0826	1	timelog	0	0	0	0	-1	24	121.3439999999246	7	207	
191010_0826	1	timelog	1	0	0	0	-1	25	121.5469999999041	6	207	
191010_0826	1	timelog	0	0	0	0	-1	26	122.030999999959	5	207	
191010_0826	1	timelog	0	0	0	0	-1	27	122.1719999999041	3	207	
191010_0826	1	timelog	1	0	0	0	-1	28	122.811999999918	7	207	
191010_0826	1	timelog	0	0	0	0	-1	29	123.5779999999795	5	207	
191010_0826	1	timelog	0	0	0	0	-1	30	124.2189999999246	2	207	
191010_0826	1	timelog	0	0	0	0	-1	31	124.375	9	207	
191010_0826	1	timelog	0	0	0	0	-1	32	124.6719999999041	5	207	
191010_0826	1	timelog	1	0	0	0	-1	33	124.7659999999451	7	207	
191010_0826	1	timelog	0	0	0	0	-1	34	125.25	1	207	
191010_0826	1	timelog	0	0	0	0	-1	35	125.3589999999385	10	207	
191010_0826	1	timelog	1	0	0	0	-1	36	125.4689999999246	6	207	
191010_0826	1	timelog	0	0	0	0	-1	37	125.5159999999451	3	207	
191010_0826	1	timelog	0	0	0	0	-1	38	126.0159999999451	8	207	
191010_0826	1	timelog	1	0	0	0	-1	39	126.375	5	207	
191010_0826	1	timelog	0	0	0	0	-1	40	126.3909999999451	4	207	
191010_0826	1	timelog	1	0	0	0	-1	41	126.625	7	207	
191010_0826	1	timelog	1	0	0	0	-1	42	127.186999999918	9	207	
191010_0826	1	timelog	1	0	0	0	-1	43	128.4529999999795	6	207	
191010_0826	1	timelog	1	0	0	0	-1	44	128.5469999999041	5	207	
191010_0826	1	timelog	0	0	0	0	-1	45	128.6089999999385	4	207	
191010_0826	1	timelog	0	0	0	0	-1	46	128.7189999999246	2	207	
191010_0826	1	timelog	1	0	0	0	-1	47	128.8589999999385	1	207	
191010_0826	1	timelog	0	0	0	0	-1	48	130.186999999918	4	207	
191010_0826	1	timelog	1	0	0	0	-1	49	130.4529999999795	9	207	
191010_0826	1	timelog	0	0	0	0	-1	50	130.5939999999246	7	207	
191010_0826	1	timelog	0	0	0	0	-1	51	130.811999999918	5	207	
191010_0826	1	timelog	1	0	0	0	-1	52	130.8279999999795	3	207	
191010_0826	1	timelog	0	0	0	0	-1	53	131.4689999999246	4	207	
191010_0826	1	timelog	1	0	0	0	-1	54	131.9839999999385	8	207	
191010_0826	1	timelog	0	0	0	0	-1	55	132.030999999959	6	207	
191010_0826	1	timelog	1	0	0	0	-1	56	132.311999999918	3	207	
191010_0826	1	timelog	0	0	0	0	-1	57	132.5469999999041	5	207	
191010_0826	1	timelog	1	0	0	0	-1	58	133.25	2	207	
191010_0826	1	timelog	1	0	0	0	-1	59	133.405999999959	9	207	
191010_0826	1	timelog	1	0	0	0	-1	60	133.811999999918	1	207	
191010_0826	1	timelog	0	0	0	0	-1	61	134.061999999918	7	207	
191010_0826	1	timelog	1	0	0	0	-1	62	134.5159999999451	10	207	
191010_0826	1	timelog	0	0	0	0	-1	63	134.780999999959	6	207	
191010_0826	1	timelog	1	0	0	0	-1	64	134.8279999999795	4	207	
191010_0826	1	timelog	1	0	0	0	-1	65	135.75	2	207	
191010_0826	1	timelog	1	0	0	0	-1	66	136.125	8	207	
191010_0826	1	timelog	0	0	0	0	-1	67	136.2029999999795	3	207	
191010_0826	1	timelog	0	0	0	0	-1	68	136.8909999999451	9	207	
191010_0826	1	timelog	1	0	0	0	-1	69	137.186999999918	1	207	
191010_0826	1	timelog	0	0	0	0	-1	70	137.2969999999041	7	207	
191010_0826	1	timelog	0	0	0	0	-1	71	139.2339999999385	3	207	
191010_0826	1	timelog	1	0	0	0	-1	72	139.3439999999246	7	207	
191010_0826	1	timelog	0	0	0	0	-1	73	139.4219999999041	4	207	
191010_0826	1	timelog	0	0	0	0	-1	74	139.4839999999385	9	207	
191010_0826	1	timelog	1	0	0	0	-1	75	139.530999999959	8	207	
191010_0826	1	timelog	0	0	0	0	-1	76	139.6719999999041	6	207	
191010_0826	1	timelog	1	0	0	0	-1	77	140.0159999999451	5	207	
191010_0826	1	timelog	0	0	0	0	-1	78	141.2339999999385	1	207	
191010_0826	1	timelog	0	0	0	0	-1	79	141.25	2	207	
191010_0826	1	timelog	1	0	0	0	-1	80	141.4689999999246	7	207	
191010_0826	1	timelog	1	0	0	0	-1	81	141.5939999999246	10	207	
191010_0826	1	timelog	0	0	0	0	-1	82	142.2969999999041	9	207	
191010_0826	1	timelog	0	0	0	0	-1	83	143.4689999999246	4	207	
191010_0826	1	timelog	0	0	0	0	-1	84	143.530999999959	8	207	
191010_0826	1	timelog	1	0	0	0	-1	85	143.936999999918	3	207	
191010_0826	1	timelog	1	0	0	0	-1	86	144.2339999999385	6	207	
191010_0826	1	timelog	0	0	0	0	-1	87	144.5159999999451	1	207	
191010_0826	1	timelog	0	0	0	0	-1	88	145	2	207	
191010_0826	1	timelog	1	0	0	0	-1	89	145.2029999999795	10	207	
191010_0826	1	timelog	1	0	0	0	-1	90	147.0159999999451	6	207	
191010_0826	1	timelog	0	0	0	0	-1	91	147.0779999999795	4	207	
191010_0826	1	timelog	1	0	0	0	-1	92	147.1409999999451	3	207	
191010_0826	1	timelog	0	0	0	0	-1	93	148.2659999999451	8	207	
191010_0826	1	timelog	0	0	0	0	-1	94	148.2969999999041	1	207	
191010_0826	1	timelog	0	0	0	0	-1	95	148.3279999999795	10	207	
191010_0826	1	timelog	0	0	0	0	-1	96	148.561999999918	2	207	
