C:\_z-Tree\Data\Channel1\191016_1249.xls
191016_1249	1	EET	
191016_1249	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191016_1249	1	session	1	22	0	0	0	22	22	18	30	18	6	30	6	18	18	18	18	30	18	1	0	3	1	22	0.5	2.5	0	0	
191016_1249	1	session	2	29.30303030303031	0	0	0	29.30303030303031	29.30303030303031	40.52975326560233	27.8393351800554	29.25411486908814	29.96556210300758	30.2656	40.11038961038961	30.60075093867334	30.60602210646677	29.67471080132024	24.60876623376624	29.46206896551724	28.30303030303031	0	0	1	1	29.30303030303031	-0.5	0.5	1	0	
191016_1249	1	session	3	33.69332096474953	0	0	0	33.69332096474953	33.69332096474953	0	21.15614521067212	27.5021763462256	28.18557201846004	28.35299920948617	29.42857142857145	24.17149393731411	28.51595419536247	28.69673858407765	29.92694805194805	27.67408590963139	29.69332096474954	0	0	1	1	33.69332096474953	0.5	2.5	1	1	
191016_1249	1	session	4	34	0	0	0	34	34	49.6136567834681	39.20775623268698	31.13045641089417	30	28.2792270531401	39.18367346938776	30.51063829787234	30	30	34.06799083269672	32.31047160243409	30	0	1	2	1	34	0.5	0.5	0	0	
191016_1249	1	session	5	36.33484848484849	0	0	0	36.33484848484849	36.33484848484849	250.3234501347709	42.11290476645334	30.81779053084649	30.86991221069433	35.76567061923583	32.2125	33.98352779684282	27.52929791590698	28.30872190296065	37.15697346132129	31.22157006603081	32.33484848484849	0	1	2	1	36.33484848484849	0.5	0.5	0	0	
191016_1249	1	session	6	33.89823609226595	0	0	0	33.89823609226595	33.89823609226595	43.39622641509433	28.35457063711911	29.92707826932426	29.58100558659218	30.1053110367893	29.63848739495798	30.33244680851064	30.36150908466407	29.16536270000402	29.8083883329785	28.29674030172414	29.89823609226594	0	0	1	1	33.89823609226595	0.5	2.5	1	1	
191016_1249	1	session	7	34.29220779220779	0	0	0	34.29220779220779	34.29220779220779	35.92113631545475	31.40842536964421	30.94798249878464	30.26462805057337	23.86928571428571	30.24725274725275	28.48404255319149	30	30.93878620369668	32.0698051948052	30.58338859416445	30.29220779220779	0	1	2	1	34.29220779220779	-77778	-77778	0	0	
191016_1249	1	session	8	33.23175416133162	0	0	0	33.23175416133162	33.23175416133162	30	15.90166204986149	30	30.44029921408957	27.74937238749046	20.81632653061224	33.41464849495049	30.03644708423326	30.93745339453495	29.44530046224961	29.99137931034483	29.23175416133163	0	0	1	1	33.23175416133162	-2.5	-0.5	0	0	
191016_1249	1	session	9	34.36363636363636	0	0	0	34.36363636363636	34.36363636363636	31.44284128745838	32.6347267690758	29.85768500948767	30.12480684654701	29.12695652173913	22.87218045112782	30.27285899489057	30.04055949605462	30.0824839055794	17.08849290244639	30	30.36363636363636	0	0	1	1	34.36363636363636	-2.5	0.5	1	1	
191016_1249	1	session	10	33.99922813036021	0	0	0	33.99922813036021	33.99922813036021	30.97304582210242	31.64875346260387	30.09496588604093	30.46707573953659	30.79850508788159	25.56766917293233	29.70399603446961	31.08723256856433	30.28145558188476	29.94307640411537	30.51932703003338	29.99922813036021	0	0	1	1	33.99922813036021	0.5	0.5	1	1	
191016_1249	1	session	11	5	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191016_1249	1	summary	
191016_1249	1	timelog	
191016_1249	1	markets	
191016_1249	1	groups	
191016_1249	1	structure	Period	MarketID	IsTraining	Treatment	i	
191016_1249	1	structure	-1	3	1	0	2	
191016_1249	1	structure	0	3	1	0	2	
191016_1249	1	structure	1	3	0	5	2	
191016_1249	1	structure	2	3	0	5	2	
191016_1249	1	structure	3	3	0	5	2	
191016_1249	1	structure	4	3	0	6	2	
191016_1249	1	structure	5	3	0	6	2	
191016_1249	1	structure	6	3	0	6	2	
191016_1249	1	structure	7	3	0	-1	2	
191016_1249	1	structure	8	3	0	-1	2	
191016_1249	1	structure	9	3	0	-1	2	
191016_1249	1	structure	10	3	0	-1	2	
191016_1249	1	structure	11	3	0	-1	2	
191016_1249	1	structure	12	3	0	-1	2	
191016_1249	1	tagnums	TagID	TagNum	
191016_1249	1	tagnums	0	52	
191016_1249	1	tagnums	1	263	
191016_1249	1	tagnums	2	238	
191016_1249	1	tagnums	3	197	
191016_1249	1	tagnums	4	122	
191016_1249	1	tagnums	5	262	
191016_1249	1	tagnums	6	143	
191016_1249	1	tagnums	7	247	
191016_1249	1	tagnums	8	181	
191016_1249	1	tagnums	9	182	
191016_1249	1	tagnums	10	161	
191016_1249	1	tagnums	11	269	
191016_1249	1	tagnums	12	187	
191016_1249	1	tagnums	13	221	
191016_1249	1	tagnums	14	246	
191016_1249	1	tagnums	15	252	
191016_1249	1	tagnums	16	13	
191016_1249	1	tagnums	17	188	
191016_1249	1	tagnums	18	94	
191016_1249	1	tagnums	19	19	
191016_1249	1	tagnums	20	267	
191016_1249	1	tagnums	21	76	
191016_1249	1	tagnums	22	264	
191016_1249	1	tagnums	23	171	
191016_1249	1	tagnums	24	77	
191016_1249	1	tagnums	25	87	
191016_1249	1	tagnums	26	158	
191016_1249	1	tagnums	27	179	
191016_1249	1	tagnums	28	204	
191016_1249	1	tagnums	29	259	
191016_1249	1	tagnums	30	196	
191016_1249	1	tagnums	31	205	
191016_1249	1	tagnums	32	27	
191016_1249	1	tagnums	33	43	
191016_1249	1	tagnums	34	152	
191016_1249	1	tagnums	35	83	
191016_1249	1	tagnums	36	145	
191016_1249	1	tagnums	37	175	
191016_1249	1	tagnums	38	235	
191016_1249	1	tagnums	39	201	
191016_1249	1	tagnums	40	147	
191016_1249	1	tagnums	41	153	
191016_1249	1	tagnums	42	194	
191016_1249	1	tagnums	43	137	
191016_1249	1	tagnums	44	163	
191016_1249	1	tagnums	45	176	
191016_1249	1	tagnums	46	245	
191016_1249	1	tagnums	47	271	
191016_1249	1	tagnums	48	108	
191016_1249	1	tagnums	49	32	
191016_1249	1	tagnums	50	216	
191016_1249	1	tagnums	51	229	
191016_1249	1	tagnums	52	134	
191016_1249	1	tagnums	53	59	
191016_1249	1	tagnums	54	132	
191016_1249	1	tagnums	55	218	
191016_1249	1	tagnums	56	105	
191016_1249	1	tagnums	57	167	
191016_1249	1	tagnums	58	273	
191016_1249	1	tagnums	59	140	
191016_1249	1	tagnums	60	164	
191016_1249	1	tagnums	61	26	
191016_1249	1	tagnums	62	280	
191016_1249	1	tagnums	63	209	
191016_1249	1	tagnums	64	234	
191016_1249	1	tagnums	65	99	
191016_1249	1	tagnums	66	274	
191016_1249	1	tagnums	67	251	
191016_1249	1	tagnums	68	178	
191016_1249	1	tagnums	69	265	
191016_1249	1	tagnums	70	47	
191016_1249	1	tagnums	71	20	
191016_1249	1	tagnums	72	275	
191016_1249	1	tagnums	73	157	
191016_1249	1	tagnums	74	270	
191016_1249	1	tagnums	75	62	
191016_1249	1	tagnums	76	129	
191016_1249	1	tagnums	77	148	
191016_1249	1	tagnums	78	266	
191016_1249	1	tagnums	79	42	
191016_1249	1	tagnums	80	155	
191016_1249	1	tagnums	81	149	
191016_1249	1	tagnums	82	126	
191016_1249	1	tagnums	83	192	
191016_1249	1	tagnums	84	98	
191016_1249	1	tagnums	85	277	
191016_1249	1	tagnums	86	97	
191016_1249	1	tagnums	87	225	
191016_1249	1	tagnums	88	191	
191016_1249	1	tagnums	89	115	
191016_1249	1	tagnums	90	177	
191016_1249	1	tagnums	91	212	
191016_1249	1	tagnums	92	18	
191016_1249	1	tagnums	93	159	
191016_1249	1	tagnums	94	243	
191016_1249	1	tagnums	95	120	
191016_1249	1	tagnums	96	116	
191016_1249	1	tagnums	97	41	
191016_1249	1	tagnums	98	75	
191016_1249	1	tagnums	99	257	
191016_1249	1	tagnums	100	45	
191016_1249	1	tagnums	101	71	
191016_1249	1	tagnums	102	81	
191016_1249	1	tagnums	103	222	
191016_1249	1	tagnums	104	244	
191016_1249	1	tagnums	105	80	
191016_1249	1	tagnums	106	133	
191016_1249	1	tagnums	107	198	
191016_1249	1	tagnums	108	54	
191016_1249	1	tagnums	109	106	
191016_1249	1	tagnums	110	96	
191016_1249	1	tagnums	111	183	
191016_1249	1	tagnums	112	24	
191016_1249	1	tagnums	113	170	
191016_1249	1	tagnums	114	101	
191016_1249	1	tagnums	115	35	
191016_1249	1	tagnums	116	174	
191016_1249	1	tagnums	117	85	
191016_1249	1	tagnums	118	51	
191016_1249	1	tagnums	119	57	
191016_1249	1	tagnums	120	118	
191016_1249	1	tagnums	121	79	
191016_1249	1	tagnums	122	237	
191016_1249	1	tagnums	123	166	
191016_1249	1	tagnums	124	154	
