C:\_z-Tree\Data\Channel1\191016_1249.xls
191016_1249	1	EET	left[1]	left[2]	left[3]	left[4]	left[5]	left[6]	left[7]	left[8]	left[9]	left[10]	ownprofit[1]	ownprofit[2]	ownprofit[3]	ownprofit[4]	ownprofit[5]	ownprofit[6]	ownprofit[7]	ownprofit[8]	ownprofit[9]	ownprofit[10]	otherprofit[1]	otherprofit[2]	otherprofit[3]	otherprofit[4]	otherprofit[5]	otherprofit[6]	otherprofit[7]	otherprofit[8]	otherprofit[9]	otherprofit[10]	ownleft[1]	ownleft[2]	ownleft[3]	ownleft[4]	ownleft[5]	ownleft[6]	ownleft[7]	ownleft[8]	ownleft[9]	ownleft[10]	otherleft[1]	otherleft[2]	otherleft[3]	otherleft[4]	otherleft[5]	otherleft[6]	otherleft[7]	otherleft[8]	otherleft[9]	otherleft[10]	Period	Subject	GroupEET	ownPayoffEET	right	
191016_1249	1	EET	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	1	2	0	4	
191016_1249	1	EET	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	2	4	0	4	
191016_1249	1	EET	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	3	5	0	4	
191016_1249	1	EET	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	4	1	0	4	
191016_1249	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	5	5	1	4	
191016_1249	1	EET	0	0	1	1	1	0	0	0	0	1	4	4	4	5	6	4	4	4	4	6	4	4	7	7	7	4	4	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	6	3	1	4	
191016_1249	1	EET	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	7	3	0	4	
191016_1249	1	EET	0	0	0	0	0	0	0	1	1	1	4	4	4	4	4	4	4	4	5	6	4	4	4	4	4	4	4	1	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	8	4	1	4	
191016_1249	1	EET	0	0	0	0	0	0	0	0	1	1	4	4	4	4	4	4	4	4	5	6	4	4	4	4	4	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	9	1	1	4	
191016_1249	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	10	2	1	4	
191016_1249	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	11	-77777	-77777	4	
191016_1249	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191016_1249	1	session	1	0	0	0	0	0	0	18	30	18	6	30	6	18	18	18	18	30	18	1	0	3	1	22	0.5	2.5	0	0	
191016_1249	1	session	2	0	0	0	0	0	0	40.52975326560233	27.8393351800554	29.25411486908814	29.96556210300758	30.2656	40.11038961038961	30.60075093867334	30.60602210646677	29.67471080132024	24.60876623376624	29.46206896551724	28.30303030303031	0	0	1	1	29.30303030303031	-0.5	0.5	1	0	
191016_1249	1	session	3	0	0	0	0	0	0	0	21.15614521067212	27.5021763462256	28.18557201846004	28.35299920948617	29.42857142857145	24.17149393731411	28.51595419536247	28.69673858407765	29.92694805194805	27.67408590963139	29.69332096474954	0	0	1	1	33.69332096474953	0.5	2.5	1	1	
191016_1249	1	session	4	0	0	0	0	0	0	49.6136567834681	39.20775623268698	31.13045641089417	30	28.2792270531401	39.18367346938776	30.51063829787234	30	30	34.06799083269672	32.31047160243409	30	0	1	2	1	34	0.5	0.5	0	0	
191016_1249	1	session	5	0	0	0	0	0	0	250.3234501347709	42.11290476645334	30.81779053084649	30.86991221069433	35.76567061923583	32.2125	33.98352779684282	27.52929791590698	28.30872190296065	37.15697346132129	31.22157006603081	32.33484848484849	0	1	2	1	36.33484848484849	0.5	0.5	0	0	
191016_1249	1	session	6	0	0	0	0	0	0	43.39622641509433	28.35457063711911	29.92707826932426	29.58100558659218	30.1053110367893	29.63848739495798	30.33244680851064	30.36150908466407	29.16536270000402	29.8083883329785	28.29674030172414	29.89823609226594	0	0	1	1	33.89823609226595	0.5	2.5	1	1	
191016_1249	1	session	7	0	0	0	0	0	0	35.92113631545475	31.40842536964421	30.94798249878464	30.26462805057337	23.86928571428571	30.24725274725275	28.48404255319149	30	30.93878620369668	32.0698051948052	30.58338859416445	30.29220779220779	0	1	2	1	34.29220779220779	-77778	-77778	0	0	
191016_1249	1	session	8	0	0	0	0	0	0	30	15.90166204986149	30	30.44029921408957	27.74937238749046	20.81632653061224	33.41464849495049	30.03644708423326	30.93745339453495	29.44530046224961	29.99137931034483	29.23175416133163	0	0	1	1	33.23175416133162	-2.5	-0.5	0	0	
191016_1249	1	session	9	0	0	0	0	0	0	31.44284128745838	32.6347267690758	29.85768500948767	30.12480684654701	29.12695652173913	22.87218045112782	30.27285899489057	30.04055949605462	30.0824839055794	17.08849290244639	30	30.36363636363636	0	0	1	1	34.36363636363636	-2.5	0.5	1	1	
191016_1249	1	session	10	0	0	0	0	0	0	30.97304582210242	31.64875346260387	30.09496588604093	30.46707573953659	30.79850508788159	25.56766917293233	29.70399603446961	31.08723256856433	30.28145558188476	29.94307640411537	30.51932703003338	29.99922813036021	0	0	1	1	33.99922813036021	0.5	0.5	1	1	
191016_1249	1	session	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191016_1249	1	summary	Period	
191016_1249	1	summary	-1	
191016_1249	1	summary	0	
191016_1249	1	summary	1	
191016_1249	1	summary	2	
191016_1249	1	summary	3	
191016_1249	1	summary	4	
191016_1249	1	summary	5	
191016_1249	1	summary	6	
191016_1249	1	summary	7	
191016_1249	1	summary	8	
191016_1249	1	summary	9	
191016_1249	1	summary	10	
191016_1249	1	summary	11	
191016_1249	1	summary	12	
191016_1249	1	timelog	Data[1]	Data[2]	Data[3]	Data[4]	Period	ID	Time	Subject	Event	
191016_1249	1	timelog	0	0	0	0	0	1	0	0	1	
191016_1249	1	timelog	0	0	0	0	-1	2	3.968000000000757	1	192	
191016_1249	1	timelog	0	0	0	0	-1	3	5.281000000000859	6	192	
191016_1249	1	timelog	0	0	0	0	-1	4	6.734000000000378	5	192	
191016_1249	1	timelog	0	0	0	0	-1	5	8.20299999999952	4	192	
191016_1249	1	timelog	0	0	0	0	-1	6	10.90600000000086	3	192	
191016_1249	1	timelog	0	0	0	0	-1	7	11.98400000000038	8	192	
191016_1249	1	timelog	0	0	0	0	-1	8	13.20299999999952	10	192	
191016_1249	1	timelog	0	0	0	0	-1	9	20.90600000000086	9	192	
191016_1249	1	timelog	0	0	0	0	-1	10	30.375	7	192	
191016_1249	1	timelog	0	0	0	0	-1	11	53.45299999999952	2	192	
191016_1249	1	timelog	0	0	0	0	-1	12	53.45299999999952	0	206	
191016_1249	1	timelog	0	0	0	0	-1	13	60.4369999999999	1	207	
191016_1249	1	timelog	0	0	0	0	-1	14	60.51499999999942	5	207	
191016_1249	1	timelog	0	0	0	0	-1	15	62.6869999999999	4	207	
191016_1249	1	timelog	0	0	0	0	-1	16	64.13999999999942	2	207	
191016_1249	1	timelog	0	0	0	0	-1	17	64.15600000000086	5	207	
191016_1249	1	timelog	0	0	0	0	-1	18	64.76499999999942	6	207	
191016_1249	1	timelog	0	0	0	0	-1	19	65.63999999999942	3	207	
191016_1249	1	timelog	0	0	0	0	-1	20	68.4369999999999	2	207	
191016_1249	1	timelog	0	0	0	0	-1	21	69.01499999999942	10	207	
191016_1249	1	timelog	0	0	0	0	-1	22	70.01499999999942	4	207	
191016_1249	1	timelog	1	0	0	0	-1	23	70.07799999999952	5	207	
191016_1249	1	timelog	0	0	0	0	-1	24	70.84300000000076	3	207	
191016_1249	1	timelog	1	0	0	0	-1	25	72.70299999999952	5	207	
191016_1249	1	timelog	0	0	0	0	-1	26	72.95299999999952	6	207	
191016_1249	1	timelog	0	0	0	0	-1	27	73.01499999999942	2	207	
191016_1249	1	timelog	1	0	0	0	-1	28	73.59300000000076	7	207	
191016_1249	1	timelog	1	0	0	0	-1	29	73.8119999999999	3	207	
191016_1249	1	timelog	0	0	0	0	-1	30	73.9369999999999	10	207	
191016_1249	1	timelog	1	0	0	0	-1	31	75.25	4	207	
191016_1249	1	timelog	1	0	0	0	-1	32	75.76499999999942	2	207	
191016_1249	1	timelog	1	0	0	0	-1	33	75.90600000000086	5	207	
191016_1249	1	timelog	1	0	0	0	-1	34	77.10900000000038	3	207	
191016_1249	1	timelog	1	0	0	0	-1	35	77.8119999999999	2	207	
191016_1249	1	timelog	1	0	0	0	-1	36	78.34300000000076	6	207	
191016_1249	1	timelog	1	0	0	0	-1	37	78.53100000000086	3	207	
191016_1249	1	timelog	0	0	0	0	-1	38	79.3119999999999	5	207	
191016_1249	1	timelog	1	0	0	0	-1	39	79.375	7	207	
191016_1249	1	timelog	1	0	0	0	-1	40	79.57799999999952	10	207	
191016_1249	1	timelog	0	0	0	0	-1	41	79.95299999999952	1	207	
191016_1249	1	timelog	1	0	0	0	-1	42	81.17100000000028	4	207	
191016_1249	1	timelog	0	0	0	0	-1	43	81.23400000000038	3	207	
191016_1249	1	timelog	0	0	0	0	-1	44	81.42100000000028	2	207	
191016_1249	1	timelog	0	0	0	0	-1	45	82.3119999999999	9	207	
191016_1249	1	timelog	1	0	0	0	-1	46	82.63999999999942	10	207	
191016_1249	1	timelog	1	0	0	0	-1	47	82.70299999999952	4	207	
191016_1249	1	timelog	0	0	0	0	-1	48	82.98400000000038	5	207	
191016_1249	1	timelog	0	0	0	0	-1	49	84.63999999999942	3	207	
191016_1249	1	timelog	0	0	0	0	-1	50	84.73400000000038	9	207	
191016_1249	1	timelog	0	0	0	0	-1	51	84.82799999999952	2	207	
191016_1249	1	timelog	1	0	0	0	-1	52	85.15600000000086	10	207	
191016_1249	1	timelog	1	0	0	0	-1	53	85.17100000000028	6	207	
191016_1249	1	timelog	1	0	0	0	-1	54	85.25	1	207	
191016_1249	1	timelog	0	0	0	0	-1	55	86.65600000000086	3	207	
191016_1249	1	timelog	0	0	0	0	-1	56	86.875	9	207	
191016_1249	1	timelog	0	0	0	0	-1	57	86.92100000000028	5	207	
191016_1249	1	timelog	0	0	0	0	-1	58	87.35900000000038	2	207	
191016_1249	1	timelog	1	0	0	0	-1	59	87.63999999999942	6	207	
191016_1249	1	timelog	0	0	0	0	-1	60	87.875	10	207	
191016_1249	1	timelog	0	0	0	0	-1	61	88.3119999999999	9	207	
191016_1249	1	timelog	0	0	0	0	-1	62	89.21800000000076	3	207	
191016_1249	1	timelog	0	0	0	0	-1	63	89.29600000000028	9	207	
191016_1249	1	timelog	1	0	0	0	-1	64	89.375	2	207	
191016_1249	1	timelog	0	0	0	0	-1	65	89.46800000000076	4	207	
191016_1249	1	timelog	1	0	0	0	-1	66	90.34300000000076	5	207	
191016_1249	1	timelog	0	0	0	0	-1	67	90.79600000000028	10	207	
191016_1249	1	timelog	1	0	0	0	-1	68	90.96800000000076	2	207	
191016_1249	1	timelog	0	0	0	0	-1	69	91.38999999999942	9	207	
191016_1249	1	timelog	0	0	0	0	-1	70	91.65600000000086	3	207	
191016_1249	1	timelog	0	0	0	0	-1	71	91.96800000000076	7	207	
191016_1249	1	timelog	0	0	0	0	-1	72	92	6	207	
191016_1249	1	timelog	1	0	0	0	-1	73	93.15600000000086	1	207	
191016_1249	1	timelog	0	0	0	0	-1	74	93.32799999999952	9	207	
191016_1249	1	timelog	1	0	0	0	-1	75	93.51499999999942	5	207	
191016_1249	1	timelog	0	0	0	0	-1	76	94	4	207	
191016_1249	1	timelog	0	0	0	0	-1	77	94.95299999999952	6	207	
191016_1249	1	timelog	0	0	0	0	-1	78	94.98400000000038	7	207	
191016_1249	1	timelog	0	0	0	0	-1	79	95.54600000000028	9	207	
191016_1249	1	timelog	0	0	0	0	-1	80	95.9369999999999	10	207	
191016_1249	1	timelog	1	0	0	0	-1	81	96.71800000000076	1	207	
191016_1249	1	timelog	0	0	0	0	-1	82	97.59300000000076	8	207	
191016_1249	1	timelog	0	0	0	0	-1	83	97.79600000000028	4	207	
191016_1249	1	timelog	0	0	0	0	-1	84	98	7	207	
191016_1249	1	timelog	1	0	0	0	-1	85	98.32799999999952	10	207	
191016_1249	1	timelog	1	0	0	0	-1	86	98.75	9	207	
191016_1249	1	timelog	0	0	0	0	-1	87	99.13999999999942	6	207	
191016_1249	1	timelog	0	0	0	0	-1	88	100.0779999999995	1	207	
191016_1249	1	timelog	1	0	0	0	-1	89	100.7960000000003	10	207	
191016_1249	1	timelog	1	0	0	0	-1	90	100.9369999999999	9	207	
191016_1249	1	timelog	0	0	0	0	-1	91	104.1710000000003	1	207	
191016_1249	1	timelog	1	0	0	0	-1	92	104.5	4	207	
191016_1249	1	timelog	0	0	0	0	-1	93	105.7649999999994	6	207	
191016_1249	1	timelog	0	0	0	0	-1	94	106.0930000000008	7	207	
191016_1249	1	timelog	0	0	0	0	-1	95	106.6560000000009	1	207	
191016_1249	1	timelog	1	0	0	0	-1	96	109.2340000000004	4	207	
191016_1249	1	timelog	0	0	0	0	-1	97	109.7340000000004	7	207	
191016_1249	1	timelog	0	0	0	0	-1	98	111.2029999999995	1	207	
191016_1249	1	timelog	0	0	0	0	-1	99	115.3119999999999	1	207	
