C:\_z-Tree\Data\Channel2\191016_1251.xls
191016_1251	1	EET	left[1]	left[2]	left[3]	left[4]	left[5]	left[6]	left[7]	left[8]	left[9]	left[10]	ownprofit[1]	ownprofit[2]	ownprofit[3]	ownprofit[4]	ownprofit[5]	ownprofit[6]	ownprofit[7]	ownprofit[8]	ownprofit[9]	ownprofit[10]	otherprofit[1]	otherprofit[2]	otherprofit[3]	otherprofit[4]	otherprofit[5]	otherprofit[6]	otherprofit[7]	otherprofit[8]	otherprofit[9]	otherprofit[10]	ownleft[1]	ownleft[2]	ownleft[3]	ownleft[4]	ownleft[5]	ownleft[6]	ownleft[7]	ownleft[8]	ownleft[9]	ownleft[10]	otherleft[1]	otherleft[2]	otherleft[3]	otherleft[4]	otherleft[5]	otherleft[6]	otherleft[7]	otherleft[8]	otherleft[9]	otherleft[10]	Period	Subject	GroupEET	ownPayoffEET	right	
191016_1251	1	EET	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	1	1	0	4	
191016_1251	1	EET	0	0	0	0	0	0	0	0	1	1	4	4	4	4	4	4	4	4	5	6	4	4	4	4	4	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	2	4	1	4	
191016_1251	1	EET	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	3	5	0	4	
191016_1251	1	EET	1	0	0	0	0	0	0	0	1	1	2	4	4	4	4	4	4	4	5	6	7	4	4	4	4	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	4	1	1	4	
191016_1251	1	EET	0	0	0	0	0	0	0	0	1	1	4	4	4	4	4	4	4	4	5	6	4	4	4	4	4	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	5	3	1	4	
191016_1251	1	EET	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	6	2	0	4	
191016_1251	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	7	5	1	4	
191016_1251	1	EET	0	0	0	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	4	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	8	2	1	4	
191016_1251	1	EET	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	9	4	0	4	
191016_1251	1	EET	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	10	3	0	4	
191016_1251	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	11	-77777	-77777	4	
191016_1251	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191016_1251	1	session	1	0	0	0	0	0	0	28.74068727882288	29.57162827852483	27.50149611011372	30.62991856152233	27.19144460028051	32.27705961219058	29.61587708066582	42.71245849219037	28.50707442888725	31.10870210870211	19.14507772020725	39.44623734780696	0	0	1	1	32.1087021087021	-2.5	-2.5	0	1	
191016_1251	1	session	2	0	0	0	0	0	0	29.43597778094289	30	30.50608041733003	29.97780398322851	29.13383152173913	30.71705511673978	30.0556586270872	31.50114910509089	31.01694915254237	30.23566973566974	25.85826508440582	30.57303549636547	0	0	1	1	35.23566973566973	-2.5	0.5	1	1	
191016_1251	1	session	3	0	0	0	0	0	0	22	26	22	26	14	26	22	22	14	38	14	14	1	0	3	1	39	-77778	-77778	0	0	
191016_1251	1	session	4	0	0	0	0	0	0	28.81010031131096	30.11083743842364	33.67298681963481	32.95672356993112	30.40879017013232	31.24108194895832	32.44019138755981	26.68735124107445	30.85423728813559	37.87518225018225	17.63520077720207	32.40976506103164	0	0	1	1	42.87518225018225	-77778	-77778	1	1	
191016_1251	1	session	5	0	0	0	0	0	0	32.09235018159806	32.26364153088291	32.19186636484271	30.34684785864031	32.54312381852552	20.65765836132156	30.41293213828425	37.18254708185717	30.82627118644068	45.19575813693461	54.14168011551855	34.9426433915212	0	1	2	1	50.19575813693461	-2.5	0.5	0	0	
191016_1251	1	session	6	0	0	0	0	0	0	31.3911708751297	28.32322849564229	32.17621525805059	31.63784067085954	28.50449775112443	26.87397615765145	31.2291933418694	20.09779079895477	30.65751022793688	18.95715770715771	33.94783325482807	18.04017353875585	0	0	1	1	19.95715770715771	0.5	0.5	1	1	
191016_1251	1	session	7	0	0	0	0	0	0	25.39696699375557	33.27211394302849	28.26913660845439	27.54827044025156	29.0028144409938	32.64092449922959	28.38691796008869	32.76987970629589	27.44164648910412	32.52459533709533	22.29049335435908	20.92625578909869	0	0	1	1	37.52459533709533	0.5	0.5	0	0	
191016_1251	1	session	8	0	0	0	0	0	0	25.12032035760849	23.5480943738657	32.91935562133048	28.70699223085461	33.4845803842265	32.1573514104396	30.13444302176697	27.28097904624277	31.08589485779948	27.08304353873974	29.16728349370838	25.571647803568	0	1	2	1	32.08304353873974	-0.5	0.5	0	0	
191016_1251	1	session	9	0	0	0	0	0	0	28.57502269975787	35.54187192118227	24.09871647150246	28.35833195409909	27.01086956521738	27.40106285965851	29.77736549165121	30.48998521306627	29.45872061235648	25.2992277992278	22.71845679876768	20.55198542106273	0	0	1	1	26.2992277992278	-0.5	0.5	0	1	
191016_1251	1	session	10	0	0	0	0	0	0	42.50462897023218	30.31846249913272	30.3465207328416	29.44941271072054	31.66100543478261	29.25625939702355	28.6543062200957	29.06052363141788	29.40850916637842	27.34945054945055	33.07920059215395	43.70158939999399	0	1	2	1	28.34945054945055	-77778	-77778	0	1	
191016_1251	1	session	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191016_1251	1	summary	Period	
191016_1251	1	summary	-1	
191016_1251	1	summary	0	
191016_1251	1	summary	1	
191016_1251	1	summary	2	
191016_1251	1	summary	3	
191016_1251	1	summary	4	
191016_1251	1	summary	5	
191016_1251	1	summary	6	
191016_1251	1	summary	7	
191016_1251	1	summary	8	
191016_1251	1	summary	9	
191016_1251	1	summary	10	
191016_1251	1	summary	11	
191016_1251	1	summary	12	
191016_1251	1	timelog	Data[1]	Data[2]	Data[3]	Data[4]	Period	ID	Time	Subject	Event	
191016_1251	1	timelog	0	0	0	0	0	1	0	0	1	
191016_1251	1	timelog	0	0	0	0	-1	2	3.625	9	192	
191016_1251	1	timelog	0	0	0	0	-1	3	3.875	1	192	
191016_1251	1	timelog	0	0	0	0	-1	4	9.610000000000582	10	192	
191016_1251	1	timelog	0	0	0	0	-1	5	13.75	2	192	
191016_1251	1	timelog	0	0	0	0	-1	6	21.98500000000058	6	192	
191016_1251	1	timelog	0	0	0	0	-1	7	37.65600000000086	7	192	
191016_1251	1	timelog	0	0	0	0	-1	8	41.70300000000134	8	192	
191016_1251	1	timelog	0	0	0	0	-1	9	55.84400000000096	3	192	
191016_1251	1	timelog	0	0	0	0	-1	10	69.42200000000048	4	192	
191016_1251	1	timelog	0	0	0	0	-1	11	75.92200000000048	5	192	
191016_1251	1	timelog	0	0	0	0	-1	12	75.92200000000048	0	206	
191016_1251	1	timelog	0	0	0	0	-1	13	81.70300000000134	2	207	
191016_1251	1	timelog	0	0	0	0	-1	14	83.65600000000086	2	207	
191016_1251	1	timelog	0	0	0	0	-1	15	85.34400000000096	9	207	
191016_1251	1	timelog	0	0	0	0	-1	16	85.57800000000134	2	207	
191016_1251	1	timelog	0	0	0	0	-1	17	85.61000000000058	6	207	
191016_1251	1	timelog	0	0	0	0	-1	18	86.04700000000048	3	207	
191016_1251	1	timelog	0	0	0	0	-1	19	86.15600000000086	5	207	
191016_1251	1	timelog	0	0	0	0	-1	20	86.8130000000001	2	207	
191016_1251	1	timelog	0	0	0	0	-1	21	87.01600000000144	1	207	
191016_1251	1	timelog	0	0	0	0	-1	22	87.92200000000048	7	207	
191016_1251	1	timelog	0	0	0	0	-1	23	88.09400000000096	2	207	
191016_1251	1	timelog	0	0	0	0	-1	24	90.28100000000086	8	207	
191016_1251	1	timelog	0	0	0	0	-1	25	90.40600000000086	2	207	
191016_1251	1	timelog	0	0	0	0	-1	26	90.90600000000086	9	207	
191016_1251	1	timelog	0	0	0	0	-1	27	91.42200000000048	7	207	
191016_1251	1	timelog	0	0	0	0	-1	28	91.45300000000134	3	207	
191016_1251	1	timelog	1	0	0	0	-1	29	91.75	4	207	
191016_1251	1	timelog	0	0	0	0	-1	30	91.75	10	207	
191016_1251	1	timelog	0	0	0	0	-1	31	92.14100000000144	2	207	
191016_1251	1	timelog	0	0	0	0	-1	32	93.5	2	207	
191016_1251	1	timelog	1	0	0	0	-1	33	94.1880000000001	3	207	
191016_1251	1	timelog	0	0	0	0	-1	34	94.20300000000134	1	207	
191016_1251	1	timelog	0	0	0	0	-1	35	94.89100000000144	9	207	
191016_1251	1	timelog	0	0	0	0	-1	36	96.01600000000144	8	207	
191016_1251	1	timelog	0	0	0	0	-1	37	96.17200000000048	5	207	
191016_1251	1	timelog	0	0	0	0	-1	38	96.89100000000144	10	207	
191016_1251	1	timelog	1	0	0	0	-1	39	97.125	3	207	
191016_1251	1	timelog	0	0	0	0	-1	40	97.3130000000001	4	207	
191016_1251	1	timelog	0	0	0	0	-1	41	97.70300000000134	6	207	
191016_1251	1	timelog	1	0	0	0	-1	42	97.8130000000001	9	207	
191016_1251	1	timelog	1	0	0	0	-1	43	98.375	7	207	
191016_1251	1	timelog	0	0	0	0	-1	44	98.84400000000096	4	207	
191016_1251	1	timelog	0	0	0	0	-1	45	99.14100000000144	1	207	
191016_1251	1	timelog	1	0	0	0	-1	46	99.90600000000086	9	207	
191016_1251	1	timelog	1	0	0	0	-1	47	101.094000000001	3	207	
191016_1251	1	timelog	0	0	0	0	-1	48	101.6880000000001	4	207	
191016_1251	1	timelog	0	0	0	0	-1	49	101.9530000000013	8	207	
191016_1251	1	timelog	1	0	0	0	-1	50	102.2970000000005	7	207	
191016_1251	1	timelog	1	0	0	0	-1	51	102.844000000001	10	207	
191016_1251	1	timelog	1	0	0	0	-1	52	103.0310000000009	6	207	
191016_1251	1	timelog	0	0	0	0	-1	53	103.1560000000009	4	207	
191016_1251	1	timelog	0	0	0	0	-1	54	103.4060000000009	9	207	
191016_1251	1	timelog	0	0	0	0	-1	55	103.4220000000005	3	207	
191016_1251	1	timelog	0	0	0	0	-1	56	104.0470000000005	5	207	
191016_1251	1	timelog	1	0	0	0	-1	57	104.5	2	207	
191016_1251	1	timelog	1	0	0	0	-1	58	104.9380000000001	10	207	
191016_1251	1	timelog	0	0	0	0	-1	59	105.1100000000006	3	207	
191016_1251	1	timelog	1	0	0	0	-1	60	105.2660000000014	7	207	
191016_1251	1	timelog	0	0	0	0	-1	61	106.1100000000006	9	207	
191016_1251	1	timelog	0	0	0	0	-1	62	106.469000000001	1	207	
191016_1251	1	timelog	0	0	0	0	-1	63	106.5630000000001	10	207	
191016_1251	1	timelog	0	0	0	0	-1	64	106.6410000000014	4	207	
191016_1251	1	timelog	1	0	0	0	-1	65	107.375	8	207	
191016_1251	1	timelog	1	0	0	0	-1	66	107.5470000000005	2	207	
191016_1251	1	timelog	1	0	0	0	-1	67	107.9060000000009	3	207	
191016_1251	1	timelog	0	0	0	0	-1	68	107.9530000000013	7	207	
191016_1251	1	timelog	0	0	0	0	-1	69	108.5	9	207	
191016_1251	1	timelog	1	0	0	0	-1	70	109.1100000000006	6	207	
191016_1251	1	timelog	0	0	0	0	-1	71	109.3280000000013	4	207	
191016_1251	1	timelog	1	0	0	0	-1	72	109.3910000000014	1	207	
191016_1251	1	timelog	1	0	0	0	-1	73	109.469000000001	8	207	
191016_1251	1	timelog	0	0	0	0	-1	74	110	3	207	
191016_1251	1	timelog	1	0	0	0	-1	75	110.4530000000013	9	207	
191016_1251	1	timelog	0	0	0	0	-1	76	111.0160000000014	5	207	
191016_1251	1	timelog	1	0	0	0	-1	77	112.1880000000001	9	207	
191016_1251	1	timelog	1	0	0	0	-1	78	112.469000000001	6	207	
191016_1251	1	timelog	0	0	0	0	-1	79	113.2810000000009	4	207	
191016_1251	1	timelog	1	0	0	0	-1	80	113.4530000000013	3	207	
191016_1251	1	timelog	0	0	0	0	-1	81	114.344000000001	7	207	
191016_1251	1	timelog	0	0	0	0	-1	82	114.344000000001	8	207	
191016_1251	1	timelog	1	0	0	0	-1	83	115.219000000001	4	207	
191016_1251	1	timelog	1	0	0	0	-1	84	115.4530000000013	1	207	
191016_1251	1	timelog	1	0	0	0	-1	85	116.469000000001	4	207	
191016_1251	1	timelog	0	0	0	0	-1	86	117.125	8	207	
191016_1251	1	timelog	0	0	0	0	-1	87	117.7030000000013	7	207	
191016_1251	1	timelog	0	0	0	0	-1	88	119.7030000000013	8	207	
191016_1251	1	timelog	1	0	0	0	-1	89	120.1410000000014	7	207	
191016_1251	1	timelog	0	0	0	0	-1	90	120.25	6	207	
191016_1251	1	timelog	1	0	0	0	-1	91	121.1720000000005	1	207	
191016_1251	1	timelog	1	0	0	0	-1	92	122.5630000000001	7	207	
191016_1251	1	timelog	1	0	0	0	-1	93	123.3600000000006	8	207	
191016_1251	1	timelog	1	0	0	0	-1	94	125.3910000000014	1	207	
191016_1251	1	timelog	0	0	0	0	-1	95	125.4530000000013	5	207	
191016_1251	1	timelog	0	0	0	0	-1	96	125.6720000000005	6	207	
191016_1251	1	timelog	1	0	0	0	-1	97	127.1880000000001	8	207	
191016_1251	1	timelog	1	0	0	0	-1	98	128.3280000000013	1	207	
191016_1251	1	timelog	0	0	0	0	-1	99	129.7350000000006	5	207	
191016_1251	1	timelog	0	0	0	0	-1	100	130.6560000000009	10	207	
191016_1251	1	timelog	0	0	0	0	-1	101	130.844000000001	6	207	
