C:\_z-Tree\Data\Channel1\191017_1314.xls
191017_1314	1	EET	
191017_1314	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191017_1314	1	session	1	71.26934523809523	0	0	0	71.26934523809523	71.26934523809523	47.10016756656115	40.4791172985782	50.49151835372636	24.92229082393017	36.79253246753247	33.73779534991034	67.26934523809523	35.15991361579597	42.60202302057901	35.25	54.38521555144144	37.9846467787387	0	1	2	1	71.26934523809523	0.5	2.5	0	0	
191017_1314	1	session	2	30	0	0	0	30	30	30	34	26	26	34	26	26	34	14	30	30	30	1	0	3	1	30	1.5	2.5	0	0	
191017_1314	1	session	3	33.71751412429379	0	0	0	33.71751412429379	33.71751412429379	31.54580152671756	31.8803317535545	29.21443965517241	32.60378965296998	30.97590909090909	30.62624674811322	29.71751412429379	29.7539592760181	29.5350669818755	29.68523002421308	28.91174623115577	30.14312749003984	0	0	1	1	33.71751412429379	-2.5	0.5	1	1	
191017_1314	1	session	4	35.49659863945578	0	0	0	35.49659863945578	35.49659863945578	24.66603053435115	32.37997115186482	29.89988876529477	34.2689668318719	33.18025078369907	30.70979446630973	31.49659863945578	29.94343891402715	27.21839799749687	27.75175644028103	31.79520049225721	28.96139579612585	0	0	1	1	35.49659863945578	1.5	2.5	1	1	
191017_1314	1	session	5	5	0	0	0	5	5	20.43789035392089	26.11374407582938	18.34200356718192	24.53201151971644	20.508431085044	22.89287406562164	0	23.21081014070538	0	12.22760290556901	11.62927312619436	13.46414342629482	0	0	1	1	5	-77778	-77778	0	0	
191017_1314	1	session	6	39.9469696969697	0	0	0	39.9469696969697	39.9469696969697	29.33940105695831	29.69194312796208	32.76400862068965	55.42508577964163	30	34.03556771545828	35.9469696969697	28.21441002436478	29.12765957446809	25.94847775175644	28.56245513280689	30.19307385841251	0	0	1	1	39.9469696969697	-0.5	-0.5	0	1	
191017_1314	1	session	7	40.7351598173516	0	0	0	40.7351598173516	40.7351598173516	42.0057251908397	31.49796885578877	37.99822515212982	40.0327868852459	24.96047430830039	22.1671826625387	36.7351598173516	32.42404654169361	48.64831038798498	40.50691244239631	31.67085427135678	32.96257592580498	0	1	2	1	40.7351598173516	0.5	0.5	0	0	
191017_1314	1	session	8	28.89814814814815	0	0	0	28.89814814814815	28.89814814814815	18.82115594329335	23.54041245036506	5.334051724137936	0	24.90866209262437	28.10097943753938	24.89814814814815	27.24463271396937	21.86170212765958	30.2	26.71600650310376	29.35598232071713	0	0	1	1	28.89814814814815	-2.5	2.5	1	1	
191017_1314	1	session	9	38.91830065359476	0	0	0	38.91830065359476	38.91830065359476	29.69562276548459	28.97156398104265	34.36034482758621	33.62704918032787	32.08096590909091	31.44796380090498	34.91830065359476	34.38133874239352	34.55152273675427	42.74436090225564	38.78033022254127	33.03327231614084	0	1	2	1	38.91830065359476	-2.5	2.5	1	0	
191017_1314	1	session	10	32.04644808743169	0	0	0	32.04644808743169	32.04644808743169	30.81788440567066	29.49348341232227	29.00431034482758	29.16489248456461	30.23441558441558	30.20456950268449	28.04644808743169	30	30	28.36734693877551	28.29287743063142	31.60073989755265	0	0	1	1	32.04644808743169	-2.5	0.5	0	0	
191017_1314	1	session	11	5	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191017_1314	1	summary	
191017_1314	1	timelog	
191017_1314	1	markets	
191017_1314	1	groups	
191017_1314	1	structure	Period	MarketID	IsTraining	Treatment	i	
191017_1314	1	structure	-1	3	1	0	2	
191017_1314	1	structure	0	3	1	0	2	
191017_1314	1	structure	1	3	0	5	2	
191017_1314	1	structure	2	3	0	5	2	
191017_1314	1	structure	3	3	0	5	2	
191017_1314	1	structure	4	3	0	6	2	
191017_1314	1	structure	5	3	0	6	2	
191017_1314	1	structure	6	3	0	6	2	
191017_1314	1	structure	7	3	0	-1	2	
191017_1314	1	structure	8	3	0	-1	2	
191017_1314	1	structure	9	3	0	-1	2	
191017_1314	1	structure	10	3	0	-1	2	
191017_1314	1	structure	11	3	0	-1	2	
191017_1314	1	structure	12	3	0	-1	2	
191017_1314	1	tagnums	TagID	TagNum	
191017_1314	1	tagnums	0	52	
191017_1314	1	tagnums	1	263	
191017_1314	1	tagnums	2	238	
191017_1314	1	tagnums	3	197	
191017_1314	1	tagnums	4	122	
191017_1314	1	tagnums	5	262	
191017_1314	1	tagnums	6	143	
191017_1314	1	tagnums	7	247	
191017_1314	1	tagnums	8	181	
191017_1314	1	tagnums	9	182	
191017_1314	1	tagnums	10	161	
191017_1314	1	tagnums	11	269	
191017_1314	1	tagnums	12	187	
191017_1314	1	tagnums	13	221	
191017_1314	1	tagnums	14	246	
191017_1314	1	tagnums	15	252	
191017_1314	1	tagnums	16	13	
191017_1314	1	tagnums	17	188	
191017_1314	1	tagnums	18	94	
191017_1314	1	tagnums	19	19	
191017_1314	1	tagnums	20	267	
191017_1314	1	tagnums	21	76	
191017_1314	1	tagnums	22	264	
191017_1314	1	tagnums	23	171	
191017_1314	1	tagnums	24	77	
191017_1314	1	tagnums	25	87	
191017_1314	1	tagnums	26	158	
191017_1314	1	tagnums	27	179	
191017_1314	1	tagnums	28	204	
191017_1314	1	tagnums	29	259	
191017_1314	1	tagnums	30	196	
191017_1314	1	tagnums	31	205	
191017_1314	1	tagnums	32	27	
191017_1314	1	tagnums	33	43	
191017_1314	1	tagnums	34	152	
191017_1314	1	tagnums	35	83	
191017_1314	1	tagnums	36	145	
191017_1314	1	tagnums	37	175	
191017_1314	1	tagnums	38	235	
191017_1314	1	tagnums	39	201	
191017_1314	1	tagnums	40	147	
191017_1314	1	tagnums	41	153	
191017_1314	1	tagnums	42	194	
191017_1314	1	tagnums	43	137	
191017_1314	1	tagnums	44	163	
191017_1314	1	tagnums	45	176	
191017_1314	1	tagnums	46	245	
191017_1314	1	tagnums	47	271	
191017_1314	1	tagnums	48	108	
191017_1314	1	tagnums	49	32	
191017_1314	1	tagnums	50	216	
191017_1314	1	tagnums	51	229	
191017_1314	1	tagnums	52	134	
191017_1314	1	tagnums	53	59	
191017_1314	1	tagnums	54	132	
191017_1314	1	tagnums	55	218	
191017_1314	1	tagnums	56	105	
191017_1314	1	tagnums	57	167	
191017_1314	1	tagnums	58	273	
191017_1314	1	tagnums	59	140	
191017_1314	1	tagnums	60	164	
191017_1314	1	tagnums	61	26	
191017_1314	1	tagnums	62	280	
191017_1314	1	tagnums	63	209	
191017_1314	1	tagnums	64	234	
191017_1314	1	tagnums	65	99	
191017_1314	1	tagnums	66	274	
191017_1314	1	tagnums	67	251	
191017_1314	1	tagnums	68	178	
191017_1314	1	tagnums	69	265	
191017_1314	1	tagnums	70	47	
191017_1314	1	tagnums	71	20	
191017_1314	1	tagnums	72	275	
191017_1314	1	tagnums	73	157	
191017_1314	1	tagnums	74	270	
191017_1314	1	tagnums	75	62	
191017_1314	1	tagnums	76	129	
191017_1314	1	tagnums	77	148	
191017_1314	1	tagnums	78	266	
191017_1314	1	tagnums	79	42	
191017_1314	1	tagnums	80	155	
191017_1314	1	tagnums	81	149	
191017_1314	1	tagnums	82	126	
191017_1314	1	tagnums	83	192	
191017_1314	1	tagnums	84	98	
191017_1314	1	tagnums	85	277	
191017_1314	1	tagnums	86	97	
191017_1314	1	tagnums	87	225	
191017_1314	1	tagnums	88	191	
191017_1314	1	tagnums	89	115	
191017_1314	1	tagnums	90	177	
191017_1314	1	tagnums	91	212	
191017_1314	1	tagnums	92	18	
191017_1314	1	tagnums	93	159	
191017_1314	1	tagnums	94	243	
191017_1314	1	tagnums	95	120	
191017_1314	1	tagnums	96	116	
191017_1314	1	tagnums	97	41	
191017_1314	1	tagnums	98	75	
191017_1314	1	tagnums	99	257	
191017_1314	1	tagnums	100	45	
191017_1314	1	tagnums	101	71	
191017_1314	1	tagnums	102	81	
191017_1314	1	tagnums	103	222	
191017_1314	1	tagnums	104	244	
191017_1314	1	tagnums	105	80	
191017_1314	1	tagnums	106	133	
191017_1314	1	tagnums	107	198	
191017_1314	1	tagnums	108	54	
191017_1314	1	tagnums	109	106	
191017_1314	1	tagnums	110	96	
191017_1314	1	tagnums	111	183	
191017_1314	1	tagnums	112	24	
191017_1314	1	tagnums	113	170	
191017_1314	1	tagnums	114	101	
191017_1314	1	tagnums	115	35	
191017_1314	1	tagnums	116	174	
191017_1314	1	tagnums	117	85	
191017_1314	1	tagnums	118	51	
191017_1314	1	tagnums	119	57	
191017_1314	1	tagnums	120	118	
191017_1314	1	tagnums	121	79	
191017_1314	1	tagnums	122	237	
191017_1314	1	tagnums	123	166	
191017_1314	1	tagnums	124	154	
191017_1314	1	tagnums	125	224	
191017_1314	1	tagnums	126	214	
191017_1314	1	tagnums	127	268	
191017_1314	1	tagnums	128	29	
191017_1314	1	tagnums	129	69	
191017_1314	1	tagnums	130	186	
191017_1314	1	tagnums	131	33	
191017_1314	1	tagnums	132	239	
191017_1314	1	tagnums	133	103	
191017_1314	1	tagnums	134	17	
191017_1314	1	tagnums	135	39	
191017_1314	1	tagnums	136	169	
191017_1314	1	tagnums	137	121	
191017_1314	1	tagnums	138	11	
191017_1314	1	tagnums	139	34	
191017_1314	1	tagnums	140	40	
191017_1314	1	tagnums	141	30	
191017_1314	1	tagnums	142	228	
191017_1314	1	tagnums	143	261	
191017_1314	1	tagnums	144	90	
191017_1314	1	tagnums	145	93	
191017_1314	1	tagnums	146	112	
191017_1314	1	tagnums	147	236	
191017_1314	1	tagnums	148	12	
191017_1314	1	tagnums	149	242	
191017_1314	1	tagnums	150	95	
191017_1314	1	tagnums	151	60	
191017_1314	1	tagnums	152	276	
191017_1314	1	tagnums	153	172	
191017_1314	1	tagnums	154	185	
191017_1314	1	tagnums	155	135	
191017_1314	1	tagnums	156	260	
191017_1314	1	tagnums	157	78	
191017_1314	1	tagnums	158	255	
191017_1314	1	tagnums	159	160	
191017_1314	1	tagnums	160	16	
191017_1314	1	tagnums	161	53	
191017_1314	1	tagnums	162	22	
191017_1314	1	tagnums	163	131	
191017_1314	1	tagnums	164	202	
191017_1314	1	tagnums	165	128	
191017_1314	1	tagnums	166	240	
191017_1314	1	tagnums	167	37	
191017_1314	1	tagnums	168	138	
191017_1314	1	tagnums	169	82	
191017_1314	1	tagnums	170	223	
191017_1314	1	tagnums	171	180	
191017_1314	1	tagnums	172	230	
191017_1314	1	tagnums	173	141	
191017_1314	1	tagnums	174	61	
191017_1314	1	tagnums	175	111	
191017_1314	1	tagnums	176	110	
191017_1314	1	tagnums	177	107	
191017_1314	1	tagnums	178	109	
191017_1314	1	tagnums	179	64	
191017_1314	1	tagnums	180	278	
