C:\_z-Tree\Data\Channel1\191017_1314.xls
191017_1314	1	EET	left[1]	left[2]	left[3]	left[4]	left[5]	left[6]	left[7]	left[8]	left[9]	left[10]	ownprofit[1]	ownprofit[2]	ownprofit[3]	ownprofit[4]	ownprofit[5]	ownprofit[6]	ownprofit[7]	ownprofit[8]	ownprofit[9]	ownprofit[10]	otherprofit[1]	otherprofit[2]	otherprofit[3]	otherprofit[4]	otherprofit[5]	otherprofit[6]	otherprofit[7]	otherprofit[8]	otherprofit[9]	otherprofit[10]	ownleft[1]	ownleft[2]	ownleft[3]	ownleft[4]	ownleft[5]	ownleft[6]	ownleft[7]	ownleft[8]	ownleft[9]	ownleft[10]	otherleft[1]	otherleft[2]	otherleft[3]	otherleft[4]	otherleft[5]	otherleft[6]	otherleft[7]	otherleft[8]	otherleft[9]	otherleft[10]	Period	Subject	GroupEET	ownPayoffEET	right	
191017_1314	1	EET	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	1	4	0	4	
191017_1314	1	EET	0	1	1	1	1	0	0	0	0	1	4	3	4	5	6	4	4	4	4	6	4	7	7	7	7	4	4	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	2	4	1	4	
191017_1314	1	EET	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	3	3	0	4	
191017_1314	1	EET	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	4	2	0	4	
191017_1314	1	EET	0	0	1	1	1	0	0	0	1	0	4	4	4	5	6	4	4	4	5	4	4	4	7	7	7	4	4	4	1	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	5	1	1	4	
191017_1314	1	EET	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	6	5	0	4	
191017_1314	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	7	2	1	4	
191017_1314	1	EET	0	0	0	0	0	0	0	0	0	1	4	4	4	4	4	4	4	4	4	6	4	4	4	4	4	4	4	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	8	5	1	4	
191017_1314	1	EET	0	0	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	9	3	1	4	
191017_1314	1	EET	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	10	1	0	4	
191017_1314	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	11	-77777	-77777	4	
191017_1314	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191017_1314	1	session	1	0	0	0	0	0	0	47.10016756656115	40.4791172985782	50.49151835372636	24.92229082393017	36.79253246753247	33.73779534991034	67.26934523809523	35.15991361579597	42.60202302057901	35.25	54.38521555144144	37.9846467787387	0	1	2	1	71.26934523809523	0.5	2.5	0	0	
191017_1314	1	session	2	0	0	0	0	0	0	30	34	26	26	34	26	26	34	14	30	30	30	1	0	3	1	30	1.5	2.5	0	0	
191017_1314	1	session	3	0	0	0	0	0	0	31.54580152671756	31.8803317535545	29.21443965517241	32.60378965296998	30.97590909090909	30.62624674811322	29.71751412429379	29.7539592760181	29.5350669818755	29.68523002421308	28.91174623115577	30.14312749003984	0	0	1	1	33.71751412429379	-2.5	0.5	1	1	
191017_1314	1	session	4	0	0	0	0	0	0	24.66603053435115	32.37997115186482	29.89988876529477	34.2689668318719	33.18025078369907	30.70979446630973	31.49659863945578	29.94343891402715	27.21839799749687	27.75175644028103	31.79520049225721	28.96139579612585	0	0	1	1	35.49659863945578	1.5	2.5	1	1	
191017_1314	1	session	5	0	0	0	0	0	0	20.43789035392089	26.11374407582938	18.34200356718192	24.53201151971644	20.508431085044	22.89287406562164	0	23.21081014070538	0	12.22760290556901	11.62927312619436	13.46414342629482	0	0	1	1	5	-77778	-77778	0	0	
191017_1314	1	session	6	0	0	0	0	0	0	29.33940105695831	29.69194312796208	32.76400862068965	55.42508577964163	30	34.03556771545828	35.9469696969697	28.21441002436478	29.12765957446809	25.94847775175644	28.56245513280689	30.19307385841251	0	0	1	1	39.9469696969697	-0.5	-0.5	0	1	
191017_1314	1	session	7	0	0	0	0	0	0	42.0057251908397	31.49796885578877	37.99822515212982	40.0327868852459	24.96047430830039	22.1671826625387	36.7351598173516	32.42404654169361	48.64831038798498	40.50691244239631	31.67085427135678	32.96257592580498	0	1	2	1	40.7351598173516	0.5	0.5	0	0	
191017_1314	1	session	8	0	0	0	0	0	0	18.82115594329335	23.54041245036506	5.334051724137936	0	24.90866209262437	28.10097943753938	24.89814814814815	27.24463271396937	21.86170212765958	30.2	26.71600650310376	29.35598232071713	0	0	1	1	28.89814814814815	-2.5	2.5	1	1	
191017_1314	1	session	9	0	0	0	0	0	0	29.69562276548459	28.97156398104265	34.36034482758621	33.62704918032787	32.08096590909091	31.44796380090498	34.91830065359476	34.38133874239352	34.55152273675427	42.74436090225564	38.78033022254127	33.03327231614084	0	1	2	1	38.91830065359476	-2.5	2.5	1	0	
191017_1314	1	session	10	0	0	0	0	0	0	30.81788440567066	29.49348341232227	29.00431034482758	29.16489248456461	30.23441558441558	30.20456950268449	28.04644808743169	30	30	28.36734693877551	28.29287743063142	31.60073989755265	0	0	1	1	32.04644808743169	-2.5	0.5	0	0	
191017_1314	1	session	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191017_1314	1	summary	Period	
191017_1314	1	summary	-1	
191017_1314	1	summary	0	
191017_1314	1	summary	1	
191017_1314	1	summary	2	
191017_1314	1	summary	3	
191017_1314	1	summary	4	
191017_1314	1	summary	5	
191017_1314	1	summary	6	
191017_1314	1	summary	7	
191017_1314	1	summary	8	
191017_1314	1	summary	9	
191017_1314	1	summary	10	
191017_1314	1	summary	11	
191017_1314	1	summary	12	
191017_1314	1	timelog	Data[1]	Data[2]	Data[3]	Data[4]	Period	ID	Time	Subject	Event	
191017_1314	1	timelog	0	0	0	0	0	1	0	0	1	
191017_1314	1	timelog	0	0	0	0	-1	2	14.06299999999465	6	192	
191017_1314	1	timelog	0	0	0	0	-1	3	24.26600000000326	10	192	
191017_1314	1	timelog	0	0	0	0	-1	4	47.28100000000268	7	192	
191017_1314	1	timelog	0	0	0	0	-1	5	47.51600000000326	3	192	
191017_1314	1	timelog	0	0	0	0	-1	6	54.07799999999406	2	192	
191017_1314	1	timelog	0	0	0	0	-1	7	87.40600000000268	1	192	
191017_1314	1	timelog	0	0	0	0	-1	8	90.43799999999465	4	192	
191017_1314	1	timelog	0	0	0	0	-1	9	122.9529999999941	9	192	
191017_1314	1	timelog	0	0	0	0	-1	10	125.3600000000006	5	192	
191017_1314	1	timelog	0	0	0	0	-1	11	127.1560000000027	8	192	
191017_1314	1	timelog	0	0	0	0	-1	12	127.1560000000027	0	206	
191017_1314	1	timelog	0	0	0	0	-1	13	131.7660000000033	9	207	
191017_1314	1	timelog	0	0	0	0	-1	14	132.2350000000006	10	207	
191017_1314	1	timelog	0	0	0	0	-1	15	132.4060000000027	2	207	
191017_1314	1	timelog	0	0	0	0	-1	16	135.1100000000006	10	207	
191017_1314	1	timelog	0	0	0	0	-1	17	135.5939999999973	4	207	
191017_1314	1	timelog	0	0	0	0	-1	18	137.6720000000059	10	207	
191017_1314	1	timelog	0	0	0	0	-1	19	137.6720000000059	3	207	
191017_1314	1	timelog	0	0	0	0	-1	20	137.8910000000033	8	207	
191017_1314	1	timelog	0	0	0	0	-1	21	138.8600000000006	9	207	
191017_1314	1	timelog	0	0	0	0	-1	22	139.7350000000006	10	207	
191017_1314	1	timelog	0	0	0	0	-1	23	140.5	3	207	
191017_1314	1	timelog	0	0	0	0	-1	24	141.1410000000033	10	207	
191017_1314	1	timelog	0	0	0	0	-1	25	141.5629999999946	7	207	
191017_1314	1	timelog	0	0	0	0	-1	26	141.7029999999941	9	207	
191017_1314	1	timelog	1	0	0	0	-1	27	142.6879999999946	2	207	
191017_1314	1	timelog	1	0	0	0	-1	28	143.2189999999973	4	207	
191017_1314	1	timelog	0	0	0	0	-1	29	143.8439999999973	9	207	
191017_1314	1	timelog	0	0	0	0	-1	30	144.5779999999941	8	207	
191017_1314	1	timelog	0	0	0	0	-1	31	144.6560000000027	3	207	
191017_1314	1	timelog	0	0	0	0	-1	32	144.9850000000006	6	207	
191017_1314	1	timelog	0	0	0	0	-1	33	145.2970000000059	7	207	
191017_1314	1	timelog	0	0	0	0	-1	34	145.5939999999973	1	207	
191017_1314	1	timelog	0	0	0	0	-1	35	145.9220000000059	9	207	
191017_1314	1	timelog	0	0	0	0	-1	36	146.3910000000033	3	207	
191017_1314	1	timelog	0	0	0	0	-1	37	146.3910000000033	8	207	
191017_1314	1	timelog	1	0	0	0	-1	38	147.0160000000033	4	207	
191017_1314	1	timelog	0	0	0	0	-1	39	147.4689999999973	8	207	
191017_1314	1	timelog	1	0	0	0	-1	40	147.5	2	207	
191017_1314	1	timelog	0	0	0	0	-1	41	148.5470000000059	8	207	
191017_1314	1	timelog	0	0	0	0	-1	42	149.0470000000059	6	207	
191017_1314	1	timelog	1	0	0	0	-1	43	149.2350000000006	2	207	
191017_1314	1	timelog	0	0	0	0	-1	44	149.2970000000059	10	207	
191017_1314	1	timelog	0	0	0	0	-1	45	149.8439999999973	9	207	
191017_1314	1	timelog	0	0	0	0	-1	46	151.1560000000027	1	207	
191017_1314	1	timelog	1	0	0	0	-1	47	151.6410000000033	4	207	
191017_1314	1	timelog	0	0	0	0	-1	48	151.6720000000059	5	207	
191017_1314	1	timelog	0	0	0	0	-1	49	151.8600000000006	9	207	
191017_1314	1	timelog	1	0	0	0	-1	50	151.9220000000059	2	207	
191017_1314	1	timelog	0	0	0	0	-1	51	152.0160000000033	10	207	
191017_1314	1	timelog	0	0	0	0	-1	52	152.3600000000006	6	207	
191017_1314	1	timelog	1	0	0	0	-1	53	152.8600000000006	3	207	
191017_1314	1	timelog	0	0	0	0	-1	54	153.6410000000033	9	207	
191017_1314	1	timelog	1	0	0	0	-1	55	154.0629999999946	4	207	
191017_1314	1	timelog	1	0	0	0	-1	56	154.0779999999941	7	207	
191017_1314	1	timelog	1	0	0	0	-1	57	154.5	1	207	
191017_1314	1	timelog	0	0	0	0	-1	58	154.6410000000033	10	207	
191017_1314	1	timelog	1	0	0	0	-1	59	155.2970000000059	6	207	
191017_1314	1	timelog	0	0	0	0	-1	60	155.8910000000033	9	207	
191017_1314	1	timelog	1	0	0	0	-1	61	156.4850000000006	1	207	
191017_1314	1	timelog	1	0	0	0	-1	62	157.1410000000033	7	207	
191017_1314	1	timelog	0	0	0	0	-1	63	157.1879999999946	2	207	
191017_1314	1	timelog	1	0	0	0	-1	64	157.4220000000059	6	207	
191017_1314	1	timelog	0	0	0	0	-1	65	158.0160000000033	8	207	
191017_1314	1	timelog	0	0	0	0	-1	66	159.0779999999941	3	207	
191017_1314	1	timelog	1	0	0	0	-1	67	159.2660000000033	1	207	
191017_1314	1	timelog	0	0	0	0	-1	68	159.7189999999973	4	207	
191017_1314	1	timelog	1	0	0	0	-1	69	159.75	10	207	
191017_1314	1	timelog	0	0	0	0	-1	70	159.8279999999941	2	207	
191017_1314	1	timelog	1	0	0	0	-1	71	159.9529999999941	7	207	
191017_1314	1	timelog	0	0	0	0	-1	72	160.8439999999973	6	207	
191017_1314	1	timelog	0	0	0	0	-1	73	161.3129999999946	8	207	
191017_1314	1	timelog	0	0	0	0	-1	74	161.5470000000059	2	207	
191017_1314	1	timelog	0	0	0	0	-1	75	161.75	3	207	
191017_1314	1	timelog	1	0	0	0	-1	76	163.0779999999941	10	207	
191017_1314	1	timelog	0	0	0	0	-1	77	163.7029999999941	6	207	
191017_1314	1	timelog	0	0	0	0	-1	78	163.8600000000006	7	207	
191017_1314	1	timelog	0	0	0	0	-1	79	163.9850000000006	9	207	
191017_1314	1	timelog	0	0	0	0	-1	80	164.6879999999946	8	207	
191017_1314	1	timelog	0	0	0	0	-1	81	164.7189999999973	1	207	
191017_1314	1	timelog	0	0	0	0	-1	82	164.8439999999973	4	207	
191017_1314	1	timelog	0	0	0	0	-1	83	164.9850000000006	2	207	
191017_1314	1	timelog	1	0	0	0	-1	84	166.375	6	207	
191017_1314	1	timelog	0	0	0	0	-1	85	166.5160000000033	3	207	
191017_1314	1	timelog	0	0	0	0	-1	86	166.7810000000027	7	207	
191017_1314	1	timelog	0	0	0	0	-1	87	167.0160000000033	8	207	
191017_1314	1	timelog	1	0	0	0	-1	88	167.0310000000027	2	207	
191017_1314	1	timelog	0	0	0	0	-1	89	168.0160000000033	1	207	
191017_1314	1	timelog	0	0	0	0	-1	90	168.5470000000059	4	207	
191017_1314	1	timelog	1	0	0	0	-1	91	168.5629999999946	6	207	
191017_1314	1	timelog	0	0	0	0	-1	92	170.0779999999941	7	207	
191017_1314	1	timelog	1	0	0	0	-1	93	170.3910000000033	3	207	
191017_1314	1	timelog	1	0	0	0	-1	94	170.9529999999941	6	207	
191017_1314	1	timelog	1	0	0	0	-1	95	172.3439999999973	8	207	
191017_1314	1	timelog	0	0	0	0	-1	96	173.0470000000059	4	207	
191017_1314	1	timelog	0	0	0	0	-1	97	173.2350000000006	1	207	
191017_1314	1	timelog	1	0	0	0	-1	98	173.6720000000059	7	207	
191017_1314	1	timelog	1	0	0	0	-1	99	174.5	3	207	
