C:\_z-Tree\Data\Channel1\191104_1002.xls
191104_1002	1	EET	left[1]	left[2]	left[3]	left[4]	left[5]	left[6]	left[7]	left[8]	left[9]	left[10]	ownprofit[1]	ownprofit[2]	ownprofit[3]	ownprofit[4]	ownprofit[5]	ownprofit[6]	ownprofit[7]	ownprofit[8]	ownprofit[9]	ownprofit[10]	otherprofit[1]	otherprofit[2]	otherprofit[3]	otherprofit[4]	otherprofit[5]	otherprofit[6]	otherprofit[7]	otherprofit[8]	otherprofit[9]	otherprofit[10]	ownleft[1]	ownleft[2]	ownleft[3]	ownleft[4]	ownleft[5]	ownleft[6]	ownleft[7]	ownleft[8]	ownleft[9]	ownleft[10]	otherleft[1]	otherleft[2]	otherleft[3]	otherleft[4]	otherleft[5]	otherleft[6]	otherleft[7]	otherleft[8]	otherleft[9]	otherleft[10]	Period	Subject	GroupEET	ownPayoffEET	right	
191104_1002	1	EET	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	1	5	0	4	
191104_1002	1	EET	0	0	1	1	1	0	0	0	0	0	4	4	4	5	6	4	4	4	4	4	4	4	7	7	7	4	4	4	4	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	2	2	1	4	
191104_1002	1	EET	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	3	2	0	4	
191104_1002	1	EET	0	0	1	1	1	0	0	0	0	0	4	4	4	5	6	4	4	4	4	4	4	4	7	7	7	4	4	4	4	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	4	3	1	4	
191104_1002	1	EET	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	5	3	0	4	
191104_1002	1	EET	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	6	1	0	4	
191104_1002	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	7	1	1	4	
191104_1002	1	EET	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	8	4	0	4	
191104_1002	1	EET	0	0	0	0	1	0	0	0	0	1	4	4	4	4	6	4	4	4	4	6	4	4	4	4	7	4	4	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	9	4	1	4	
191104_1002	1	EET	0	0	1	1	1	0	0	0	0	1	4	4	4	5	6	4	4	4	4	6	4	4	7	7	7	4	4	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	10	5	1	4	
191104_1002	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	11	-77777	-77777	4	
191104_1002	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191104_1002	1	session	1	0	0	0	0	0	0	29.26307448494453	29.8100008278831	28.75975340449025	30.01821677967816	30.00723996460462	30	29.90798319327731	29.96280991735537	29.99032023876744	30.02770083102493	29.97636328908414	30.17188693659282	0	0	1	1	33.8100008278831	-0.5	2.5	1	0	
191104_1002	1	session	2	0	0	0	0	0	0	30.54158340797906	30.94163424124514	31.05841526894159	30.8713692946058	31.69192403606369	36.56105610561058	31.01160572337043	29.9702479338843	30.35250463821893	30.53394355453852	30	30.03387916431396	0	1	2	1	34.94163424124514	0.5	2.5	0	0	
191104_1002	1	session	3	0	0	0	0	0	0	32.88969889064977	32.79976055073333	30.95405738426333	30.01678399925404	30.41681510509442	30.89108910891089	29.63812360387193	30.04462809917355	30.00996870932905	30.15557762330354	30.03037281137095	30	0	1	2	1	36.79976055073333	1.5	-0.5	0	0	
191104_1002	1	session	4	0	0	0	0	0	0	23.03486529318542	23.85992217898832	28.87699765608353	29.68879668049793	29.99478049063388	29.29541791388441	28.97647058823529	30	29.71843282767652	29.52872377020983	29.075382803298	29.90939293264875	0	0	1	1	27.85992217898832	0.5	2.5	1	1	
191104_1002	1	session	5	0	0	0	0	0	0	30	30	30	30	30	30	30	30	30	30	30	30	0	0	1	1	34	0.5	0.5	1	1	
191104_1002	1	session	6	0	0	0	0	0	0	30	29.8136391562564	30	29.37759336099585	30	30	30	29.9942784488239	30	30	30.03456752189277	30.00721500721501	0	0	1	1	33.8136391562564	0.5	0.5	1	1	
191104_1002	1	session	7	0	0	0	0	0	0	30	27.31517509727627	30	30	30	30	30	30	30	30	30	30	0	0	1	1	31.31517509727627	0.5	0.5	1	1	
191104_1002	1	session	8	0	0	0	0	0	0	30	36.77042801556421	27.07317073170731	30.15139620948748	29.76018856967171	27.73083122265715	30.41360294117647	30	30	30.25990903183886	30.50955669771925	30	0	1	2	1	40.77042801556421	0.5	0.5	0	0	
191104_1002	1	session	9	0	0	0	0	0	0	31.39437519218487	30	30	29.96680497925311	27.6092377751274	28.87610382659888	29.57992327365729	30	29.85107556536128	29.53724891939995	30	30	0	0	1	1	34	-2.5	2.5	1	1	
191104_1002	1	session	10	0	0	0	0	0	0	22	30	34	34	34	34	26	34	22	22	30	30	1	0	3	1	34	0.5	2.5	0	0	
191104_1002	1	session	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191104_1002	1	summary	Period	
191104_1002	1	summary	-1	
191104_1002	1	summary	0	
191104_1002	1	summary	1	
191104_1002	1	summary	2	
191104_1002	1	summary	3	
191104_1002	1	summary	4	
191104_1002	1	summary	5	
191104_1002	1	summary	6	
191104_1002	1	summary	7	
191104_1002	1	summary	8	
191104_1002	1	summary	9	
191104_1002	1	summary	10	
191104_1002	1	summary	11	
191104_1002	1	summary	12	
191104_1002	1	timelog	Data[1]	Data[2]	Data[3]	Data[4]	Period	ID	Time	Subject	Event	
191104_1002	1	timelog	0	0	0	0	0	1	0	0	1	
191104_1002	1	timelog	0	0	0	0	-1	2	4.780999999959022	7	192	
191104_1002	1	timelog	0	0	0	0	-1	3	14.31299999996554	9	192	
191104_1002	1	timelog	0	0	0	0	-1	4	15.39099999994505	6	192	
191104_1002	1	timelog	0	0	0	0	-1	5	17.18799999996554	10	192	
191104_1002	1	timelog	0	0	0	0	-1	6	42.65599999995902	2	192	
191104_1002	1	timelog	0	0	0	0	-1	7	51.84400000004098	3	192	
191104_1002	1	timelog	0	0	0	0	-1	8	82.68799999996554	4	192	
191104_1002	1	timelog	0	0	0	0	-1	9	84.90599999995902	8	192	
191104_1002	1	timelog	0	0	0	0	-1	10	90.32799999997951	1	192	
191104_1002	1	timelog	0	0	0	0	-1	11	96.85999999998603	5	192	
191104_1002	1	timelog	0	0	0	0	-1	12	96.85999999998603	0	206	
191104_1002	1	timelog	0	0	0	0	-1	13	102.280999999959	2	207	
191104_1002	1	timelog	0	0	0	0	-1	14	104.484999999986	7	207	
191104_1002	1	timelog	0	0	0	0	-1	15	105.5470000000205	10	207	
191104_1002	1	timelog	0	0	0	0	-1	16	106.1879999999655	1	207	
191104_1002	1	timelog	0	0	0	0	-1	17	107.375	6	207	
191104_1002	1	timelog	0	0	0	0	-1	18	107.469000000041	4	207	
191104_1002	1	timelog	0	0	0	0	-1	19	108.1720000000205	2	207	
191104_1002	1	timelog	0	0	0	0	-1	20	108.219000000041	3	207	
191104_1002	1	timelog	0	0	0	0	-1	21	108.4379999999655	7	207	
191104_1002	1	timelog	1	0	0	0	-1	22	111.219000000041	7	207	
191104_1002	1	timelog	1	0	0	0	-1	23	112.3909999999451	2	207	
191104_1002	1	timelog	0	0	0	0	-1	24	112.5	6	207	
191104_1002	1	timelog	1	0	0	0	-1	25	113.0470000000205	7	207	
191104_1002	1	timelog	0	0	0	0	-1	26	113.484999999986	10	207	
191104_1002	1	timelog	1	0	0	0	-1	27	114.530999999959	7	207	
191104_1002	1	timelog	0	0	0	0	-1	28	115.1720000000205	9	207	
191104_1002	1	timelog	0	0	0	0	-1	29	115.530999999959	5	207	
191104_1002	1	timelog	0	0	0	0	-1	30	116.1409999999451	8	207	
191104_1002	1	timelog	0	0	0	0	-1	31	116.625	4	207	
191104_1002	1	timelog	0	0	0	0	-1	32	116.734999999986	1	207	
191104_1002	1	timelog	1	0	0	0	-1	33	117.3129999999655	3	207	
191104_1002	1	timelog	1	0	0	0	-1	34	117.5779999999795	6	207	
191104_1002	1	timelog	0	0	0	0	-1	35	118.4379999999655	7	207	
191104_1002	1	timelog	1	0	0	0	-1	36	119.5470000000205	2	207	
191104_1002	1	timelog	0	0	0	0	-1	37	119.9220000000205	1	207	
191104_1002	1	timelog	1	0	0	0	-1	38	120.5629999999655	6	207	
191104_1002	1	timelog	0	0	0	0	-1	39	121.780999999959	7	207	
191104_1002	1	timelog	0	0	0	0	-1	40	122.109999999986	9	207	
191104_1002	1	timelog	1	0	0	0	-1	41	122.859999999986	6	207	
191104_1002	1	timelog	1	0	0	0	-1	42	122.8909999999451	3	207	
191104_1002	1	timelog	1	0	0	0	-1	43	123.0779999999795	10	207	
191104_1002	1	timelog	0	0	0	0	-1	44	123.6879999999655	7	207	
191104_1002	1	timelog	0	0	0	0	-1	45	123.734999999986	8	207	
191104_1002	1	timelog	1	0	0	0	-1	46	124.030999999959	2	207	
191104_1002	1	timelog	1	0	0	0	-1	47	125.6879999999655	4	207	
191104_1002	1	timelog	1	0	0	0	-1	48	126.344000000041	10	207	
191104_1002	1	timelog	1	0	0	0	-1	49	126.359999999986	7	207	
191104_1002	1	timelog	0	0	0	0	-1	50	126.734999999986	6	207	
191104_1002	1	timelog	0	0	0	0	-1	51	127.1879999999655	9	207	
191104_1002	1	timelog	1	0	0	0	-1	52	127.375	1	207	
191104_1002	1	timelog	0	0	0	0	-1	53	127.8279999999795	2	207	
191104_1002	1	timelog	1	0	0	0	-1	54	128.2970000000205	7	207	
191104_1002	1	timelog	1	0	0	0	-1	55	128.8129999999655	3	207	
191104_1002	1	timelog	0	0	0	0	-1	56	129.234999999986	6	207	
191104_1002	1	timelog	1	0	0	0	-1	57	129.719000000041	10	207	
191104_1002	1	timelog	0	0	0	0	-1	58	130.9379999999655	2	207	
191104_1002	1	timelog	1	0	0	0	-1	59	131.0159999999451	8	207	
191104_1002	1	timelog	1	0	0	0	-1	60	131.125	4	207	
191104_1002	1	timelog	0	0	0	0	-1	61	131.25	9	207	
191104_1002	1	timelog	1	0	0	0	-1	62	131.4529999999795	3	207	
191104_1002	1	timelog	0	0	0	0	-1	63	132.0470000000205	6	207	
191104_1002	1	timelog	0	0	0	0	-1	64	133.1879999999655	5	207	
191104_1002	1	timelog	1	0	0	0	-1	65	133.609999999986	1	207	
191104_1002	1	timelog	0	0	0	0	-1	66	133.655999999959	2	207	
191104_1002	1	timelog	0	0	0	0	-1	67	135.2659999999451	3	207	
191104_1002	1	timelog	1	0	0	0	-1	68	135.359999999986	8	207	
191104_1002	1	timelog	1	0	0	0	-1	69	135.6720000000205	6	207	
191104_1002	1	timelog	0	0	0	0	-1	70	136.109999999986	10	207	
191104_1002	1	timelog	1	0	0	0	-1	71	136.6879999999655	4	207	
191104_1002	1	timelog	1	0	0	0	-1	72	137.9529999999795	9	207	
191104_1002	1	timelog	0	0	0	0	-1	73	137.9529999999795	3	207	
191104_1002	1	timelog	0	0	0	0	-1	74	138.280999999959	2	207	
191104_1002	1	timelog	0	0	0	0	-1	75	138.3129999999655	1	207	
191104_1002	1	timelog	1	0	0	0	-1	76	139.6409999999451	5	207	
191104_1002	1	timelog	1	0	0	0	-1	77	139.875	6	207	
191104_1002	1	timelog	1	0	0	0	-1	78	140.0779999999795	8	207	
191104_1002	1	timelog	0	0	0	0	-1	79	140.484999999986	1	207	
191104_1002	1	timelog	0	0	0	0	-1	80	141.1409999999451	10	207	
191104_1002	1	timelog	0	0	0	0	-1	81	142.094000000041	2	207	
191104_1002	1	timelog	1	0	0	0	-1	82	142.5159999999451	3	207	
191104_1002	1	timelog	0	0	0	0	-1	83	142.9379999999655	4	207	
191104_1002	1	timelog	0	0	0	0	-1	84	143.0470000000205	1	207	
191104_1002	1	timelog	0	0	0	0	-1	85	144.094000000041	8	207	
191104_1002	1	timelog	0	0	0	0	-1	86	144.530999999959	9	207	
191104_1002	1	timelog	1	0	0	0	-1	87	144.5470000000205	3	207	
191104_1002	1	timelog	1	0	0	0	-1	88	144.655999999959	5	207	
191104_1002	1	timelog	0	0	0	0	-1	89	145.594000000041	10	207	
191104_1002	1	timelog	0	0	0	0	-1	90	146.7029999999795	1	207	
191104_1002	1	timelog	1	0	0	0	-1	91	146.969000000041	5	207	
191104_1002	1	timelog	1	0	0	0	-1	92	147.0629999999655	3	207	
191104_1002	1	timelog	0	0	0	0	-1	93	147.655999999959	4	207	
191104_1002	1	timelog	0	0	0	0	-1	94	148.0470000000205	10	207	
