C:\_z-Tree\Data\Channel1\191104_1601.xls
191104_1601	1	EET	left[1]	left[2]	left[3]	left[4]	left[5]	left[6]	left[7]	left[8]	left[9]	left[10]	ownprofit[1]	ownprofit[2]	ownprofit[3]	ownprofit[4]	ownprofit[5]	ownprofit[6]	ownprofit[7]	ownprofit[8]	ownprofit[9]	ownprofit[10]	otherprofit[1]	otherprofit[2]	otherprofit[3]	otherprofit[4]	otherprofit[5]	otherprofit[6]	otherprofit[7]	otherprofit[8]	otherprofit[9]	otherprofit[10]	ownleft[1]	ownleft[2]	ownleft[3]	ownleft[4]	ownleft[5]	ownleft[6]	ownleft[7]	ownleft[8]	ownleft[9]	ownleft[10]	otherleft[1]	otherleft[2]	otherleft[3]	otherleft[4]	otherleft[5]	otherleft[6]	otherleft[7]	otherleft[8]	otherleft[9]	otherleft[10]	Period	Subject	GroupEET	ownPayoffEET	right	
191104_1601	1	EET	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	1	3	0	4	
191104_1601	1	EET	1	1	1	1	1	0	0	0	0	1	2	3	4	5	6	4	4	4	4	6	7	7	7	7	7	4	4	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	2	4	1	4	
191104_1601	1	EET	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	3	5	0	4	
191104_1601	1	EET	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	4	2	0	4	
191104_1601	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	5	1	1	4	
191104_1601	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	6	5	1	4	
191104_1601	1	EET	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	7	1	0	4	
191104_1601	1	EET	0	0	1	1	1	0	0	0	0	0	4	4	4	5	6	4	4	4	4	4	4	4	7	7	7	4	4	4	4	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	8	2	1	4	
191104_1601	1	EET	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	9	4	0	4	
191104_1601	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	10	3	1	4	
191104_1601	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	11	-77777	-77777	4	
191104_1601	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191104_1601	1	session	1	0	0	0	0	0	0	41.60926565412707	35.25847793217653	31.28745999418096	53.44551282051283	36.25303321897749	33.8054435483871	33.48563158982842	24.33414043583533	34.53781512605042	26.59843723458468	30.06463828675895	30.1877077494623	0	1	2	1	37.25303321897749	-2.5	0.5	0	0	
191104_1601	1	session	2	0	0	0	0	0	0	36.2756983595439	22.89361276946519	31.10280124202865	0	29.2455801666328	28.85736494364555	31.43038040107503	27.50056971941319	29.44581280788178	29.76614164465245	30.24680073126143	28.49484344513612	0	0	1	1	33.2455801666328	2.5	2.5	1	1	
191104_1601	1	session	3	0	0	0	0	0	0	28.67403571152508	34.25528938625634	33.42676654354654	40.59041835357627	31.46906116642959	32.21774193548387	30.37337192474675	33.41404358353511	30.89973920602724	30.1645163007791	30.38391224862888	32.06331877729257	0	1	2	1	32.46906116642959	0.5	-0.5	0	0	
191104_1601	1	session	4	0	0	0	0	0	0	16.16942379349451	7.551266359099891	10.2163073249526	30.0433369447454	27.70507349454718	28.52734922861151	24.9028043962921	27.07046004842616	28.08519269776876	29.16433303404596	29.73948811700183	29.93539510677753	0	0	1	1	31.70507349454718	-77778	-77778	1	1	
191104_1601	1	session	5	0	0	0	0	0	0	10.60227770477442	15.7328204231509	18.86899678076342	15.87771203155819	30	27.14076246334312	30	30	30	30	29.97899568244584	29.28637094920708	0	0	1	1	35	0.5	0.5	1	0	
191104_1601	1	session	6	0	0	0	0	0	0	36.75371152179383	39.48919957936111	33.47837546423865	22.68717948717949	30.02076044750298	30	30	29.13559322033898	28.58889315278768	30	30	30	0	0	1	1	35.02076044750298	0.5	0.5	0	1	
191104_1601	1	session	7	0	0	0	0	0	0	22	22	22	34	14	34	22	34	22	34	22	22	1	0	3	1	15	1.5	-0.5	0	0	
191104_1601	1	session	8	0	0	0	0	0	0	30.56630951177601	32.6495414010714	37.90168987724996	45.78205128205127	31.13350488276568	30.83800841514726	30.11163944593756	30.60270379338176	31.51132244870814	30.30605472839248	30.01535648994515	36.65740373163952	0	1	2	1	35.13350488276568	0.5	2.5	0	0	
191104_1601	1	session	9	0	0	0	0	0	0	42.14667633331823	55.66707466340269	49.18119368980635	32.16117216117216	26.81639788171177	29.47368421052632	30.63133140376266	30.54935525648968	28.93641414586825	31.31923961888289	30.08859513429898	26.32252027448535	0	0	1	1	30.81639788171177	0.5	0.5	1	1	
191104_1601	1	session	10	0	0	0	0	0	0	33.48703858559312	32.51763658618004	22.57899330811755	30.23776223776223	29.91233224070752	28.77070619006103	29.98643270622286	30.20157384987894	27.89452332657201	30.31784318959451	29.85466179159049	28.59765780071457	0	0	1	1	34.91233224070753	0.5	0.5	1	1	
191104_1601	1	session	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191104_1601	1	summary	Period	
191104_1601	1	summary	-1	
191104_1601	1	summary	0	
191104_1601	1	summary	1	
191104_1601	1	summary	2	
191104_1601	1	summary	3	
191104_1601	1	summary	4	
191104_1601	1	summary	5	
191104_1601	1	summary	6	
191104_1601	1	summary	7	
191104_1601	1	summary	8	
191104_1601	1	summary	9	
191104_1601	1	summary	10	
191104_1601	1	summary	11	
191104_1601	1	summary	12	
191104_1601	1	timelog	Data[1]	Data[2]	Data[3]	Data[4]	Period	ID	Time	Subject	Event	
191104_1601	1	timelog	0	0	0	0	0	1	0	0	1	
191104_1601	1	timelog	0	0	0	0	-1	2	4.655999999959022	5	192	
191104_1601	1	timelog	0	0	0	0	-1	3	5.171000000089407	3	192	
191104_1601	1	timelog	0	0	0	0	-1	4	7.014999999897555	4	192	
191104_1601	1	timelog	0	0	0	0	-1	5	7.358999999938533	10	192	
191104_1601	1	timelog	0	0	0	0	-1	6	8.577999999979511	2	192	
191104_1601	1	timelog	0	0	0	0	-1	7	8.625	6	192	
191104_1601	1	timelog	0	0	0	0	-1	8	18.48399999993853	7	192	
191104_1601	1	timelog	0	0	0	0	-1	9	101.6710000000894	9	192	
191104_1601	1	timelog	0	0	0	0	-1	10	134.9529999999795	1	192	
191104_1601	1	timelog	0	0	0	0	-1	11	136.061999999918	8	192	
191104_1601	1	timelog	0	0	0	0	-1	12	136.061999999918	0	206	
191104_1601	1	timelog	0	0	0	0	-1	13	142.1089999999385	5	207	
191104_1601	1	timelog	0	0	0	0	-1	14	142.3279999999795	9	207	
191104_1601	1	timelog	0	0	0	0	-1	15	142.4680000001099	6	207	
191104_1601	1	timelog	0	0	0	0	-1	16	142.7960000000894	8	207	
191104_1601	1	timelog	0	0	0	0	-1	17	143.3279999999795	10	207	
191104_1601	1	timelog	0	0	0	0	-1	18	143.3899999998976	4	207	
191104_1601	1	timelog	0	0	0	0	-1	19	143.7339999999385	3	207	
191104_1601	1	timelog	1	0	0	0	-1	20	144.1710000000894	2	207	
191104_1601	1	timelog	0	0	0	0	-1	21	144.4680000001099	7	207	
191104_1601	1	timelog	0	0	0	0	-1	22	145.125	5	207	
191104_1601	1	timelog	0	0	0	0	-1	23	145.311999999918	9	207	
191104_1601	1	timelog	0	0	0	0	-1	24	145.7649999998976	1	207	
191104_1601	1	timelog	1	0	0	0	-1	25	146.7029999999795	9	207	
191104_1601	1	timelog	1	0	0	0	-1	26	148.2029999999795	9	207	
191104_1601	1	timelog	1	0	0	0	-1	27	148.2339999999385	7	207	
191104_1601	1	timelog	0	0	0	0	-1	28	148.405999999959	6	207	
191104_1601	1	timelog	0	0	0	0	-1	29	149	10	207	
191104_1601	1	timelog	0	0	0	0	-1	30	149.2029999999795	4	207	
191104_1601	1	timelog	0	0	0	0	-1	31	149.2960000000894	8	207	
191104_1601	1	timelog	1	0	0	0	-1	32	149.561999999918	9	207	
191104_1601	1	timelog	0	0	0	0	-1	33	150.1710000000894	3	207	
191104_1601	1	timelog	1	0	0	0	-1	34	150.2339999999385	5	207	
191104_1601	1	timelog	1	0	0	0	-1	35	151.7029999999795	2	207	
191104_1601	1	timelog	1	0	0	0	-1	36	152.530999999959	3	207	
191104_1601	1	timelog	1	0	0	0	-1	37	152.8279999999795	7	207	
191104_1601	1	timelog	1	0	0	0	-1	38	153.030999999959	8	207	
191104_1601	1	timelog	1	0	0	0	-1	39	153.0779999999795	6	207	
191104_1601	1	timelog	0	0	0	0	-1	40	153.1710000000894	4	207	
191104_1601	1	timelog	1	0	0	0	-1	41	153.3589999999385	5	207	
191104_1601	1	timelog	1	0	0	0	-1	42	154.2960000000894	10	207	
191104_1601	1	timelog	1	0	0	0	-1	43	154.6710000000894	3	207	
191104_1601	1	timelog	1	0	0	0	-1	44	155.375	5	207	
191104_1601	1	timelog	0	0	0	0	-1	45	155.530999999959	9	207	
191104_1601	1	timelog	0	0	0	0	-1	46	155.530999999959	4	207	
191104_1601	1	timelog	1	0	0	0	-1	47	155.625	6	207	
191104_1601	1	timelog	1	0	0	0	-1	48	156.3589999999385	3	207	
191104_1601	1	timelog	0	0	0	0	-1	49	156.3589999999385	1	207	
191104_1601	1	timelog	1	0	0	0	-1	50	156.9529999999795	7	207	
191104_1601	1	timelog	1	0	0	0	-1	51	157.9529999999795	10	207	
191104_1601	1	timelog	1	0	0	0	-1	52	158.25	8	207	
191104_1601	1	timelog	0	0	0	0	-1	53	158.3430000001099	9	207	
191104_1601	1	timelog	0	0	0	0	-1	54	158.7029999999795	5	207	
191104_1601	1	timelog	1	0	0	0	-1	55	158.780999999959	2	207	
191104_1601	1	timelog	1	0	0	0	-1	56	159.280999999959	7	207	
191104_1601	1	timelog	0	0	0	0	-1	57	159.436999999918	4	207	
191104_1601	1	timelog	1	0	0	0	-1	58	159.4839999999385	6	207	
191104_1601	1	timelog	0	0	0	0	-1	59	160.0779999999795	9	207	
191104_1601	1	timelog	1	0	0	0	-1	60	160.125	10	207	
191104_1601	1	timelog	0	0	0	0	-1	61	160.530999999959	3	207	
191104_1601	1	timelog	0	0	0	0	-1	62	160.875	5	207	
191104_1601	1	timelog	1	0	0	0	-1	63	161.780999999959	2	207	
191104_1601	1	timelog	1	0	0	0	-1	64	162.2339999999385	9	207	
191104_1601	1	timelog	0	0	0	0	-1	65	162.686999999918	6	207	
191104_1601	1	timelog	0	0	0	0	-1	66	162.9839999999385	5	207	
191104_1601	1	timelog	0	0	0	0	-1	67	163.7339999999385	7	207	
191104_1601	1	timelog	1	0	0	0	-1	68	164.280999999959	9	207	
191104_1601	1	timelog	1	0	0	0	-1	69	164.3899999998976	8	207	
191104_1601	1	timelog	0	0	0	0	-1	70	164.405999999959	10	207	
191104_1601	1	timelog	0	0	0	0	-1	71	164.4210000000894	3	207	
191104_1601	1	timelog	1	0	0	0	-1	72	165.1399999998976	4	207	
191104_1601	1	timelog	0	0	0	0	-1	73	165.5	6	207	
191104_1601	1	timelog	0	0	0	0	-1	74	165.8430000001099	1	207	
191104_1601	1	timelog	0	0	0	0	-1	75	166.7960000000894	10	207	
191104_1601	1	timelog	0	0	0	0	-1	76	167.7339999999385	7	207	
191104_1601	1	timelog	1	0	0	0	-1	77	168.0460000000894	4	207	
191104_1601	1	timelog	0	0	0	0	-1	78	168.625	6	207	
191104_1601	1	timelog	1	0	0	0	-1	79	169.0779999999795	3	207	
191104_1601	1	timelog	1	0	0	0	-1	80	169.25	5	207	
191104_1601	1	timelog	0	0	0	0	-1	81	170.4680000001099	10	207	
191104_1601	1	timelog	0	0	0	0	-1	82	170.5930000001099	8	207	
191104_1601	1	timelog	1	0	0	0	-1	83	170.875	5	207	
191104_1601	1	timelog	1	0	0	0	-1	84	170.8899999998976	6	207	
191104_1601	1	timelog	1	0	0	0	-1	85	171.0779999999795	3	207	
191104_1601	1	timelog	1	0	0	0	-1	86	171.3279999999795	7	207	
191104_1601	1	timelog	0	0	0	0	-1	87	171.7339999999385	1	207	
191104_1601	1	timelog	0	0	0	0	-1	88	171.905999999959	4	207	
191104_1601	1	timelog	1	0	0	0	-1	89	172.4210000000894	2	207	
191104_1601	1	timelog	1	0	0	0	-1	90	172.436999999918	10	207	
191104_1601	1	timelog	1	0	0	0	-1	91	172.875	3	207	
191104_1601	1	timelog	1	0	0	0	-1	92	173.936999999918	7	207	
191104_1601	1	timelog	1	0	0	0	-1	93	174.4210000000894	6	207	
191104_1601	1	timelog	0	0	0	0	-1	94	174.561999999918	8	207	
191104_1601	1	timelog	1	0	0	0	-1	95	175.2339999999385	10	207	
191104_1601	1	timelog	0	0	0	0	-1	96	175.25	4	207	
191104_1601	1	timelog	1	0	0	0	-1	97	177.4210000000894	7	207	
191104_1601	1	timelog	0	0	0	0	-1	98	178.6710000000894	4	207	
191104_1601	1	timelog	0	0	0	0	-1	99	178.7180000001099	8	207	
191104_1601	1	timelog	1	0	0	0	-1	100	179	1	207	
