C:\_z-Tree\Data\Channel1\191105_1250.xls
191105_1250	1	EET	left[1]	left[2]	left[3]	left[4]	left[5]	left[6]	left[7]	left[8]	left[9]	left[10]	ownprofit[1]	ownprofit[2]	ownprofit[3]	ownprofit[4]	ownprofit[5]	ownprofit[6]	ownprofit[7]	ownprofit[8]	ownprofit[9]	ownprofit[10]	otherprofit[1]	otherprofit[2]	otherprofit[3]	otherprofit[4]	otherprofit[5]	otherprofit[6]	otherprofit[7]	otherprofit[8]	otherprofit[9]	otherprofit[10]	ownleft[1]	ownleft[2]	ownleft[3]	ownleft[4]	ownleft[5]	ownleft[6]	ownleft[7]	ownleft[8]	ownleft[9]	ownleft[10]	otherleft[1]	otherleft[2]	otherleft[3]	otherleft[4]	otherleft[5]	otherleft[6]	otherleft[7]	otherleft[8]	otherleft[9]	otherleft[10]	Period	Subject	GroupEET	ownPayoffEET	right	
191105_1250	1	EET	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	1	5	0	4	
191105_1250	1	EET	0	0	1	1	1	0	0	0	0	1	4	4	4	5	6	4	4	4	4	6	4	4	7	7	7	4	4	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	2	3	1	4	
191105_1250	1	EET	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	3	2	0	4	
191105_1250	1	EET	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	4	4	0	4	
191105_1250	1	EET	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	5	1	0	4	
191105_1250	1	EET	0	0	0	1	1	0	0	1	1	1	4	4	4	5	6	4	4	4	5	6	4	4	4	7	7	4	4	1	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	6	2	1	4	
191105_1250	1	EET	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	7	3	0	4	
191105_1250	1	EET	0	0	1	1	1	0	0	1	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	1	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	8	5	1	4	
191105_1250	1	EET	0	0	0	0	0	1	0	0	0	0	4	4	4	4	4	2	4	4	4	4	4	4	4	4	4	1	4	4	4	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	9	1	1	4	
191105_1250	1	EET	0	0	0	0	0	0	0	0	1	1	4	4	4	4	4	4	4	4	5	6	4	4	4	4	4	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	10	4	1	4	
191105_1250	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	11	-77777	-77777	4	
191105_1250	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191105_1250	1	session	1	0	0	0	0	0	0	10.05775681307484	27.27290404122241	32.90396609627379	26.50478381978927	24.13771712158809	30	25.59055678020337	26.71828171828171	30	29.55958286929229	30.51724137931035	29.04811312860848	0	0	1	1	39.90396609627379	-77778	-77778	1	0	
191105_1250	1	session	2	0	0	0	0	0	0	34	22	34	38	34	38	30	14	30	26	30	30	1	0	3	1	38	0.5	2.5	0	0	
191105_1250	1	session	3	0	0	0	0	0	0	35.39616904834296	30	30	39.89450601552777	31.59080866106938	45.80236243157592	30	30	30	30	44.85882352941177	30	0	1	2	1	34	0.5	0.5	0	0	
191105_1250	1	session	4	0	0	0	0	0	0	21.55309364548496	34.40839050725453	27.50192950861847	38.58397094601742	30.5090587715422	41.88202247191011	35.15748219662572	47.22120271033316	31.14333057166528	27.69965576592083	35.85055643879174	41.67315719515891	0	1	2	1	31.50192950861847	-2.5	-0.5	0	0	
191105_1250	1	session	5	0	0	0	0	0	0	2.550654169200339	23.3151934107957	25.03402366863905	23.24512534818942	16.21252371916508	12.92359550561798	20.59648569852651	4.118124522536284	29.80504201680672	30	23.61344537815126	21.93663102831185	0	1	2	1	29.03402366863905	-2.5	0.5	1	0	
191105_1250	1	session	6	0	0	0	0	0	0	16.75004972893515	24.22117479656722	30.12829706147829	30.30988857938719	30.89330024813896	28.62875487273561	30.57128095361109	37.64235764235765	30.55385790679909	32.84929001721169	35.53585817888799	28.65854412765168	0	0	1	1	34.12829706147829	-0.5	-0.5	1	1	
191105_1250	1	session	7	0	0	0	0	0	0	30	27.53346080305926	31.41720826462316	30.41291168277896	30.3415559772296	29.73069377563759	30	28.30111748716399	30	30.00000000000001	30	30	0	0	1	1	38.41720826462316	0.5	2.5	0	1	
191105_1250	1	session	8	0	0	0	0	0	0	64.1031478406486	37.44475441181081	34.68233789447732	67.51305710306406	32.52090800477897	19.26470588235293	35.58690289302535	42.16529793735676	34.1360294117647	29.53675461339027	41.56445556946183	29.36161623928338	0	0	1	1	38.68233789447732	0.5	-0.5	1	1	
191105_1250	1	session	9	0	0	0	0	0	0	38.7336368624582	37.21835564053538	33.09075122202213	25.1733395979461	35.34424650938854	26.05877268798616	29.88073151338458	29.8292292123461	23.95858343337335	25.88084043491038	1.034155597722961	30.63096931517984	0	0	1	1	37.09075122202213	-77778	-77778	1	1	
191105_1250	1	session	10	0	0	0	0	0	0	20.928506361166	28.65461498348688	3.855707593688365	0	30	30.39424403705894	27.53145619149916	30	29.45378151260504	30	30	29.37465805886859	0	0	1	1	7.855707593688365	-2.5	0.5	1	1	
191105_1250	1	session	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191105_1250	1	summary	Period	
191105_1250	1	summary	-1	
191105_1250	1	summary	0	
191105_1250	1	summary	1	
191105_1250	1	summary	2	
191105_1250	1	summary	3	
191105_1250	1	summary	4	
191105_1250	1	summary	5	
191105_1250	1	summary	6	
191105_1250	1	summary	7	
191105_1250	1	summary	8	
191105_1250	1	summary	9	
191105_1250	1	summary	10	
191105_1250	1	summary	11	
191105_1250	1	summary	12	
191105_1250	1	timelog	Data[1]	Data[2]	Data[3]	Data[4]	Period	ID	Time	Subject	Event	
191105_1250	1	timelog	0	0	0	0	0	1	0	0	1	
191105_1250	1	timelog	0	0	0	0	-1	2	18.14000000013039	7	192	
191105_1250	1	timelog	0	0	0	0	-1	3	48.43699999991804	10	192	
191105_1250	1	timelog	0	0	0	0	-1	4	65.03099999995902	8	192	
191105_1250	1	timelog	0	0	0	0	-1	5	70.03099999995902	1	192	
191105_1250	1	timelog	0	0	0	0	-1	6	80.75	2	192	
191105_1250	1	timelog	0	0	0	0	-1	7	103.4839999999385	3	192	
191105_1250	1	timelog	0	0	0	0	-1	8	125.0930000001099	9	192	
191105_1250	1	timelog	0	0	0	0	-1	9	129.0779999999795	6	192	
191105_1250	1	timelog	0	0	0	0	-1	10	133.686999999918	4	192	
191105_1250	1	timelog	0	0	0	0	-1	11	139.1720000000205	5	192	
191105_1250	1	timelog	0	0	0	0	-1	12	139.1720000000205	0	206	
191105_1250	1	timelog	0	0	0	0	-1	13	142.9529999999795	10	207	
191105_1250	1	timelog	1	0	0	0	-1	14	145.061999999918	1	207	
191105_1250	1	timelog	0	0	0	0	-1	15	145.530999999959	10	207	
191105_1250	1	timelog	0	0	0	0	-1	16	146.5930000001099	8	207	
191105_1250	1	timelog	0	0	0	0	-1	17	146.6720000000205	6	207	
191105_1250	1	timelog	0	0	0	0	-1	18	147.061999999918	10	207	
191105_1250	1	timelog	0	0	0	0	-1	19	147.3430000001099	7	207	
191105_1250	1	timelog	0	0	0	0	-1	20	147.6400000001304	4	207	
191105_1250	1	timelog	0	0	0	0	-1	21	148.2339999999385	6	207	
191105_1250	1	timelog	0	0	0	0	-1	22	148.6089999999385	5	207	
191105_1250	1	timelog	0	0	0	0	-1	23	149	10	207	
191105_1250	1	timelog	0	0	0	0	-1	24	149.280999999959	7	207	
191105_1250	1	timelog	0	0	0	0	-1	25	149.8589999999385	4	207	
191105_1250	1	timelog	0	0	0	0	-1	26	150.5779999999795	10	207	
191105_1250	1	timelog	0	0	0	0	-1	27	150.905999999959	2	207	
191105_1250	1	timelog	0	0	0	0	-1	28	151.0930000001099	3	207	
191105_1250	1	timelog	0	0	0	0	-1	29	152.3589999999385	1	207	
191105_1250	1	timelog	0	0	0	0	-1	30	152.8900000001304	10	207	
191105_1250	1	timelog	0	0	0	0	-1	31	153.125	4	207	
191105_1250	1	timelog	0	0	0	0	-1	32	154.061999999918	10	207	
191105_1250	1	timelog	0	0	0	0	-1	33	154.3430000001099	9	207	
191105_1250	1	timelog	0	0	0	0	-1	34	154.7970000000205	4	207	
191105_1250	1	timelog	0	0	0	0	-1	35	155.0779999999795	8	207	
191105_1250	1	timelog	0	0	0	0	-1	36	155.0779999999795	6	207	
191105_1250	1	timelog	1	0	0	0	-1	37	155.0930000001099	7	207	
191105_1250	1	timelog	0	0	0	0	-1	38	155.686999999918	2	207	
191105_1250	1	timelog	0	0	0	0	-1	39	155.8430000001099	4	207	
191105_1250	1	timelog	0	0	0	0	-1	40	155.875	10	207	
191105_1250	1	timelog	0	0	0	0	-1	41	156.4529999999795	5	207	
191105_1250	1	timelog	0	0	0	0	-1	42	157.0470000000205	9	207	
191105_1250	1	timelog	1	0	0	0	-1	43	157.2970000000205	10	207	
191105_1250	1	timelog	0	0	0	0	-1	44	157.7650000001304	1	207	
191105_1250	1	timelog	0	0	0	0	-1	45	158.8589999999385	9	207	
191105_1250	1	timelog	1	0	0	0	-1	46	158.8589999999385	7	207	
191105_1250	1	timelog	1	0	0	0	-1	47	159.0779999999795	10	207	
191105_1250	1	timelog	0	0	0	0	-1	48	159.4839999999385	3	207	
191105_1250	1	timelog	1	0	0	0	-1	49	160.375	6	207	
191105_1250	1	timelog	1	0	0	0	-1	50	161.2970000000205	7	207	
191105_1250	1	timelog	0	0	0	0	-1	51	161.875	9	207	
191105_1250	1	timelog	1	0	0	0	-1	52	162.3589999999385	8	207	
191105_1250	1	timelog	1	0	0	0	-1	53	162.686999999918	2	207	
191105_1250	1	timelog	1	0	0	0	-1	54	163.0930000001099	6	207	
191105_1250	1	timelog	0	0	0	0	-1	55	163.7650000001304	1	207	
191105_1250	1	timelog	0	0	0	0	-1	56	164.1400000001304	4	207	
191105_1250	1	timelog	0	0	0	0	-1	57	165.0779999999795	7	207	
191105_1250	1	timelog	1	0	0	0	-1	58	166.0470000000205	3	207	
191105_1250	1	timelog	0	0	0	0	-1	59	166.2180000001099	6	207	
191105_1250	1	timelog	1	0	0	0	-1	60	166.530999999959	8	207	
191105_1250	1	timelog	1	0	0	0	-1	61	166.9529999999795	2	207	
191105_1250	1	timelog	1	0	0	0	-1	62	167.125	1	207	
191105_1250	1	timelog	1	0	0	0	-1	63	168.7029999999795	8	207	
191105_1250	1	timelog	1	0	0	0	-1	64	170.3430000001099	2	207	
191105_1250	1	timelog	0	0	0	0	-1	65	170.811999999918	5	207	
191105_1250	1	timelog	0	0	0	0	-1	66	170.9680000001099	1	207	
191105_1250	1	timelog	0	0	0	0	-1	67	171.1720000000205	7	207	
191105_1250	1	timelog	0	0	0	0	-1	68	171.561999999918	4	207	
191105_1250	1	timelog	0	0	0	0	-1	69	172.405999999959	9	207	
191105_1250	1	timelog	1	0	0	0	-1	70	172.561999999918	3	207	
191105_1250	1	timelog	1	0	0	0	-1	71	173.905999999959	9	207	
191105_1250	1	timelog	0	0	0	0	-1	72	174.4529999999795	7	207	
191105_1250	1	timelog	0	0	0	0	-1	73	174.4680000001099	1	207	
191105_1250	1	timelog	0	0	0	0	-1	74	174.6400000001304	5	207	
191105_1250	1	timelog	0	0	0	0	-1	75	174.75	8	207	
191105_1250	1	timelog	0	0	0	0	-1	76	175.5	6	207	
191105_1250	1	timelog	0	0	0	0	-1	77	175.9680000001099	2	207	
191105_1250	1	timelog	0	0	0	0	-1	78	176.7970000000205	5	207	
191105_1250	1	timelog	0	0	0	0	-1	79	178.2029999999795	2	207	
191105_1250	1	timelog	0	0	0	0	-1	80	178.25	8	207	
191105_1250	1	timelog	0	0	0	0	-1	81	178.25	1	207	
191105_1250	1	timelog	1	0	0	0	-1	82	178.311999999918	4	207	
191105_1250	1	timelog	1	0	0	0	-1	83	180.186999999918	3	207	
191105_1250	1	timelog	1	0	0	0	-1	84	180.655999999959	1	207	
191105_1250	1	timelog	1	0	0	0	-1	85	181.1720000000205	4	207	
191105_1250	1	timelog	0	0	0	0	-1	86	181.2180000001099	9	207	
191105_1250	1	timelog	1	0	0	0	-1	87	181.2650000001304	8	207	
191105_1250	1	timelog	1	0	0	0	-1	88	181.625	6	207	
191105_1250	1	timelog	0	0	0	0	-1	89	182.1720000000205	2	207	
191105_1250	1	timelog	1	0	0	0	-1	90	183.186999999918	4	207	
191105_1250	1	timelog	0	0	0	0	-1	91	183.25	7	207	
191105_1250	1	timelog	0	0	0	0	-1	92	183.530999999959	5	207	
191105_1250	1	timelog	1	0	0	0	-1	93	183.5779999999795	8	207	
191105_1250	1	timelog	1	0	0	0	-1	94	183.5930000001099	1	207	
191105_1250	1	timelog	0	0	0	0	-1	95	183.686999999918	9	207	
191105_1250	1	timelog	1	0	0	0	-1	96	184.9220000000205	6	207	
191105_1250	1	timelog	0	0	0	0	-1	97	184.9680000001099	9	207	
191105_1250	1	timelog	1	0	0	0	-1	98	185.8279999999795	8	207	
