C:\_z-Tree\Data\Channel2\191105_1251.xls
191105_1251	1	EET	
191105_1251	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191105_1251	1	session	1	33.95398302484917	0	0	0	33.95398302484917	33.95398302484917	37.04053960086225	32.43016759776536	23.739222035816	24.2942942942943	40.73199527744983	31.9350937311026	31.40438247011952	29.59860627177701	31.73450927182271	30.60661207158022	28.90386151797603	29.95398302484917	0	0	1	1	33.95398302484917	1.5	2.5	1	1	
191105_1251	1	session	2	34	0	0	0	34	34	9.718504845408404	32.20893854748604	27.68500197863078	29.62962962962963	29.10613310134839	27.13679745493108	30	30	30	30.92021454911163	30	30	0	0	1	1	34	0.5	0.5	0	1	
191105_1251	1	session	3	32.87100509495137	0	0	0	32.87100509495137	32.87100509495137	30.29160816502862	28.62779329608938	26.95672939153692	19.91060025542784	23.50231808103205	30	29.94530353163617	30.86012941762071	30.39184952978057	29.68273044105276	29.19784373523474	28.87100509495137	0	0	1	1	32.87100509495137	2.5	2.5	0	0	
191105_1251	1	session	4	34.13547938860584	0	0	0	34.13547938860584	34.13547938860584	30	30	31.34002770083103	39.62962962962962	33.76578824263216	40.09384829577682	28.96244808002035	30.00825233816248	30.21645021645022	30.04953998584572	31.74142809587218	30.13547938860584	0	1	2	1	34.13547938860584	-0.5	2.5	0	0	
191105_1251	1	session	5	34	0	0	0	34	34	30	22	22	30	30	30	30	22	30	30	30	30	1	0	3	1	34	-0.5	0.5	0	0	
191105_1251	1	session	6	39.15044994375703	0	0	0	39.15044994375703	39.15044994375703	61.76649746192889	30.00284064009091	43.24144401751407	44.02841197361745	29.929830032746	40.68957871396894	33.86030346698313	31.06753651123136	30.11223344556678	30.33901787548798	31.22526286790028	35.15044994375703	0	1	2	1	39.15044994375703	-2.5	0.5	0	0	
191105_1251	1	session	7	34	0	0	0	34	34	30	30	30.19588444796201	30.21558872305142	34.99218226490954	34.61312523396781	30	30	31.43939393939394	30.11802173098539	30.15712383488682	30	0	1	2	1	34	-2.5	2.5	0	0	
191105_1251	1	session	8	34	0	0	0	34	34	29.31734640294066	35.25239425379092	30.22518094897686	30	42.62913223140495	30	35.0796812749004	30	29.79988564894225	30.69873562125677	30	30	0	0	1	1	34	0.5	2.5	1	1	
191105_1251	1	session	9	28.98168833546969	0	0	0	28.98168833546969	28.98168833546969	6.472081218274116	0	29.1500881390078	28.31180017226529	2.335537190082647	15.8572348186825	20.88890340278231	28.86759581881534	27.13587487781036	26.26791401273885	29.02235615670334	24.98168833546969	0	0	1	1	28.98168833546969	-0.5	2.5	0	0	
191105_1251	1	session	10	33.66621020198561	0	0	0	33.66621020198561	33.66621020198561	26.40799492385787	83.06883817820282	26.75900277008311	25.83034647550777	32.60612321562735	22.57056391202733	29.92529880478088	29.99999999999999	29.31573802541545	31.7078025477707	30.34344451300705	29.66621020198561	0	0	1	1	33.66621020198561	0.5	2.5	0	1	
191105_1251	1	session	11	5	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191105_1251	1	summary	
191105_1251	1	timelog	
191105_1251	1	markets	
191105_1251	1	groups	
191105_1251	1	structure	Period	MarketID	IsTraining	Treatment	i	
191105_1251	1	structure	-1	3	1	0	2	
191105_1251	1	structure	0	3	1	0	2	
191105_1251	1	structure	1	3	0	6	2	
191105_1251	1	structure	2	3	0	6	2	
191105_1251	1	structure	3	3	0	6	2	
191105_1251	1	structure	4	3	0	5	2	
191105_1251	1	structure	5	3	0	5	2	
191105_1251	1	structure	6	3	0	5	2	
191105_1251	1	structure	7	3	0	-1	2	
191105_1251	1	structure	8	3	0	-1	2	
191105_1251	1	structure	9	3	0	-1	2	
191105_1251	1	structure	10	3	0	-1	2	
191105_1251	1	structure	11	3	0	-1	2	
191105_1251	1	structure	12	3	0	-1	2	
191105_1251	1	tagnums	TagID	TagNum	
191105_1251	1	tagnums	0	52	
191105_1251	1	tagnums	1	263	
191105_1251	1	tagnums	2	238	
191105_1251	1	tagnums	3	197	
191105_1251	1	tagnums	4	122	
191105_1251	1	tagnums	5	262	
191105_1251	1	tagnums	6	143	
191105_1251	1	tagnums	7	247	
191105_1251	1	tagnums	8	181	
191105_1251	1	tagnums	9	182	
191105_1251	1	tagnums	10	161	
191105_1251	1	tagnums	11	269	
191105_1251	1	tagnums	12	187	
191105_1251	1	tagnums	13	221	
191105_1251	1	tagnums	14	246	
191105_1251	1	tagnums	15	252	
191105_1251	1	tagnums	16	13	
191105_1251	1	tagnums	17	188	
191105_1251	1	tagnums	18	94	
191105_1251	1	tagnums	19	19	
191105_1251	1	tagnums	20	267	
191105_1251	1	tagnums	21	76	
191105_1251	1	tagnums	22	264	
191105_1251	1	tagnums	23	171	
191105_1251	1	tagnums	24	77	
191105_1251	1	tagnums	25	87	
191105_1251	1	tagnums	26	158	
191105_1251	1	tagnums	27	179	
191105_1251	1	tagnums	28	204	
191105_1251	1	tagnums	29	259	
191105_1251	1	tagnums	30	196	
191105_1251	1	tagnums	31	205	
191105_1251	1	tagnums	32	27	
191105_1251	1	tagnums	33	43	
191105_1251	1	tagnums	34	152	
191105_1251	1	tagnums	35	83	
191105_1251	1	tagnums	36	145	
191105_1251	1	tagnums	37	175	
191105_1251	1	tagnums	38	235	
191105_1251	1	tagnums	39	201	
191105_1251	1	tagnums	40	147	
191105_1251	1	tagnums	41	153	
191105_1251	1	tagnums	42	194	
191105_1251	1	tagnums	43	137	
191105_1251	1	tagnums	44	163	
191105_1251	1	tagnums	45	176	
191105_1251	1	tagnums	46	245	
191105_1251	1	tagnums	47	271	
191105_1251	1	tagnums	48	108	
191105_1251	1	tagnums	49	32	
191105_1251	1	tagnums	50	216	
191105_1251	1	tagnums	51	229	
191105_1251	1	tagnums	52	134	
191105_1251	1	tagnums	53	59	
191105_1251	1	tagnums	54	132	
191105_1251	1	tagnums	55	218	
191105_1251	1	tagnums	56	105	
191105_1251	1	tagnums	57	167	
191105_1251	1	tagnums	58	273	
191105_1251	1	tagnums	59	140	
191105_1251	1	tagnums	60	164	
191105_1251	1	tagnums	61	26	
191105_1251	1	tagnums	62	280	
191105_1251	1	tagnums	63	209	
191105_1251	1	tagnums	64	234	
191105_1251	1	tagnums	65	99	
191105_1251	1	tagnums	66	274	
191105_1251	1	tagnums	67	251	
191105_1251	1	tagnums	68	178	
191105_1251	1	tagnums	69	265	
191105_1251	1	tagnums	70	47	
191105_1251	1	tagnums	71	20	
191105_1251	1	tagnums	72	275	
191105_1251	1	tagnums	73	157	
191105_1251	1	tagnums	74	270	
191105_1251	1	tagnums	75	62	
191105_1251	1	tagnums	76	129	
191105_1251	1	tagnums	77	148	
191105_1251	1	tagnums	78	266	
191105_1251	1	tagnums	79	42	
191105_1251	1	tagnums	80	155	
191105_1251	1	tagnums	81	149	
191105_1251	1	tagnums	82	126	
191105_1251	1	tagnums	83	192	
191105_1251	1	tagnums	84	98	
191105_1251	1	tagnums	85	277	
191105_1251	1	tagnums	86	97	
191105_1251	1	tagnums	87	225	
191105_1251	1	tagnums	88	191	
191105_1251	1	tagnums	89	115	
191105_1251	1	tagnums	90	177	
191105_1251	1	tagnums	91	212	
191105_1251	1	tagnums	92	18	
191105_1251	1	tagnums	93	159	
191105_1251	1	tagnums	94	243	
191105_1251	1	tagnums	95	120	
191105_1251	1	tagnums	96	116	
191105_1251	1	tagnums	97	41	
191105_1251	1	tagnums	98	75	
191105_1251	1	tagnums	99	257	
191105_1251	1	tagnums	100	45	
191105_1251	1	tagnums	101	71	
191105_1251	1	tagnums	102	81	
191105_1251	1	tagnums	103	222	
191105_1251	1	tagnums	104	244	
191105_1251	1	tagnums	105	80	
191105_1251	1	tagnums	106	133	
191105_1251	1	tagnums	107	198	
191105_1251	1	tagnums	108	54	
191105_1251	1	tagnums	109	106	
191105_1251	1	tagnums	110	96	
191105_1251	1	tagnums	111	183	
191105_1251	1	tagnums	112	24	
191105_1251	1	tagnums	113	170	
191105_1251	1	tagnums	114	101	
191105_1251	1	tagnums	115	35	
191105_1251	1	tagnums	116	174	
191105_1251	1	tagnums	117	85	
191105_1251	1	tagnums	118	51	
