C:\_z-Tree\Data\Channel2\191105_1251.xls
191105_1251	1	EET	left[1]	left[2]	left[3]	left[4]	left[5]	left[6]	left[7]	left[8]	left[9]	left[10]	ownprofit[1]	ownprofit[2]	ownprofit[3]	ownprofit[4]	ownprofit[5]	ownprofit[6]	ownprofit[7]	ownprofit[8]	ownprofit[9]	ownprofit[10]	otherprofit[1]	otherprofit[2]	otherprofit[3]	otherprofit[4]	otherprofit[5]	otherprofit[6]	otherprofit[7]	otherprofit[8]	otherprofit[9]	otherprofit[10]	ownleft[1]	ownleft[2]	ownleft[3]	ownleft[4]	ownleft[5]	ownleft[6]	ownleft[7]	ownleft[8]	ownleft[9]	ownleft[10]	otherleft[1]	otherleft[2]	otherleft[3]	otherleft[4]	otherleft[5]	otherleft[6]	otherleft[7]	otherleft[8]	otherleft[9]	otherleft[10]	Period	Subject	GroupEET	ownPayoffEET	right	
191105_1251	1	EET	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	1	2	0	4	
191105_1251	1	EET	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	2	4	0	4	
191105_1251	1	EET	1	1	1	1	1	0	0	0	0	0	2	3	4	5	6	4	4	4	4	4	7	7	7	7	7	4	4	4	4	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	3	4	1	4	
191105_1251	1	EET	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	4	1	0	4	
191105_1251	1	EET	0	0	0	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	4	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	5	3	1	4	
191105_1251	1	EET	0	0	0	0	1	0	0	0	1	1	4	4	4	4	6	4	4	4	5	6	4	4	4	4	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	6	5	1	4	
191105_1251	1	EET	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	7	3	0	4	
191105_1251	1	EET	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	8	5	0	4	
191105_1251	1	EET	0	0	0	1	1	0	0	0	0	0	4	4	4	5	6	4	4	4	4	4	4	4	4	7	7	4	4	4	4	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	9	2	1	4	
191105_1251	1	EET	0	0	1	1	1	0	0	0	0	0	4	4	4	5	6	4	4	4	4	4	4	4	7	7	7	4	4	4	4	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	10	1	1	4	
191105_1251	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	11	-77777	-77777	4	
191105_1251	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191105_1251	1	session	1	0	0	0	0	0	0	37.04053960086225	32.43016759776536	23.739222035816	24.2942942942943	40.73199527744983	31.9350937311026	31.40438247011952	29.59860627177701	31.73450927182271	30.60661207158022	28.90386151797603	29.95398302484917	0	0	1	1	33.95398302484917	1.5	2.5	1	1	
191105_1251	1	session	2	0	0	0	0	0	0	9.718504845408404	32.20893854748604	27.68500197863078	29.62962962962963	29.10613310134839	27.13679745493108	30	30	30	30.92021454911163	30	30	0	0	1	1	34	0.5	0.5	0	1	
191105_1251	1	session	3	0	0	0	0	0	0	30.29160816502862	28.62779329608938	26.95672939153692	19.91060025542784	23.50231808103205	30	29.94530353163617	30.86012941762071	30.39184952978057	29.68273044105276	29.19784373523474	28.87100509495137	0	0	1	1	32.87100509495137	2.5	2.5	0	0	
191105_1251	1	session	4	0	0	0	0	0	0	30	30	31.34002770083103	39.62962962962962	33.76578824263216	40.09384829577682	28.96244808002035	30.00825233816248	30.21645021645022	30.04953998584572	31.74142809587218	30.13547938860584	0	1	2	1	34.13547938860584	-0.5	2.5	0	0	
191105_1251	1	session	5	0	0	0	0	0	0	30	22	22	30	30	30	30	22	30	30	30	30	1	0	3	1	34	-0.5	0.5	0	0	
191105_1251	1	session	6	0	0	0	0	0	0	61.76649746192889	30.00284064009091	43.24144401751407	44.02841197361745	29.929830032746	40.68957871396894	33.86030346698313	31.06753651123136	30.11223344556678	30.33901787548798	31.22526286790028	35.15044994375703	0	1	2	1	39.15044994375703	-2.5	0.5	0	0	
191105_1251	1	session	7	0	0	0	0	0	0	30	30	30.19588444796201	30.21558872305142	34.99218226490954	34.61312523396781	30	30	31.43939393939394	30.11802173098539	30.15712383488682	30	0	1	2	1	34	-2.5	2.5	0	0	
191105_1251	1	session	8	0	0	0	0	0	0	29.31734640294066	35.25239425379092	30.22518094897686	30	42.62913223140495	30	35.0796812749004	30	29.79988564894225	30.69873562125677	30	30	0	0	1	1	34	0.5	2.5	1	1	
191105_1251	1	session	9	0	0	0	0	0	0	6.472081218274116	0	29.1500881390078	28.31180017226529	2.335537190082647	15.8572348186825	20.88890340278231	28.86759581881534	27.13587487781036	26.26791401273885	29.02235615670334	24.98168833546969	0	0	1	1	28.98168833546969	-0.5	2.5	0	0	
191105_1251	1	session	10	0	0	0	0	0	0	26.40799492385787	83.06883817820282	26.75900277008311	25.83034647550777	32.60612321562735	22.57056391202733	29.92529880478088	29.99999999999999	29.31573802541545	31.7078025477707	30.34344451300705	29.66621020198561	0	0	1	1	33.66621020198561	0.5	2.5	0	1	
191105_1251	1	session	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191105_1251	1	summary	Period	
191105_1251	1	summary	-1	
191105_1251	1	summary	0	
191105_1251	1	summary	1	
191105_1251	1	summary	2	
191105_1251	1	summary	3	
191105_1251	1	summary	4	
191105_1251	1	summary	5	
191105_1251	1	summary	6	
191105_1251	1	summary	7	
191105_1251	1	summary	8	
191105_1251	1	summary	9	
191105_1251	1	summary	10	
191105_1251	1	summary	11	
191105_1251	1	summary	12	
191105_1251	1	timelog	Data[1]	Data[2]	Data[3]	Data[4]	Period	ID	Time	Subject	Event	
191105_1251	1	timelog	0	0	0	0	0	1	0	0	1	
191105_1251	1	timelog	0	0	0	0	-1	2	8.484999999869615	6	192	
191105_1251	1	timelog	0	0	0	0	-1	3	10.23499999986962	2	192	
191105_1251	1	timelog	0	0	0	0	-1	4	53.42200000002049	5	192	
191105_1251	1	timelog	0	0	0	0	-1	5	59.98499999986962	7	192	
191105_1251	1	timelog	0	0	0	0	-1	6	63.76599999982864	3	192	
191105_1251	1	timelog	0	0	0	0	-1	7	89.32899999991059	9	192	
191105_1251	1	timelog	0	0	0	0	-1	8	99.20399999991059	1	192	
191105_1251	1	timelog	0	0	0	0	-1	9	105.6409999998286	4	192	
191105_1251	1	timelog	0	0	0	0	-1	10	140.8289999999106	10	192	
191105_1251	1	timelog	0	0	0	0	-1	11	146.75	8	192	
191105_1251	1	timelog	0	0	0	0	-1	12	146.75	0	206	
191105_1251	1	timelog	0	0	0	0	-1	13	150.9379999998491	5	207	
191105_1251	1	timelog	0	0	0	0	-1	14	152.1099999998696	7	207	
191105_1251	1	timelog	0	0	0	0	-1	15	152.8129999998491	6	207	
191105_1251	1	timelog	0	0	0	0	-1	16	154.1879999998491	9	207	
191105_1251	1	timelog	1	0	0	0	-1	17	155.4689999998082	3	207	
191105_1251	1	timelog	0	0	0	0	-1	18	155.5629999998491	5	207	
191105_1251	1	timelog	0	0	0	0	-1	19	155.8289999999106	8	207	
191105_1251	1	timelog	0	0	0	0	-1	20	155.9689999998082	2	207	
191105_1251	1	timelog	0	0	0	0	-1	21	156.8439999998082	6	207	
191105_1251	1	timelog	0	0	0	0	-1	22	157.3909999998286	5	207	
191105_1251	1	timelog	0	0	0	0	-1	23	158.2970000000205	6	207	
191105_1251	1	timelog	0	0	0	0	-1	24	159.1099999998696	7	207	
191105_1251	1	timelog	0	0	0	0	-1	25	160.0789999999106	6	207	
191105_1251	1	timelog	1	0	0	0	-1	26	160.0939999998082	3	207	
191105_1251	1	timelog	1	0	0	0	-1	27	161.1409999998286	3	207	
191105_1251	1	timelog	0	0	0	0	-1	28	161.3289999999106	9	207	
191105_1251	1	timelog	1	0	0	0	-1	29	161.3439999998082	5	207	
191105_1251	1	timelog	0	0	0	0	-1	30	161.3599999998696	1	207	
191105_1251	1	timelog	0	0	0	0	-1	31	161.5789999999106	8	207	
191105_1251	1	timelog	0	0	0	0	-1	32	161.6099999998696	7	207	
191105_1251	1	timelog	0	0	0	0	-1	33	162.1879999998491	4	207	
191105_1251	1	timelog	1	0	0	0	-1	34	163.125	5	207	
191105_1251	1	timelog	0	0	0	0	-1	35	164	2	207	
191105_1251	1	timelog	1	0	0	0	-1	36	164.0159999998286	6	207	
191105_1251	1	timelog	0	0	0	0	-1	37	164.7819999998901	7	207	
191105_1251	1	timelog	1	0	0	0	-1	38	164.8289999999106	3	207	
191105_1251	1	timelog	1	0	0	0	-1	39	165.1409999998286	8	207	
191105_1251	1	timelog	1	0	0	0	-1	40	166.0939999998082	3	207	
191105_1251	1	timelog	0	0	0	0	-1	41	166.3909999998286	6	207	
191105_1251	1	timelog	1	0	0	0	-1	42	167.0159999998286	8	207	
191105_1251	1	timelog	0	0	0	0	-1	43	168.4539999999106	5	207	
191105_1251	1	timelog	1	0	0	0	-1	44	168.9069999998901	8	207	
191105_1251	1	timelog	0	0	0	0	-1	45	169.2349999998696	9	207	
191105_1251	1	timelog	0	0	0	0	-1	46	169.4379999998491	6	207	
191105_1251	1	timelog	0	0	0	0	-1	47	170.1569999998901	4	207	
191105_1251	1	timelog	1	0	0	0	-1	48	170.7659999998286	2	207	
191105_1251	1	timelog	0	0	0	0	-1	49	171.0629999998491	3	207	
191105_1251	1	timelog	0	0	0	0	-1	50	171.2349999998696	5	207	
191105_1251	1	timelog	0	0	0	0	-1	51	172.4689999998082	6	207	
191105_1251	1	timelog	1	0	0	0	-1	52	173.0319999998901	9	207	
191105_1251	1	timelog	0	0	0	0	-1	53	173.0939999998082	8	207	
191105_1251	1	timelog	0	0	0	0	-1	54	173.5159999998286	5	207	
191105_1251	1	timelog	1	0	0	0	-1	55	173.8129999998491	7	207	
191105_1251	1	timelog	0	0	0	0	-1	56	174.2659999998286	3	207	
191105_1251	1	timelog	1	0	0	0	-1	57	174.5	6	207	
191105_1251	1	timelog	0	0	0	0	-1	58	175.5789999999106	4	207	
191105_1251	1	timelog	1	0	0	0	-1	59	175.6409999998286	5	207	
191105_1251	1	timelog	1	0	0	0	-1	60	176.0159999998286	2	207	
191105_1251	1	timelog	1	0	0	0	-1	61	176.125	9	207	
191105_1251	1	timelog	1	0	0	0	-1	62	177.1879999998491	6	207	
191105_1251	1	timelog	0	0	0	0	-1	63	177.5159999998286	8	207	
191105_1251	1	timelog	0	0	0	0	-1	64	177.75	10	207	
191105_1251	1	timelog	0	0	0	0	-1	65	177.8129999998491	7	207	
191105_1251	1	timelog	0	0	0	0	-1	66	177.9379999998491	3	207	
191105_1251	1	timelog	1	0	0	0	-1	67	179.3599999998696	5	207	
191105_1251	1	timelog	0	0	0	0	-1	68	179.8289999999106	8	207	
191105_1251	1	timelog	0	0	0	0	-1	69	179.9379999998491	9	207	
191105_1251	1	timelog	0	0	0	0	-1	70	181.0159999998286	3	207	
191105_1251	1	timelog	0	0	0	0	-1	71	181.1879999998491	7	207	
191105_1251	1	timelog	1	0	0	0	-1	72	181.8289999999106	2	207	
191105_1251	1	timelog	0	0	0	0	-1	73	182	8	207	
191105_1251	1	timelog	1	0	0	0	-1	74	183.3289999999106	1	207	
191105_1251	1	timelog	1	0	0	0	-1	75	183.5789999999106	4	207	
191105_1251	1	timelog	0	0	0	0	-1	76	183.9849999998696	7	207	
191105_1251	1	timelog	0	0	0	0	-1	77	184	3	207	
191105_1251	1	timelog	0	0	0	0	-1	78	184.0939999998082	9	207	
191105_1251	1	timelog	0	0	0	0	-1	79	184.375	10	207	
191105_1251	1	timelog	1	0	0	0	-1	80	187.125	4	207	
191105_1251	1	timelog	0	0	0	0	-1	81	187.2659999998286	2	207	
191105_1251	1	timelog	0	0	0	0	-1	82	188.1099999998696	9	207	
191105_1251	1	timelog	0	0	0	0	-1	83	188.9379999998491	7	207	
191105_1251	1	timelog	0	0	0	0	-1	84	192.5159999998286	9	207	
191105_1251	1	timelog	0	0	0	0	-1	85	192.625	2	207	
191105_1251	1	timelog	0	0	0	0	-1	86	193.0470000000205	4	207	
191105_1251	1	timelog	0	0	0	0	-1	87	193.0939999998082	7	207	
191105_1251	1	timelog	1	0	0	0	-1	88	194.3129999998491	10	207	
191105_1251	1	timelog	0	0	0	0	-1	89	194.6879999998491	8	207	
191105_1251	1	timelog	0	0	0	0	-1	90	195.9379999998491	9	207	
191105_1251	1	timelog	1	0	0	0	-1	91	196.2659999998286	1	207	
191105_1251	1	timelog	0	0	0	0	-1	92	197.2819999998901	4	207	
191105_1251	1	timelog	0	0	0	0	-1	93	197.3129999998491	2	207	
191105_1251	1	timelog	1	0	0	0	-1	94	199.1409999998286	10	207	
191105_1251	1	timelog	0	0	0	0	-1	95	201.3439999998082	4	207	
191105_1251	1	timelog	1	0	0	0	-1	96	202.1720000000205	2	207	
191105_1251	1	timelog	1	0	0	0	-1	97	202.9220000000205	10	207	
191105_1251	1	timelog	1	0	0	0	-1	98	205.8289999999106	1	207	
