C:\_z-Tree\Data\Channel1\191115_0933.xls
191115_0933	1	EET	left[1]	left[2]	left[3]	left[4]	left[5]	left[6]	left[7]	left[8]	left[9]	left[10]	ownprofit[1]	ownprofit[2]	ownprofit[3]	ownprofit[4]	ownprofit[5]	ownprofit[6]	ownprofit[7]	ownprofit[8]	ownprofit[9]	ownprofit[10]	otherprofit[1]	otherprofit[2]	otherprofit[3]	otherprofit[4]	otherprofit[5]	otherprofit[6]	otherprofit[7]	otherprofit[8]	otherprofit[9]	otherprofit[10]	ownleft[1]	ownleft[2]	ownleft[3]	ownleft[4]	ownleft[5]	ownleft[6]	ownleft[7]	ownleft[8]	ownleft[9]	ownleft[10]	otherleft[1]	otherleft[2]	otherleft[3]	otherleft[4]	otherleft[5]	otherleft[6]	otherleft[7]	otherleft[8]	otherleft[9]	otherleft[10]	Period	Subject	GroupEET	ownPayoffEET	right	
191115_0933	1	EET	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	1	4	0	4	
191115_0933	1	EET	0	0	1	1	1	0	0	0	0	1	4	4	4	5	6	4	4	4	4	6	4	4	7	7	7	4	4	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	2	5	1	4	
191115_0933	1	EET	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	3	3	0	4	
191115_0933	1	EET	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	4	5	0	4	
191115_0933	1	EET	0	0	1	1	1	0	0	0	0	0	4	4	4	5	6	4	4	4	4	4	4	4	7	7	7	4	4	4	4	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	5	4	1	4	
191115_0933	1	EET	0	0	0	0	0	0	0	0	0	1	4	4	4	4	4	4	4	4	4	6	4	4	4	4	4	4	4	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	6	3	1	4	
191115_0933	1	EET	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	7	1	0	4	
191115_0933	1	EET	0	1	1	1	1	0	0	1	1	0	4	3	4	5	6	4	4	4	5	4	4	7	7	7	7	4	4	1	1	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	8	2	1	4	
191115_0933	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	9	1	1	4	
191115_0933	1	EET	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	10	2	0	4	
191115_0933	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	11	-77777	-77777	4	
191115_0933	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191115_0933	1	session	1	0	0	0	0	0	0	22	22	30	30	22	30	30	30	30	34	34	22	1	0	3	1	37	-0.5	0.5	0	0	
191115_0933	1	session	2	0	0	0	0	0	0	27.81634938409854	30	31.85977859778598	33.67376730103806	33.93390191897655	31.1900826446281	34.53870804520155	41.38811383928572	31.44572507128228	30	31.11474435196195	31.96907286109799	0	0	1	1	38.53870804520155	0.5	2.5	1	1	
191115_0933	1	session	3	0	0	0	0	0	0	24.48081820422246	23.55212587076628	14.07947771785411	22.17914438502674	31.07942430703624	32.08264462809918	20.65514650638617	30.59354707792208	21.66013778198028	28.33290455364033	30	29.79510529311326	0	0	1	1	24.65514650638617	-0.5	0.5	0	0	
191115_0933	1	session	4	0	0	0	0	0	0	0	1.872366326435067	0	17.51911764705882	21.12651030561479	18.09917355371901	10.87844739530133	27.72959183673468	4.603539105767933	27.98131452668315	27.1875	3.529411764705891	0	1	2	1	17.87844739530133	0.5	2.5	0	1	
191115_0933	1	session	5	0	0	0	0	0	0	21.5079365079365	14.49522852837769	19.90717250922509	27.11333671399595	28.45024425791476	27.31187472814267	29.00445009535919	30.62966417910447	27.67717552813489	27.59716295698304	30.11354079058032	29.90297632997422	0	0	1	1	33.00445009535919	0.5	2.5	1	1	
191115_0933	1	session	6	0	0	0	0	0	0	30.11398176291793	32.20205209155485	36.57658125877034	36.45220588235293	32.72543251194298	33.71900826446281	42.36023334953816	37.33082706766917	32.91832430618799	30.25083612040134	31.33004926108374	37.57804602485579	0	1	2	1	46.36023334953816	-2.5	2.5	0	0	
191115_0933	1	session	7	0	0	0	0	0	0	0	43.67403314917127	73.95756457564576	44.47325050709939	43.79790940766549	41.04922745238951	44.14333292216602	39.35267857142857	33.93515699218084	34.51990505987701	34.53806115810019	35.11984847495265	0	0	1	1	51.14333292216602	0.5	2.5	0	1	
191115_0933	1	session	8	0	0	0	0	0	0	38.47365144468451	37.72180695482613	30.94293621507644	30.8908371040724	28.40656411818459	32.79811097992916	38.84141587400593	24.98246173469387	28.29551464477297	29.3596837944664	29.57680250783699	32.67430278884462	0	0	1	1	42.84141587400593	-77778	-77778	0	1	
191115_0933	1	session	9	0	0	0	0	0	0	17.49987120704756	19.97725056873578	28.75876383763837	24.43644957983193	23.6592115410788	21.67304978834913	24.67594606350587	28.08482142857143	30.06849563295038	34.40969899665552	27.48110533774209	28.11185637198043	0	1	2	1	28.67594606350587	0.5	0.5	1	0	
191115_0933	1	session	10	0	0	0	0	0	0	141.0421189752497	41.40094711917915	46.93726937269373	30	29.42949345934422	32.77102576567818	37.3961122104528	19.92503369272238	62.16710481197851	30	30.18375680580762	30	0	0	1	1	44.3961122104528	2.5	2.5	1	1	
191115_0933	1	session	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191115_0933	1	summary	Period	
191115_0933	1	summary	-1	
191115_0933	1	summary	0	
191115_0933	1	summary	1	
191115_0933	1	summary	2	
191115_0933	1	summary	3	
191115_0933	1	summary	4	
191115_0933	1	summary	5	
191115_0933	1	summary	6	
191115_0933	1	summary	7	
191115_0933	1	summary	8	
191115_0933	1	summary	9	
191115_0933	1	summary	10	
191115_0933	1	summary	11	
191115_0933	1	summary	12	
191115_0933	1	timelog	Data[1]	Data[2]	Data[3]	Data[4]	Period	ID	Time	Subject	Event	
191115_0933	1	timelog	0	0	0	0	0	1	0	0	1	
191115_0933	1	timelog	0	0	0	0	-1	2	61.20299999997951	1	192	
191115_0933	1	timelog	0	0	0	0	-1	3	64.28100000001723	10	192	
191115_0933	1	timelog	0	0	0	0	-1	4	66.93699999997625	5	192	
191115_0933	1	timelog	0	0	0	0	-1	5	69	9	192	
191115_0933	1	timelog	0	0	0	0	-1	6	87.73399999999674	7	192	
191115_0933	1	timelog	0	0	0	0	-1	7	94.48399999999674	8	192	
191115_0933	1	timelog	0	0	0	0	-1	8	96.60899999999674	6	192	
191115_0933	1	timelog	0	0	0	0	-1	9	104.765000000014	4	192	
191115_0933	1	timelog	0	0	0	0	-1	10	119.0619999999763	2	192	
191115_0933	1	timelog	0	0	0	0	-1	11	190.515000000014	3	192	
191115_0933	1	timelog	0	0	0	0	-1	12	190.5310000000172	0	206	
191115_0933	1	timelog	1	0	0	0	-1	13	195.045999999973	10	207	
191115_0933	1	timelog	0	0	0	0	-1	14	195.4839999999967	1	207	
191115_0933	1	timelog	0	0	0	0	-1	15	195.670999999973	4	207	
191115_0933	1	timelog	0	0	0	0	-1	16	196.4529999999795	2	207	
191115_0933	1	timelog	0	0	0	0	-1	17	196.4679999999935	9	207	
191115_0933	1	timelog	1	0	0	0	-1	18	196.75	10	207	
191115_0933	1	timelog	0	0	0	0	-1	19	197.2029999999795	7	207	
191115_0933	1	timelog	0	0	0	0	-1	20	197.890000000014	5	207	
191115_0933	1	timelog	1	0	0	0	-1	21	198.1089999999967	10	207	
191115_0933	1	timelog	0	0	0	0	-1	22	198.8589999999967	8	207	
191115_0933	1	timelog	0	0	0	0	-1	23	199.0779999999795	4	207	
191115_0933	1	timelog	1	0	0	0	-1	24	199.3279999999795	10	207	
191115_0933	1	timelog	0	0	0	0	-1	25	199.515000000014	6	207	
191115_0933	1	timelog	0	0	0	0	-1	26	199.6560000000172	1	207	
191115_0933	1	timelog	1	0	0	0	-1	27	200.4679999999935	10	207	
191115_0933	1	timelog	1	0	0	0	-1	28	201.1869999999763	4	207	
191115_0933	1	timelog	0	0	0	0	-1	29	201.5310000000172	9	207	
191115_0933	1	timelog	0	0	0	0	-1	30	201.8279999999795	1	207	
191115_0933	1	timelog	0	0	0	0	-1	31	202.640000000014	7	207	
191115_0933	1	timelog	1	0	0	0	-1	32	203.1089999999967	4	207	
191115_0933	1	timelog	0	0	0	0	-1	33	203.3589999999967	10	207	
191115_0933	1	timelog	0	0	0	0	-1	34	203.420999999973	2	207	
191115_0933	1	timelog	1	0	0	0	-1	35	203.5779999999795	8	207	
191115_0933	1	timelog	1	0	0	0	-1	36	203.640000000014	9	207	
191115_0933	1	timelog	0	0	0	0	-1	37	204	5	207	
191115_0933	1	timelog	0	0	0	0	-1	38	204.0619999999763	6	207	
191115_0933	1	timelog	1	0	0	0	-1	39	204.3589999999967	4	207	
191115_0933	1	timelog	0	0	0	0	-1	40	204.670999999973	3	207	
191115_0933	1	timelog	0	0	0	0	-1	41	204.7810000000172	10	207	
191115_0933	1	timelog	1	0	0	0	-1	42	204.8589999999967	1	207	
191115_0933	1	timelog	1	0	0	0	-1	43	205.8119999999763	7	207	
191115_0933	1	timelog	0	0	0	0	-1	44	206.0779999999795	4	207	
191115_0933	1	timelog	1	0	0	0	-1	45	206.1869999999763	9	207	
191115_0933	1	timelog	0	0	0	0	-1	46	206.3279999999795	10	207	
191115_0933	1	timelog	1	0	0	0	-1	47	206.670999999973	1	207	
191115_0933	1	timelog	1	0	0	0	-1	48	207.5	8	207	
191115_0933	1	timelog	1	0	0	0	-1	49	207.625	2	207	
191115_0933	1	timelog	0	0	0	0	-1	50	207.8429999999935	6	207	
191115_0933	1	timelog	1	0	0	0	-1	51	207.9060000000172	7	207	
191115_0933	1	timelog	0	0	0	0	-1	52	208.0929999999935	4	207	
191115_0933	1	timelog	1	0	0	0	-1	53	208.1869999999763	9	207	
191115_0933	1	timelog	0	0	0	0	-1	54	209.3429999999935	1	207	
191115_0933	1	timelog	1	0	0	0	-1	55	209.9679999999935	7	207	
191115_0933	1	timelog	0	0	0	0	-1	56	210.640000000014	4	207	
191115_0933	1	timelog	1	0	0	0	-1	57	210.75	5	207	
191115_0933	1	timelog	0	0	0	0	-1	58	211.2029999999795	9	207	
191115_0933	1	timelog	0	0	0	0	-1	59	211.4060000000172	3	207	
191115_0933	1	timelog	0	0	0	0	-1	60	212.2179999999935	4	207	
191115_0933	1	timelog	1	0	0	0	-1	61	212.25	2	207	
191115_0933	1	timelog	1	0	0	0	-1	62	212.545999999973	8	207	
191115_0933	1	timelog	0	0	0	0	-1	63	212.5619999999763	6	207	
191115_0933	1	timelog	1	0	0	0	-1	64	212.9369999999763	5	207	
191115_0933	1	timelog	0	0	0	0	-1	65	213.2810000000172	7	207	
191115_0933	1	timelog	0	0	0	0	-1	66	213.4679999999935	6	207	
191115_0933	1	timelog	0	0	0	0	-1	67	213.5779999999795	10	207	
191115_0933	1	timelog	0	0	0	0	-1	68	213.6089999999967	9	207	
191115_0933	1	timelog	1	0	0	0	-1	69	214.5	2	207	
191115_0933	1	timelog	0	0	0	0	-1	70	214.515000000014	1	207	
191115_0933	1	timelog	1	0	0	0	-1	71	214.625	8	207	
191115_0933	1	timelog	1	0	0	0	-1	72	215.0310000000172	5	207	
191115_0933	1	timelog	1	0	0	0	-1	73	215.1089999999967	10	207	
191115_0933	1	timelog	0	0	0	0	-1	74	215.3589999999967	7	207	
191115_0933	1	timelog	0	0	0	0	-1	75	216.0929999999935	4	207	
191115_0933	1	timelog	0	0	0	0	-1	76	216.4839999999967	9	207	
191115_0933	1	timelog	0	0	0	0	-1	77	217.7810000000172	8	207	
191115_0933	1	timelog	0	0	0	0	-1	78	218.140000000014	6	207	
191115_0933	1	timelog	0	0	0	0	-1	79	219.140000000014	2	207	
191115_0933	1	timelog	0	0	0	0	-1	80	219.2029999999795	7	207	
191115_0933	1	timelog	0	0	0	0	-1	81	219.2029999999795	5	207	
191115_0933	1	timelog	0	0	0	0	-1	82	219.5779999999795	3	207	
191115_0933	1	timelog	1	0	0	0	-1	83	219.890000000014	9	207	
191115_0933	1	timelog	0	0	0	0	-1	84	220.5310000000172	1	207	
191115_0933	1	timelog	0	0	0	0	-1	85	221.5310000000172	2	207	
191115_0933	1	timelog	0	0	0	0	-1	86	222.0779999999795	6	207	
191115_0933	1	timelog	0	0	0	0	-1	87	222.3429999999935	5	207	
191115_0933	1	timelog	1	0	0	0	-1	88	222.4060000000172	9	207	
191115_0933	1	timelog	0	0	0	0	-1	89	222.8119999999763	8	207	
191115_0933	1	timelog	0	0	0	0	-1	90	223.6089999999967	2	207	
191115_0933	1	timelog	1	0	0	0	-1	91	223.9060000000172	1	207	
191115_0933	1	timelog	0	0	0	0	-1	92	224.125	6	207	
191115_0933	1	timelog	0	0	0	0	-1	93	224.6089999999967	7	207	
191115_0933	1	timelog	0	0	0	0	-1	94	225.7179999999935	5	207	
191115_0933	1	timelog	1	0	0	0	-1	95	226.3589999999967	8	207	
191115_0933	1	timelog	0	0	0	0	-1	96	226.9839999999967	6	207	
191115_0933	1	timelog	1	0	0	0	-1	97	227.1869999999763	3	207	
191115_0933	1	timelog	0	0	0	0	-1	98	227.6089999999967	2	207	
191115_0933	1	timelog	1	0	0	0	-1	99	228.170999999973	1	207	
191115_0933	1	timelog	0	0	0	0	-1	100	228.4839999999967	7	207	
