C:\_z-Tree\Data\Channel1\191127_0849.xls
191127_0849	1	EET	left[1]	left[2]	left[3]	left[4]	left[5]	left[6]	left[7]	left[8]	left[9]	left[10]	ownprofit[1]	ownprofit[2]	ownprofit[3]	ownprofit[4]	ownprofit[5]	ownprofit[6]	ownprofit[7]	ownprofit[8]	ownprofit[9]	ownprofit[10]	otherprofit[1]	otherprofit[2]	otherprofit[3]	otherprofit[4]	otherprofit[5]	otherprofit[6]	otherprofit[7]	otherprofit[8]	otherprofit[9]	otherprofit[10]	ownleft[1]	ownleft[2]	ownleft[3]	ownleft[4]	ownleft[5]	ownleft[6]	ownleft[7]	ownleft[8]	ownleft[9]	ownleft[10]	otherleft[1]	otherleft[2]	otherleft[3]	otherleft[4]	otherleft[5]	otherleft[6]	otherleft[7]	otherleft[8]	otherleft[9]	otherleft[10]	Period	Subject	GroupEET	ownPayoffEET	right	
191127_0849	1	EET	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	1	2	0	4	
191127_0849	1	EET	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	2	5	0	4	
191127_0849	1	EET	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	3	1	0	4	
191127_0849	1	EET	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	4	4	0	4	
191127_0849	1	EET	0	1	0	1	1	0	0	0	0	1	4	3	4	5	6	4	4	4	4	6	4	7	4	7	7	4	4	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	5	3	1	4	
191127_0849	1	EET	1	0	0	1	1	1	0	1	1	0	2	4	4	5	6	2	4	4	5	4	7	4	4	7	7	1	4	1	1	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	6	1	1	4	
191127_0849	1	EET	0	0	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	7	4	1	4	
191127_0849	1	EET	0	0	0	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	4	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	8	2	1	4	
191127_0849	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	9	5	1	4	
191127_0849	1	EET	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	10	3	0	4	
191127_0849	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	11	-77777	-77777	4	
191127_0849	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191127_0849	1	session	1	0	0	0	0	0	0	9.384740259740273	29.21588089330025	29.07259953161593	30	29.61354961832061	30.05494505494506	32.06380208333334	30.11180124223602	30.19477769936486	30.01151101220167	30.02428232246924	30.42062153697905	0	1	2	1	30.21588089330025	-0.5	0.5	0	0	
191127_0849	1	session	2	0	0	0	0	0	0	26.72380585516179	12.07178555202182	26.53246753246753	39.52435138825672	21.6227530164984	17.26648351648352	29.23248626373626	21.29093732354603	24.40636805180789	29.15963412966036	30.0978993977817	29.61107044304767	0	0	1	1	13.07178555202182	-77778	-77778	0	1	
191127_0849	1	session	3	0	0	0	0	0	0	0	25.83525345622119	25.41428571428572	19.6458157227388	19.14503816793893	28.25468648998061	26.2176724137931	27.37577639751553	27.86612300373768	28.41408504400755	29.5338925204375	29.35674307645551	0	0	1	1	26.83525345622119	0.5	0.5	1	1	
191127_0849	1	session	4	0	0	0	0	0	0	58.0544670846395	28.33746898263028	42.85714285714285	55.67137005006828	49.4147582697201	36.91071428571429	35.40461753731345	38.69684663162923	36.11856033874383	24.98906740184428	27.21523388116308	28.00250843170321	0	1	2	1	32.33746898263028	-77778	-77778	0	0	
191127_0849	1	session	5	0	0	0	0	0	0	44.05138339920949	44.25893635571055	34.14285714285715	22.54437869822485	33.24904580152672	30.39560439560439	26.80620335820895	30.02661934338953	29.59995732878174	31.74324028974647	30.18583426098244	30.41325322606941	0	0	1	1	48.25893635571055	-77778	-77778	0	1	
191127_0849	1	session	6	0	0	0	0	0	0	0	32.58064516129032	26.21848739495798	5.487295509919946	26.12842388863943	24.1978021978022	29.02674788135593	25.3815439219166	28.53211009174311	29.12376150035385	29.9032513107887	29.02421754016445	0	0	1	1	37.58064516129032	-77778	-77778	1	1	
191127_0849	1	session	7	0	0	0	0	0	0	24.39004010695187	29.09537166900421	29.4	30.11834319526627	31.30297446696499	29.75274725274725	29.66956967213114	30.24008600095557	30.67556296914095	31.36677522552382	30.75120675784393	31.53775028331124	0	0	1	1	33.09537166900421	-2.5	2.5	1	1	
191127_0849	1	session	8	0	0	0	0	0	0	73.5350122850123	36.10383064516128	29.5514950166113	30	28.76908396946565	27.17425431711146	29.40300707547169	31.94916639424649	29.5045871559633	29.73067883783509	29.60719231942912	29.82903571976085	0	0	1	1	41.10383064516128	-0.5	0.5	0	1	
191127_0849	1	session	9	0	0	0	0	0	0	31.30485893416928	31.7921146953405	30	35.82167832167832	30.71344685848503	37.07760989010989	30.86140422077923	30.73249089740843	31.88728702490171	31.59235668789809	30.47293909935046	30.35023997924504	0	1	2	1	36.7921146953405	0.5	0.5	0	0	
191127_0849	1	session	10	0	0	0	0	0	0	22	22	22	34	22	22	22	22	34	34	34	34	1	0	3	1	26	0.5	0.5	0	0	
191127_0849	1	session	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191127_0849	1	summary	Period	
191127_0849	1	summary	-1	
191127_0849	1	summary	0	
191127_0849	1	summary	1	
191127_0849	1	summary	2	
191127_0849	1	summary	3	
191127_0849	1	summary	4	
191127_0849	1	summary	5	
191127_0849	1	summary	6	
191127_0849	1	summary	7	
191127_0849	1	summary	8	
191127_0849	1	summary	9	
191127_0849	1	summary	10	
191127_0849	1	summary	11	
191127_0849	1	summary	12	
191127_0849	1	timelog	Data[1]	Data[2]	Data[3]	Data[4]	Period	ID	Time	Subject	Event	
191127_0849	1	timelog	0	0	0	0	0	1	0	0	1	
191127_0849	1	timelog	0	0	0	0	-1	2	50.21900000000005	7	192	
191127_0849	1	timelog	0	0	0	0	-1	3	64.96900000000005	6	192	
191127_0849	1	timelog	0	0	0	0	-1	4	70.67200000000003	1	192	
191127_0849	1	timelog	0	0	0	0	-1	5	83.375	5	192	
191127_0849	1	timelog	0	0	0	0	-1	6	88.31200000000013	4	192	
191127_0849	1	timelog	0	0	0	0	-1	7	109.781	3	192	
191127_0849	1	timelog	0	0	0	0	-1	8	126.8440000000001	9	192	
191127_0849	1	timelog	0	0	0	0	-1	9	130.703	2	192	
191127_0849	1	timelog	0	0	0	0	-1	10	133.0150000000001	8	192	
191127_0849	1	timelog	0	0	0	0	-1	11	149.156	10	192	
191127_0849	1	timelog	0	0	0	0	-1	12	149.156	0	206	
191127_0849	1	timelog	0	0	0	0	-1	13	155.1870000000001	7	207	
191127_0849	1	timelog	0	0	0	0	-1	14	156.25	8	207	
191127_0849	1	timelog	0	0	0	0	-1	15	156.6870000000001	3	207	
191127_0849	1	timelog	0	0	0	0	-1	16	157.703	7	207	
191127_0849	1	timelog	0	0	0	0	-1	17	157.703	1	207	
191127_0849	1	timelog	1	0	0	0	-1	18	157.9690000000001	4	207	
191127_0849	1	timelog	0	0	0	0	-1	19	158.2190000000001	10	207	
191127_0849	1	timelog	0	0	0	0	-1	20	158.9840000000002	7	207	
191127_0849	1	timelog	1	0	0	0	-1	21	159.281	6	207	
191127_0849	1	timelog	0	0	0	0	-1	22	159.7650000000001	2	207	
191127_0849	1	timelog	0	0	0	0	-1	23	160.203	7	207	
191127_0849	1	timelog	0	0	0	0	-1	24	161.25	9	207	
191127_0849	1	timelog	0	0	0	0	-1	25	161.406	7	207	
191127_0849	1	timelog	0	0	0	0	-1	26	162.3440000000001	3	207	
191127_0849	1	timelog	0	0	0	0	-1	27	163	7	207	
191127_0849	1	timelog	0	0	0	0	-1	28	163.1090000000002	2	207	
191127_0849	1	timelog	0	0	0	0	-1	29	163.9690000000001	8	207	
191127_0849	1	timelog	0	0	0	0	-1	30	164.453	4	207	
191127_0849	1	timelog	0	0	0	0	-1	31	164.4690000000001	7	207	
191127_0849	1	timelog	0	0	0	0	-1	32	165.531	6	207	
191127_0849	1	timelog	0	0	0	0	-1	33	165.7650000000001	10	207	
191127_0849	1	timelog	1	0	0	0	-1	34	166.047	3	207	
191127_0849	1	timelog	0	0	0	0	-1	35	166.406	7	207	
191127_0849	1	timelog	1	0	0	0	-1	36	166.875	4	207	
191127_0849	1	timelog	0	0	0	0	-1	37	167.281	1	207	
191127_0849	1	timelog	1	0	0	0	-1	38	167.9840000000002	2	207	
191127_0849	1	timelog	0	0	0	0	-1	39	168.1400000000001	5	207	
191127_0849	1	timelog	0	0	0	0	-1	40	168.297	4	207	
191127_0849	1	timelog	0	0	0	0	-1	41	169.3900000000001	7	207	
191127_0849	1	timelog	1	0	0	0	-1	42	169.406	3	207	
191127_0849	1	timelog	1	0	0	0	-1	43	169.7190000000001	4	207	
191127_0849	1	timelog	0	0	0	0	-1	44	169.875	8	207	
191127_0849	1	timelog	0	0	0	0	-1	45	170.1090000000002	1	207	
191127_0849	1	timelog	0	0	0	0	-1	46	170.2190000000001	9	207	
191127_0849	1	timelog	0	0	0	0	-1	47	171	7	207	
191127_0849	1	timelog	1	0	0	0	-1	48	171.422	10	207	
191127_0849	1	timelog	1	0	0	0	-1	49	171.4370000000001	2	207	
191127_0849	1	timelog	1	0	0	0	-1	50	171.953	3	207	
191127_0849	1	timelog	0	0	0	0	-1	51	172.25	6	207	
191127_0849	1	timelog	1	0	0	0	-1	52	173.625	5	207	
191127_0849	1	timelog	0	0	0	0	-1	53	173.703	4	207	
191127_0849	1	timelog	0	0	0	0	-1	54	173.75	2	207	
191127_0849	1	timelog	1	0	0	0	-1	55	175.2650000000001	10	207	
191127_0849	1	timelog	1	0	0	0	-1	56	175.3900000000001	6	207	
191127_0849	1	timelog	1	0	0	0	-1	57	175.5	1	207	
191127_0849	1	timelog	0	0	0	0	-1	58	176.125	3	207	
191127_0849	1	timelog	0	0	0	0	-1	59	176.281	4	207	
191127_0849	1	timelog	1	0	0	0	-1	60	176.297	8	207	
191127_0849	1	timelog	0	0	0	0	-1	61	177.6400000000001	2	207	
191127_0849	1	timelog	1	0	0	0	-1	62	178.1400000000001	10	207	
191127_0849	1	timelog	1	0	0	0	-1	63	178.703	6	207	
191127_0849	1	timelog	0	0	0	0	-1	64	179.25	4	207	
191127_0849	1	timelog	1	0	0	0	-1	65	179.781	8	207	
191127_0849	1	timelog	0	0	0	0	-1	66	179.875	3	207	
191127_0849	1	timelog	0	0	0	0	-1	67	180.2650000000001	2	207	
191127_0849	1	timelog	1	0	0	0	-1	68	180.406	1	207	
191127_0849	1	timelog	1	0	0	0	-1	69	181.4370000000001	9	207	
191127_0849	1	timelog	0	0	0	0	-1	70	181.453	5	207	
191127_0849	1	timelog	0	0	0	0	-1	71	182.5620000000001	2	207	
191127_0849	1	timelog	0	0	0	0	-1	72	182.8900000000001	3	207	
191127_0849	1	timelog	0	0	0	0	-1	73	183.3590000000002	10	207	
191127_0849	1	timelog	0	0	0	0	-1	74	183.8590000000002	1	207	
191127_0849	1	timelog	0	0	0	0	-1	75	184.031	8	207	
191127_0849	1	timelog	1	0	0	0	-1	76	185.172	6	207	
191127_0849	1	timelog	0	0	0	0	-1	77	185.25	10	207	
191127_0849	1	timelog	1	0	0	0	-1	78	186.328	5	207	
191127_0849	1	timelog	0	0	0	0	-1	79	187.078	8	207	
191127_0849	1	timelog	1	0	0	0	-1	80	187.3120000000001	9	207	
191127_0849	1	timelog	0	0	0	0	-1	81	187.5	4	207	
191127_0849	1	timelog	0	0	0	0	-1	82	188.031	1	207	
191127_0849	1	timelog	1	0	0	0	-1	83	188.156	3	207	
191127_0849	1	timelog	1	0	0	0	-1	84	188.9690000000001	5	207	
191127_0849	1	timelog	0	0	0	0	-1	85	189.547	6	207	
191127_0849	1	timelog	0	0	0	0	-1	86	190.0620000000001	2	207	
191127_0849	1	timelog	1	0	0	0	-1	87	190.9840000000002	3	207	
191127_0849	1	timelog	0	0	0	0	-1	88	190.9840000000002	4	207	
191127_0849	1	timelog	0	0	0	0	-1	89	191.031	10	207	
191127_0849	1	timelog	0	0	0	0	-1	90	191.8440000000001	8	207	
191127_0849	1	timelog	1	0	0	0	-1	91	192.4370000000001	9	207	
191127_0849	1	timelog	0	0	0	0	-1	92	192.906	5	207	
191127_0849	1	timelog	1	0	0	0	-1	93	193.2190000000001	6	207	
191127_0849	1	timelog	0	0	0	0	-1	94	195.578	1	207	
191127_0849	1	timelog	1	0	0	0	-1	95	195.828	8	207	
191127_0849	1	timelog	1	0	0	0	-1	96	196.797	6	207	
191127_0849	1	timelog	0	0	0	0	-1	97	197.203	5	207	
191127_0849	1	timelog	0	0	0	0	-1	98	197.281	9	207	
191127_0849	1	timelog	1	0	0	0	-1	99	199.0620000000001	8	207	
191127_0849	1	timelog	1	0	0	0	-1	100	199.5	10	207	
191127_0849	1	timelog	0	0	0	0	-1	101	201	6	207	
191127_0849	1	timelog	0	0	0	0	-1	102	201.1400000000001	9	207	
191127_0849	1	timelog	0	0	0	0	-1	103	201.656	5	207	
191127_0849	1	timelog	1	0	0	0	-1	104	202.125	1	207	
191127_0849	1	timelog	0	0	0	0	-1	105	204.2190000000001	9	207	
