C:\_z-Tree\Data\Channel2\191127_0849.xls
191127_0849	1	EET	left[1]	left[2]	left[3]	left[4]	left[5]	left[6]	left[7]	left[8]	left[9]	left[10]	ownprofit[1]	ownprofit[2]	ownprofit[3]	ownprofit[4]	ownprofit[5]	ownprofit[6]	ownprofit[7]	ownprofit[8]	ownprofit[9]	ownprofit[10]	otherprofit[1]	otherprofit[2]	otherprofit[3]	otherprofit[4]	otherprofit[5]	otherprofit[6]	otherprofit[7]	otherprofit[8]	otherprofit[9]	otherprofit[10]	ownleft[1]	ownleft[2]	ownleft[3]	ownleft[4]	ownleft[5]	ownleft[6]	ownleft[7]	ownleft[8]	ownleft[9]	ownleft[10]	otherleft[1]	otherleft[2]	otherleft[3]	otherleft[4]	otherleft[5]	otherleft[6]	otherleft[7]	otherleft[8]	otherleft[9]	otherleft[10]	Period	Subject	GroupEET	ownPayoffEET	right	
191127_0849	1	EET	0	0	0	1	1	0	0	0	0	0	4	4	4	5	6	4	4	4	4	4	4	4	4	7	7	4	4	4	4	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	1	4	1	4	
191127_0849	1	EET	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	2	5	0	4	
191127_0849	1	EET	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	3	2	0	4	
191127_0849	1	EET	0	1	0	1	1	1	0	0	0	1	4	3	4	5	6	2	4	4	4	6	4	7	4	7	7	1	4	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	4	1	1	4	
191127_0849	1	EET	1	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	5	4	0	4	
191127_0849	1	EET	0	0	0	1	1	0	0	1	1	1	4	4	4	5	6	4	4	4	5	6	4	4	4	7	7	4	4	1	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	6	2	1	4	
191127_0849	1	EET	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	7	3	0	4	
191127_0849	1	EET	0	0	0	1	1	0	0	1	1	0	4	4	4	5	6	4	4	4	5	4	4	4	4	7	7	4	4	1	1	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	8	5	1	4	
191127_0849	1	EET	0	1	1	1	1	0	0	0	0	1	4	3	4	5	6	4	4	4	4	6	4	7	7	7	7	4	4	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	9	3	1	4	
191127_0849	1	EET	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	10	1	0	4	
191127_0849	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	11	-77777	-77777	4	
191127_0849	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191127_0849	1	session	1	0	0	0	0	0	0	34.00791687283524	28.19174942704355	87.68575606189836	52.98412698412698	42.46787564766841	49.05853570134107	46.65791316526611	37.40175953079179	62.95278637770896	50.6978102189781	32.948350071736	24.43731117824773	0	1	2	1	56.98412698412698	-0.5	2.5	0	0	
191127_0849	1	session	2	0	0	0	0	0	0	29.00125156445557	28.04473304473304	27.37534354142128	27.86780383795309	30.86905322656618	31.5790838375108	33.51648351648352	30.38083538083538	30.71078431372548	33.8217876325575	30.12605042016807	31.67026327147174	0	0	1	1	28.86780383795309	0.5	2.5	0	0	
191127_0849	1	session	3	0	0	0	0	0	0	34.32127659574468	32.39942983845423	32.4493211828157	15.81203007518797	26.91450777202073	31.82800345721694	32.12698412698413	29.2375366568915	30.57653743315508	30	30.93529411764706	30.87678678909315	0	0	1	1	16.81203007518797	-0.5	0.5	0	1	
191127_0849	1	session	4	0	0	0	0	0	0	19.37641466727025	23.10507674144037	1.157243816254418	33.11030741410488	12.98691922194853	24.51481103166497	32.64880952380951	25.75076608784474	27.85130718954248	13.257299270073	30.52019315188762	30.3058912386707	0	0	1	1	37.11030741410488	-77778	-77778	1	1	
191127_0849	1	session	5	0	0	0	0	0	0	51.38297872340425	37.69993164730007	15.81861012956421	33.76306620209059	26.64507772020725	20.74719101123596	30.33174603174603	31.66512059369202	38.17888799355359	26.4154236750238	38.58718487394958	42.17266035997155	0	0	1	1	37.76306620209059	-77778	-77778	0	1	
191127_0849	1	session	6	0	0	0	0	0	0	8.664893617021264	24.98880429914912	12.2741039878849	14.1871921182266	12.22715496938296	6.47359550561799	0	20.34056987788332	8.198529411764699	11.04535974973931	11.94989106753812	9.375429404432435	0	1	2	1	19.1871921182266	-0.5	-0.5	0	0	
191127_0849	1	session	7	0	0	0	0	0	0	26	26	22	26	26	14	14	14	26	26	26	18	1	0	3	1	30	-2.5	-1.5	0	0	
191127_0849	1	session	8	0	0	0	0	0	0	22.36778115501519	28.10606060606061	25.0188457008245	28.74393530997305	30.139896373057	24.19743178170145	0	28.11570247933885	26.96691176470588	30.73357664233577	31.58573806881243	30.2063099969226	0	0	1	1	33.74393530997305	-77778	-77778	1	1	
191127_0849	1	session	9	0	0	0	0	0	0	40.89209726443769	39.15584415584415	67.24221008673307	32.47386759581882	49.73961535083868	37.85160790391321	130.5108225108225	37.59288537549407	34.27409261576972	35.61057407772736	37.88947610294118	51.59539855914478	0	0	1	1	36.47386759581882	1.5	2.5	1	1	
191127_0849	1	session	10	0	0	0	0	0	0	31.26980534178362	30.36855036855037	36.36200622330046	30.37105751391466	40.18998272884284	30	35.67796610169491	31.7825311942959	34.55882352941176	33.0557398805574	33.11866125760649	31.95287644780933	0	1	2	1	34.37105751391466	-0.5	2.5	0	0	
191127_0849	1	session	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191127_0849	1	summary	Period	
191127_0849	1	summary	-1	
191127_0849	1	summary	0	
191127_0849	1	summary	1	
191127_0849	1	summary	2	
191127_0849	1	summary	3	
191127_0849	1	summary	4	
191127_0849	1	summary	5	
191127_0849	1	summary	6	
191127_0849	1	summary	7	
191127_0849	1	summary	8	
191127_0849	1	summary	9	
191127_0849	1	summary	10	
191127_0849	1	summary	11	
191127_0849	1	summary	12	
191127_0849	1	timelog	Data[1]	Data[2]	Data[3]	Data[4]	Period	ID	Time	Subject	Event	
191127_0849	1	timelog	0	0	0	0	0	1	0	0	1	
191127_0849	1	timelog	0	0	0	0	-1	2	4.375	1	192	
191127_0849	1	timelog	0	0	0	0	-1	3	8.140999999999849	10	192	
191127_0849	1	timelog	0	0	0	0	-1	4	25.95399999999995	8	192	
191127_0849	1	timelog	0	0	0	0	-1	5	37.2349999999999	6	192	
191127_0849	1	timelog	0	0	0	0	-1	6	59.4849999999999	9	192	
191127_0849	1	timelog	0	0	0	0	-1	7	59.54700000000003	3	192	
191127_0849	1	timelog	0	0	0	0	-1	8	69.76599999999985	4	192	
191127_0849	1	timelog	0	0	0	0	-1	9	76.375	7	192	
191127_0849	1	timelog	0	0	0	0	-1	10	90.8599999999999	5	192	
191127_0849	1	timelog	0	0	0	0	-1	11	141.875	2	192	
191127_0849	1	timelog	0	0	0	0	-1	12	141.875	0	206	
191127_0849	1	timelog	0	0	0	0	-1	13	146.4690000000001	6	207	
191127_0849	1	timelog	0	0	0	0	-1	14	148.625	1	207	
191127_0849	1	timelog	0	0	0	0	-1	15	149.7349999999999	4	207	
191127_0849	1	timelog	0	0	0	0	-1	16	149.8599999999999	2	207	
191127_0849	1	timelog	0	0	0	0	-1	17	150.125	10	207	
191127_0849	1	timelog	0	0	0	0	-1	18	150.625	6	207	
191127_0849	1	timelog	0	0	0	0	-1	19	150.7819999999999	8	207	
191127_0849	1	timelog	0	0	0	0	-1	20	150.829	9	207	
191127_0849	1	timelog	1	0	0	0	-1	21	151.297	5	207	
191127_0849	1	timelog	0	0	0	0	-1	22	152.7659999999999	1	207	
191127_0849	1	timelog	0	0	0	0	-1	23	153.5629999999999	6	207	
191127_0849	1	timelog	0	0	0	0	-1	24	154.047	10	207	
191127_0849	1	timelog	0	0	0	0	-1	25	154.8909999999999	8	207	
191127_0849	1	timelog	1	0	0	0	-1	26	155.4690000000001	6	207	
191127_0849	1	timelog	1	0	0	0	-1	27	155.547	4	207	
191127_0849	1	timelog	0	0	0	0	-1	28	157.1409999999999	7	207	
191127_0849	1	timelog	1	0	0	0	-1	29	157.25	6	207	
191127_0849	1	timelog	0	0	0	0	-1	30	157.954	1	207	
191127_0849	1	timelog	1	0	0	0	-1	31	159	9	207	
191127_0849	1	timelog	0	0	0	0	-1	32	160.3129999999999	6	207	
191127_0849	1	timelog	0	0	0	0	-1	33	160.6569999999999	8	207	
191127_0849	1	timelog	0	0	0	0	-1	34	160.8440000000001	2	207	
191127_0849	1	timelog	0	0	0	0	-1	35	161.1409999999999	10	207	
191127_0849	1	timelog	0	0	0	0	-1	36	161.3909999999999	4	207	
191127_0849	1	timelog	1	0	0	0	-1	37	161.7819999999999	1	207	
191127_0849	1	timelog	0	0	0	0	-1	38	161.9379999999999	5	207	
191127_0849	1	timelog	1	0	0	0	-1	39	162.0940000000001	9	207	
191127_0849	1	timelog	0	0	0	0	-1	40	163.1879999999999	6	207	
191127_0849	1	timelog	1	0	0	0	-1	41	163.954	4	207	
191127_0849	1	timelog	1	0	0	0	-1	42	164.4690000000001	9	207	
191127_0849	1	timelog	1	0	0	0	-1	43	164.6409999999999	2	207	
191127_0849	1	timelog	1	0	0	0	-1	44	164.8440000000001	1	207	
191127_0849	1	timelog	1	0	0	0	-1	45	165.704	8	207	
191127_0849	1	timelog	1	0	0	0	-1	46	165.7819999999999	10	207	
191127_0849	1	timelog	1	0	0	0	-1	47	166.0159999999999	6	207	
191127_0849	1	timelog	0	0	0	0	-1	48	166.422	5	207	
191127_0849	1	timelog	1	0	0	0	-1	49	166.5319999999999	4	207	
191127_0849	1	timelog	1	0	0	0	-1	50	167.079	2	207	
191127_0849	1	timelog	0	0	0	0	-1	51	167.547	3	207	
191127_0849	1	timelog	0	0	0	0	-1	52	167.875	1	207	
191127_0849	1	timelog	1	0	0	0	-1	53	167.9379999999999	8	207	
191127_0849	1	timelog	1	0	0	0	-1	54	168.6099999999999	10	207	
191127_0849	1	timelog	1	0	0	0	-1	55	168.6409999999999	6	207	
191127_0849	1	timelog	0	0	0	0	-1	56	169.1409999999999	7	207	
191127_0849	1	timelog	1	0	0	0	-1	57	169.454	2	207	
191127_0849	1	timelog	0	0	0	0	-1	58	169.5	1	207	
191127_0849	1	timelog	1	0	0	0	-1	59	170.0629999999999	4	207	
191127_0849	1	timelog	1	0	0	0	-1	60	170.2190000000001	9	207	
191127_0849	1	timelog	1	0	0	0	-1	61	170.2659999999999	6	207	
191127_0849	1	timelog	0	0	0	0	-1	62	171.2349999999999	1	207	
191127_0849	1	timelog	0	0	0	0	-1	63	171.797	10	207	
191127_0849	1	timelog	1	0	0	0	-1	64	172.3599999999999	5	207	
191127_0849	1	timelog	0	0	0	0	-1	65	172.875	4	207	
191127_0849	1	timelog	0	0	0	0	-1	66	172.9690000000001	3	207	
191127_0849	1	timelog	0	0	0	0	-1	67	173.125	2	207	
191127_0849	1	timelog	0	0	0	0	-1	68	173.1409999999999	1	207	
191127_0849	1	timelog	0	0	0	0	-1	69	173.5940000000001	8	207	
191127_0849	1	timelog	0	0	0	0	-1	70	173.6569999999999	9	207	
191127_0849	1	timelog	0	0	0	0	-1	71	174.797	10	207	
191127_0849	1	timelog	0	0	0	0	-1	72	175.8599999999999	1	207	
191127_0849	1	timelog	0	0	0	0	-1	73	175.8909999999999	9	207	
191127_0849	1	timelog	0	0	0	0	-1	74	175.9069999999999	2	207	
191127_0849	1	timelog	0	0	0	0	-1	75	177.3599999999999	4	207	
191127_0849	1	timelog	0	0	0	0	-1	76	177.5	8	207	
191127_0849	1	timelog	0	0	0	0	-1	77	177.5629999999999	7	207	
191127_0849	1	timelog	0	0	0	0	-1	78	177.8440000000001	10	207	
191127_0849	1	timelog	0	0	0	0	-1	79	179.4069999999999	9	207	
191127_0849	1	timelog	0	0	0	0	-1	80	179.6569999999999	3	207	
191127_0849	1	timelog	1	0	0	0	-1	81	180.0629999999999	5	207	
191127_0849	1	timelog	0	0	0	0	-1	82	180.25	2	207	
191127_0849	1	timelog	0	0	0	0	-1	83	181.3599999999999	4	207	
191127_0849	1	timelog	1	0	0	0	-1	84	181.5	8	207	
191127_0849	1	timelog	0	0	0	0	-1	85	183.0159999999999	10	207	
191127_0849	1	timelog	0	0	0	0	-1	86	183.5	2	207	
191127_0849	1	timelog	1	0	0	0	-1	87	183.5629999999999	4	207	
191127_0849	1	timelog	1	0	0	0	-1	88	184.25	8	207	
191127_0849	1	timelog	1	0	0	0	-1	89	184.9379999999999	3	207	
191127_0849	1	timelog	0	0	0	0	-1	90	186.0940000000001	5	207	
191127_0849	1	timelog	0	0	0	0	-1	91	187.3129999999999	10	207	
191127_0849	1	timelog	0	0	0	0	-1	92	188.1099999999999	2	207	
191127_0849	1	timelog	1	0	0	0	-1	93	189	3	207	
191127_0849	1	timelog	0	0	0	0	-1	94	189.0629999999999	5	207	
191127_0849	1	timelog	0	0	0	0	-1	95	192.6099999999999	7	207	
191127_0849	1	timelog	0	0	0	0	-1	96	192.7349999999999	8	207	
191127_0849	1	timelog	0	0	0	0	-1	97	192.8599999999999	3	207	
191127_0849	1	timelog	0	0	0	0	-1	98	194.8909999999999	9	207	
191127_0849	1	timelog	1	0	0	0	-1	99	196.7190000000001	9	207	
191127_0849	1	timelog	1	0	0	0	-1	100	197.4379999999999	5	207	
191127_0849	1	timelog	0	0	0	0	-1	101	197.547	3	207	
191127_0849	1	timelog	1	0	0	0	-1	102	199.922	7	207	
191127_0849	1	timelog	0	0	0	0	-1	103	203.3599999999999	3	207	
