C:\_z-Tree\Data\Channel1\191010_1133.xls
191010_1133	1	EET	
191010_1133	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191010_1133	1	session	1	34.98673153471916	0	0	0	34.98673153471916	34.98673153471916	29.88888888888889	29.56578947368421	31.34148581625423	29.75471027372911	31.63148079074972	29.92423133235725	29.98673153471915	29.84801381692573	29.99642403051495	29.95149119655049	30.0297738113556	30.06838905775076	0	0	1	1	34.98673153471916	0.5	0.5	0	0	
191010_1133	1	session	2	35.04148301788955	0	0	0	35.04148301788955	35.04148301788955	29.6141975308642	38.4954233409611	29.07311742499502	30.311396695382	14.17223525246712	30.62397726294031	30.04148301788955	29.8728214790391	29.89362749926131	30	28.88853092783505	32.09777671527612	0	1	2	1	35.04148301788955	2.5	0.5	1	0	
191010_1133	1	session	3	37	0	0	0	37	37	30	30	30	30	30	30	30	30	30	30	30	30	1	0	3	1	37	0.5	0.5	0	0	
191010_1133	1	session	4	34.92593423858153	0	0	0	34.92593423858153	34.92593423858153	29.46969696969697	29.15669856459329	30.09949716486573	29.08203553410836	28.83612348333589	30.03394116864102	29.92593423858153	30.08257772020725	29.9937062937063	30.02721225559363	29.9730628533422	27.14310226492793	0	1	2	1	34.92593423858153	-0.5	-2.5	0	0	
191010_1133	1	session	5	34.9652978600347	0	0	0	34.9652978600347	34.9652978600347	30.94262295081967	25.51973684210527	28.54137691237831	29.65758468335788	37.35453189108542	30.16069706817127	29.9652978600347	30.02634583296742	30.0207029812293	30	29.99962587296309	29.85039893617021	0	0	1	1	34.9652978600347	0.5	2.5	0	0	
191010_1133	1	session	6	37	0	0	0	37	37	30	30	30	30	30	30	30	31.62435233160622	30	30	30	30	0	0	1	1	37	0.5	2.5	0	0	
191010_1133	1	session	7	37	0	0	0	37	37	29.11111111111111	30.45112781954888	29.74791376912378	33.31564584596725	29.93390992167101	29.7446925329429	30	30	29.95504495504495	30	29.9869686088266	30	0	0	1	1	37	-77778	-77778	1	1	
191010_1133	1	session	8	35	0	0	0	35	35	30.71111111111111	33.67513611615245	29.24374130737135	30	29.79480013238701	29.6705710102489	30	28.89153147031343	30.12280402524305	30	30.51546391752577	29.928700769579	0	0	1	1	35	-77778	-77778	1	0	
191010_1133	1	session	9	37.06151742993848	0	0	0	37.06151742993848	37.06151742993848	30.15151515151515	28.3955857385399	30	29.27438540840603	29.98397816282933	30	30.06151742993848	29.20947446336048	30.05827505827506	30	30.244167118828	28.67203439230545	0	0	1	1	37.06151742993848	-2.5	2.5	0	1	
191010_1133	1	session	10	37.02148227712138	0	0	0	37.02148227712138	37.02148227712138	29.04761904761905	24.82686980609419	31.99235048678721	30	45.03916449086162	29.79293034929931	30.02148227712138	30	30.00555327025915	30	30.0418354197349	30.13164893617022	0	1	2	1	37.02148227712138	0.5	2.5	0	0	
191010_1133	1	session	11	5	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191010_1133	1	summary	
191010_1133	1	timelog	
191010_1133	1	markets	
191010_1133	1	groups	
191010_1133	1	structure	Period	MarketID	IsTraining	Treatment	
191010_1133	1	structure	-1	0	1	0	
191010_1133	1	structure	0	0	1	0	
191010_1133	1	structure	1	3	0	5	
191010_1133	1	structure	2	3	0	5	
191010_1133	1	structure	3	3	0	5	
191010_1133	1	structure	4	3	0	6	
191010_1133	1	structure	5	3	0	6	
191010_1133	1	structure	6	3	0	6	
191010_1133	1	structure	7	3	0	-1	
191010_1133	1	structure	8	3	0	-1	
191010_1133	1	structure	9	3	0	-1	
191010_1133	1	structure	10	3	0	-1	
191010_1133	1	structure	11	3	0	-1	
191010_1133	1	structure	12	3	0	-1	
191010_1133	1	tagnums	TagID	TagNum	
191010_1133	1	tagnums	0	52	
191010_1133	1	tagnums	1	263	
191010_1133	1	tagnums	2	238	
191010_1133	1	tagnums	3	197	
191010_1133	1	tagnums	4	122	
191010_1133	1	tagnums	5	262	
191010_1133	1	tagnums	6	143	
191010_1133	1	tagnums	7	247	
191010_1133	1	tagnums	8	181	
191010_1133	1	tagnums	9	182	
191010_1133	1	tagnums	10	161	
191010_1133	1	tagnums	11	269	
191010_1133	1	tagnums	12	187	
191010_1133	1	tagnums	13	221	
191010_1133	1	tagnums	14	246	
191010_1133	1	tagnums	15	252	
191010_1133	1	tagnums	16	13	
191010_1133	1	tagnums	17	188	
191010_1133	1	tagnums	18	94	
191010_1133	1	tagnums	19	19	
191010_1133	1	tagnums	20	267	
191010_1133	1	tagnums	21	76	
191010_1133	1	tagnums	22	264	
191010_1133	1	tagnums	23	171	
191010_1133	1	tagnums	24	77	
191010_1133	1	tagnums	25	87	
191010_1133	1	tagnums	26	158	
191010_1133	1	tagnums	27	179	
191010_1133	1	tagnums	28	204	
191010_1133	1	tagnums	29	259	
191010_1133	1	tagnums	30	196	
191010_1133	1	tagnums	31	205	
191010_1133	1	tagnums	32	27	
191010_1133	1	tagnums	33	43	
191010_1133	1	tagnums	34	152	
191010_1133	1	tagnums	35	83	
191010_1133	1	tagnums	36	145	
191010_1133	1	tagnums	37	175	
191010_1133	1	tagnums	38	235	
191010_1133	1	tagnums	39	201	
191010_1133	1	tagnums	40	147	
191010_1133	1	tagnums	41	153	
191010_1133	1	tagnums	42	194	
191010_1133	1	tagnums	43	137	
191010_1133	1	tagnums	44	163	
191010_1133	1	tagnums	45	176	
191010_1133	1	tagnums	46	245	
191010_1133	1	tagnums	47	271	
191010_1133	1	tagnums	48	108	
191010_1133	1	tagnums	49	32	
191010_1133	1	tagnums	50	216	
191010_1133	1	tagnums	51	229	
191010_1133	1	tagnums	52	134	
191010_1133	1	tagnums	53	59	
191010_1133	1	tagnums	54	132	
191010_1133	1	tagnums	55	218	
191010_1133	1	tagnums	56	105	
191010_1133	1	tagnums	57	167	
191010_1133	1	tagnums	58	273	
191010_1133	1	tagnums	59	140	
191010_1133	1	tagnums	60	164	
191010_1133	1	tagnums	61	26	
191010_1133	1	tagnums	62	280	
191010_1133	1	tagnums	63	209	
191010_1133	1	tagnums	64	234	
191010_1133	1	tagnums	65	99	
191010_1133	1	tagnums	66	274	
191010_1133	1	tagnums	67	251	
191010_1133	1	tagnums	68	178	
191010_1133	1	tagnums	69	265	
191010_1133	1	tagnums	70	47	
191010_1133	1	tagnums	71	20	
191010_1133	1	tagnums	72	275	
191010_1133	1	tagnums	73	157	
191010_1133	1	tagnums	74	270	
191010_1133	1	tagnums	75	62	
191010_1133	1	tagnums	76	129	
191010_1133	1	tagnums	77	148	
191010_1133	1	tagnums	78	266	
191010_1133	1	tagnums	79	42	
191010_1133	1	tagnums	80	155	
191010_1133	1	tagnums	81	149	
191010_1133	1	tagnums	82	126	
191010_1133	1	tagnums	83	192	
191010_1133	1	tagnums	84	98	
191010_1133	1	tagnums	85	277	
191010_1133	1	tagnums	86	97	
191010_1133	1	tagnums	87	225	
191010_1133	1	tagnums	88	191	
191010_1133	1	tagnums	89	115	
191010_1133	1	tagnums	90	177	
191010_1133	1	tagnums	91	212	
191010_1133	1	tagnums	92	18	
191010_1133	1	tagnums	93	159	
191010_1133	1	tagnums	94	243	
191010_1133	1	tagnums	95	120	
191010_1133	1	tagnums	96	116	
191010_1133	1	tagnums	97	41	
191010_1133	1	tagnums	98	75	
191010_1133	1	tagnums	99	257	
191010_1133	1	tagnums	100	45	
191010_1133	1	tagnums	101	71	
191010_1133	1	tagnums	102	81	
191010_1133	1	tagnums	103	222	
191010_1133	1	tagnums	104	244	
191010_1133	1	tagnums	105	80	
191010_1133	1	tagnums	106	133	
191010_1133	1	tagnums	107	198	
191010_1133	1	tagnums	108	54	
191010_1133	1	tagnums	109	106	
191010_1133	1	tagnums	110	96	
191010_1133	1	tagnums	111	183	
191010_1133	1	tagnums	112	24	
191010_1133	1	tagnums	113	170	
191010_1133	1	tagnums	114	101	
