C:\_z-Tree\Data\Channel2\191010_1134.xls
191010_1134	1	EET	left[1]	left[2]	left[3]	left[4]	left[5]	left[6]	left[7]	left[8]	left[9]	left[10]	ownprofit[1]	ownprofit[2]	ownprofit[3]	ownprofit[4]	ownprofit[5]	ownprofit[6]	ownprofit[7]	ownprofit[8]	ownprofit[9]	ownprofit[10]	otherprofit[1]	otherprofit[2]	otherprofit[3]	otherprofit[4]	otherprofit[5]	otherprofit[6]	otherprofit[7]	otherprofit[8]	otherprofit[9]	otherprofit[10]	ownleft[1]	ownleft[2]	ownleft[3]	ownleft[4]	ownleft[5]	ownleft[6]	ownleft[7]	ownleft[8]	ownleft[9]	ownleft[10]	otherleft[1]	otherleft[2]	otherleft[3]	otherleft[4]	otherleft[5]	otherleft[6]	otherleft[7]	otherleft[8]	otherleft[9]	otherleft[10]	Period	Subject	GroupEET	ownPayoffEET	right	
191010_1134	1	EET	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	1	2	0	4	
191010_1134	1	EET	0	0	0	1	1	0	0	1	1	1	4	4	4	5	6	4	4	4	5	6	4	4	4	7	7	4	4	1	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	2	1	1	4	
191010_1134	1	EET	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	3	3	0	4	
191010_1134	1	EET	0	0	0	1	1	0	0	1	1	1	4	4	4	5	6	4	4	4	5	6	4	4	4	7	7	4	4	1	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	4	4	1	4	
191010_1134	1	EET	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	5	4	0	4	
191010_1134	1	EET	0	0	1	1	1	0	0	0	0	1	4	4	4	5	6	4	4	4	4	6	4	4	7	7	7	4	4	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	6	3	1	4	
191010_1134	1	EET	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	7	1	0	4	
191010_1134	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	8	5	1	4	
191010_1134	1	EET	0	0	0	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	4	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	9	2	1	4	
191010_1134	1	EET	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	10	5	0	4	
191010_1134	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	11	-77777	-77777	4	
191010_1134	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191010_1134	1	session	1	0	0	0	0	0	0	29.37306501547988	28.23130213487912	29.97916666666667	30	32.77472527472527	25.33922771562613	30	30.31842417061612	29.77472527472527	30	28.2084690553746	30	0	1	2	1	31	0.5	0.5	1	0	
191010_1134	1	session	2	0	0	0	0	0	0	30.06401137980085	30.05168082306496	30.15202702702703	31.56748911465892	31.74706246134818	23.3459178857952	30.16278827089638	30.74852280421001	30	30	30.95365174051255	30.01354375675259	0	1	2	1	36.56748911465893	-0.5	-0.5	0	0	
191010_1134	1	session	3	0	0	0	0	0	0	30	32.70106642968229	30	31.07634252539912	30	30	30.18396547808312	30.15479284513071	30	30	30.21831034721741	30	0	0	1	1	35.07634252539912	-0.5	0.5	0	0	
191010_1134	1	session	4	0	0	0	0	0	0	30	29.1582152322958	30.01053370786517	29.70972423802613	28.22904368358914	35.02396472392638	31.27939627939628	30.0571259309411	30	30	30	30	0	0	1	1	34.70972423802613	-0.5	-0.5	0	0	
191010_1134	1	session	5	0	0	0	0	0	0	30.51809210526316	26.80642396927668	30.17361111111111	29.0983751637226	27.69667114494702	36.21549079754601	30.11583011583011	29.68829748450601	30	30	30.1151698464402	30	0	0	1	1	30.0983751637226	-0.5	0.5	0	0	
191010_1134	1	session	6	0	0	0	0	0	0	27.02255639097744	32.51360808709175	29.75694444444444	29.88779725354471	32.62651141961486	29.42661632845682	29.92743173466065	30.03554502369669	30.25974025974026	30	28.71219171707771	30	0	1	2	1	33.8877972535447	0.5	2.5	0	0	
191010_1134	1	session	7	0	0	0	0	0	0	14	34	38	22	22	14	30	26	34	30	30	30	1	0	3	1	23	-77778	-77778	0	0	
191010_1134	1	session	8	0	0	0	0	0	0	30	28.92902587303831	30.16875	29.59437781682072	29.64035964035964	31.85131721400217	30	29.90336196682464	29.96598639455782	30	30	30	0	0	1	1	34.59437781682073	0.5	0.5	0	1	
191010_1134	1	session	9	0	0	0	0	0	0	29.14224751066857	32.97433903576982	29.92897727272727	29.49812848521886	29.61038961038961	31.28834355828221	29.5935018576528	28.92081358609795	30.00661375661376	30	30.02230562243308	29.99006791171478	0	0	1	1	34.49812848521886	-0.5	0.5	0	0	
191010_1134	1	session	10	0	0	0	0	0	0	33.17496443812233	27.76827371695179	29.97775423728814	30.12878431693207	29.37950937950939	30	29.36748947984903	29.77542007755278	30	30	29.98827361563519	30	0	0	1	1	31.12878431693207	-0.5	0.5	1	0	
191010_1134	1	session	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191010_1134	1	summary	Period	
191010_1134	1	summary	-1	
191010_1134	1	summary	0	
191010_1134	1	summary	1	
191010_1134	1	summary	2	
191010_1134	1	summary	3	
191010_1134	1	summary	4	
191010_1134	1	summary	5	
191010_1134	1	summary	6	
191010_1134	1	summary	7	
191010_1134	1	summary	8	
191010_1134	1	summary	9	
191010_1134	1	summary	10	
191010_1134	1	summary	11	
191010_1134	1	summary	12	
191010_1134	1	timelog	Data[1]	Data[2]	Data[3]	Data[4]	Period	ID	Time	Subject	Event	
191010_1134	1	timelog	0	0	0	0	0	1	0	0	1	
191010_1134	1	timelog	0	0	0	0	-1	2	3.125	10	192	
191010_1134	1	timelog	0	0	0	0	-1	3	3.984000000054948	2	192	
191010_1134	1	timelog	0	0	0	0	-1	4	4.812000000034459	4	192	
191010_1134	1	timelog	0	0	0	0	-1	5	5.155999999959022	7	192	
191010_1134	1	timelog	0	0	0	0	-1	6	5.827999999979511	5	192	
191010_1134	1	timelog	0	0	0	0	-1	7	5.89000000001397	6	192	
191010_1134	1	timelog	0	0	0	0	-1	8	6.092999999993481	3	192	
191010_1134	1	timelog	0	0	0	0	-1	9	7.920999999972992	1	192	
191010_1134	1	timelog	0	0	0	0	-1	10	8.702999999979511	8	192	
191010_1134	1	timelog	0	0	0	0	-1	11	87.46799999999348	9	192	
191010_1134	1	timelog	0	0	0	0	-1	12	87.46799999999348	0	206	
191010_1134	1	timelog	0	0	0	0	-1	13	91.82799999997951	2	207	
191010_1134	1	timelog	0	0	0	0	-1	14	91.89000000001397	7	207	
191010_1134	1	timelog	0	0	0	0	-1	15	93.04599999997299	7	207	
191010_1134	1	timelog	0	0	0	0	-1	16	93.40599999995902	6	207	
191010_1134	1	timelog	0	0	0	0	-1	17	93.43700000003446	5	207	
191010_1134	1	timelog	0	0	0	0	-1	18	94	7	207	
191010_1134	1	timelog	0	0	0	0	-1	19	94.09299999999348	1	207	
191010_1134	1	timelog	0	0	0	0	-1	20	95.35900000005495	7	207	
191010_1134	1	timelog	0	0	0	0	-1	21	96	8	207	
191010_1134	1	timelog	0	0	0	0	-1	22	96.26500000001397	2	207	
191010_1134	1	timelog	0	0	0	0	-1	23	96.39000000001397	10	207	
191010_1134	1	timelog	0	0	0	0	-1	24	96.40599999995902	7	207	
191010_1134	1	timelog	0	0	0	0	-1	25	96.76500000001397	6	207	
191010_1134	1	timelog	0	0	0	0	-1	26	97.59299999999348	7	207	
191010_1134	1	timelog	0	0	0	0	-1	27	97.73400000005495	4	207	
191010_1134	1	timelog	1	0	0	0	-1	28	98.875	7	207	
191010_1134	1	timelog	0	0	0	0	-1	29	99.01500000001397	5	207	
191010_1134	1	timelog	0	0	0	0	-1	30	99.68700000003446	7	207	
191010_1134	1	timelog	0	0	0	0	-1	31	100.420999999973	1	207	
191010_1134	1	timelog	1	0	0	0	-1	32	100.7029999999795	7	207	
191010_1134	1	timelog	1	0	0	0	-1	33	100.8429999999935	6	207	
191010_1134	1	timelog	0	0	0	0	-1	34	100.875	8	207	
191010_1134	1	timelog	0	0	0	0	-1	35	101.045999999973	10	207	
191010_1134	1	timelog	0	0	0	0	-1	36	101.8120000000345	5	207	
191010_1134	1	timelog	1	0	0	0	-1	37	103.0779999999795	6	207	
191010_1134	1	timelog	1	0	0	0	-1	38	103.3120000000345	7	207	
191010_1134	1	timelog	0	0	0	0	-1	39	103.905999999959	10	207	
191010_1134	1	timelog	1	0	0	0	-1	40	104.4529999999795	5	207	
191010_1134	1	timelog	0	0	0	0	-1	41	104.670999999973	2	207	
191010_1134	1	timelog	0	0	0	0	-1	42	105.25	4	207	
191010_1134	1	timelog	1	0	0	0	-1	43	105.405999999959	6	207	
191010_1134	1	timelog	1	0	0	0	-1	44	106.6870000000345	10	207	
191010_1134	1	timelog	1	0	0	0	-1	45	107.920999999973	8	207	
191010_1134	1	timelog	1	0	0	0	-1	46	108.2029999999795	2	207	
191010_1134	1	timelog	1	0	0	0	-1	47	108.359000000055	5	207	
191010_1134	1	timelog	1	0	0	0	-1	48	108.5	1	207	
191010_1134	1	timelog	0	0	0	0	-1	49	108.609000000055	6	207	
191010_1134	1	timelog	1	0	0	0	-1	50	109.8120000000345	10	207	
191010_1134	1	timelog	1	0	0	0	-1	51	110.375	2	207	
191010_1134	1	timelog	0	0	0	0	-1	52	111.0779999999795	5	207	
191010_1134	1	timelog	1	0	0	0	-1	53	111.7179999999935	1	207	
191010_1134	1	timelog	0	0	0	0	-1	54	111.8429999999935	6	207	
191010_1134	1	timelog	1	0	0	0	-1	55	112.1870000000345	8	207	
191010_1134	1	timelog	0	0	0	0	-1	56	112.625	10	207	
191010_1134	1	timelog	0	0	0	0	-1	57	113.125	5	207	
191010_1134	1	timelog	0	0	0	0	-1	58	113.4529999999795	9	207	
191010_1134	1	timelog	1	0	0	0	-1	59	113.640000000014	1	207	
191010_1134	1	timelog	0	0	0	0	-1	60	115.140000000014	6	207	
191010_1134	1	timelog	0	0	0	0	-1	61	115.1870000000345	5	207	
191010_1134	1	timelog	0	0	0	0	-1	62	115.359000000055	2	207	
191010_1134	1	timelog	0	0	0	0	-1	63	115.530999999959	10	207	
191010_1134	1	timelog	1	0	0	0	-1	64	115.890000000014	8	207	
191010_1134	1	timelog	0	0	0	0	-1	65	116.045999999973	4	207	
191010_1134	1	timelog	0	0	0	0	-1	66	117.780999999959	6	207	
191010_1134	1	timelog	0	0	0	0	-1	67	117.9370000000345	10	207	
191010_1134	1	timelog	0	0	0	0	-1	68	117.9679999999935	1	207	
191010_1134	1	timelog	1	0	0	0	-1	69	118.155999999959	5	207	
191010_1134	1	timelog	0	0	0	0	-1	70	119.265000000014	2	207	
191010_1134	1	timelog	0	0	0	0	-1	71	119.7029999999795	8	207	
191010_1134	1	timelog	1	0	0	0	-1	72	119.9679999999935	5	207	
191010_1134	1	timelog	1	0	0	0	-1	73	120.359000000055	10	207	
191010_1134	1	timelog	1	0	0	0	-1	74	121.405999999959	6	207	
191010_1134	1	timelog	0	0	0	0	-1	75	121.4679999999935	1	207	
191010_1134	1	timelog	0	0	0	0	-1	76	121.765000000014	9	207	
191010_1134	1	timelog	1	0	0	0	-1	77	122.390000000014	10	207	
191010_1134	1	timelog	1	0	0	0	-1	78	122.655999999959	4	207	
191010_1134	1	timelog	0	0	0	0	-1	79	123.734000000055	8	207	
191010_1134	1	timelog	1	0	0	0	-1	80	123.8279999999795	2	207	
191010_1134	1	timelog	0	0	0	0	-1	81	124.905999999959	1	207	
191010_1134	1	timelog	1	0	0	0	-1	82	125.7029999999795	2	207	
191010_1134	1	timelog	1	0	0	0	-1	83	126.2029999999795	4	207	
191010_1134	1	timelog	0	0	0	0	-1	84	127.530999999959	8	207	
191010_1134	1	timelog	1	0	0	0	-1	85	128.375	2	207	
191010_1134	1	timelog	1	0	0	0	-1	86	129.4370000000345	1	207	
191010_1134	1	timelog	0	0	0	0	-1	87	129.905999999959	3	207	
191010_1134	1	timelog	1	0	0	0	-1	88	130.140000000014	8	207	
191010_1134	1	timelog	0	0	0	0	-1	89	130.9370000000345	9	207	
191010_1134	1	timelog	0	0	0	0	-1	90	131.3279999999795	4	207	
191010_1134	1	timelog	1	0	0	0	-1	91	132.3120000000345	8	207	
191010_1134	1	timelog	1	0	0	0	-1	92	133.109000000055	1	207	
191010_1134	1	timelog	0	0	0	0	-1	93	135	3	207	
191010_1134	1	timelog	0	0	0	0	-1	94	136.375	4	207	
191010_1134	1	timelog	1	0	0	0	-1	95	137.0929999999935	9	207	
191010_1134	1	timelog	0	0	0	0	-1	96	140.6870000000345	3	207	
191010_1134	1	timelog	1	0	0	0	-1	97	141.015000000014	4	207	
