C:\_z-Tree\Data\Channel1\191016_1529.xls
191016_1529	1	EET	
191016_1529	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191016_1529	1	session	1	38.08814240597187	0	0	0	38.08814240597187	38.08814240597187	24.92705570291777	33.23967645806727	31.08814240597186	30.53284645655333	30	30	30	33.08161350844278	28.35760046592895	28.88942539835828	30.02	30	0	0	1	1	38.08814240597187	0.5	0.5	0	0	
191016_1529	1	session	2	37	0	0	0	37	37	30	36.24521072796937	30	30	30	30	30	30	30	30	30	30	0	0	1	1	37	0.5	2.5	0	0	
191016_1529	1	session	3	37.81893004115226	0	0	0	37.81893004115226	37.81893004115226	20.36910669975187	26.32810867293626	32.81893004115226	28.80465692014318	30	29.92954990215264	30.7198377830348	29.98224852071006	29.85572842998586	29.87155963302752	30	30	0	1	2	1	37.81893004115226	0.5	0.5	0	1	
191016_1529	1	session	4	36.31190994916485	0	0	0	36.31190994916485	36.31190994916485	31.48026315789474	29.99443826473861	29.31190994916485	30	29.46849672137824	30.0333209922251	30	30	32.17691505992706	29.01089449541285	30	30	0	0	1	1	36.31190994916485	0.5	2.5	0	1	
191016_1529	1	session	5	34.20056668690549	0	0	0	34.20056668690549	34.20056668690549	5.20604395604396	26.17985125084517	29.20056668690549	30	30.38091068301226	29.15390813859791	29.15763663687416	29.53337104072398	29.66128191766545	28.67889908256882	30	29.94942115319771	0	1	2	1	34.20056668690549	-0.5	2.5	0	0	
191016_1529	1	session	6	35.28699695366362	0	0	0	35.28699695366362	35.28699695366362	71.55707196029775	28.83289124668434	30.28699695366361	30.84773527725449	29.88917469352014	29.56486704270749	30	30	33.87587539241729	31.10091743119266	30.07894736842105	30	0	0	1	1	35.28699695366362	1.5	2.5	0	0	
191016_1529	1	session	7	27	0	0	0	27	27	38	38	22	22	30	30	30	34	22	34	30	30	1	0	3	1	27	-0.5	-0.5	0	0	
191016_1529	1	session	8	39.52932098765432	0	0	0	39.52932098765432	39.52932098765432	19.57792207792209	30	34.52932098765432	30	30	30	30	30	30	30	30	30	0	0	1	1	39.52932098765432	-0.5	0.5	0	0	
191016_1529	1	session	9	37.25573192239859	0	0	0	37.25573192239859	37.25573192239859	27.31781376518219	29.63306808134395	30.25573192239859	30	30.44040383228598	30	30	29.97781065088757	30	32.35072943299745	30	30	0	0	1	1	37.25573192239859	0.5	2.5	1	1	
191016_1529	1	session	10	29.57376020087884	0	0	0	29.57376020087884	29.57376020087884	34.62880143112702	30.65926806711587	22.57376020087884	30	29.59188141105829	31.33561643835617	30	28.8011988011988	27.60602925964239	30	29.94512195121951	30.03689280590285	0	1	2	1	29.57376020087884	-0.5	2.5	0	1	
191016_1529	1	session	11	5	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191016_1529	1	summary	
191016_1529	1	timelog	
191016_1529	1	markets	
191016_1529	1	groups	
191016_1529	1	structure	Period	MarketID	IsTraining	Treatment	
191016_1529	1	structure	-1	0	1	0	
191016_1529	1	structure	0	0	1	0	
191016_1529	1	structure	1	3	0	5	
191016_1529	1	structure	2	3	0	5	
191016_1529	1	structure	3	3	0	5	
191016_1529	1	structure	4	3	0	6	
191016_1529	1	structure	5	3	0	6	
191016_1529	1	structure	6	3	0	6	
191016_1529	1	structure	7	3	0	-1	
191016_1529	1	structure	8	3	0	-1	
191016_1529	1	structure	9	3	0	-1	
191016_1529	1	structure	10	3	0	-1	
191016_1529	1	structure	11	3	0	-1	
191016_1529	1	structure	12	3	0	-1	
191016_1529	1	tagnums	TagID	TagNum	
191016_1529	1	tagnums	0	52	
191016_1529	1	tagnums	1	263	
191016_1529	1	tagnums	2	238	
191016_1529	1	tagnums	3	197	
191016_1529	1	tagnums	4	122	
191016_1529	1	tagnums	5	262	
191016_1529	1	tagnums	6	143	
191016_1529	1	tagnums	7	247	
191016_1529	1	tagnums	8	181	
191016_1529	1	tagnums	9	182	
191016_1529	1	tagnums	10	161	
191016_1529	1	tagnums	11	269	
191016_1529	1	tagnums	12	187	
191016_1529	1	tagnums	13	221	
191016_1529	1	tagnums	14	246	
191016_1529	1	tagnums	15	252	
191016_1529	1	tagnums	16	13	
191016_1529	1	tagnums	17	188	
191016_1529	1	tagnums	18	94	
191016_1529	1	tagnums	19	19	
191016_1529	1	tagnums	20	267	
191016_1529	1	tagnums	21	76	
191016_1529	1	tagnums	22	264	
191016_1529	1	tagnums	23	171	
191016_1529	1	tagnums	24	77	
191016_1529	1	tagnums	25	87	
191016_1529	1	tagnums	26	158	
191016_1529	1	tagnums	27	179	
191016_1529	1	tagnums	28	204	
191016_1529	1	tagnums	29	259	
191016_1529	1	tagnums	30	196	
191016_1529	1	tagnums	31	205	
191016_1529	1	tagnums	32	27	
191016_1529	1	tagnums	33	43	
191016_1529	1	tagnums	34	152	
191016_1529	1	tagnums	35	83	
191016_1529	1	tagnums	36	145	
191016_1529	1	tagnums	37	175	
191016_1529	1	tagnums	38	235	
191016_1529	1	tagnums	39	201	
191016_1529	1	tagnums	40	147	
191016_1529	1	tagnums	41	153	
191016_1529	1	tagnums	42	194	
191016_1529	1	tagnums	43	137	
191016_1529	1	tagnums	44	163	
191016_1529	1	tagnums	45	176	
191016_1529	1	tagnums	46	245	
191016_1529	1	tagnums	47	271	
191016_1529	1	tagnums	48	108	
191016_1529	1	tagnums	49	32	
191016_1529	1	tagnums	50	216	
191016_1529	1	tagnums	51	229	
191016_1529	1	tagnums	52	134	
191016_1529	1	tagnums	53	59	
191016_1529	1	tagnums	54	132	
191016_1529	1	tagnums	55	218	
191016_1529	1	tagnums	56	105	
191016_1529	1	tagnums	57	167	
191016_1529	1	tagnums	58	273	
191016_1529	1	tagnums	59	140	
191016_1529	1	tagnums	60	164	
191016_1529	1	tagnums	61	26	
191016_1529	1	tagnums	62	280	
191016_1529	1	tagnums	63	209	
191016_1529	1	tagnums	64	234	
191016_1529	1	tagnums	65	99	
191016_1529	1	tagnums	66	274	
191016_1529	1	tagnums	67	251	
191016_1529	1	tagnums	68	178	
191016_1529	1	tagnums	69	265	
191016_1529	1	tagnums	70	47	
191016_1529	1	tagnums	71	20	
191016_1529	1	tagnums	72	275	
191016_1529	1	tagnums	73	157	
191016_1529	1	tagnums	74	270	
191016_1529	1	tagnums	75	62	
191016_1529	1	tagnums	76	129	
191016_1529	1	tagnums	77	148	
191016_1529	1	tagnums	78	266	
191016_1529	1	tagnums	79	42	
191016_1529	1	tagnums	80	155	
191016_1529	1	tagnums	81	149	
191016_1529	1	tagnums	82	126	
191016_1529	1	tagnums	83	192	
191016_1529	1	tagnums	84	98	
191016_1529	1	tagnums	85	277	
191016_1529	1	tagnums	86	97	
191016_1529	1	tagnums	87	225	
191016_1529	1	tagnums	88	191	
191016_1529	1	tagnums	89	115	
191016_1529	1	tagnums	90	177	
191016_1529	1	tagnums	91	212	
191016_1529	1	tagnums	92	18	
191016_1529	1	tagnums	93	159	
191016_1529	1	tagnums	94	243	
191016_1529	1	tagnums	95	120	
191016_1529	1	tagnums	96	116	
191016_1529	1	tagnums	97	41	
191016_1529	1	tagnums	98	75	
191016_1529	1	tagnums	99	257	
191016_1529	1	tagnums	100	45	
191016_1529	1	tagnums	101	71	
191016_1529	1	tagnums	102	81	
191016_1529	1	tagnums	103	222	
191016_1529	1	tagnums	104	244	
191016_1529	1	tagnums	105	80	
191016_1529	1	tagnums	106	133	
191016_1529	1	tagnums	107	198	
191016_1529	1	tagnums	108	54	
191016_1529	1	tagnums	109	106	
191016_1529	1	tagnums	110	96	
