C:\_z-Tree\Data\Channel1\191016_1529.xls
191016_1529	1	EET	left[1]	left[2]	left[3]	left[4]	left[5]	left[6]	left[7]	left[8]	left[9]	left[10]	ownprofit[1]	ownprofit[2]	ownprofit[3]	ownprofit[4]	ownprofit[5]	ownprofit[6]	ownprofit[7]	ownprofit[8]	ownprofit[9]	ownprofit[10]	otherprofit[1]	otherprofit[2]	otherprofit[3]	otherprofit[4]	otherprofit[5]	otherprofit[6]	otherprofit[7]	otherprofit[8]	otherprofit[9]	otherprofit[10]	ownleft[1]	ownleft[2]	ownleft[3]	ownleft[4]	ownleft[5]	ownleft[6]	ownleft[7]	ownleft[8]	ownleft[9]	ownleft[10]	otherleft[1]	otherleft[2]	otherleft[3]	otherleft[4]	otherleft[5]	otherleft[6]	otherleft[7]	otherleft[8]	otherleft[9]	otherleft[10]	Period	Subject	GroupEET	ownPayoffEET	right	
191016_1529	1	EET	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	1	2	0	4	
191016_1529	1	EET	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	2	3	0	4	
191016_1529	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	3	5	1	4	
191016_1529	1	EET	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	4	1	0	4	
191016_1529	1	EET	0	0	0	1	1	0	0	0	0	0	4	4	4	5	6	4	4	4	4	4	4	4	4	7	7	4	4	4	4	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	5	4	1	4	
191016_1529	1	EET	0	1	1	1	1	0	0	0	0	1	4	3	4	5	6	4	4	4	4	6	4	7	7	7	7	4	4	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	6	1	1	4	
191016_1529	1	EET	0	0	0	1	1	0	0	1	1	1	4	4	4	5	6	4	4	4	5	6	4	4	4	7	7	4	4	1	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	7	3	1	4	
191016_1529	1	EET	0	0	0	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	4	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	8	2	1	4	
191016_1529	1	EET	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	9	5	0	4	
191016_1529	1	EET	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	10	4	0	4	
191016_1529	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	11	-77777	-77777	4	
191016_1529	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191016_1529	1	session	1	0	0	0	0	0	0	24.92705570291777	33.23967645806727	31.08814240597186	30.53284645655333	30	30	30	33.08161350844278	28.35760046592895	28.88942539835828	30.02	30	0	0	1	1	38.08814240597187	0.5	0.5	0	0	
191016_1529	1	session	2	0	0	0	0	0	0	30	36.24521072796937	30	30	30	30	30	30	30	30	30	30	0	0	1	1	37	0.5	2.5	0	0	
191016_1529	1	session	3	0	0	0	0	0	0	20.36910669975187	26.32810867293626	32.81893004115226	28.80465692014318	30	29.92954990215264	30.7198377830348	29.98224852071006	29.85572842998586	29.87155963302752	30	30	0	1	2	1	37.81893004115226	0.5	0.5	0	1	
191016_1529	1	session	4	0	0	0	0	0	0	31.48026315789474	29.99443826473861	29.31190994916485	30	29.46849672137824	30.0333209922251	30	30	32.17691505992706	29.01089449541285	30	30	0	0	1	1	36.31190994916485	0.5	2.5	0	1	
191016_1529	1	session	5	0	0	0	0	0	0	5.20604395604396	26.17985125084517	29.20056668690549	30	30.38091068301226	29.15390813859791	29.15763663687416	29.53337104072398	29.66128191766545	28.67889908256882	30	29.94942115319771	0	1	2	1	34.20056668690549	-0.5	2.5	0	0	
191016_1529	1	session	6	0	0	0	0	0	0	71.55707196029775	28.83289124668434	30.28699695366361	30.84773527725449	29.88917469352014	29.56486704270749	30	30	33.87587539241729	31.10091743119266	30.07894736842105	30	0	0	1	1	35.28699695366362	1.5	2.5	0	0	
191016_1529	1	session	7	0	0	0	0	0	0	38	38	22	22	30	30	30	34	22	34	30	30	1	0	3	1	27	-0.5	-0.5	0	0	
191016_1529	1	session	8	0	0	0	0	0	0	19.57792207792209	30	34.52932098765432	30	30	30	30	30	30	30	30	30	0	0	1	1	39.52932098765432	-0.5	0.5	0	0	
191016_1529	1	session	9	0	0	0	0	0	0	27.31781376518219	29.63306808134395	30.25573192239859	30	30.44040383228598	30	30	29.97781065088757	30	32.35072943299745	30	30	0	0	1	1	37.25573192239859	0.5	2.5	1	1	
191016_1529	1	session	10	0	0	0	0	0	0	34.62880143112702	30.65926806711587	22.57376020087884	30	29.59188141105829	31.33561643835617	30	28.8011988011988	27.60602925964239	30	29.94512195121951	30.03689280590285	0	1	2	1	29.57376020087884	-0.5	2.5	0	1	
191016_1529	1	session	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191016_1529	1	summary	Period	
191016_1529	1	summary	-1	
191016_1529	1	summary	0	
191016_1529	1	summary	1	
191016_1529	1	summary	2	
191016_1529	1	summary	3	
191016_1529	1	summary	4	
191016_1529	1	summary	5	
191016_1529	1	summary	6	
191016_1529	1	summary	7	
191016_1529	1	summary	8	
191016_1529	1	summary	9	
191016_1529	1	summary	10	
191016_1529	1	summary	11	
191016_1529	1	summary	12	
191016_1529	1	timelog	Data[1]	Data[2]	Data[3]	Data[4]	Period	ID	Time	Subject	Event	
191016_1529	1	timelog	0	0	0	0	0	1	0	0	1	
191016_1529	1	timelog	0	0	0	0	-1	2	4.375	3	192	
191016_1529	1	timelog	0	0	0	0	-1	3	5.484000000000378	5	192	
191016_1529	1	timelog	0	0	0	0	-1	4	6.234000000000378	10	192	
191016_1529	1	timelog	0	0	0	0	-1	5	9.53099999999904	1	192	
191016_1529	1	timelog	0	0	0	0	-1	6	9.625	2	192	
191016_1529	1	timelog	0	0	0	0	-1	7	41.46800000000076	4	192	
191016_1529	1	timelog	0	0	0	0	-1	8	48.40599999999904	9	192	
191016_1529	1	timelog	0	0	0	0	-1	9	69.79599999999846	8	192	
191016_1529	1	timelog	0	0	0	0	-1	10	71.95300000000134	7	192	
191016_1529	1	timelog	0	0	0	0	-1	11	89.23400000000038	6	192	
191016_1529	1	timelog	0	0	0	0	-1	12	89.23400000000038	0	206	
191016_1529	1	timelog	0	0	0	0	-1	13	94.29599999999846	10	207	
191016_1529	1	timelog	0	0	0	0	-1	14	96.42099999999846	10	207	
191016_1529	1	timelog	0	0	0	0	-1	15	96.625	7	207	
191016_1529	1	timelog	0	0	0	0	-1	16	98.21800000000076	2	207	
191016_1529	1	timelog	0	0	0	0	-1	17	99.63999999999942	1	207	
191016_1529	1	timelog	0	0	0	0	-1	18	101.6709999999985	2	207	
191016_1529	1	timelog	0	0	0	0	-1	19	102.5	7	207	
191016_1529	1	timelog	0	0	0	0	-1	20	102.7959999999985	10	207	
191016_1529	1	timelog	0	0	0	0	-1	21	102.8430000000008	8	207	
191016_1529	1	timelog	0	0	0	0	-1	22	103.9209999999985	1	207	
191016_1529	1	timelog	0	0	0	0	-1	23	104.1870000000017	5	207	
191016_1529	1	timelog	0	0	0	0	-1	24	105.4370000000017	3	207	
191016_1529	1	timelog	1	0	0	0	-1	25	105.8899999999994	1	207	
191016_1529	1	timelog	1	0	0	0	-1	26	106.155999999999	2	207	
191016_1529	1	timelog	0	0	0	0	-1	27	106.6399999999994	4	207	
191016_1529	1	timelog	1	0	0	0	-1	28	107.6399999999994	1	207	
191016_1529	1	timelog	0	0	0	0	-1	29	108.6399999999994	7	207	
191016_1529	1	timelog	0	0	0	0	-1	30	108.6399999999994	8	207	
191016_1529	1	timelog	1	0	0	0	-1	31	108.7340000000004	2	207	
191016_1529	1	timelog	1	0	0	0	-1	32	109.2649999999994	1	207	
191016_1529	1	timelog	0	0	0	0	-1	33	110.2959999999985	6	207	
191016_1529	1	timelog	1	0	0	0	-1	34	110.530999999999	2	207	
191016_1529	1	timelog	0	0	0	0	-1	35	112.1870000000017	4	207	
191016_1529	1	timelog	0	0	0	0	-1	36	112.6870000000017	8	207	
191016_1529	1	timelog	0	0	0	0	-1	37	112.7340000000004	3	207	
191016_1529	1	timelog	0	0	0	0	-1	38	113.1870000000017	1	207	
191016_1529	1	timelog	0	0	0	0	-1	39	113.655999999999	5	207	
191016_1529	1	timelog	1	0	0	0	-1	40	114.1090000000004	10	207	
191016_1529	1	timelog	0	0	0	0	-1	41	115	1	207	
191016_1529	1	timelog	1	0	0	0	-1	42	116.125	10	207	
191016_1529	1	timelog	0	0	0	0	-1	43	116.3590000000004	9	207	
191016_1529	1	timelog	1	0	0	0	-1	44	116.3899999999994	7	207	
191016_1529	1	timelog	0	0	0	0	-1	45	116.5620000000017	2	207	
191016_1529	1	timelog	1	0	0	0	-1	46	117.1709999999985	8	207	
191016_1529	1	timelog	0	0	0	0	-1	47	118.0620000000017	1	207	
191016_1529	1	timelog	1	0	0	0	-1	48	118.9370000000017	6	207	
191016_1529	1	timelog	1	0	0	0	-1	49	120.0620000000017	8	207	
191016_1529	1	timelog	0	0	0	0	-1	50	120.4370000000017	2	207	
191016_1529	1	timelog	0	0	0	0	-1	51	120.625	10	207	
191016_1529	1	timelog	1	0	0	0	-1	52	121	7	207	
191016_1529	1	timelog	1	0	0	0	-1	53	121.780999999999	1	207	
191016_1529	1	timelog	1	0	0	0	-1	54	122.5459999999985	6	207	
191016_1529	1	timelog	0	0	0	0	-1	55	123.125	8	207	
191016_1529	1	timelog	1	0	0	0	-1	56	123.4840000000004	1	207	
191016_1529	1	timelog	0	0	0	0	-1	57	123.75	2	207	
191016_1529	1	timelog	1	0	0	0	-1	58	123.9840000000004	4	207	
191016_1529	1	timelog	0	0	0	0	-1	59	124.4209999999985	9	207	
191016_1529	1	timelog	1	0	0	0	-1	60	124.5930000000008	3	207	
191016_1529	1	timelog	1	0	0	0	-1	61	124.655999999999	6	207	
191016_1529	1	timelog	0	0	0	0	-1	62	125.1090000000004	10	207	
191016_1529	1	timelog	0	0	0	0	-1	63	125.625	8	207	
191016_1529	1	timelog	0	0	0	0	-1	64	126.4209999999985	5	207	
191016_1529	1	timelog	1	0	0	0	-1	65	126.8280000000013	6	207	
191016_1529	1	timelog	0	0	0	0	-1	66	127.1870000000017	2	207	
191016_1529	1	timelog	1	0	0	0	-1	67	129.0930000000008	9	207	
191016_1529	1	timelog	0	0	0	0	-1	68	129.0930000000008	10	207	
191016_1529	1	timelog	0	0	0	0	-1	69	129.2649999999994	8	207	
191016_1529	1	timelog	0	0	0	0	-1	70	129.280999999999	7	207	
191016_1529	1	timelog	1	0	0	0	-1	71	129.6090000000004	3	207	
191016_1529	1	timelog	1	0	0	0	-1	72	130.5620000000017	4	207	
191016_1529	1	timelog	0	0	0	0	-1	73	130.7340000000004	6	207	
191016_1529	1	timelog	1	0	0	0	-1	74	131.5	9	207	
191016_1529	1	timelog	0	0	0	0	-1	75	132.9530000000013	10	207	
191016_1529	1	timelog	1	0	0	0	-1	76	133.3430000000008	9	207	
191016_1529	1	timelog	0	0	0	0	-1	77	133.5149999999994	6	207	
191016_1529	1	timelog	1	0	0	0	-1	78	133.625	5	207	
191016_1529	1	timelog	1	0	0	0	-1	79	133.7180000000008	3	207	
191016_1529	1	timelog	0	0	0	0	-1	80	135	2	207	
191016_1529	1	timelog	0	0	0	0	-1	81	135.75	7	207	
191016_1529	1	timelog	1	0	0	0	-1	82	135.9840000000004	8	207	
191016_1529	1	timelog	1	0	0	0	-1	83	136.7180000000008	4	207	
191016_1529	1	timelog	0	0	0	0	-1	84	137.375	6	207	
191016_1529	1	timelog	1	0	0	0	-1	85	138.2959999999985	7	207	
191016_1529	1	timelog	1	0	0	0	-1	86	138.2959999999985	5	207	
191016_1529	1	timelog	1	0	0	0	-1	87	138.375	8	207	
191016_1529	1	timelog	0	0	0	0	-1	88	138.3899999999994	3	207	
191016_1529	1	timelog	1	0	0	0	-1	89	138.405999999999	10	207	
191016_1529	1	timelog	0	0	0	0	-1	90	140.1090000000004	6	207	
191016_1529	1	timelog	1	0	0	0	-1	91	140.6709999999985	7	207	
191016_1529	1	timelog	0	0	0	0	-1	92	141.9840000000004	4	207	
191016_1529	1	timelog	0	0	0	0	-1	93	142.3899999999994	3	207	
191016_1529	1	timelog	0	0	0	0	-1	94	142.5149999999994	9	207	
