C:\_z-Tree\Data\Channel2\191016_1530.xls
191016_1530	1	EET	
191016_1530	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191016_1530	1	session	1	33.97093738467216	0	0	0	33.97093738467216	33.97093738467216	30.16989680342311	30.08348671133034	30.06167481383343	29.84442523768367	32.29665071770334	29.17732310315431	29.97754677754679	29.97093738467216	29.73285486443381	29.94058752337991	30.01288244766505	30.10610079575597	0	1	2	1	33.97093738467216	-0.5	0.5	0	1	
191016_1530	1	session	2	33.93116432311584	0	0	0	33.93116432311584	33.93116432311584	29.77838360742239	30.02972465581978	30.11080559773465	29.97131245517571	30.4294003868472	30.91354723707665	30	29.93116432311584	30	29.96723922193152	29.99677938808373	30	0	0	1	1	33.93116432311584	0.5	2.5	0	1	
191016_1530	1	session	3	34	0	0	0	34	34	30	32.37183271542259	30	30	30	30	30	30	30.11513157894736	29.95973154362416	30	30	0	0	1	1	34	-0.5	0.5	0	0	
191016_1530	1	session	4	33.90213609124299	0	0	0	33.90213609124299	33.90213609124299	30	30.63582767933601	30.10088781275222	30.08746977670317	30.39748549323017	29.37254901960784	30	29.90213609124299	27.9016620498615	30.45076630271462	30	32.94946866189547	0	1	2	1	33.90213609124299	0.5	0.5	0	0	
191016_1530	1	session	5	34	0	0	0	34	34	35.72675341161536	30	30	30	30	30	30	30	34.21647338685695	30.65800371269456	30	30	0	0	1	1	34	-0.5	0.5	0	0	
191016_1530	1	session	6	34	0	0	0	34	34	30.02593161736458	27.27550062578224	30	30.20637468470534	30	31.06639146886825	30	30	30	29.24496644295302	30	31.0191570881226	0	1	2	1	34	1.5	2.5	0	1	
191016_1530	1	session	7	33.99288262481767	0	0	0	33.99288262481767	33.99288262481767	26.62408759124088	28.97807041410459	29.74855652821755	29.86694263749261	26.10012811173353	28.22999470058293	30	29.99288262481767	27.22562219502244	30.091519219036	30.00249875062469	25.74507389162561	0	0	1	1	33.99288262481767	1.5	2.5	0	1	
191016_1530	1	session	8	34.35461275173128	0	0	0	34.35461275173128	34.35461275173128	29.89347011244821	29.92831949027194	29.96747497379928	30	29.97214700193424	30.66517746339041	30	30.35461275173129	30.17774699907664	29.87919463087248	30	30	0	0	1	1	34.35461275173128	-0.5	0.5	1	1	
191016_1530	1	session	9	34	0	0	0	34	34	29.79470802919708	30.36511156186612	30.00000000000001	29.99287862003481	31.98623838665694	30.32610939112487	30.02903433937917	30	30.36626654355187	30.0755033557047	29.98294970161977	30	0	0	1	1	34	1.5	2.5	1	1	
191016_1530	1	session	10	34	0	0	0	34	34	14	30	30	30	30	30	30	30	30	30	30	30	1	0	3	1	34	0.5	0.5	0	0	
191016_1530	1	session	11	5	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191016_1530	1	summary	
191016_1530	1	timelog	
191016_1530	1	markets	
191016_1530	1	groups	
191016_1530	1	structure	Period	MarketID	IsTraining	Treatment	
191016_1530	1	structure	-1	0	1	0	
191016_1530	1	structure	0	0	1	0	
191016_1530	1	structure	1	3	0	5	
191016_1530	1	structure	2	3	0	5	
191016_1530	1	structure	3	3	0	5	
191016_1530	1	structure	4	3	0	6	
191016_1530	1	structure	5	3	0	6	
191016_1530	1	structure	6	3	0	6	
191016_1530	1	structure	7	3	0	-1	
191016_1530	1	structure	8	3	0	-1	
191016_1530	1	structure	9	3	0	-1	
191016_1530	1	structure	10	3	0	-1	
191016_1530	1	structure	11	3	0	-1	
191016_1530	1	structure	12	3	0	-1	
191016_1530	1	tagnums	TagID	TagNum	
191016_1530	1	tagnums	0	52	
191016_1530	1	tagnums	1	263	
191016_1530	1	tagnums	2	238	
191016_1530	1	tagnums	3	197	
191016_1530	1	tagnums	4	122	
191016_1530	1	tagnums	5	262	
191016_1530	1	tagnums	6	143	
191016_1530	1	tagnums	7	247	
191016_1530	1	tagnums	8	181	
191016_1530	1	tagnums	9	182	
191016_1530	1	tagnums	10	161	
191016_1530	1	tagnums	11	269	
191016_1530	1	tagnums	12	187	
191016_1530	1	tagnums	13	221	
191016_1530	1	tagnums	14	246	
191016_1530	1	tagnums	15	252	
191016_1530	1	tagnums	16	13	
191016_1530	1	tagnums	17	188	
191016_1530	1	tagnums	18	94	
191016_1530	1	tagnums	19	19	
191016_1530	1	tagnums	20	267	
191016_1530	1	tagnums	21	76	
191016_1530	1	tagnums	22	264	
191016_1530	1	tagnums	23	171	
191016_1530	1	tagnums	24	77	
191016_1530	1	tagnums	25	87	
191016_1530	1	tagnums	26	158	
191016_1530	1	tagnums	27	179	
191016_1530	1	tagnums	28	204	
191016_1530	1	tagnums	29	259	
191016_1530	1	tagnums	30	196	
191016_1530	1	tagnums	31	205	
191016_1530	1	tagnums	32	27	
191016_1530	1	tagnums	33	43	
191016_1530	1	tagnums	34	152	
191016_1530	1	tagnums	35	83	
191016_1530	1	tagnums	36	145	
191016_1530	1	tagnums	37	175	
191016_1530	1	tagnums	38	235	
191016_1530	1	tagnums	39	201	
191016_1530	1	tagnums	40	147	
191016_1530	1	tagnums	41	153	
191016_1530	1	tagnums	42	194	
191016_1530	1	tagnums	43	137	
191016_1530	1	tagnums	44	163	
191016_1530	1	tagnums	45	176	
191016_1530	1	tagnums	46	245	
191016_1530	1	tagnums	47	271	
191016_1530	1	tagnums	48	108	
191016_1530	1	tagnums	49	32	
191016_1530	1	tagnums	50	216	
191016_1530	1	tagnums	51	229	
191016_1530	1	tagnums	52	134	
191016_1530	1	tagnums	53	59	
191016_1530	1	tagnums	54	132	
191016_1530	1	tagnums	55	218	
191016_1530	1	tagnums	56	105	
191016_1530	1	tagnums	57	167	
191016_1530	1	tagnums	58	273	
191016_1530	1	tagnums	59	140	
191016_1530	1	tagnums	60	164	
191016_1530	1	tagnums	61	26	
191016_1530	1	tagnums	62	280	
191016_1530	1	tagnums	63	209	
191016_1530	1	tagnums	64	234	
191016_1530	1	tagnums	65	99	
191016_1530	1	tagnums	66	274	
191016_1530	1	tagnums	67	251	
191016_1530	1	tagnums	68	178	
191016_1530	1	tagnums	69	265	
191016_1530	1	tagnums	70	47	
191016_1530	1	tagnums	71	20	
191016_1530	1	tagnums	72	275	
191016_1530	1	tagnums	73	157	
191016_1530	1	tagnums	74	270	
191016_1530	1	tagnums	75	62	
191016_1530	1	tagnums	76	129	
191016_1530	1	tagnums	77	148	
191016_1530	1	tagnums	78	266	
191016_1530	1	tagnums	79	42	
191016_1530	1	tagnums	80	155	
191016_1530	1	tagnums	81	149	
191016_1530	1	tagnums	82	126	
191016_1530	1	tagnums	83	192	
191016_1530	1	tagnums	84	98	
191016_1530	1	tagnums	85	277	
191016_1530	1	tagnums	86	97	
191016_1530	1	tagnums	87	225	
191016_1530	1	tagnums	88	191	
191016_1530	1	tagnums	89	115	
191016_1530	1	tagnums	90	177	
191016_1530	1	tagnums	91	212	
191016_1530	1	tagnums	92	18	
191016_1530	1	tagnums	93	159	
191016_1530	1	tagnums	94	243	
191016_1530	1	tagnums	95	120	
191016_1530	1	tagnums	96	116	
191016_1530	1	tagnums	97	41	
191016_1530	1	tagnums	98	75	
191016_1530	1	tagnums	99	257	
191016_1530	1	tagnums	100	45	
191016_1530	1	tagnums	101	71	
191016_1530	1	tagnums	102	81	
191016_1530	1	tagnums	103	222	
191016_1530	1	tagnums	104	244	
191016_1530	1	tagnums	105	80	
191016_1530	1	tagnums	106	133	
191016_1530	1	tagnums	107	198	
191016_1530	1	tagnums	108	54	
191016_1530	1	tagnums	109	106	
