C:\_z-Tree\Data\Channel2\191016_1530.xls
191016_1530	1	EET	left[1]	left[2]	left[3]	left[4]	left[5]	left[6]	left[7]	left[8]	left[9]	left[10]	ownprofit[1]	ownprofit[2]	ownprofit[3]	ownprofit[4]	ownprofit[5]	ownprofit[6]	ownprofit[7]	ownprofit[8]	ownprofit[9]	ownprofit[10]	otherprofit[1]	otherprofit[2]	otherprofit[3]	otherprofit[4]	otherprofit[5]	otherprofit[6]	otherprofit[7]	otherprofit[8]	otherprofit[9]	otherprofit[10]	ownleft[1]	ownleft[2]	ownleft[3]	ownleft[4]	ownleft[5]	ownleft[6]	ownleft[7]	ownleft[8]	ownleft[9]	ownleft[10]	otherleft[1]	otherleft[2]	otherleft[3]	otherleft[4]	otherleft[5]	otherleft[6]	otherleft[7]	otherleft[8]	otherleft[9]	otherleft[10]	Period	Subject	GroupEET	ownPayoffEET	right	
191016_1530	1	EET	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	1	4	0	4	
191016_1530	1	EET	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	2	3	0	4	
191016_1530	1	EET	0	0	0	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	4	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	3	2	1	4	
191016_1530	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	4	1	1	4	
191016_1530	1	EET	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	5	5	0	4	
191016_1530	1	EET	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	6	2	0	4	
191016_1530	1	EET	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	7	1	0	4	
191016_1530	1	EET	0	0	0	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	4	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	8	5	1	4	
191016_1530	1	EET	0	1	1	1	1	0	0	0	0	1	4	3	4	5	6	4	4	4	4	6	4	7	7	7	7	4	4	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	9	4	1	4	
191016_1530	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	10	3	1	4	
191016_1530	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	11	-77777	-77777	4	
191016_1530	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191016_1530	1	session	1	0	0	0	0	0	0	30.16989680342311	30.08348671133034	30.06167481383343	29.84442523768367	32.29665071770334	29.17732310315431	29.97754677754679	29.97093738467216	29.73285486443381	29.94058752337991	30.01288244766505	30.10610079575597	0	1	2	1	33.97093738467216	-0.5	0.5	0	1	
191016_1530	1	session	2	0	0	0	0	0	0	29.77838360742239	30.02972465581978	30.11080559773465	29.97131245517571	30.4294003868472	30.91354723707665	30	29.93116432311584	30	29.96723922193152	29.99677938808373	30	0	0	1	1	33.93116432311584	0.5	2.5	0	1	
191016_1530	1	session	3	0	0	0	0	0	0	30	32.37183271542259	30	30	30	30	30	30	30.11513157894736	29.95973154362416	30	30	0	0	1	1	34	-0.5	0.5	0	0	
191016_1530	1	session	4	0	0	0	0	0	0	30	30.63582767933601	30.10088781275222	30.08746977670317	30.39748549323017	29.37254901960784	30	29.90213609124299	27.9016620498615	30.45076630271462	30	32.94946866189547	0	1	2	1	33.90213609124299	0.5	0.5	0	0	
191016_1530	1	session	5	0	0	0	0	0	0	35.72675341161536	30	30	30	30	30	30	30	34.21647338685695	30.65800371269456	30	30	0	0	1	1	34	-0.5	0.5	0	0	
191016_1530	1	session	6	0	0	0	0	0	0	30.02593161736458	27.27550062578224	30	30.20637468470534	30	31.06639146886825	30	30	30	29.24496644295302	30	31.0191570881226	0	1	2	1	34	1.5	2.5	0	1	
191016_1530	1	session	7	0	0	0	0	0	0	26.62408759124088	28.97807041410459	29.74855652821755	29.86694263749261	26.10012811173353	28.22999470058293	30	29.99288262481767	27.22562219502244	30.091519219036	30.00249875062469	25.74507389162561	0	0	1	1	33.99288262481767	1.5	2.5	0	1	
191016_1530	1	session	8	0	0	0	0	0	0	29.89347011244821	29.92831949027194	29.96747497379928	30	29.97214700193424	30.66517746339041	30	30.35461275173129	30.17774699907664	29.87919463087248	30	30	0	0	1	1	34.35461275173128	-0.5	0.5	1	1	
191016_1530	1	session	9	0	0	0	0	0	0	29.79470802919708	30.36511156186612	30.00000000000001	29.99287862003481	31.98623838665694	30.32610939112487	30.02903433937917	30	30.36626654355187	30.0755033557047	29.98294970161977	30	0	0	1	1	34	1.5	2.5	1	1	
191016_1530	1	session	10	0	0	0	0	0	0	14	30	30	30	30	30	30	30	30	30	30	30	1	0	3	1	34	0.5	0.5	0	0	
191016_1530	1	session	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191016_1530	1	summary	Period	
191016_1530	1	summary	-1	
191016_1530	1	summary	0	
191016_1530	1	summary	1	
191016_1530	1	summary	2	
191016_1530	1	summary	3	
191016_1530	1	summary	4	
191016_1530	1	summary	5	
191016_1530	1	summary	6	
191016_1530	1	summary	7	
191016_1530	1	summary	8	
191016_1530	1	summary	9	
191016_1530	1	summary	10	
191016_1530	1	summary	11	
191016_1530	1	summary	12	
191016_1530	1	timelog	Data[1]	Data[2]	Data[3]	Data[4]	Period	ID	Time	Subject	Event	
191016_1530	1	timelog	0	0	0	0	0	1	0	0	1	
191016_1530	1	timelog	0	0	0	0	-1	2	4.953000000001339	4	192	
191016_1530	1	timelog	0	0	0	0	-1	3	17.82800000000134	6	192	
191016_1530	1	timelog	0	0	0	0	-1	4	33.20300000000134	3	192	
191016_1530	1	timelog	0	0	0	0	-1	5	39.40599999999904	1	192	
191016_1530	1	timelog	0	0	0	0	-1	6	54.32800000000134	10	192	
191016_1530	1	timelog	0	0	0	0	-1	7	64.23400000000038	5	192	
191016_1530	1	timelog	0	0	0	0	-1	8	72.875	2	192	
191016_1530	1	timelog	0	0	0	0	-1	9	90.71900000000096	8	192	
191016_1530	1	timelog	0	0	0	0	-1	10	114.7659999999996	9	192	
191016_1530	1	timelog	0	0	0	0	-1	11	129.5159999999996	7	192	
191016_1530	1	timelog	0	0	0	0	-1	12	129.5159999999996	0	206	
191016_1530	1	timelog	0	0	0	0	-1	13	134.8119999999981	1	207	
191016_1530	1	timelog	0	0	0	0	-1	14	135.030999999999	5	207	
191016_1530	1	timelog	0	0	0	0	-1	15	135.3280000000013	6	207	
191016_1530	1	timelog	0	0	0	0	-1	16	135.3909999999996	4	207	
191016_1530	1	timelog	0	0	0	0	-1	17	136.125	10	207	
191016_1530	1	timelog	0	0	0	0	-1	18	136.8590000000004	9	207	
191016_1530	1	timelog	0	0	0	0	-1	19	136.905999999999	8	207	
191016_1530	1	timelog	0	0	0	0	-1	20	138.280999999999	7	207	
191016_1530	1	timelog	0	0	0	0	-1	21	138.405999999999	2	207	
191016_1530	1	timelog	0	0	0	0	-1	22	138.7659999999996	3	207	
191016_1530	1	timelog	0	0	0	0	-1	23	138.875	5	207	
191016_1530	1	timelog	0	0	0	0	-1	24	139.2340000000004	10	207	
191016_1530	1	timelog	0	0	0	0	-1	25	140.155999999999	8	207	
191016_1530	1	timelog	0	0	0	0	-1	26	140.7340000000004	4	207	
191016_1530	1	timelog	0	0	0	0	-1	27	141.5780000000013	1	207	
191016_1530	1	timelog	1	0	0	0	-1	28	142.0619999999981	10	207	
191016_1530	1	timelog	0	0	0	0	-1	29	142.2969999999987	8	207	
191016_1530	1	timelog	1	0	0	0	-1	30	143.530999999999	4	207	
191016_1530	1	timelog	0	0	0	0	-1	31	143.6090000000004	5	207	
191016_1530	1	timelog	1	0	0	0	-1	32	144.5	9	207	
191016_1530	1	timelog	1	0	0	0	-1	33	144.7969999999987	7	207	
191016_1530	1	timelog	0	0	0	0	-1	34	145	3	207	
191016_1530	1	timelog	1	0	0	0	-1	35	145.1090000000004	10	207	
191016_1530	1	timelog	1	0	0	0	-1	36	145.5469999999987	4	207	
191016_1530	1	timelog	0	0	0	0	-1	37	145.6090000000004	2	207	
191016_1530	1	timelog	1	0	0	0	-1	38	145.625	5	207	
191016_1530	1	timelog	1	0	0	0	-1	39	147.0780000000013	4	207	
191016_1530	1	timelog	1	0	0	0	-1	40	147.219000000001	10	207	
191016_1530	1	timelog	1	0	0	0	-1	41	147.344000000001	5	207	
191016_1530	1	timelog	1	0	0	0	-1	42	147.6090000000004	9	207	
191016_1530	1	timelog	1	0	0	0	-1	43	147.844000000001	8	207	
191016_1530	1	timelog	0	0	0	0	-1	44	148.1719999999987	1	207	
191016_1530	1	timelog	1	0	0	0	-1	45	149.8280000000013	8	207	
191016_1530	1	timelog	0	0	0	0	-1	46	149.875	3	207	
191016_1530	1	timelog	0	0	0	0	-1	47	150.280999999999	4	207	
191016_1530	1	timelog	1	0	0	0	-1	48	150.3119999999981	7	207	
191016_1530	1	timelog	0	0	0	0	-1	49	150.4530000000013	5	207	
191016_1530	1	timelog	1	0	0	0	-1	50	150.5780000000013	6	207	
191016_1530	1	timelog	0	0	0	0	-1	51	151.6409999999996	10	207	
191016_1530	1	timelog	0	0	0	0	-1	52	151.8590000000004	5	207	
191016_1530	1	timelog	0	0	0	0	-1	53	152.3280000000013	4	207	
191016_1530	1	timelog	1	0	0	0	-1	54	152.375	2	207	
191016_1530	1	timelog	1	0	0	0	-1	55	152.9840000000004	1	207	
191016_1530	1	timelog	0	0	0	0	-1	56	153.655999999999	10	207	
191016_1530	1	timelog	1	0	0	0	-1	57	153.719000000001	9	207	
191016_1530	1	timelog	0	0	0	0	-1	58	153.875	8	207	
191016_1530	1	timelog	0	0	0	0	-1	59	153.9840000000004	4	207	
191016_1530	1	timelog	1	0	0	0	-1	60	154.0159999999996	7	207	
191016_1530	1	timelog	1	0	0	0	-1	61	154.2030000000013	6	207	
191016_1530	1	timelog	0	0	0	0	-1	62	154.7340000000004	5	207	
191016_1530	1	timelog	1	0	0	0	-1	63	155.3119999999981	3	207	
191016_1530	1	timelog	1	0	0	0	-1	64	155.969000000001	1	207	
191016_1530	1	timelog	1	0	0	0	-1	65	155.9840000000004	9	207	
191016_1530	1	timelog	1	0	0	0	-1	66	156.3119999999981	4	207	
191016_1530	1	timelog	1	0	0	0	-1	67	156.3280000000013	5	207	
191016_1530	1	timelog	0	0	0	0	-1	68	156.780999999999	10	207	
191016_1530	1	timelog	0	0	0	0	-1	69	157.25	8	207	
191016_1530	1	timelog	1	0	0	0	-1	70	157.405999999999	5	207	
191016_1530	1	timelog	1	0	0	0	-1	71	157.4530000000013	7	207	
191016_1530	1	timelog	1	0	0	0	-1	72	158.1409999999996	3	207	
191016_1530	1	timelog	1	0	0	0	-1	73	158.3119999999981	4	207	
191016_1530	1	timelog	1	0	0	0	-1	74	158.5780000000013	2	207	
191016_1530	1	timelog	0	0	0	0	-1	75	159.344000000001	8	207	
191016_1530	1	timelog	0	0	0	0	-1	76	159.7659999999996	1	207	
191016_1530	1	timelog	0	0	0	0	-1	77	160.4840000000004	9	207	
191016_1530	1	timelog	1	0	0	0	-1	78	161.1719999999987	10	207	
191016_1530	1	timelog	1	0	0	0	-1	79	162.125	6	207	
191016_1530	1	timelog	0	0	0	0	-1	80	162.3280000000013	7	207	
191016_1530	1	timelog	0	0	0	0	-1	81	162.4530000000013	3	207	
191016_1530	1	timelog	0	0	0	0	-1	82	163.75	9	207	
191016_1530	1	timelog	0	0	0	0	-1	83	163.8909999999996	1	207	
191016_1530	1	timelog	1	0	0	0	-1	84	164.3280000000013	10	207	
191016_1530	1	timelog	1	0	0	0	-1	85	164.375	2	207	
191016_1530	1	timelog	1	0	0	0	-1	86	164.905999999999	6	207	
191016_1530	1	timelog	0	0	0	0	-1	87	165.6719999999987	3	207	
191016_1530	1	timelog	1	0	0	0	-1	88	166.25	8	207	
191016_1530	1	timelog	0	0	0	0	-1	89	166.8280000000013	9	207	
191016_1530	1	timelog	0	0	0	0	-1	90	167.469000000001	7	207	
191016_1530	1	timelog	1	0	0	0	-1	91	168.719000000001	8	207	
191016_1530	1	timelog	0	0	0	0	-1	92	168.9530000000013	1	207	
191016_1530	1	timelog	0	0	0	0	-1	93	170.1869999999981	3	207	
191016_1530	1	timelog	0	0	0	0	-1	94	170.594000000001	9	207	
191016_1530	1	timelog	0	0	0	0	-1	95	171.1719999999987	2	207	
