C:\_z-Tree\Data\Channel1\191022_1427.xls
191022_1427	1	EET	
191022_1427	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191022_1427	1	session	1	29.14814990434095	0	0	0	29.14814990434095	29.14814990434095	43.54201474201474	50.34166204327495	31.56344723017224	38.36501431815937	31.68698923336361	22.13099535843218	37.98591549295775	22.87532355478861	25.14814990434095	32.26754952022895	34.67213114754098	30.74347826086957	0	0	1	1	29.14814990434095	1.5	2.5	0	1	
191022_1427	1	session	2	45.70542396135704	0	0	0	45.70542396135704	45.70542396135704	42.52481572481572	41.05651105651106	26.24435497987047	30.8236855351668	27.24695086081806	48.68549585899343	31.40845070422535	33.79699248120301	41.70542396135704	30	29.03395784543326	30	0	0	1	1	45.70542396135704	0.5	0.5	0	0	
191022_1427	1	session	3	30.33732722355769	0	0	0	30.33732722355769	30.33732722355769	34.79115479115479	39.01486882777206	17.47844827586207	34.48853294503094	40.98105346691797	36.14406051229156	31.08651911468814	50.87950138504155	26.33732722355769	29.42895086321382	20.54933795712483	33.72282608695652	0	1	2	1	30.33732722355769	0.5	0.5	1	0	
191022_1427	1	session	4	48.16220454074227	0	0	0	48.16220454074227	48.16220454074227	36.95555059191423	0	34.54342070715911	42.86856917152167	32.23192143636544	70.13211460173594	38.0281690140845	40.01196172248804	41.16220454074227	33.19399325773829	32.20226615236259	27.97101449275363	0	0	1	1	48.16220454074227	-2.5	2.5	1	1	
191022_1427	1	session	5	30.67690048470576	0	0	0	30.67690048470576	30.67690048470576	0	5.275088331115505	19.35476282163488	10.17636022514072	18.02115590985743	7.766245487364621	14.81068227547101	7.694132873166524	23.67690048470576	19.6319805523668	3.468061051441495	21.07023411371237	0	0	1	1	30.67690048470576	-0.5	0.5	1	1	
191022_1427	1	session	6	26.35047803078018	0	0	0	26.35047803078018	26.35047803078018	0	38.08766530639072	19.48359311077551	16.64835164835164	20.5341808276041	7.651306009768522	22.7830985915493	22.67611336032389	19.35047803078018	30.302162137965	21.61133015148371	28.86166007905138	0	0	1	1	26.35047803078018	-0.5	0.5	1	0	
191022_1427	1	session	7	30	0	0	0	30	30	22	26	26	34	42	30	14	14	26	22	30	0	1	0	3	1	30	0.5	0.5	0	0	
191022_1427	1	session	8	38.87586107921929	0	0	0	38.87586107921929	38.87586107921929	50.80634353361626	25.27126099706745	37.90591633117452	31.4655386031364	36.61720067453626	19.4337830134904	34.21780684104628	44.54887218045113	34.87586107921929	33.69770916334662	26.52139144342263	31.50151668351871	0	1	2	1	38.87586107921929	0.5	2.5	1	1	
191022_1427	1	session	9	33.1094270255272	0	0	0	33.1094270255272	33.1094270255272	62.95180495180496	25.96058393437426	31.2638145306832	30.56636960600375	28.01245021707151	24.49944459872257	33.40419877757109	21.81088314005352	26.10942702552719	30.52806954002173	53.30828779599272	33.31103678929766	0	1	2	1	33.1094270255272	0.5	2.5	1	0	
191022_1427	1	session	10	38.74573657474601	0	0	0	38.74573657474601	38.74573657474601	41.35135135135134	42.57086999022483	37.47931034482759	32.01420530688824	37.25463743676223	33.95625398173709	32.35833606288896	30.8796992481203	31.74573657474601	32.03431173266119	49.70829315332691	29.8494983277592	0	0	1	1	38.74573657474601	0.5	2.5	0	0	
191022_1427	1	session	11	5	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191022_1427	1	summary	
191022_1427	1	timelog	
191022_1427	1	markets	
191022_1427	1	groups	
191022_1427	1	structure	Period	MarketID	IsTraining	Treatment	
191022_1427	1	structure	-1	0	1	0	
191022_1427	1	structure	0	0	1	0	
191022_1427	1	structure	1	3	0	6	
191022_1427	1	structure	2	3	0	6	
191022_1427	1	structure	3	3	0	6	
191022_1427	1	structure	4	3	0	5	
191022_1427	1	structure	5	3	0	5	
191022_1427	1	structure	6	3	0	5	
191022_1427	1	structure	7	3	0	-1	
191022_1427	1	structure	8	3	0	-1	
191022_1427	1	structure	9	3	0	-1	
191022_1427	1	structure	10	3	0	-1	
191022_1427	1	structure	11	3	0	-1	
191022_1427	1	structure	12	3	0	-1	
191022_1427	1	tagnums	TagID	TagNum	
191022_1427	1	tagnums	0	52	
191022_1427	1	tagnums	1	263	
191022_1427	1	tagnums	2	238	
191022_1427	1	tagnums	3	197	
191022_1427	1	tagnums	4	122	
191022_1427	1	tagnums	5	262	
191022_1427	1	tagnums	6	143	
191022_1427	1	tagnums	7	247	
191022_1427	1	tagnums	8	181	
191022_1427	1	tagnums	9	182	
191022_1427	1	tagnums	10	161	
191022_1427	1	tagnums	11	269	
191022_1427	1	tagnums	12	187	
191022_1427	1	tagnums	13	221	
191022_1427	1	tagnums	14	246	
191022_1427	1	tagnums	15	252	
191022_1427	1	tagnums	16	13	
191022_1427	1	tagnums	17	188	
191022_1427	1	tagnums	18	94	
191022_1427	1	tagnums	19	19	
191022_1427	1	tagnums	20	267	
191022_1427	1	tagnums	21	76	
191022_1427	1	tagnums	22	264	
191022_1427	1	tagnums	23	171	
191022_1427	1	tagnums	24	77	
191022_1427	1	tagnums	25	87	
191022_1427	1	tagnums	26	158	
191022_1427	1	tagnums	27	179	
191022_1427	1	tagnums	28	204	
191022_1427	1	tagnums	29	259	
191022_1427	1	tagnums	30	196	
191022_1427	1	tagnums	31	205	
191022_1427	1	tagnums	32	27	
191022_1427	1	tagnums	33	43	
191022_1427	1	tagnums	34	152	
191022_1427	1	tagnums	35	83	
191022_1427	1	tagnums	36	145	
191022_1427	1	tagnums	37	175	
191022_1427	1	tagnums	38	235	
191022_1427	1	tagnums	39	201	
191022_1427	1	tagnums	40	147	
191022_1427	1	tagnums	41	153	
191022_1427	1	tagnums	42	194	
191022_1427	1	tagnums	43	137	
191022_1427	1	tagnums	44	163	
191022_1427	1	tagnums	45	176	
191022_1427	1	tagnums	46	245	
191022_1427	1	tagnums	47	271	
191022_1427	1	tagnums	48	108	
191022_1427	1	tagnums	49	32	
191022_1427	1	tagnums	50	216	
191022_1427	1	tagnums	51	229	
191022_1427	1	tagnums	52	134	
191022_1427	1	tagnums	53	59	
191022_1427	1	tagnums	54	132	
191022_1427	1	tagnums	55	218	
191022_1427	1	tagnums	56	105	
191022_1427	1	tagnums	57	167	
191022_1427	1	tagnums	58	273	
191022_1427	1	tagnums	59	140	
191022_1427	1	tagnums	60	164	
191022_1427	1	tagnums	61	26	
191022_1427	1	tagnums	62	280	
191022_1427	1	tagnums	63	209	
191022_1427	1	tagnums	64	234	
191022_1427	1	tagnums	65	99	
191022_1427	1	tagnums	66	274	
191022_1427	1	tagnums	67	251	
191022_1427	1	tagnums	68	178	
191022_1427	1	tagnums	69	265	
191022_1427	1	tagnums	70	47	
191022_1427	1	tagnums	71	20	
191022_1427	1	tagnums	72	275	
191022_1427	1	tagnums	73	157	
191022_1427	1	tagnums	74	270	
191022_1427	1	tagnums	75	62	
191022_1427	1	tagnums	76	129	
191022_1427	1	tagnums	77	148	
191022_1427	1	tagnums	78	266	
191022_1427	1	tagnums	79	42	
191022_1427	1	tagnums	80	155	
191022_1427	1	tagnums	81	149	
191022_1427	1	tagnums	82	126	
191022_1427	1	tagnums	83	192	
191022_1427	1	tagnums	84	98	
191022_1427	1	tagnums	85	277	
191022_1427	1	tagnums	86	97	
191022_1427	1	tagnums	87	225	
191022_1427	1	tagnums	88	191	
191022_1427	1	tagnums	89	115	
191022_1427	1	tagnums	90	177	
191022_1427	1	tagnums	91	212	
191022_1427	1	tagnums	92	18	
191022_1427	1	tagnums	93	159	
191022_1427	1	tagnums	94	243	
191022_1427	1	tagnums	95	120	
191022_1427	1	tagnums	96	116	
191022_1427	1	tagnums	97	41	
191022_1427	1	tagnums	98	75	
191022_1427	1	tagnums	99	257	
191022_1427	1	tagnums	100	45	
191022_1427	1	tagnums	101	71	
191022_1427	1	tagnums	102	81	
191022_1427	1	tagnums	103	222	
191022_1427	1	tagnums	104	244	
191022_1427	1	tagnums	105	80	
191022_1427	1	tagnums	106	133	
191022_1427	1	tagnums	107	198	
191022_1427	1	tagnums	108	54	
191022_1427	1	tagnums	109	106	
191022_1427	1	tagnums	110	96	
191022_1427	1	tagnums	111	183	
191022_1427	1	tagnums	112	24	
191022_1427	1	tagnums	113	170	
191022_1427	1	tagnums	114	101	
191022_1427	1	tagnums	115	35	
191022_1427	1	tagnums	116	174	
191022_1427	1	tagnums	117	85	
191022_1427	1	tagnums	118	51	
191022_1427	1	tagnums	119	57	
191022_1427	1	tagnums	120	118	
191022_1427	1	tagnums	121	79	
191022_1427	1	tagnums	122	237	
191022_1427	1	tagnums	123	166	
191022_1427	1	tagnums	124	154	
191022_1427	1	tagnums	125	224	
191022_1427	1	tagnums	126	214	
191022_1427	1	tagnums	127	268	
191022_1427	1	tagnums	128	29	
191022_1427	1	tagnums	129	69	
191022_1427	1	tagnums	130	186	
191022_1427	1	tagnums	131	33	
191022_1427	1	tagnums	132	239	
191022_1427	1	tagnums	133	103	
191022_1427	1	tagnums	134	17	
191022_1427	1	tagnums	135	39	
191022_1427	1	tagnums	136	169	
191022_1427	1	tagnums	137	121	
191022_1427	1	tagnums	138	11	
191022_1427	1	tagnums	139	34	
191022_1427	1	tagnums	140	40	
191022_1427	1	tagnums	141	30	
191022_1427	1	tagnums	142	228	
191022_1427	1	tagnums	143	261	
191022_1427	1	tagnums	144	90	
191022_1427	1	tagnums	145	93	
191022_1427	1	tagnums	146	112	
191022_1427	1	tagnums	147	236	
191022_1427	1	tagnums	148	12	
191022_1427	1	tagnums	149	242	
191022_1427	1	tagnums	150	95	
191022_1427	1	tagnums	151	60	
191022_1427	1	tagnums	152	276	
191022_1427	1	tagnums	153	172	
191022_1427	1	tagnums	154	185	
191022_1427	1	tagnums	155	135	
191022_1427	1	tagnums	156	260	
191022_1427	1	tagnums	157	78	
191022_1427	1	tagnums	158	255	
191022_1427	1	tagnums	159	160	
191022_1427	1	tagnums	160	16	
191022_1427	1	tagnums	161	53	
191022_1427	1	tagnums	162	22	
191022_1427	1	tagnums	163	131	
191022_1427	1	tagnums	164	202	
191022_1427	1	tagnums	165	128	
191022_1427	1	tagnums	166	240	
191022_1427	1	tagnums	167	37	
191022_1427	1	tagnums	168	138	
191022_1427	1	tagnums	169	82	
191022_1427	1	tagnums	170	223	
191022_1427	1	tagnums	171	180	
191022_1427	1	tagnums	172	230	
191022_1427	1	tagnums	173	141	
191022_1427	1	tagnums	174	61	
191022_1427	1	tagnums	175	111	
191022_1427	1	tagnums	176	110	
191022_1427	1	tagnums	177	107	
191022_1427	1	tagnums	178	109	
191022_1427	1	tagnums	179	64	
191022_1427	1	tagnums	180	278	
191022_1427	1	tagnums	181	91	
191022_1427	1	tagnums	182	74	
191022_1427	1	tagnums	183	14	
191022_1427	1	tagnums	184	219	
191022_1427	1	tagnums	185	31	
191022_1427	1	tagnums	186	100	
191022_1427	1	tagnums	187	258	
191022_1427	1	tagnums	188	114	
191022_1427	1	tagnums	189	213	
191022_1427	1	tagnums	190	73	
191022_1427	1	tagnums	191	38	
191022_1427	1	tagnums	192	220	
191022_1427	1	tagnums	193	168	
191022_1427	1	tagnums	194	146	
191022_1427	1	tagnums	195	113	
191022_1427	1	tagnums	196	67	
191022_1427	1	tagnums	197	124	
191022_1427	1	tagnums	198	272	
191022_1427	1	tagnums	199	165	
191022_1427	1	tagnums	200	15	
191022_1427	1	tagnums	201	63	
191022_1427	1	tagnums	202	58	
191022_1427	1	tagnums	203	207	
191022_1427	1	tagnums	204	151	
191022_1427	1	tagnums	205	25	
191022_1427	1	tagnums	206	206	
191022_1427	1	tagnums	207	200	
191022_1427	1	tagnums	208	86	
191022_1427	1	tagnums	209	190	
191022_1427	1	tagnums	210	49	
191022_1427	1	tagnums	211	104	
191022_1427	1	tagnums	212	48	
191022_1427	1	tagnums	213	66	
191022_1427	1	tagnums	214	84	
191022_1427	1	tagnums	215	102	
191022_1427	1	tagnums	216	215	
191022_1427	1	tagnums	217	250	
191022_1427	1	tagnums	218	241	
191022_1427	1	tagnums	219	217	
191022_1427	1	tagnums	220	210	
191022_1427	1	tagnums	221	72	
191022_1427	1	tagnums	222	254	
191022_1427	1	tagnums	223	136	
191022_1427	1	tagnums	224	189	
191022_1427	1	tagnums	225	184	
191022_1427	1	tagnums	226	150	
191022_1427	1	tagnums	227	70	
191022_1427	1	tagnums	228	65	
191022_1427	1	tagnums	229	68	
191022_1427	1	tagnums	230	233	
191022_1427	1	tagnums	231	232	
191022_1427	1	tagnums	232	173	
191022_1427	1	tagnums	233	125	
191022_1427	1	tagnums	234	36	
191022_1427	1	tagnums	235	119	
191022_1427	1	tagnums	236	92	
191022_1427	1	tagnums	237	156	
191022_1427	1	tagnums	238	127	
191022_1427	1	tagnums	239	256	
191022_1427	1	tagnums	240	44	
191022_1427	1	tagnums	241	21	
191022_1427	1	tagnums	242	89	
191022_1427	1	tagnums	243	123	
191022_1427	1	tagnums	244	211	
191022_1427	1	tagnums	245	139	
191022_1427	1	tagnums	246	279	
191022_1427	1	tagnums	247	226	
191022_1427	1	tagnums	248	88	
191022_1427	1	tagnums	249	231	
191022_1427	1	tagnums	250	28	
191022_1427	1	tagnums	251	208	
191022_1427	1	tagnums	252	142	
191022_1427	1	tagnums	253	195	
191022_1427	1	tagnums	254	117	
191022_1427	1	tagnums	255	193	
191022_1427	1	tagnums	256	162	
191022_1427	1	tagnums	257	144	
191022_1427	1	tagnums	258	130	
191022_1427	1	tagnums	259	23	
191022_1427	1	tagnums	260	46	
191022_1427	1	tagnums	261	253	
191022_1427	1	tagnums	262	50	
191022_1427	1	tagnums	263	55	
191022_1427	1	tagnums	264	248	
191022_1427	1	tagnums	265	203	
191022_1427	1	tagnums	266	249	
191022_1427	1	tagnums	267	227	
191022_1427	1	tagnums	268	56	
191022_1427	1	tagnums	269	199	
191022_1427	1	predictionhistory	
191022_1427	1	history	
