C:\_z-Tree\Data\Channel2\191022_1427.xls
191022_1427	1	EET	
191022_1427	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191022_1427	1	session	1	34	0	0	0	34	34	22.22672064777328	21.32778626584629	32.07949732208492	34.03217100291482	30	31.29781253818892	31.69701597744361	29.97635739734349	29.20933734939759	31.69389204545455	30.28417728920595	35.88394062078273	0	0	1	1	34	0.5	0.5	1	1	
191022_1427	1	session	2	34	0	0	0	34	34	36.77478331527627	38.24865059373877	29.83490566037736	37.80254777070064	30	30.84497671324019	30.98724489795919	30.13991867974169	32.02409638554217	31.56895661157026	28.29068144325536	34.95804195804195	0	1	2	1	34	-0.5	0.5	0	1	
191022_1427	1	session	3	29.15520628683694	0	0	0	29.15520628683694	29.15520628683694	18.13776148012334	23.42373838269782	25.88326446280992	26.85488035806507	25.15520628683694	17.03320631464344	25.81327639751554	27.09366239762546	27.47162563296665	27.96127392344497	30	28.33116036505867	0	1	2	1	29.15520628683694	-2.5	2.5	0	0	
191022_1427	1	session	4	22	0	0	0	22	22	34	6	26	2	18	22	0	30	18	18	18	18	1	0	3	1	22	1.5	2.5	0	0	
191022_1427	1	session	5	32.29770021957702	0	0	0	32.29770021957702	32.29770021957702	12.80448717948718	28.85210507376754	29.94680633831578	28.66702478704628	28.29770021957703	32.88576692768309	29.51917447306791	32.9231427084108	32.14859437751004	29.98579545454546	38.54000994035785	29.61821266968326	0	0	1	1	32.29770021957702	0.5	0.5	1	0	
191022_1427	1	session	6	34.11394891944991	0	0	0	34.11394891944991	34.11394891944991	35.73565260340322	32.4783332621782	30	29.32791566000439	30.11394891944991	28.31611502270184	30.48844537815126	30.21570796460177	29.3905031892275	29.54861111111112	28.65667533261967	31.301775147929	0	0	1	1	34.11394891944991	0.5	2.5	1	0	
191022_1427	1	session	7	35.32318271119843	0	0	0	35.32318271119843	35.32318271119843	30.56853944177888	37.49036138384825	28.58880399189147	24.62579617834395	31.32318271119843	30.10120603862697	29.54342532467533	28.42896042011086	30.14113597246127	29.83729338842975	30.26692305185281	30.43706293706294	0	1	2	1	35.32318271119843	0.5	0.5	0	0	
191022_1427	1	session	8	35.17878192534381	0	0	0	35.17878192534381	35.17878192534381	31.94277553432483	31.79502002725358	34.858934169279	30	31.17878192534381	30	30	35.94552350304564	30	31.80906946826758	27.14698112693701	30	0	0	1	1	35.17878192534381	0.5	2.5	0	1	
191022_1427	1	session	9	40.49803536345777	0	0	0	40.49803536345777	40.49803536345777	32.61646803900324	26.57165583985152	27.54734848484849	38.18926296633303	36.49803536345777	52.95579054656645	33.20640756302522	28.5638432364096	32.53012048192771	31.02272727272727	33.71337194225949	29.13308913308914	0	0	1	1	40.49803536345777	0.5	2.5	0	0	
191022_1427	1	session	10	31.81615138041567	0	0	0	31.81615138041567	31.81615138041567	24.84162895927602	29.64532379946372	23.41349986712729	24.21019108280255	27.81615138041567	21.60587915078933	29.18280871670702	26.47130214917825	28.60413080895009	26.2681334622824	24.55942312228326	17.48626373626373	0	0	1	1	31.81615138041567	-0.5	2.5	0	0	
191022_1427	1	session	11	5	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191022_1427	1	summary	
191022_1427	1	timelog	
191022_1427	1	markets	
191022_1427	1	groups	
191022_1427	1	structure	Period	MarketID	IsTraining	Treatment	
191022_1427	1	structure	-1	0	1	0	
191022_1427	1	structure	0	0	1	0	
191022_1427	1	structure	1	3	0	6	
191022_1427	1	structure	2	3	0	6	
191022_1427	1	structure	3	3	0	6	
191022_1427	1	structure	4	3	0	5	
191022_1427	1	structure	5	3	0	5	
191022_1427	1	structure	6	3	0	5	
191022_1427	1	structure	7	3	0	-1	
191022_1427	1	structure	8	3	0	-1	
191022_1427	1	structure	9	3	0	-1	
191022_1427	1	structure	10	3	0	-1	
191022_1427	1	structure	11	3	0	-1	
191022_1427	1	structure	12	3	0	-1	
191022_1427	1	tagnums	TagID	TagNum	
191022_1427	1	tagnums	0	52	
191022_1427	1	tagnums	1	263	
191022_1427	1	tagnums	2	238	
191022_1427	1	tagnums	3	197	
191022_1427	1	tagnums	4	122	
191022_1427	1	tagnums	5	262	
191022_1427	1	tagnums	6	143	
191022_1427	1	tagnums	7	247	
191022_1427	1	tagnums	8	181	
191022_1427	1	tagnums	9	182	
191022_1427	1	tagnums	10	161	
191022_1427	1	tagnums	11	269	
191022_1427	1	tagnums	12	187	
191022_1427	1	tagnums	13	221	
191022_1427	1	tagnums	14	246	
191022_1427	1	tagnums	15	252	
191022_1427	1	tagnums	16	13	
191022_1427	1	tagnums	17	188	
191022_1427	1	tagnums	18	94	
191022_1427	1	tagnums	19	19	
191022_1427	1	tagnums	20	267	
191022_1427	1	tagnums	21	76	
191022_1427	1	tagnums	22	264	
191022_1427	1	tagnums	23	171	
191022_1427	1	tagnums	24	77	
191022_1427	1	tagnums	25	87	
191022_1427	1	tagnums	26	158	
191022_1427	1	tagnums	27	179	
191022_1427	1	tagnums	28	204	
191022_1427	1	tagnums	29	259	
191022_1427	1	tagnums	30	196	
191022_1427	1	tagnums	31	205	
191022_1427	1	tagnums	32	27	
191022_1427	1	tagnums	33	43	
191022_1427	1	tagnums	34	152	
191022_1427	1	tagnums	35	83	
191022_1427	1	tagnums	36	145	
191022_1427	1	tagnums	37	175	
191022_1427	1	tagnums	38	235	
191022_1427	1	tagnums	39	201	
191022_1427	1	tagnums	40	147	
191022_1427	1	tagnums	41	153	
191022_1427	1	tagnums	42	194	
191022_1427	1	tagnums	43	137	
191022_1427	1	tagnums	44	163	
191022_1427	1	tagnums	45	176	
191022_1427	1	tagnums	46	245	
191022_1427	1	tagnums	47	271	
191022_1427	1	tagnums	48	108	
191022_1427	1	tagnums	49	32	
191022_1427	1	tagnums	50	216	
191022_1427	1	tagnums	51	229	
191022_1427	1	tagnums	52	134	
191022_1427	1	tagnums	53	59	
191022_1427	1	tagnums	54	132	
191022_1427	1	tagnums	55	218	
191022_1427	1	tagnums	56	105	
191022_1427	1	tagnums	57	167	
191022_1427	1	tagnums	58	273	
191022_1427	1	tagnums	59	140	
191022_1427	1	tagnums	60	164	
191022_1427	1	tagnums	61	26	
191022_1427	1	tagnums	62	280	
191022_1427	1	tagnums	63	209	
191022_1427	1	tagnums	64	234	
191022_1427	1	tagnums	65	99	
191022_1427	1	tagnums	66	274	
191022_1427	1	tagnums	67	251	
191022_1427	1	tagnums	68	178	
191022_1427	1	tagnums	69	265	
191022_1427	1	tagnums	70	47	
191022_1427	1	tagnums	71	20	
191022_1427	1	tagnums	72	275	
191022_1427	1	tagnums	73	157	
191022_1427	1	tagnums	74	270	
191022_1427	1	tagnums	75	62	
191022_1427	1	tagnums	76	129	
191022_1427	1	tagnums	77	148	
191022_1427	1	tagnums	78	266	
191022_1427	1	tagnums	79	42	
191022_1427	1	tagnums	80	155	
191022_1427	1	tagnums	81	149	
191022_1427	1	tagnums	82	126	
191022_1427	1	tagnums	83	192	
191022_1427	1	tagnums	84	98	
191022_1427	1	tagnums	85	277	
191022_1427	1	tagnums	86	97	
191022_1427	1	tagnums	87	225	
191022_1427	1	tagnums	88	191	
191022_1427	1	tagnums	89	115	
191022_1427	1	tagnums	90	177	
191022_1427	1	tagnums	91	212	
191022_1427	1	tagnums	92	18	
191022_1427	1	tagnums	93	159	
191022_1427	1	tagnums	94	243	
191022_1427	1	tagnums	95	120	
191022_1427	1	tagnums	96	116	
191022_1427	1	tagnums	97	41	
191022_1427	1	tagnums	98	75	
191022_1427	1	tagnums	99	257	
191022_1427	1	tagnums	100	45	
191022_1427	1	tagnums	101	71	
191022_1427	1	tagnums	102	81	
191022_1427	1	tagnums	103	222	
191022_1427	1	tagnums	104	244	
191022_1427	1	tagnums	105	80	
191022_1427	1	tagnums	106	133	
191022_1427	1	tagnums	107	198	
191022_1427	1	tagnums	108	54	
191022_1427	1	tagnums	109	106	
191022_1427	1	tagnums	110	96	
191022_1427	1	tagnums	111	183	
191022_1427	1	tagnums	112	24	
191022_1427	1	tagnums	113	170	
191022_1427	1	tagnums	114	101	
191022_1427	1	tagnums	115	35	
191022_1427	1	tagnums	116	174	
191022_1427	1	tagnums	117	85	
191022_1427	1	tagnums	118	51	
191022_1427	1	tagnums	119	57	
191022_1427	1	tagnums	120	118	
191022_1427	1	tagnums	121	79	
191022_1427	1	tagnums	122	237	
191022_1427	1	tagnums	123	166	
191022_1427	1	tagnums	124	154	
191022_1427	1	tagnums	125	224	
191022_1427	1	tagnums	126	214	
191022_1427	1	tagnums	127	268	
191022_1427	1	tagnums	128	29	
191022_1427	1	tagnums	129	69	
191022_1427	1	tagnums	130	186	
191022_1427	1	tagnums	131	33	
191022_1427	1	tagnums	132	239	
191022_1427	1	tagnums	133	103	
191022_1427	1	tagnums	134	17	
191022_1427	1	tagnums	135	39	
191022_1427	1	tagnums	136	169	
191022_1427	1	tagnums	137	121	
191022_1427	1	tagnums	138	11	
191022_1427	1	tagnums	139	34	
191022_1427	1	tagnums	140	40	
191022_1427	1	tagnums	141	30	
191022_1427	1	tagnums	142	228	
191022_1427	1	tagnums	143	261	
191022_1427	1	tagnums	144	90	
191022_1427	1	tagnums	145	93	
191022_1427	1	tagnums	146	112	
191022_1427	1	tagnums	147	236	
191022_1427	1	tagnums	148	12	
191022_1427	1	tagnums	149	242	
191022_1427	1	tagnums	150	95	
191022_1427	1	tagnums	151	60	
191022_1427	1	tagnums	152	276	
191022_1427	1	tagnums	153	172	
191022_1427	1	tagnums	154	185	
191022_1427	1	tagnums	155	135	
191022_1427	1	tagnums	156	260	
191022_1427	1	tagnums	157	78	
191022_1427	1	tagnums	158	255	
191022_1427	1	tagnums	159	160	
191022_1427	1	tagnums	160	16	
191022_1427	1	tagnums	161	53	
191022_1427	1	tagnums	162	22	
191022_1427	1	tagnums	163	131	
191022_1427	1	tagnums	164	202	
191022_1427	1	tagnums	165	128	
191022_1427	1	tagnums	166	240	
191022_1427	1	tagnums	167	37	
191022_1427	1	tagnums	168	138	
191022_1427	1	tagnums	169	82	
191022_1427	1	tagnums	170	223	
191022_1427	1	tagnums	171	180	
191022_1427	1	tagnums	172	230	
191022_1427	1	tagnums	173	141	
191022_1427	1	tagnums	174	61	
191022_1427	1	tagnums	175	111	
191022_1427	1	tagnums	176	110	
191022_1427	1	tagnums	177	107	
191022_1427	1	tagnums	178	109	
191022_1427	1	tagnums	179	64	
191022_1427	1	tagnums	180	278	
191022_1427	1	tagnums	181	91	
191022_1427	1	tagnums	182	74	
191022_1427	1	tagnums	183	14	
191022_1427	1	tagnums	184	219	
191022_1427	1	tagnums	185	31	
191022_1427	1	tagnums	186	100	
191022_1427	1	tagnums	187	258	
191022_1427	1	tagnums	188	114	
191022_1427	1	tagnums	189	213	
191022_1427	1	tagnums	190	73	
191022_1427	1	tagnums	191	38	
191022_1427	1	tagnums	192	220	
191022_1427	1	tagnums	193	168	
191022_1427	1	tagnums	194	146	
191022_1427	1	tagnums	195	113	
191022_1427	1	tagnums	196	67	
191022_1427	1	tagnums	197	124	
191022_1427	1	tagnums	198	272	
191022_1427	1	tagnums	199	165	
191022_1427	1	tagnums	200	15	
191022_1427	1	tagnums	201	63	
191022_1427	1	tagnums	202	58	
191022_1427	1	tagnums	203	207	
191022_1427	1	tagnums	204	151	
191022_1427	1	tagnums	205	25	
191022_1427	1	tagnums	206	206	
191022_1427	1	tagnums	207	200	
191022_1427	1	tagnums	208	86	
191022_1427	1	tagnums	209	190	
191022_1427	1	tagnums	210	49	
191022_1427	1	tagnums	211	104	
191022_1427	1	tagnums	212	48	
191022_1427	1	tagnums	213	66	
191022_1427	1	tagnums	214	84	
191022_1427	1	tagnums	215	102	
191022_1427	1	tagnums	216	215	
191022_1427	1	tagnums	217	250	
191022_1427	1	tagnums	218	241	
191022_1427	1	tagnums	219	217	
191022_1427	1	tagnums	220	210	
191022_1427	1	tagnums	221	72	
191022_1427	1	tagnums	222	254	
191022_1427	1	tagnums	223	136	
191022_1427	1	tagnums	224	189	
191022_1427	1	tagnums	225	184	
191022_1427	1	tagnums	226	150	
191022_1427	1	tagnums	227	70	
191022_1427	1	tagnums	228	65	
191022_1427	1	tagnums	229	68	
191022_1427	1	tagnums	230	233	
191022_1427	1	tagnums	231	232	
191022_1427	1	tagnums	232	173	
191022_1427	1	tagnums	233	125	
191022_1427	1	tagnums	234	36	
191022_1427	1	tagnums	235	119	
191022_1427	1	tagnums	236	92	
191022_1427	1	tagnums	237	156	
191022_1427	1	tagnums	238	127	
191022_1427	1	tagnums	239	256	
191022_1427	1	tagnums	240	44	
191022_1427	1	tagnums	241	21	
191022_1427	1	tagnums	242	89	
191022_1427	1	tagnums	243	123	
191022_1427	1	tagnums	244	211	
191022_1427	1	tagnums	245	139	
191022_1427	1	tagnums	246	279	
191022_1427	1	tagnums	247	226	
191022_1427	1	tagnums	248	88	
191022_1427	1	tagnums	249	231	
191022_1427	1	tagnums	250	28	
191022_1427	1	tagnums	251	208	
191022_1427	1	tagnums	252	142	
191022_1427	1	tagnums	253	195	
191022_1427	1	tagnums	254	117	
191022_1427	1	tagnums	255	193	
191022_1427	1	tagnums	256	162	
191022_1427	1	tagnums	257	144	
191022_1427	1	tagnums	258	130	
191022_1427	1	tagnums	259	23	
191022_1427	1	tagnums	260	46	
191022_1427	1	tagnums	261	253	
191022_1427	1	tagnums	262	50	
191022_1427	1	tagnums	263	55	
191022_1427	1	tagnums	264	248	
191022_1427	1	tagnums	265	203	
191022_1427	1	tagnums	266	249	
191022_1427	1	tagnums	267	227	
191022_1427	1	tagnums	268	56	
191022_1427	1	tagnums	269	199	
191022_1427	1	predictionhistory	
191022_1427	1	history	
