C:\_z-Tree\Data\Channel2\191022_1427.xls
191022_1427	1	EET	left[1]	left[2]	left[3]	left[4]	left[5]	left[6]	left[7]	left[8]	left[9]	left[10]	ownprofit[1]	ownprofit[2]	ownprofit[3]	ownprofit[4]	ownprofit[5]	ownprofit[6]	ownprofit[7]	ownprofit[8]	ownprofit[9]	ownprofit[10]	otherprofit[1]	otherprofit[2]	otherprofit[3]	otherprofit[4]	otherprofit[5]	otherprofit[6]	otherprofit[7]	otherprofit[8]	otherprofit[9]	otherprofit[10]	ownleft[1]	ownleft[2]	ownleft[3]	ownleft[4]	ownleft[5]	ownleft[6]	ownleft[7]	ownleft[8]	ownleft[9]	ownleft[10]	otherleft[1]	otherleft[2]	otherleft[3]	otherleft[4]	otherleft[5]	otherleft[6]	otherleft[7]	otherleft[8]	otherleft[9]	otherleft[10]	Period	Subject	GroupEET	ownPayoffEET	right	
191022_1427	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	1	3	1	4	
191022_1427	1	EET	0	0	0	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	4	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	2	2	1	4	
191022_1427	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	3	1	0	4	
191022_1427	1	EET	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	4	2	0	4	
191022_1427	1	EET	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	5	3	0	4	
191022_1427	1	EET	0	0	1	1	1	0	0	0	0	1	4	4	4	5	6	4	4	4	4	6	4	4	7	7	7	4	4	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	6	1	1	4	
191022_1427	1	EET	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	7	5	0	4	
191022_1427	1	EET	0	0	1	1	1	0	0	0	0	0	4	4	4	5	6	4	4	4	4	4	4	4	7	7	7	4	4	4	4	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	8	4	1	4	
191022_1427	1	EET	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	9	4	0	4	
191022_1427	1	EET	0	0	0	1	1	0	0	0	0	1	4	4	4	5	6	4	4	4	4	6	4	4	4	7	7	4	4	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	10	5	1	4	
191022_1427	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	11	-77777	-77777	4	
191022_1427	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191022_1427	1	session	1	0	0	0	0	0	0	22.22672064777328	21.32778626584629	32.07949732208492	34.03217100291482	30	31.29781253818892	31.69701597744361	29.97635739734349	29.20933734939759	31.69389204545455	30.28417728920595	35.88394062078273	0	0	1	1	34	0.5	0.5	1	1	
191022_1427	1	session	2	0	0	0	0	0	0	36.77478331527627	38.24865059373877	29.83490566037736	37.80254777070064	30	30.84497671324019	30.98724489795919	30.13991867974169	32.02409638554217	31.56895661157026	28.29068144325536	34.95804195804195	0	1	2	1	34	-0.5	0.5	0	1	
191022_1427	1	session	3	0	0	0	0	0	0	18.13776148012334	23.42373838269782	25.88326446280992	26.85488035806507	25.15520628683694	17.03320631464344	25.81327639751554	27.09366239762546	27.47162563296665	27.96127392344497	30	28.33116036505867	0	1	2	1	29.15520628683694	-2.5	2.5	0	0	
191022_1427	1	session	4	0	0	0	0	0	0	34	6	26	2	18	22	0	30	18	18	18	18	1	0	3	1	22	1.5	2.5	0	0	
191022_1427	1	session	5	0	0	0	0	0	0	12.80448717948718	28.85210507376754	29.94680633831578	28.66702478704628	28.29770021957703	32.88576692768309	29.51917447306791	32.9231427084108	32.14859437751004	29.98579545454546	38.54000994035785	29.61821266968326	0	0	1	1	32.29770021957702	0.5	0.5	1	0	
191022_1427	1	session	6	0	0	0	0	0	0	35.73565260340322	32.4783332621782	30	29.32791566000439	30.11394891944991	28.31611502270184	30.48844537815126	30.21570796460177	29.3905031892275	29.54861111111112	28.65667533261967	31.301775147929	0	0	1	1	34.11394891944991	0.5	2.5	1	0	
191022_1427	1	session	7	0	0	0	0	0	0	30.56853944177888	37.49036138384825	28.58880399189147	24.62579617834395	31.32318271119843	30.10120603862697	29.54342532467533	28.42896042011086	30.14113597246127	29.83729338842975	30.26692305185281	30.43706293706294	0	1	2	1	35.32318271119843	0.5	0.5	0	0	
191022_1427	1	session	8	0	0	0	0	0	0	31.94277553432483	31.79502002725358	34.858934169279	30	31.17878192534381	30	30	35.94552350304564	30	31.80906946826758	27.14698112693701	30	0	0	1	1	35.17878192534381	0.5	2.5	0	1	
191022_1427	1	session	9	0	0	0	0	0	0	32.61646803900324	26.57165583985152	27.54734848484849	38.18926296633303	36.49803536345777	52.95579054656645	33.20640756302522	28.5638432364096	32.53012048192771	31.02272727272727	33.71337194225949	29.13308913308914	0	0	1	1	40.49803536345777	0.5	2.5	0	0	
191022_1427	1	session	10	0	0	0	0	0	0	24.84162895927602	29.64532379946372	23.41349986712729	24.21019108280255	27.81615138041567	21.60587915078933	29.18280871670702	26.47130214917825	28.60413080895009	26.2681334622824	24.55942312228326	17.48626373626373	0	0	1	1	31.81615138041567	-0.5	2.5	0	0	
191022_1427	1	session	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191022_1427	1	summary	Period	
191022_1427	1	summary	-1	
191022_1427	1	summary	0	
191022_1427	1	summary	1	
191022_1427	1	summary	2	
191022_1427	1	summary	3	
191022_1427	1	summary	4	
191022_1427	1	summary	5	
191022_1427	1	summary	6	
191022_1427	1	summary	7	
191022_1427	1	summary	8	
191022_1427	1	summary	9	
191022_1427	1	summary	10	
191022_1427	1	summary	11	
191022_1427	1	summary	12	
191022_1427	1	timelog	Data[1]	Data[2]	Data[3]	Data[4]	Period	ID	Time	Subject	Event	
191022_1427	1	timelog	0	0	0	0	0	1	0	0	1	
191022_1427	1	timelog	0	0	0	0	-1	2	8.562999999965541	7	192	
191022_1427	1	timelog	0	0	0	0	-1	3	13.06299999996554	1	192	
191022_1427	1	timelog	0	0	0	0	-1	4	13.89100000006147	4	192	
191022_1427	1	timelog	0	0	0	0	-1	5	21.875	5	192	
191022_1427	1	timelog	0	0	0	0	-1	6	32.64100000006147	2	192	
191022_1427	1	timelog	0	0	0	0	-1	7	34.28200000000652	9	192	
191022_1427	1	timelog	0	0	0	0	-1	8	51.40700000000652	6	192	
191022_1427	1	timelog	0	0	0	0	-1	9	51.57799999997951	3	192	
191022_1427	1	timelog	0	0	0	0	-1	10	81.25	8	192	
191022_1427	1	timelog	0	0	0	0	-1	11	100.8910000000615	10	192	
191022_1427	1	timelog	0	0	0	0	-1	12	100.8910000000615	0	206	
191022_1427	1	timelog	0	0	0	0	-1	13	107.094000000041	7	207	
191022_1427	1	timelog	0	0	0	0	-1	14	107.594000000041	9	207	
191022_1427	1	timelog	0	0	0	0	-1	15	108.0629999999655	5	207	
191022_1427	1	timelog	0	0	0	0	-1	16	108.4529999999795	1	207	
191022_1427	1	timelog	0	0	0	0	-1	17	109.0470000000205	2	207	
191022_1427	1	timelog	0	0	0	0	-1	18	110.5779999999795	7	207	
191022_1427	1	timelog	0	0	0	0	-1	19	111.5470000000205	9	207	
191022_1427	1	timelog	0	0	0	0	-1	20	112.469000000041	2	207	
191022_1427	1	timelog	0	0	0	0	-1	21	113.3129999999655	6	207	
191022_1427	1	timelog	0	0	0	0	-1	22	113.719000000041	1	207	
191022_1427	1	timelog	1	0	0	0	-1	23	114.094000000041	9	207	
191022_1427	1	timelog	1	0	0	0	-1	24	114.2029999999795	7	207	
191022_1427	1	timelog	0	0	0	0	-1	25	114.7820000000065	8	207	
191022_1427	1	timelog	0	0	0	0	-1	26	115.734999999986	2	207	
191022_1427	1	timelog	1	0	0	0	-1	27	115.7970000000205	9	207	
191022_1427	1	timelog	1	0	0	0	-1	28	117.1879999999655	7	207	
191022_1427	1	timelog	1	0	0	0	-1	29	117.5629999999655	9	207	
191022_1427	1	timelog	0	0	0	0	-1	30	118.125	3	207	
191022_1427	1	timelog	0	0	0	0	-1	31	118.4220000000205	8	207	
191022_1427	1	timelog	0	0	0	0	-1	32	118.484999999986	10	207	
191022_1427	1	timelog	0	0	0	0	-1	33	118.484999999986	6	207	
191022_1427	1	timelog	1	0	0	0	-1	34	119.2820000000065	2	207	
191022_1427	1	timelog	1	0	0	0	-1	35	119.7820000000065	7	207	
191022_1427	1	timelog	1	0	0	0	-1	36	120.5470000000205	1	207	
191022_1427	1	timelog	1	0	0	0	-1	37	121.344000000041	2	207	
191022_1427	1	timelog	0	0	0	0	-1	38	121.344000000041	5	207	
191022_1427	1	timelog	1	0	0	0	-1	39	121.4220000000205	8	207	
191022_1427	1	timelog	0	0	0	0	-1	40	121.969000000041	9	207	
191022_1427	1	timelog	1	0	0	0	-1	41	123.5629999999655	1	207	
191022_1427	1	timelog	0	0	0	0	-1	42	123.7820000000065	9	207	
191022_1427	1	timelog	0	0	0	0	-1	43	123.969000000041	10	207	
191022_1427	1	timelog	1	0	0	0	-1	44	123.984999999986	8	207	
191022_1427	1	timelog	0	0	0	0	-1	45	124.125	7	207	
191022_1427	1	timelog	1	0	0	0	-1	46	125.109999999986	5	207	
191022_1427	1	timelog	1	0	0	0	-1	47	125.8129999999655	1	207	
191022_1427	1	timelog	1	0	0	0	-1	48	126	8	207	
191022_1427	1	timelog	0	0	0	0	-1	49	126.094000000041	9	207	
191022_1427	1	timelog	0	0	0	0	-1	50	126.1410000000615	2	207	
191022_1427	1	timelog	0	0	0	0	-1	51	126.75	7	207	
191022_1427	1	timelog	1	0	0	0	-1	52	127.219000000041	6	207	
191022_1427	1	timelog	0	0	0	0	-1	53	128.4070000000065	8	207	
191022_1427	1	timelog	0	0	0	0	-1	54	129.0629999999655	7	207	
191022_1427	1	timelog	0	0	0	0	-1	55	129.5779999999795	9	207	
191022_1427	1	timelog	0	0	0	0	-1	56	129.7660000000615	3	207	
191022_1427	1	timelog	0	0	0	0	-1	57	130.359999999986	10	207	
191022_1427	1	timelog	0	0	0	0	-1	58	130.9070000000065	8	207	
191022_1427	1	timelog	0	0	0	0	-1	59	130.969000000041	1	207	
191022_1427	1	timelog	0	0	0	0	-1	60	131.0779999999795	2	207	
191022_1427	1	timelog	0	0	0	0	-1	61	132.5320000000065	3	207	
191022_1427	1	timelog	0	0	0	0	-1	62	132.594000000041	1	207	
191022_1427	1	timelog	1	0	0	0	-1	63	132.7660000000615	5	207	
191022_1427	1	timelog	0	0	0	0	-1	64	133.0779999999795	8	207	
191022_1427	1	timelog	1	0	0	0	-1	65	133.969000000041	7	207	
191022_1427	1	timelog	1	0	0	0	-1	66	134.5	6	207	
191022_1427	1	timelog	0	0	0	0	-1	67	135.125	2	207	
191022_1427	1	timelog	1	0	0	0	-1	68	136.0320000000065	10	207	
191022_1427	1	timelog	0	0	0	0	-1	69	136.3129999999655	1	207	
191022_1427	1	timelog	0	0	0	0	-1	70	136.469000000041	8	207	
191022_1427	1	timelog	1	0	0	0	-1	71	136.5320000000065	7	207	
191022_1427	1	timelog	0	0	0	0	-1	72	136.5629999999655	3	207	
191022_1427	1	timelog	1	0	0	0	-1	73	136.7660000000615	5	207	
191022_1427	1	timelog	0	0	0	0	-1	74	137.7970000000205	9	207	
191022_1427	1	timelog	1	0	0	0	-1	75	138.2820000000065	2	207	
191022_1427	1	timelog	0	0	0	0	-1	76	138.5629999999655	8	207	
191022_1427	1	timelog	1	0	0	0	-1	77	138.625	1	207	
191022_1427	1	timelog	0	0	0	0	-1	78	139.0470000000205	3	207	
191022_1427	1	timelog	1	0	0	0	-1	79	139.625	10	207	
191022_1427	1	timelog	1	0	0	0	-1	80	140.4379999999655	1	207	
191022_1427	1	timelog	1	0	0	0	-1	81	140.6879999999655	6	207	
191022_1427	1	timelog	0	0	0	0	-1	82	140.719000000041	5	207	
191022_1427	1	timelog	1	0	0	0	-1	83	141.6410000000615	2	207	
191022_1427	1	timelog	0	0	0	0	-1	84	142.4220000000205	10	207	
191022_1427	1	timelog	0	0	0	0	-1	85	142.7970000000205	3	207	
191022_1427	1	timelog	0	0	0	0	-1	86	143.484999999986	4	207	
191022_1427	1	timelog	0	0	0	0	-1	87	143.625	5	207	
191022_1427	1	timelog	0	0	0	0	-1	88	145.5	10	207	
191022_1427	1	timelog	0	0	0	0	-1	89	145.5470000000205	3	207	
191022_1427	1	timelog	0	0	0	0	-1	90	145.859999999986	6	207	
191022_1427	1	timelog	0	0	0	0	-1	91	148.1720000000205	3	207	
191022_1427	1	timelog	0	0	0	0	-1	92	148.2820000000065	10	207	
191022_1427	1	timelog	0	0	0	0	-1	93	149.719000000041	6	207	
191022_1427	1	timelog	0	0	0	0	-1	94	151.4070000000065	10	207	
191022_1427	1	timelog	1	0	0	0	-1	95	151.8279999999795	4	207	
191022_1427	1	timelog	0	0	0	0	-1	96	152.2660000000615	3	207	
191022_1427	1	timelog	0	0	0	0	-1	97	153.25	6	207	
191022_1427	1	timelog	0	0	0	0	-1	98	156.219000000041	3	207	
191022_1427	1	timelog	0	0	0	0	-1	99	156.9379999999655	6	207	
191022_1427	1	timelog	1	0	0	0	-1	100	160.484999999986	10	207	
