C:\_z-Tree\Data\Channel1\191024_0837.xls
191024_0837	1	EET	
191024_0837	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191024_0837	1	session	1	37.16818238445247	0	0	0	37.16818238445247	37.16818238445247	30.12404030405086	30.11967247533068	28.16387108933283	29.7618437900128	29.57301522007404	30.49974450689832	29.99939809798964	28.50987248046072	30.54249547920434	30.16818238445247	30.01058723884811	29.87986270022883	0	0	1	1	37.16818238445247	-2.5	-0.5	0	0	
191024_0837	1	session	2	35.2858717214018	0	0	0	35.2858717214018	35.2858717214018	32.21150226075641	30.191550061133	29.95190193491645	30.28213166144201	30.05183052241875	29.85098216301649	30	30.09765170890491	29.98372513562387	29.28587172140181	30.02884307232133	30.13975155279503	0	1	2	1	35.2858717214018	0.5	0.5	1	0	
191024_0837	1	session	3	37	0	0	0	37	37	30	30	31.5931878148237	28.86363636363636	36.52256834075017	30	30	30.18376276130287	30	30	30	30	0	0	1	1	37	0.5	0.5	0	0	
191024_0837	1	session	4	44	0	0	0	44	44	34	22	26	30	22	30	34	38	22	38	26	38	1	0	3	1	44	1.5	2.5	0	0	
191024_0837	1	session	5	35.77245912691724	0	0	0	35.77245912691724	35.77245912691724	18.23365554899646	30.06928406466513	30.993632027603	29.84659090909091	33.06818181818182	29.932785660941	29.98436522826766	29.55046791443851	30	29.77245912691724	30	30.05691699604743	0	1	2	1	35.77245912691724	-77778	-77778	0	1	
191024_0837	1	session	6	36.95840650707089	0	0	0	36.95840650707089	36.95840650707089	30.1899545975415	29.92832682965677	30.39921991510841	30.09440559440559	30.0062623943221	29.77205571971297	30	29.95994914176732	30	29.95840650707089	29.83060417843027	29.96188594014681	0	0	1	1	36.95840650707089	1.5	2.5	1	0	
191024_0837	1	session	7	38.06920872823451	0	0	0	38.06920872823451	38.06920872823451	30.18499153981653	30	30.25996389390362	32.23295454545455	25.7922077922078	30.04539150170218	30.0038270187524	30.04599340482982	30	31.06920872823452	29.9846547314578	30.04772004241782	0	0	1	1	38.06920872823451	0.5	2.5	0	0	
191024_0837	1	session	8	37.35730313805365	0	0	0	37.35730313805365	37.35730313805365	30	30	30	30	26.61474888747617	30.65533980582524	30	30	30	30.35730313805365	30.01513749894878	30.14316012725345	0	1	2	1	37.35730313805365	0.5	0.5	1	0	
191024_0837	1	session	9	37.45057306590257	0	0	0	37.45057306590257	37.45057306590257	30.25474525474525	30	22.86560026385224	27.59358288770054	30	28.58252427184467	30	30.18447227003377	29.92005329780147	31.45057306590258	29.88883399209485	30.18574573472757	0	0	1	1	37.45057306590257	0.5	0.5	1	0	
191024_0837	1	session	10	34.90038955603491	0	0	0	34.90038955603491	34.90038955603491	25.4976040002778	29.79864318706697	30.04848284960422	31.44242424242424	26.19980019980021	30.03603242918627	29.99422499422501	29.66372242441763	29.50894805761676	28.90038955603491	30.22989432927322	29.56211180124224	0	0	1	1	34.90038955603491	0.5	0.5	1	1	
191024_0837	1	session	11	5	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191024_0837	1	summary	
191024_0837	1	timelog	
191024_0837	1	markets	
191024_0837	1	groups	
191024_0837	1	structure	Period	MarketID	IsTraining	Treatment	
191024_0837	1	structure	-1	0	1	0	
191024_0837	1	structure	0	0	1	0	
191024_0837	1	structure	1	3	0	6	
191024_0837	1	structure	2	3	0	6	
191024_0837	1	structure	3	3	0	6	
191024_0837	1	structure	4	3	0	5	
191024_0837	1	structure	5	3	0	5	
191024_0837	1	structure	6	3	0	5	
191024_0837	1	structure	7	3	0	-1	
191024_0837	1	structure	8	3	0	-1	
191024_0837	1	structure	9	3	0	-1	
191024_0837	1	structure	10	3	0	-1	
191024_0837	1	structure	11	3	0	-1	
191024_0837	1	structure	12	3	0	-1	
191024_0837	1	tagnums	TagID	TagNum	
191024_0837	1	tagnums	0	52	
191024_0837	1	tagnums	1	263	
191024_0837	1	tagnums	2	238	
191024_0837	1	tagnums	3	197	
191024_0837	1	tagnums	4	122	
191024_0837	1	tagnums	5	262	
191024_0837	1	tagnums	6	143	
191024_0837	1	tagnums	7	247	
191024_0837	1	tagnums	8	181	
191024_0837	1	tagnums	9	182	
191024_0837	1	tagnums	10	161	
191024_0837	1	tagnums	11	269	
191024_0837	1	tagnums	12	187	
191024_0837	1	tagnums	13	221	
191024_0837	1	tagnums	14	246	
191024_0837	1	tagnums	15	252	
191024_0837	1	tagnums	16	13	
191024_0837	1	tagnums	17	188	
191024_0837	1	tagnums	18	94	
191024_0837	1	tagnums	19	19	
191024_0837	1	tagnums	20	267	
191024_0837	1	tagnums	21	76	
191024_0837	1	tagnums	22	264	
191024_0837	1	tagnums	23	171	
191024_0837	1	tagnums	24	77	
191024_0837	1	tagnums	25	87	
191024_0837	1	tagnums	26	158	
191024_0837	1	tagnums	27	179	
191024_0837	1	tagnums	28	204	
191024_0837	1	tagnums	29	259	
191024_0837	1	tagnums	30	196	
191024_0837	1	tagnums	31	205	
191024_0837	1	tagnums	32	27	
191024_0837	1	tagnums	33	43	
191024_0837	1	tagnums	34	152	
191024_0837	1	tagnums	35	83	
191024_0837	1	tagnums	36	145	
191024_0837	1	tagnums	37	175	
191024_0837	1	tagnums	38	235	
191024_0837	1	tagnums	39	201	
191024_0837	1	tagnums	40	147	
191024_0837	1	tagnums	41	153	
191024_0837	1	tagnums	42	194	
191024_0837	1	tagnums	43	137	
191024_0837	1	tagnums	44	163	
191024_0837	1	tagnums	45	176	
191024_0837	1	tagnums	46	245	
191024_0837	1	tagnums	47	271	
191024_0837	1	tagnums	48	108	
191024_0837	1	tagnums	49	32	
191024_0837	1	tagnums	50	216	
191024_0837	1	tagnums	51	229	
191024_0837	1	tagnums	52	134	
191024_0837	1	tagnums	53	59	
191024_0837	1	tagnums	54	132	
191024_0837	1	tagnums	55	218	
191024_0837	1	tagnums	56	105	
191024_0837	1	tagnums	57	167	
191024_0837	1	tagnums	58	273	
191024_0837	1	tagnums	59	140	
191024_0837	1	tagnums	60	164	
191024_0837	1	tagnums	61	26	
191024_0837	1	tagnums	62	280	
191024_0837	1	tagnums	63	209	
191024_0837	1	tagnums	64	234	
191024_0837	1	tagnums	65	99	
191024_0837	1	tagnums	66	274	
191024_0837	1	tagnums	67	251	
191024_0837	1	tagnums	68	178	
191024_0837	1	tagnums	69	265	
191024_0837	1	tagnums	70	47	
191024_0837	1	tagnums	71	20	
191024_0837	1	tagnums	72	275	
191024_0837	1	tagnums	73	157	
191024_0837	1	tagnums	74	270	
191024_0837	1	tagnums	75	62	
191024_0837	1	tagnums	76	129	
191024_0837	1	tagnums	77	148	
191024_0837	1	tagnums	78	266	
191024_0837	1	tagnums	79	42	
191024_0837	1	tagnums	80	155	
191024_0837	1	tagnums	81	149	
191024_0837	1	tagnums	82	126	
191024_0837	1	tagnums	83	192	
191024_0837	1	tagnums	84	98	
191024_0837	1	tagnums	85	277	
191024_0837	1	tagnums	86	97	
191024_0837	1	tagnums	87	225	
191024_0837	1	tagnums	88	191	
191024_0837	1	tagnums	89	115	
191024_0837	1	tagnums	90	177	
191024_0837	1	tagnums	91	212	
191024_0837	1	tagnums	92	18	
191024_0837	1	tagnums	93	159	
191024_0837	1	tagnums	94	243	
191024_0837	1	tagnums	95	120	
191024_0837	1	tagnums	96	116	
191024_0837	1	tagnums	97	41	
191024_0837	1	tagnums	98	75	
191024_0837	1	tagnums	99	257	
191024_0837	1	tagnums	100	45	
191024_0837	1	tagnums	101	71	
191024_0837	1	tagnums	102	81	
191024_0837	1	tagnums	103	222	
191024_0837	1	tagnums	104	244	
191024_0837	1	tagnums	105	80	
191024_0837	1	tagnums	106	133	
191024_0837	1	tagnums	107	198	
191024_0837	1	tagnums	108	54	
191024_0837	1	tagnums	109	106	
191024_0837	1	tagnums	110	96	
191024_0837	1	tagnums	111	183	
191024_0837	1	tagnums	112	24	
191024_0837	1	tagnums	113	170	
191024_0837	1	tagnums	114	101	
191024_0837	1	tagnums	115	35	
191024_0837	1	tagnums	116	174	
191024_0837	1	tagnums	117	85	
