C:\_z-Tree\Data\Channel2\191024_0838.xls
191024_0838	1	EET	left[1]	left[2]	left[3]	left[4]	left[5]	left[6]	left[7]	left[8]	left[9]	left[10]	ownprofit[1]	ownprofit[2]	ownprofit[3]	ownprofit[4]	ownprofit[5]	ownprofit[6]	ownprofit[7]	ownprofit[8]	ownprofit[9]	ownprofit[10]	otherprofit[1]	otherprofit[2]	otherprofit[3]	otherprofit[4]	otherprofit[5]	otherprofit[6]	otherprofit[7]	otherprofit[8]	otherprofit[9]	otherprofit[10]	ownleft[1]	ownleft[2]	ownleft[3]	ownleft[4]	ownleft[5]	ownleft[6]	ownleft[7]	ownleft[8]	ownleft[9]	ownleft[10]	otherleft[1]	otherleft[2]	otherleft[3]	otherleft[4]	otherleft[5]	otherleft[6]	otherleft[7]	otherleft[8]	otherleft[9]	otherleft[10]	Period	Subject	GroupEET	ownPayoffEET	right	
191024_0838	1	EET	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	1	1	0	4	
191024_0838	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	2	2	0	4	
191024_0838	1	EET	0	0	0	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	4	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	3	1	1	4	
191024_0838	1	EET	0	1	1	1	1	0	0	0	0	1	4	3	4	5	6	4	4	4	4	6	4	7	7	7	7	4	4	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	4	2	1	4	
191024_0838	1	EET	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	5	3	0	4	
191024_0838	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	6	4	1	4	
191024_0838	1	EET	0	0	1	1	1	0	0	0	0	1	4	4	4	5	6	4	4	4	4	6	4	4	7	7	7	4	4	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	7	5	1	4	
191024_0838	1	EET	0	0	1	1	1	0	0	0	1	0	4	4	4	5	6	4	4	4	5	4	4	4	7	7	7	4	4	4	1	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	8	3	1	4	
191024_0838	1	EET	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	9	4	0	4	
191024_0838	1	EET	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	10	5	0	4	
191024_0838	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	11	-77777	-77777	4	
191024_0838	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191024_0838	1	session	1	0	0	0	0	0	0	31.83543019480519	30.88757396449704	30.01650972239208	33.91593786711918	30.02083912197834	29.4375	33.74115084407332	31.30371801062289	30	37.759581450065	32.71680089904476	30	0	0	1	1	34.01650972239207	1.5	2.5	1	1	
191024_0838	1	session	2	0	0	0	0	0	0	33.70416348357526	29.51923076923077	30.45233088876352	29.76538798624689	29.61223203026482	39	29.76924124160465	30.00000000000001	30.00975927130774	34.13460736042727	29.78512545610163	30	0	0	1	1	37.45233088876353	-2.5	2.5	0	0	
191024_0838	1	session	3	0	0	0	0	0	0	18	14	14	26	14	22	22	34	22	22	22	34	1	0	3	1	18	-0.5	0.5	0	0	
191024_0838	1	session	4	0	0	0	0	0	0	30.36364830022919	38.35071707953064	30.41241933975498	48.53052877592755	30.36623648412975	30.65820895522388	30.71966875520308	30.82568807339452	29.89645651173493	29.24456412753888	30.42981929102925	30	0	0	1	1	33.41241933975498	1.5	2.5	0	0	
191024_0838	1	session	5	0	0	0	0	0	0	28.11382265275708	29.79874776386404	29.83029541169076	29.61302501179802	30.11034047919294	30	30	30.0840230524785	30.02727892702887	28.7027849201463	30.19366051477282	30	0	1	2	1	33.83029541169076	-0.5	2.5	0	0	
191024_0838	1	session	6	0	0	0	0	0	0	30.75229458041958	33.77218934911242	30.75970928912104	36.10535223185953	30.84064048799083	23.175	29.98155510923476	29.56000748923423	30.39925876010782	24.68291746641075	32.1117958510546	30	0	0	1	1	34.75970928912105	0.5	0.5	0	0	
191024_0838	1	session	7	0	0	0	0	0	0	29.97120067432568	28.74581939799331	29.84768449664086	33.21203462475839	30	30.71052631578947	30.7537253089985	30.1464274415872	30	30.53373689650081	29.09566673644547	29.64978730366492	0	1	2	1	33.84768449664085	0.5	2.5	1	1	
191024_0838	1	session	8	0	0	0	0	0	0	28.55801806888763	32.42165242165243	29.47226064873124	33.66595718041818	29.88210195373905	29.15094339622642	30.28509046656049	29.94652686762779	30.11044638748275	31.20681381957773	25.56552684511836	30.08662439068424	0	0	1	1	33.47226064873124	-77778	-77778	1	1	
191024_0838	1	session	9	0	0	0	0	0	0	32.31331168831169	23.21266968325792	31.59119565813277	35.31035727174305	29.8032786885246	28.625	27.15586615840746	29.84970194055722	29.62541620421754	28.26021387441733	33.07320793085918	29.93301047120419	0	1	2	1	35.59119565813276	-77778	-77778	0	1	
191024_0838	1	session	10	0	0	0	0	0	0	14.63952342300557	18.53365384615385	27.49079064717516	2.008634401272431	29.56284153005464	28.875	28.4894460353885	28.95335314640134	30	23.02851658897723	29.00935198212364	30	0	0	1	1	31.49079064717516	-0.5	2.5	0	1	
191024_0838	1	session	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191024_0838	1	summary	Period	
191024_0838	1	summary	-1	
191024_0838	1	summary	0	
191024_0838	1	summary	1	
191024_0838	1	summary	2	
191024_0838	1	summary	3	
191024_0838	1	summary	4	
191024_0838	1	summary	5	
191024_0838	1	summary	6	
191024_0838	1	summary	7	
191024_0838	1	summary	8	
191024_0838	1	summary	9	
191024_0838	1	summary	10	
191024_0838	1	summary	11	
191024_0838	1	summary	12	
191024_0838	1	timelog	Data[1]	Data[2]	Data[3]	Data[4]	Period	ID	Time	Subject	Event	
191024_0838	1	timelog	0	0	0	0	0	1	0	0	1	
191024_0838	1	timelog	0	0	0	0	-1	2	15.23399999999674	5	192	
191024_0838	1	timelog	0	0	0	0	-1	3	24.48399999999674	8	192	
191024_0838	1	timelog	0	0	0	0	-1	4	28.45299999999406	4	192	
191024_0838	1	timelog	0	0	0	0	-1	5	39.21899999999732	1	192	
191024_0838	1	timelog	0	0	0	0	-1	6	40.82799999999406	7	192	
191024_0838	1	timelog	0	0	0	0	-1	7	53.9369999999908	6	192	
191024_0838	1	timelog	0	0	0	0	-1	8	64.32799999999406	9	192	
191024_0838	1	timelog	0	0	0	0	-1	9	70.9369999999908	3	192	
191024_0838	1	timelog	0	0	0	0	-1	10	111.5939999999973	2	192	
191024_0838	1	timelog	0	0	0	0	-1	11	120.1719999999914	10	192	
191024_0838	1	timelog	0	0	0	0	-1	12	120.1719999999914	0	206	
191024_0838	1	timelog	0	0	0	0	-1	13	124.7029999999941	4	207	
191024_0838	1	timelog	0	0	0	0	-1	14	126.2649999999994	1	207	
191024_0838	1	timelog	0	0	0	0	-1	15	127.1399999999994	5	207	
191024_0838	1	timelog	0	0	0	0	-1	16	127.4839999999967	8	207	
191024_0838	1	timelog	0	0	0	0	-1	17	129.0310000000027	3	207	
191024_0838	1	timelog	0	0	0	0	-1	18	130.2029999999941	10	207	
191024_0838	1	timelog	0	0	0	0	-1	19	130.8439999999973	6	207	
191024_0838	1	timelog	1	0	0	0	-1	20	131.2029999999941	4	207	
191024_0838	1	timelog	0	0	0	0	-1	21	132.1869999999908	2	207	
191024_0838	1	timelog	0	0	0	0	-1	22	132.9839999999967	8	207	
191024_0838	1	timelog	1	0	0	0	-1	23	134.125	4	207	
191024_0838	1	timelog	0	0	0	0	-1	24	134.1869999999908	3	207	
191024_0838	1	timelog	0	0	0	0	-1	25	134.1869999999908	2	207	
191024_0838	1	timelog	0	0	0	0	-1	26	134.9839999999967	7	207	
191024_0838	1	timelog	0	0	0	0	-1	27	135.7339999999967	2	207	
191024_0838	1	timelog	1	0	0	0	-1	28	136.0779999999941	8	207	
191024_0838	1	timelog	1	0	0	0	-1	29	136.125	1	207	
191024_0838	1	timelog	0	0	0	0	-1	30	136.5310000000027	5	207	
191024_0838	1	timelog	1	0	0	0	-1	31	136.7029999999941	4	207	
191024_0838	1	timelog	0	0	0	0	-1	32	136.7810000000027	10	207	
191024_0838	1	timelog	0	0	0	0	-1	33	137.7339999999967	2	207	
191024_0838	1	timelog	1	0	0	0	-1	34	138.7969999999914	1	207	
191024_0838	1	timelog	1	0	0	0	-1	35	138.9060000000027	4	207	
191024_0838	1	timelog	0	0	0	0	-1	36	139.0310000000027	3	207	
191024_0838	1	timelog	1	0	0	0	-1	37	139.2189999999973	8	207	
191024_0838	1	timelog	0	0	0	0	-1	38	139.4689999999973	10	207	
191024_0838	1	timelog	0	0	0	0	-1	39	139.9060000000027	2	207	
191024_0838	1	timelog	0	0	0	0	-1	40	140.4219999999914	6	207	
191024_0838	1	timelog	1	0	0	0	-1	41	141.3279999999941	3	207	
191024_0838	1	timelog	0	0	0	0	-1	42	141.5469999999914	2	207	
191024_0838	1	timelog	1	0	0	0	-1	43	141.5469999999914	1	207	
191024_0838	1	timelog	1	0	0	0	-1	44	141.7189999999973	9	207	
191024_0838	1	timelog	1	0	0	0	-1	45	141.9529999999941	8	207	
191024_0838	1	timelog	0	0	0	0	-1	46	142.2810000000027	4	207	
191024_0838	1	timelog	0	0	0	0	-1	47	142.8589999999967	5	207	
191024_0838	1	timelog	0	0	0	0	-1	48	143.2339999999967	2	207	
191024_0838	1	timelog	1	0	0	0	-1	49	143.3119999999908	1	207	
191024_0838	1	timelog	1	0	0	0	-1	50	143.8439999999973	3	207	
191024_0838	1	timelog	0	0	0	0	-1	51	144.8439999999973	8	207	
191024_0838	1	timelog	0	0	0	0	-1	52	145	2	207	
191024_0838	1	timelog	0	0	0	0	-1	53	145.0149999999994	4	207	
191024_0838	1	timelog	0	0	0	0	-1	54	145.9369999999908	7	207	
191024_0838	1	timelog	1	0	0	0	-1	55	146.6869999999908	10	207	
191024_0838	1	timelog	0	0	0	0	-1	56	146.8439999999973	2	207	
191024_0838	1	timelog	0	0	0	0	-1	57	147.1089999999967	4	207	
191024_0838	1	timelog	1	0	0	0	-1	58	147.7969999999914	9	207	
191024_0838	1	timelog	0	0	0	0	-1	59	148.0619999999908	8	207	
191024_0838	1	timelog	1	0	0	0	-1	60	148.4369999999908	10	207	
191024_0838	1	timelog	0	0	0	0	-1	61	148.7810000000027	2	207	
191024_0838	1	timelog	1	0	0	0	-1	62	149	5	207	
191024_0838	1	timelog	0	0	0	0	-1	63	149.0619999999908	3	207	
191024_0838	1	timelog	1	0	0	0	-1	64	149.3439999999973	7	207	
191024_0838	1	timelog	0	0	0	0	-1	65	149.3899999999994	4	207	
191024_0838	1	timelog	0	0	0	0	-1	66	149.4219999999914	1	207	
191024_0838	1	timelog	1	0	0	0	-1	67	150	6	207	
191024_0838	1	timelog	0	0	0	0	-1	68	150.1869999999908	8	207	
191024_0838	1	timelog	1	0	0	0	-1	69	151.4529999999941	4	207	
191024_0838	1	timelog	1	0	0	0	-1	70	152.375	8	207	
191024_0838	1	timelog	1	0	0	0	-1	71	152.7189999999973	7	207	
191024_0838	1	timelog	0	0	0	0	-1	72	152.8279999999941	1	207	
191024_0838	1	timelog	0	0	0	0	-1	73	152.9060000000027	3	207	
191024_0838	1	timelog	1	0	0	0	-1	74	155.25	6	207	
191024_0838	1	timelog	1	0	0	0	-1	75	155.4369999999908	7	207	
191024_0838	1	timelog	1	0	0	0	-1	76	155.5619999999908	5	207	
191024_0838	1	timelog	0	0	0	0	-1	77	155.5779999999941	1	207	
191024_0838	1	timelog	0	0	0	0	-1	78	155.5939999999973	10	207	
191024_0838	1	timelog	0	0	0	0	-1	79	157.5619999999908	3	207	
191024_0838	1	timelog	1	0	0	0	-1	80	157.9689999999973	9	207	
191024_0838	1	timelog	0	0	0	0	-1	81	158.2189999999973	8	207	
191024_0838	1	timelog	0	0	0	0	-1	82	159.5779999999941	10	207	
191024_0838	1	timelog	0	0	0	0	-1	83	159.9060000000027	5	207	
191024_0838	1	timelog	0	0	0	0	-1	84	160.0149999999994	7	207	
191024_0838	1	timelog	0	0	0	0	-1	85	160.0310000000027	1	207	
191024_0838	1	timelog	1	0	0	0	-1	86	160.4529999999941	3	207	
191024_0838	1	timelog	0	0	0	0	-1	87	162.5310000000027	10	207	
191024_0838	1	timelog	1	0	0	0	-1	88	162.6089999999967	6	207	
191024_0838	1	timelog	1	0	0	0	-1	89	162.9839999999967	3	207	
191024_0838	1	timelog	0	0	0	0	-1	90	163.7810000000027	5	207	
191024_0838	1	timelog	0	0	0	0	-1	91	164.625	10	207	
191024_0838	1	timelog	0	0	0	0	-1	92	165.3439999999973	1	207	
191024_0838	1	timelog	0	0	0	0	-1	93	165.5149999999994	7	207	
191024_0838	1	timelog	0	0	0	0	-1	94	166.5	6	207	
191024_0838	1	timelog	0	0	0	0	-1	95	167.5310000000027	5	207	
191024_0838	1	timelog	0	0	0	0	-1	96	169.4219999999914	7	207	
191024_0838	1	timelog	1	0	0	0	-1	97	169.4839999999967	9	207	
191024_0838	1	timelog	0	0	0	0	-1	98	169.75	10	207	
