C:\_z-Tree\Data\Channel1\191024_1126.xls
191024_1126	1	EET	left[1]	left[2]	left[3]	left[4]	left[5]	left[6]	left[7]	left[8]	left[9]	left[10]	ownprofit[1]	ownprofit[2]	ownprofit[3]	ownprofit[4]	ownprofit[5]	ownprofit[6]	ownprofit[7]	ownprofit[8]	ownprofit[9]	ownprofit[10]	otherprofit[1]	otherprofit[2]	otherprofit[3]	otherprofit[4]	otherprofit[5]	otherprofit[6]	otherprofit[7]	otherprofit[8]	otherprofit[9]	otherprofit[10]	ownleft[1]	ownleft[2]	ownleft[3]	ownleft[4]	ownleft[5]	ownleft[6]	ownleft[7]	ownleft[8]	ownleft[9]	ownleft[10]	otherleft[1]	otherleft[2]	otherleft[3]	otherleft[4]	otherleft[5]	otherleft[6]	otherleft[7]	otherleft[8]	otherleft[9]	otherleft[10]	Period	Subject	GroupEET	ownPayoffEET	right	
191024_1126	1	EET	0	0	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	1	3	1	4	
191024_1126	1	EET	0	0	1	1	1	0	0	0	0	0	4	4	4	5	6	4	4	4	4	4	4	4	7	7	7	4	4	4	4	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	2	2	1	4	
191024_1126	1	EET	0	0	0	1	1	0	0	0	0	0	4	4	4	5	6	4	4	4	4	4	4	4	4	7	7	4	4	4	4	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	3	4	1	4	
191024_1126	1	EET	0	0	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	4	5	1	4	
191024_1126	1	EET	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	5	5	0	4	
191024_1126	1	EET	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	6	3	0	4	
191024_1126	1	EET	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	7	2	0	4	
191024_1126	1	EET	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	8	1	0	4	
191024_1126	1	EET	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	9	4	0	4	
191024_1126	1	EET	0	0	0	1	1	0	0	0	0	0	4	4	4	5	6	4	4	4	4	4	4	4	4	7	7	4	4	4	4	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	10	1	1	4	
191024_1126	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	11	-77777	-77777	4	
191024_1126	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191024_1126	1	session	1	0	0	0	0	0	0	30.42439024390243	30.20930232558139	31.72554820744866	30	30.15573525007487	37.98221614227086	41.48284313725489	32.5802499387405	30	30.14802631578947	30.29076442474569	28.94078398665554	0	0	1	1	32.94078398665555	-2.5	2.5	0	0	
191024_1126	1	session	2	0	0	0	0	0	0	29.63414634146342	29.22649140546006	26.85456244160698	29.88956698634118	30.39479039479039	25.17569639662663	33.08349146110057	28.48794063079778	36.91972920696325	26.47826086956522	30.21685955240773	32.51783893985729	0	0	1	1	36.51783893985729	0.5	2.5	0	0	
191024_1126	1	session	3	0	0	0	0	0	0	18	30	42	42	6	6	14	22	26	34	22	34	1	0	3	1	38	-0.5	2.5	0	0	
191024_1126	1	session	4	0	0	0	0	0	0	29.21353907416625	31.3953488372093	28.18308388444136	29.68613775065388	29.5398834639341	37.89970930232558	23.9288307915759	30.00000000000001	27.41576666882235	30.26171289355322	32.67771396290369	29.74233847355065	0	0	1	1	33.74233847355065	-2.5	2.5	1	1	
191024_1126	1	session	5	0	0	0	0	0	0	30.16832703538303	30	29.72364174287252	29.743052912067	30	25.0984812529663	28.33105335157318	30.36096256684492	27.848984162534	30.34829460269865	29.53740331074101	30.14386989157631	0	0	1	1	34.14386989157632	0.5	2.5	0	0	
191024_1126	1	session	6	0	0	0	0	0	0	29.77700348432056	30.29677195418257	32.72404518558365	30.5106391673932	29.74537037037037	37.3531211750306	21.78733031674209	32.23818734457032	36.16185410334346	30.13750539984246	30.00838550983899	30.08290040897535	0	1	2	1	34.08290040897535	0.5	2.5	1	1	
191024_1126	1	session	7	0	0	0	0	0	0	28.56271777003485	30	29.36760355029585	29.75271459142427	30.27336860670194	30	29.69187675070028	29.77574750830565	22.23784194528876	29.22835457271363	26.86539374247015	27.11009174311927	0	1	2	1	31.11009174311927	-2.5	-0.5	0	1	
191024_1126	1	session	8	0	0	0	0	0	0	31.19860627177701	29.50752393980848	29.99126976428363	29.1457528957529	30.15873015873016	24.55092221331195	28.09954751131222	30.20454545454546	31.1968085106383	30.13338985994808	30.05771762243899	32.29190992493744	0	1	2	1	36.29190992493744	0.5	2.5	0	0	
191024_1126	1	session	9	0	0	0	0	0	0	30.6699598641556	30.41860465116279	30.35502958579881	30.17864927139121	30.06847183317772	32.32885686210285	38.58220211161388	30.02164502164502	28.96048632218845	30.11868089392804	30	28.98237566393046	0	0	1	1	32.98237566393046	-0.5	2.5	1	1	
191024_1126	1	session	10	0	0	0	0	0	0	30	28.45985081175954	30.41934653974788	26.59459459459459	29.66318234610917	20.0939789741956	28.34224598930481	27.23171565276828	29.1943206895116	29.40787290780839	30.00335420393559	30.07540530350635	0	0	1	1	34.07540530350634	-0.5	2.5	1	1	
191024_1126	1	session	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191024_1126	1	summary	Period	
191024_1126	1	summary	-1	
191024_1126	1	summary	0	
191024_1126	1	summary	1	
191024_1126	1	summary	2	
191024_1126	1	summary	3	
191024_1126	1	summary	4	
191024_1126	1	summary	5	
191024_1126	1	summary	6	
191024_1126	1	summary	7	
191024_1126	1	summary	8	
191024_1126	1	summary	9	
191024_1126	1	summary	10	
191024_1126	1	summary	11	
191024_1126	1	summary	12	
191024_1126	1	timelog	Data[1]	Data[2]	Data[3]	Data[4]	Period	ID	Time	Subject	Event	
191024_1126	1	timelog	0	0	0	0	0	1	0	0	1	
191024_1126	1	timelog	0	0	0	0	-1	2	26.65600000000268	6	192	
191024_1126	1	timelog	0	0	0	0	-1	3	37.45300000000862	7	192	
191024_1126	1	timelog	0	0	0	0	-1	4	52.76600000000326	3	192	
191024_1126	1	timelog	0	0	0	0	-1	5	53.42200000000594	1	192	
191024_1126	1	timelog	0	0	0	0	-1	6	53.95300000000862	10	192	
191024_1126	1	timelog	0	0	0	0	-1	7	55.56200000000536	5	192	
191024_1126	1	timelog	0	0	0	0	-1	8	58.5	2	192	
191024_1126	1	timelog	0	0	0	0	-1	9	58.59399999999732	8	192	
191024_1126	1	timelog	0	0	0	0	-1	10	74.31200000000536	4	192	
191024_1126	1	timelog	0	0	0	0	-1	11	74.76600000000326	9	192	
191024_1126	1	timelog	0	0	0	0	-1	12	74.76600000000326	0	206	
191024_1126	1	timelog	0	0	0	0	-1	13	79.07800000000862	7	207	
191024_1126	1	timelog	0	0	0	0	-1	14	79.56200000000536	9	207	
191024_1126	1	timelog	0	0	0	0	-1	15	79.67200000000594	5	207	
191024_1126	1	timelog	0	0	0	0	-1	16	81.45300000000862	7	207	
191024_1126	1	timelog	0	0	0	0	-1	17	82.54700000000594	7	207	
191024_1126	1	timelog	0	0	0	0	-1	18	83.20300000000862	1	207	
191024_1126	1	timelog	0	0	0	0	-1	19	83.60899999999674	6	207	
191024_1126	1	timelog	0	0	0	0	-1	20	84.15600000000268	2	207	
191024_1126	1	timelog	0	0	0	0	-1	21	84.71899999999732	7	207	
191024_1126	1	timelog	0	0	0	0	-1	22	85.45300000000862	10	207	
191024_1126	1	timelog	0	0	0	0	-1	23	85.82800000000862	1	207	
191024_1126	1	timelog	0	0	0	0	-1	24	85.98399999999674	7	207	
191024_1126	1	timelog	0	0	0	0	-1	25	86.40600000000268	3	207	
191024_1126	1	timelog	0	0	0	0	-1	26	86.96899999999732	1	207	
191024_1126	1	timelog	0	0	0	0	-1	27	87.06200000000536	5	207	
191024_1126	1	timelog	0	0	0	0	-1	28	87.18700000000536	8	207	
191024_1126	1	timelog	0	0	0	0	-1	29	87.35899999999674	7	207	
191024_1126	1	timelog	0	0	0	0	-1	30	87.43700000000536	9	207	
191024_1126	1	timelog	0	0	0	0	-1	31	89.20300000000862	1	207	
191024_1126	1	timelog	0	0	0	0	-1	32	90.06200000000536	7	207	
191024_1126	1	timelog	0	0	0	0	-1	33	90.90600000000268	2	207	
191024_1126	1	timelog	0	0	0	0	-1	34	90.90600000000268	1	207	
191024_1126	1	timelog	0	0	0	0	-1	35	91.96899999999732	10	207	
191024_1126	1	timelog	1	0	0	0	-1	36	92.21899999999732	7	207	
191024_1126	1	timelog	0	0	0	0	-1	37	92.26600000000326	6	207	
191024_1126	1	timelog	0	0	0	0	-1	38	92.34399999999732	1	207	
191024_1126	1	timelog	0	0	0	0	-1	39	92.53100000000268	8	207	
191024_1126	1	timelog	0	0	0	0	-1	40	92.93700000000536	9	207	
191024_1126	1	timelog	0	0	0	0	-1	41	93.20300000000862	4	207	
191024_1126	1	timelog	1	0	0	0	-1	42	93.48399999999674	7	207	
191024_1126	1	timelog	0	0	0	0	-1	43	93.60899999999674	1	207	
191024_1126	1	timelog	1	0	0	0	-1	44	93.73399999999674	5	207	
191024_1126	1	timelog	1	0	0	0	-1	45	93.73399999999674	2	207	
191024_1126	1	timelog	0	0	0	0	-1	46	95.07800000000862	1	207	
191024_1126	1	timelog	1	0	0	0	-1	47	95.375	2	207	
191024_1126	1	timelog	0	0	0	0	-1	48	95.95300000000862	3	207	
191024_1126	1	timelog	1	0	0	0	-1	49	96.15600000000268	5	207	
191024_1126	1	timelog	1	0	0	0	-1	50	96.625	2	207	
191024_1126	1	timelog	0	0	0	0	-1	51	96.75	1	207	
191024_1126	1	timelog	1	0	0	0	-1	52	97.14100000000326	7	207	
191024_1126	1	timelog	1	0	0	0	-1	53	97.56200000000536	6	207	
191024_1126	1	timelog	0	0	0	0	-1	54	97.79700000000594	4	207	
191024_1126	1	timelog	1	0	0	0	-1	55	97.98399999999674	8	207	
191024_1126	1	timelog	1	0	0	0	-1	56	98.07800000000862	9	207	
191024_1126	1	timelog	1	0	0	0	-1	57	98.23399999999674	5	207	
191024_1126	1	timelog	0	0	0	0	-1	58	99.23399999999674	1	207	
191024_1126	1	timelog	0	0	0	0	-1	59	99.81200000000536	2	207	
191024_1126	1	timelog	0	0	0	0	-1	60	100.7030000000086	3	207	
191024_1126	1	timelog	0	0	0	0	-1	61	100.7189999999973	4	207	
191024_1126	1	timelog	1	0	0	0	-1	62	100.7339999999967	6	207	
191024_1126	1	timelog	0	0	0	0	-1	63	101.2810000000027	5	207	
191024_1126	1	timelog	0	0	0	0	-1	64	101.3280000000086	10	207	
191024_1126	1	timelog	1	0	0	0	-1	65	101.4220000000059	9	207	
191024_1126	1	timelog	0	0	0	0	-1	66	101.5939999999973	2	207	
191024_1126	1	timelog	1	0	0	0	-1	67	102.1720000000059	8	207	
191024_1126	1	timelog	0	0	0	0	-1	68	102.6720000000059	4	207	
191024_1126	1	timelog	1	0	0	0	-1	69	103.25	6	207	
191024_1126	1	timelog	0	0	0	0	-1	70	103.3910000000033	2	207	
191024_1126	1	timelog	0	0	0	0	-1	71	104.375	4	207	
191024_1126	1	timelog	0	0	0	0	-1	72	105.0160000000033	2	207	
191024_1126	1	timelog	0	0	0	0	-1	73	105.4060000000027	5	207	
191024_1126	1	timelog	0	0	0	0	-1	74	105.6560000000027	9	207	
191024_1126	1	timelog	1	0	0	0	-1	75	105.9839999999967	10	207	
191024_1126	1	timelog	1	0	0	0	-1	76	106.4370000000054	8	207	
191024_1126	1	timelog	0	0	0	0	-1	77	107.3120000000054	5	207	
191024_1126	1	timelog	1	0	0	0	-1	78	107.8120000000054	3	207	
191024_1126	1	timelog	0	0	0	0	-1	79	108	4	207	
191024_1126	1	timelog	0	0	0	0	-1	80	108.4060000000027	2	207	
191024_1126	1	timelog	0	0	0	0	-1	81	108.5939999999973	6	207	
191024_1126	1	timelog	1	0	0	0	-1	82	109.875	10	207	
191024_1126	1	timelog	0	0	0	0	-1	83	109.9370000000054	8	207	
191024_1126	1	timelog	0	0	0	0	-1	84	111.8280000000086	9	207	
191024_1126	1	timelog	0	0	0	0	-1	85	112.0310000000027	4	207	
191024_1126	1	timelog	0	0	0	0	-1	86	112.375	5	207	
191024_1126	1	timelog	0	0	0	0	-1	87	112.5780000000086	6	207	
191024_1126	1	timelog	1	0	0	0	-1	88	113.0620000000054	3	207	
191024_1126	1	timelog	0	0	0	0	-1	89	114.0470000000059	8	207	
191024_1126	1	timelog	0	0	0	0	-1	90	114.0780000000086	10	207	
191024_1126	1	timelog	0	0	0	0	-1	91	114.3280000000086	4	207	
191024_1126	1	timelog	0	0	0	0	-1	92	115.0470000000059	6	207	
191024_1126	1	timelog	0	0	0	0	-1	93	116.4530000000086	3	207	
191024_1126	1	timelog	0	0	0	0	-1	94	116.5160000000033	9	207	
191024_1126	1	timelog	0	0	0	0	-1	95	118.2189999999973	8	207	
191024_1126	1	timelog	0	0	0	0	-1	96	118.25	5	207	
191024_1126	1	timelog	0	0	0	0	-1	97	118.8120000000054	10	207	
191024_1126	1	timelog	0	0	0	0	-1	98	119.1870000000054	4	207	
191024_1126	1	timelog	0	0	0	0	-1	99	119.2970000000059	6	207	
191024_1126	1	timelog	0	0	0	0	-1	100	119.5310000000027	3	207	
