C:\_z-Tree\Data\Channel1\191104_1243.xls
191104_1243	1	EET	left[1]	left[2]	left[3]	left[4]	left[5]	left[6]	left[7]	left[8]	left[9]	left[10]	ownprofit[1]	ownprofit[2]	ownprofit[3]	ownprofit[4]	ownprofit[5]	ownprofit[6]	ownprofit[7]	ownprofit[8]	ownprofit[9]	ownprofit[10]	otherprofit[1]	otherprofit[2]	otherprofit[3]	otherprofit[4]	otherprofit[5]	otherprofit[6]	otherprofit[7]	otherprofit[8]	otherprofit[9]	otherprofit[10]	ownleft[1]	ownleft[2]	ownleft[3]	ownleft[4]	ownleft[5]	ownleft[6]	ownleft[7]	ownleft[8]	ownleft[9]	ownleft[10]	otherleft[1]	otherleft[2]	otherleft[3]	otherleft[4]	otherleft[5]	otherleft[6]	otherleft[7]	otherleft[8]	otherleft[9]	otherleft[10]	Period	Subject	GroupEET	ownPayoffEET	right	
191104_1243	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	1	4	1	4	
191104_1243	1	EET	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	2	4	0	4	
191104_1243	1	EET	0	0	0	0	0	1	0	1	0	1	4	4	4	4	4	2	4	4	4	6	4	4	4	4	4	1	4	1	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	3	3	1	4	
191104_1243	1	EET	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	4	5	0	4	
191104_1243	1	EET	0	0	1	1	1	0	0	0	0	1	4	4	4	5	6	4	4	4	4	6	4	4	7	7	7	4	4	4	4	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	5	5	1	4	
191104_1243	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	6	1	0	4	
191104_1243	1	EET	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	7	3	0	4	
191104_1243	1	EET	0	0	1	1	1	0	0	0	0	0	4	4	4	5	6	4	4	4	4	4	4	4	7	7	7	4	4	4	4	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	8	1	1	4	
191104_1243	1	EET	0	0	1	1	0	0	0	1	1	0	4	4	4	5	4	4	4	4	5	4	4	4	7	7	4	4	4	1	1	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	9	2	1	4	
191104_1243	1	EET	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	10	2	0	4	
191104_1243	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	11	-77777	-77777	4	
191104_1243	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191104_1243	1	session	1	0	0	0	0	0	0	31.79310344827587	30.86236933797909	28.43971631205674	29.38462341458322	39.34918648310388	30.24671052631579	33.72516556291391	25.13671875000001	31.89393939393939	21.04718376125824	30.72524210079876	29.63611159244498	0	0	1	1	37.72516556291391	0.5	0.5	1	0	
191104_1243	1	session	2	0	0	0	0	0	0	32.96610169491525	31.01412066752247	29.85971475333178	28.64127469169485	23.56120826709062	29.77318548387097	29.70832746230802	32.28515625	30.18768768768769	30.8128612716763	30.10942249240122	30.06078781001783	0	0	1	1	36.70832746230802	1.5	2.5	0	1	
191104_1243	1	session	3	0	0	0	0	0	0	26	38	14	14	22	14	22	22	34	22	34	22	1	0	3	1	26	-77778	-77778	0	0	
191104_1243	1	session	4	0	0	0	0	0	0	46.70243531202436	33.1189024390244	28.69419115163796	31.43979330862779	44.59663865546219	30.94866071428572	28.69997120644975	40.14030612244897	29.03549382716049	21.78187691261476	29.89272304666547	31.07472848111524	0	1	2	1	35.69997120644975	-0.5	2.5	0	0	
191104_1243	1	session	5	0	0	0	0	0	0	19.17543859649123	30	33.92873310483089	37.29291716686674	30	30	33.9114238410596	39.19117647058823	31.3671875	25.78287572254335	39.84802431610942	30	0	0	1	1	37.9114238410596	0.5	2.5	0	0	
191104_1243	1	session	6	0	0	0	0	0	0	45.48500881834215	26.86638388123011	30.66435084672167	31.516760550374	26.17445608380339	30.10817307692308	30.93407136502916	33.95089285714285	28.60863095238096	27.78901734104046	30.01709726443769	30.9375	0	1	2	1	37.93407136502916	-2.5	2.5	0	0	
191104_1243	1	session	7	0	0	0	0	0	0	28.11965811965812	27.99651567944251	30.17899358324891	29.46428571428571	19.85294117647059	28.34523168103448	29.00474821941772	15.46195652173914	29.95756172839506	19.88003053768133	27.97806264041232	29.86698196866686	0	0	1	1	33.00474821941772	2.5	2.5	0	0	
191104_1243	1	session	8	0	0	0	0	0	0	14.18085106382979	30.60555088309504	28.73217208323591	24.81092436974791	1.764705882352942	29.3484375	26.00895987534087	30.28409090909091	32.58088235294118	13.80845375722543	20.61018237082066	29.74411531340916	0	1	2	1	30.00895987534087	0.5	2.5	1	1	
191104_1243	1	session	9	0	0	0	0	0	0	16.46384479717812	24.09512195121952	30.70423193827449	27.90716286514605	6.147698209718669	27.17114825581396	28.49817009410945	5.742187500000014	28.39572310405644	17.09963492546395	30.16317389217726	27.95832611332524	0	0	1	1	32.49817009410945	-77778	-77778	1	1	
191104_1243	1	session	10	0	0	0	0	0	0	27.48484848484849	30.50163439778727	30	30.50517504299018	60.39390756302521	33.22076612903226	30.16329492878527	48.11773255813954	29.11479250334672	78.94632535094959	27.00390794615718	30.30696963076251	0	0	1	1	37.16329492878526	1.5	2.5	1	0	
191104_1243	1	session	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191104_1243	1	summary	Period	
191104_1243	1	summary	-1	
191104_1243	1	summary	0	
191104_1243	1	summary	1	
191104_1243	1	summary	2	
191104_1243	1	summary	3	
191104_1243	1	summary	4	
191104_1243	1	summary	5	
191104_1243	1	summary	6	
191104_1243	1	summary	7	
191104_1243	1	summary	8	
191104_1243	1	summary	9	
191104_1243	1	summary	10	
191104_1243	1	summary	11	
191104_1243	1	summary	12	
191104_1243	1	timelog	Data[1]	Data[2]	Data[3]	Data[4]	Period	ID	Time	Subject	Event	
191104_1243	1	timelog	0	0	0	0	0	1	0	0	1	
191104_1243	1	timelog	0	0	0	0	-1	2	43.10999999986962	3	192	
191104_1243	1	timelog	0	0	0	0	-1	3	77.5319999998901	4	192	
191104_1243	1	timelog	0	0	0	0	-1	4	80.54700000002049	6	192	
191104_1243	1	timelog	0	0	0	0	-1	5	85.51599999982864	9	192	
191104_1243	1	timelog	0	0	0	0	-1	6	105.2659999998286	5	192	
191104_1243	1	timelog	0	0	0	0	-1	7	108.1569999998901	7	192	
191104_1243	1	timelog	0	0	0	0	-1	8	113.2970000000205	2	192	
191104_1243	1	timelog	0	0	0	0	-1	9	120.7039999999106	8	192	
191104_1243	1	timelog	0	0	0	0	-1	10	161.1569999998901	10	192	
191104_1243	1	timelog	0	0	0	0	-1	11	163.9220000000205	1	192	
191104_1243	1	timelog	0	0	0	0	-1	12	163.9220000000205	0	206	
191104_1243	1	timelog	0	0	0	0	-1	13	168.0470000000205	4	207	
191104_1243	1	timelog	0	0	0	0	-1	14	168.7039999999106	1	207	
191104_1243	1	timelog	0	0	0	0	-1	15	171.1569999998901	9	207	
191104_1243	1	timelog	0	0	0	0	-1	16	171.75	8	207	
191104_1243	1	timelog	0	0	0	0	-1	17	172.1720000000205	4	207	
191104_1243	1	timelog	0	0	0	0	-1	18	172.2189999998082	1	207	
191104_1243	1	timelog	0	0	0	0	-1	19	173.3289999999106	3	207	
191104_1243	1	timelog	0	0	0	0	-1	20	173.3909999998286	6	207	
191104_1243	1	timelog	0	0	0	0	-1	21	175.2039999999106	10	207	
191104_1243	1	timelog	0	0	0	0	-1	22	175.5	6	207	
191104_1243	1	timelog	0	0	0	0	-1	23	175.6720000000205	4	207	
191104_1243	1	timelog	0	0	0	0	-1	24	176.2659999998286	5	207	
191104_1243	1	timelog	1	0	0	0	-1	25	177.0470000000205	7	207	
191104_1243	1	timelog	0	0	0	0	-1	26	177.3129999998491	6	207	
191104_1243	1	timelog	0	0	0	0	-1	27	177.6720000000205	3	207	
191104_1243	1	timelog	1	0	0	0	-1	28	178.7970000000205	1	207	
191104_1243	1	timelog	0	0	0	0	-1	29	179.7349999998696	6	207	
191104_1243	1	timelog	0	0	0	0	-1	30	179.8909999998286	5	207	
191104_1243	1	timelog	1	0	0	0	-1	31	180.9379999998491	10	207	
191104_1243	1	timelog	0	0	0	0	-1	32	181.5789999999106	6	207	
191104_1243	1	timelog	0	0	0	0	-1	33	181.7970000000205	8	207	
191104_1243	1	timelog	1	0	0	0	-1	34	182.1720000000205	5	207	
191104_1243	1	timelog	0	0	0	0	-1	35	182.6409999998286	9	207	
191104_1243	1	timelog	0	0	0	0	-1	36	182.9069999998901	3	207	
191104_1243	1	timelog	1	0	0	0	-1	37	182.9069999998901	4	207	
191104_1243	1	timelog	1	0	0	0	-1	38	183.2189999998082	1	207	
191104_1243	1	timelog	1	0	0	0	-1	39	184.1099999998696	5	207	
191104_1243	1	timelog	0	0	0	0	-1	40	184.2349999998696	6	207	
191104_1243	1	timelog	1	0	0	0	-1	41	184.625	10	207	
191104_1243	1	timelog	0	0	0	0	-1	42	185.4539999999106	6	207	
191104_1243	1	timelog	1	0	0	0	-1	43	185.5470000000205	4	207	
191104_1243	1	timelog	0	0	0	0	-1	44	185.6720000000205	3	207	
191104_1243	1	timelog	1	0	0	0	-1	45	185.7970000000205	5	207	
191104_1243	1	timelog	1	0	0	0	-1	46	186.875	8	207	
191104_1243	1	timelog	0	0	0	0	-1	47	187.2039999999106	6	207	
191104_1243	1	timelog	0	0	0	0	-1	48	187.2659999998286	3	207	
191104_1243	1	timelog	1	0	0	0	-1	49	187.3909999998286	7	207	
191104_1243	1	timelog	1	0	0	0	-1	50	187.5	10	207	
191104_1243	1	timelog	1	0	0	0	-1	51	187.75	9	207	
191104_1243	1	timelog	1	0	0	0	-1	52	187.8599999998696	1	207	
191104_1243	1	timelog	0	0	0	0	-1	53	189.0939999998082	6	207	
191104_1243	1	timelog	1	0	0	0	-1	54	189.6099999998696	10	207	
191104_1243	1	timelog	0	0	0	0	-1	55	189.7970000000205	4	207	
191104_1243	1	timelog	1	0	0	0	-1	56	191.125	3	207	
191104_1243	1	timelog	0	0	0	0	-1	57	191.4689999998082	6	207	
191104_1243	1	timelog	1	0	0	0	-1	58	191.5470000000205	8	207	
191104_1243	1	timelog	1	0	0	0	-1	59	191.7189999998082	9	207	
191104_1243	1	timelog	0	0	0	0	-1	60	192.5159999998286	4	207	
191104_1243	1	timelog	0	0	0	0	-1	61	192.9220000000205	5	207	
191104_1243	1	timelog	0	0	0	0	-1	62	193.1099999998696	1	207	
191104_1243	1	timelog	0	0	0	0	-1	63	193.1879999998491	3	207	
191104_1243	1	timelog	0	0	0	0	-1	64	194.3289999999106	10	207	
191104_1243	1	timelog	1	0	0	0	-1	65	194.9539999999106	8	207	
191104_1243	1	timelog	0	0	0	0	-1	66	195.7189999998082	4	207	
191104_1243	1	timelog	1	0	0	0	-1	67	195.9539999999106	3	207	
191104_1243	1	timelog	1	0	0	0	-1	68	196.25	7	207	
191104_1243	1	timelog	0	0	0	0	-1	69	196.3439999998082	2	207	
191104_1243	1	timelog	0	0	0	0	-1	70	196.3439999998082	5	207	
191104_1243	1	timelog	0	0	0	0	-1	71	196.4220000000205	1	207	
191104_1243	1	timelog	0	0	0	0	-1	72	198.2189999998082	5	207	
191104_1243	1	timelog	0	0	0	0	-1	73	198.8129999998491	9	207	
191104_1243	1	timelog	0	0	0	0	-1	74	198.9220000000205	1	207	
191104_1243	1	timelog	0	0	0	0	-1	75	199.0629999998491	4	207	
191104_1243	1	timelog	0	0	0	0	-1	76	199.2039999999106	10	207	
191104_1243	1	timelog	0	0	0	0	-1	77	199.2970000000205	3	207	
191104_1243	1	timelog	1	0	0	0	-1	78	200.2970000000205	7	207	
191104_1243	1	timelog	0	0	0	0	-1	79	200.6569999998901	8	207	
191104_1243	1	timelog	1	0	0	0	-1	80	200.9069999998901	3	207	
191104_1243	1	timelog	0	0	0	0	-1	81	201.0939999998082	5	207	
191104_1243	1	timelog	1	0	0	0	-1	82	202.5789999999106	7	207	
191104_1243	1	timelog	0	0	0	0	-1	83	202.7819999998901	9	207	
191104_1243	1	timelog	1	0	0	0	-1	84	203.0319999998901	4	207	
191104_1243	1	timelog	1	0	0	0	-1	85	203.4220000000205	5	207	
191104_1243	1	timelog	0	0	0	0	-1	86	203.5789999999106	10	207	
191104_1243	1	timelog	1	0	0	0	-1	87	204.0789999999106	1	207	
191104_1243	1	timelog	0	0	0	0	-1	88	205.625	8	207	
191104_1243	1	timelog	1	0	0	0	-1	89	206.0629999998491	2	207	
191104_1243	1	timelog	0	0	0	0	-1	90	208.3599999998696	10	207	
191104_1243	1	timelog	1	0	0	0	-1	91	208.4539999999106	2	207	
191104_1243	1	timelog	1	0	0	0	-1	92	209.2189999998082	1	207	
191104_1243	1	timelog	0	0	0	0	-1	93	210.4849999998696	8	207	
191104_1243	1	timelog	0	0	0	0	-1	94	212	7	207	
191104_1243	1	timelog	0	0	0	0	-1	95	212.6409999998286	9	207	
191104_1243	1	timelog	1	0	0	0	-1	96	213.8599999998696	2	207	
191104_1243	1	timelog	0	0	0	0	-1	97	214.7189999998082	8	207	
191104_1243	1	timelog	0	0	0	0	-1	98	215.2970000000205	7	207	
191104_1243	1	timelog	1	0	0	0	-1	99	217.25	9	207	
191104_1243	1	timelog	1	0	0	0	-1	100	217.2819999998901	2	207	
