C:\_z-Tree\Data\Channel1\191105_1540.xls
191105_1540	1	EET	left[1]	left[2]	left[3]	left[4]	left[5]	left[6]	left[7]	left[8]	left[9]	left[10]	ownprofit[1]	ownprofit[2]	ownprofit[3]	ownprofit[4]	ownprofit[5]	ownprofit[6]	ownprofit[7]	ownprofit[8]	ownprofit[9]	ownprofit[10]	otherprofit[1]	otherprofit[2]	otherprofit[3]	otherprofit[4]	otherprofit[5]	otherprofit[6]	otherprofit[7]	otherprofit[8]	otherprofit[9]	otherprofit[10]	ownleft[1]	ownleft[2]	ownleft[3]	ownleft[4]	ownleft[5]	ownleft[6]	ownleft[7]	ownleft[8]	ownleft[9]	ownleft[10]	otherleft[1]	otherleft[2]	otherleft[3]	otherleft[4]	otherleft[5]	otherleft[6]	otherleft[7]	otherleft[8]	otherleft[9]	otherleft[10]	Period	Subject	GroupEET	ownPayoffEET	right	
191105_1540	1	EET	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	1	3	0	4	
191105_1540	1	EET	0	0	0	1	1	1	1	1	1	1	4	4	4	5	6	2	3	4	5	6	4	4	4	7	7	1	1	1	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	2	2	1	4	
191105_1540	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	3	1	1	4	
191105_1540	1	EET	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	4	1	0	4	
191105_1540	1	EET	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	5	4	0	4	
191105_1540	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	6	5	1	4	
191105_1540	1	EET	0	0	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	7	4	1	4	
191105_1540	1	EET	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	8	2	0	4	
191105_1540	1	EET	0	0	1	1	1	0	0	0	1	1	4	4	4	5	6	4	4	4	5	6	4	4	7	7	7	4	4	4	1	1	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	9	3	1	4	
191105_1540	1	EET	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	10	5	0	4	
191105_1540	1	EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	5	6	2	3	4	5	6	7	7	7	7	7	1	1	1	1	1	-1	11	-77777	-77777	4	
191105_1540	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	PPayoffs[1]	PPayoffs[2]	PPayoffs[3]	PPayoffs[4]	PPayoffs[5]	PPayoffs[6]	PPayoffs[7]	PPayoffs[8]	PPayoffs[9]	PPayoffs[10]	PPayoffs[11]	PPayoffs[12]	IsAuthority	IsInsider	Role	QuestionnaireParticipate	Profit	xScore	yScore	Vote1	Vote2	
191105_1540	1	session	1	0	0	0	0	0	0	25.19581812147361	30.41229050279329	29.40874343048256	30.77957336780866	30	30	30	30.03128911138924	30	30.3118201595359	33.17436661698957	16.21774701069856	0	0	1	1	36.40874343048256	0.5	0.5	1	0	
191105_1540	1	session	2	0	0	0	0	0	0	33.42306147047007	29.47303394929093	31.94321206743567	29.19430629394615	30.18707482993197	23.95522388059701	29.2004357298475	30.53035043804755	30.46121324706937	29.44049990361755	25.59307359307359	35.0688966294437	0	0	1	1	36.94321206743567	-0.5	-2.5	1	0	
191105_1540	1	session	3	0	0	0	0	0	0	30.18918021905078	30.7583112006594	31.66619915848527	29.92797118847539	29.59758551307847	32.9214340198322	29.94993742177722	30.00704005006258	29.57081545064378	29.86548223350253	28.63896103896105	35.3184392699811	0	1	2	1	36.66619915848527	0.5	0.5	0	0	
191105_1540	1	session	4	0	0	0	0	0	0	29.81431813492882	34.4385932777727	30.05081874647092	30.03102779573368	30.1704681872749	30.32786885245901	30.18382352941176	30.92928660826032	30.15123646024934	31.54740461765189	29.79591836734694	30.73064820641912	0	0	1	1	37.05081874647092	-77778	-77778	0	0	
191105_1540	1	session	5	0	0	0	0	0	0	41.73664122137406	26.4330823415108	22.80156914024191	28.80646008403361	29.2155612244898	18.04347826086957	30.153452685422	27.79545860897551	27.97399646553901	28.02216169369816	28.43228200371057	18.74125421093549	0	0	1	1	26.80156914024191	-2.5	-2.5	1	1	
191105_1540	1	session	6	0	0	0	0	0	0	30.44165757906217	29.62612806188226	29.76160029229083	30	28.69897959183674	35.80706521739131	30.95955882352941	29.87149429744929	31.15501136076748	30.9884633133364	29.91008991008991	32.09898937548588	0	0	1	1	34.76160029229083	0.5	0.5	0	0	
191105_1540	1	session	7	0	0	0	0	0	0	28.55127779621639	28.59814411514061	30.43102321019941	28.49885408708938	28.07996668054977	30.46349466776047	30.07085561497327	29.89195678271309	29.8542392096526	29.71370558375634	31.42857142857141	32.18061674008811	0	1	2	1	34.43102321019941	-2.5	2.5	0	0	
191105_1540	1	session	8	0	0	0	0	0	0	29.96648668776764	31.40662410215483	31.42761586239847	30.93370681605976	33.43367346938774	33.23876197494472	29.86477349560514	30.63587548952319	29.89383329568557	29.19263084193944	26.37730690362269	35.72057898049087	0	1	2	1	38.42761586239847	2.5	2.5	1	1	
191105_1540	1	session	9	0	0	0	0	0	0	22	30	30	30	30	30	30	30	30	30	34	30	1	0	3	1	35	0.5	0.5	0	0	
191105_1540	1	session	10	0	0	0	0	0	0	30.41865458015267	29.8336345711469	31.8189884649512	32.28829993535876	31.24304267161411	30.80602006688964	29.18716577540107	30.17170853811166	30.88855350657925	30.47895857213034	34.00116737195388	26.5047530721076	0	0	1	1	38.8189884649512	0.5	0.5	1	1	
191105_1540	1	session	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77777	0	5	-77777	-77777	0	0	
191105_1540	1	summary	Period	
191105_1540	1	summary	-1	
191105_1540	1	summary	0	
191105_1540	1	summary	1	
191105_1540	1	summary	2	
191105_1540	1	summary	3	
191105_1540	1	summary	4	
191105_1540	1	summary	5	
191105_1540	1	summary	6	
191105_1540	1	summary	7	
191105_1540	1	summary	8	
191105_1540	1	summary	9	
191105_1540	1	summary	10	
191105_1540	1	summary	11	
191105_1540	1	summary	12	
191105_1540	1	timelog	Data[1]	Data[2]	Data[3]	Data[4]	Period	ID	Time	Subject	Event	
191105_1540	1	timelog	0	0	0	0	0	1	0	0	1	
191105_1540	1	timelog	0	0	0	0	-1	2	23.39100000006147	5	192	
191105_1540	1	timelog	0	0	0	0	-1	3	29.61000000010245	4	192	
191105_1540	1	timelog	0	0	0	0	-1	4	35.57800000021234	3	192	
191105_1540	1	timelog	0	0	0	0	-1	5	38.375	8	192	
191105_1540	1	timelog	0	0	0	0	-1	6	41.98500000010245	1	192	
191105_1540	1	timelog	0	0	0	0	-1	7	50.79700000002049	2	192	
191105_1540	1	timelog	0	0	0	0	-1	8	70.26600000006147	6	192	
191105_1540	1	timelog	0	0	0	0	-1	9	71.15600000019185	9	192	
191105_1540	1	timelog	0	0	0	0	-1	10	92.40600000019185	10	192	
191105_1540	1	timelog	0	0	0	0	-1	11	108.5	7	192	
191105_1540	1	timelog	0	0	0	0	-1	12	108.5	0	206	
191105_1540	1	timelog	1	0	0	0	-1	13	113.2810000001919	8	207	
191105_1540	1	timelog	0	0	0	0	-1	14	113.2810000001919	1	207	
191105_1540	1	timelog	0	0	0	0	-1	15	113.7660000000615	4	207	
191105_1540	1	timelog	0	0	0	0	-1	16	113.8280000002123	2	207	
191105_1540	1	timelog	0	0	0	0	-1	17	114.6720000000205	7	207	
191105_1540	1	timelog	0	0	0	0	-1	18	114.719000000041	3	207	
191105_1540	1	timelog	0	0	0	0	-1	19	115.2350000001025	5	207	
191105_1540	1	timelog	1	0	0	0	-1	20	117.1410000000615	8	207	
191105_1540	1	timelog	0	0	0	0	-1	21	117.5	6	207	
191105_1540	1	timelog	0	0	0	0	-1	22	117.563000000082	4	207	
191105_1540	1	timelog	0	0	0	0	-1	23	117.6720000000205	10	207	
191105_1540	1	timelog	0	0	0	0	-1	24	117.7030000002123	5	207	
191105_1540	1	timelog	0	0	0	0	-1	25	118.1410000000615	2	207	
191105_1540	1	timelog	0	0	0	0	-1	26	118.719000000041	5	207	
191105_1540	1	timelog	1	0	0	0	-1	27	119.438000000082	8	207	
191105_1540	1	timelog	0	0	0	0	-1	28	119.7350000001025	1	207	
191105_1540	1	timelog	0	0	0	0	-1	29	120.063000000082	5	207	
191105_1540	1	timelog	1	0	0	0	-1	30	120.3600000001025	4	207	
191105_1540	1	timelog	1	0	0	0	-1	31	121.5160000000615	8	207	
191105_1540	1	timelog	0	0	0	0	-1	32	121.563000000082	7	207	
191105_1540	1	timelog	0	0	0	0	-1	33	121.6720000000205	5	207	
191105_1540	1	timelog	0	0	0	0	-1	34	121.813000000082	4	207	
191105_1540	1	timelog	0	0	0	0	-1	35	122.438000000082	3	207	
191105_1540	1	timelog	0	0	0	0	-1	36	123.219000000041	2	207	
191105_1540	1	timelog	0	0	0	0	-1	37	123.3280000002123	10	207	
191105_1540	1	timelog	1	0	0	0	-1	38	123.8910000000615	8	207	
191105_1540	1	timelog	1	0	0	0	-1	39	124.25	4	207	
191105_1540	1	timelog	0	0	0	0	-1	40	125.5780000002123	6	207	
191105_1540	1	timelog	1	0	0	0	-1	41	126.7810000001919	1	207	
191105_1540	1	timelog	1	0	0	0	-1	42	126.938000000082	3	207	
191105_1540	1	timelog	0	0	0	0	-1	43	127.1560000001919	4	207	
191105_1540	1	timelog	1	0	0	0	-1	44	127.2970000000205	5	207	
191105_1540	1	timelog	0	0	0	0	-1	45	127.875	7	207	
191105_1540	1	timelog	0	0	0	0	-1	46	128.7660000000615	9	207	
191105_1540	1	timelog	1	0	0	0	-1	47	129.5	6	207	
191105_1540	1	timelog	0	0	0	0	-1	48	129.5160000000615	4	207	
191105_1540	1	timelog	1	0	0	0	-1	49	130.219000000041	1	207	
191105_1540	1	timelog	1	0	0	0	-1	50	130.313000000082	3	207	
191105_1540	1	timelog	1	0	0	0	-1	51	131.75	2	207	
191105_1540	1	timelog	1	0	0	0	-1	52	132.1100000001025	5	207	
191105_1540	1	timelog	1	0	0	0	-1	53	132.3280000002123	6	207	
191105_1540	1	timelog	0	0	0	0	-1	54	132.4530000002123	9	207	
191105_1540	1	timelog	0	0	0	0	-1	55	132.4530000002123	7	207	
191105_1540	1	timelog	1	0	0	0	-1	56	132.688000000082	1	207	
191105_1540	1	timelog	1	0	0	0	-1	57	133.25	4	207	
191105_1540	1	timelog	1	0	0	0	-1	58	133.5310000001919	10	207	
191105_1540	1	timelog	1	0	0	0	-1	59	133.563000000082	3	207	
191105_1540	1	timelog	1	0	0	0	-1	60	133.688000000082	6	207	
191105_1540	1	timelog	1	0	0	0	-1	61	133.969000000041	2	207	
191105_1540	1	timelog	1	0	0	0	-1	62	134.75	5	207	
191105_1540	1	timelog	0	0	0	0	-1	63	135.6560000001919	1	207	
191105_1540	1	timelog	1	0	0	0	-1	64	135.8910000000615	4	207	
191105_1540	1	timelog	0	0	0	0	-1	65	136.063000000082	7	207	
191105_1540	1	timelog	0	0	0	0	-1	66	136.688000000082	8	207	
191105_1540	1	timelog	1	0	0	0	-1	67	136.7350000001025	2	207	
191105_1540	1	timelog	1	0	0	0	-1	68	137.0310000001919	10	207	
191105_1540	1	timelog	1	0	0	0	-1	69	137.094000000041	5	207	
191105_1540	1	timelog	0	0	0	0	-1	70	137.4060000001919	3	207	
191105_1540	1	timelog	1	0	0	0	-1	71	138.438000000082	4	207	
191105_1540	1	timelog	1	0	0	0	-1	72	138.875	2	207	
191105_1540	1	timelog	0	0	0	0	-1	73	139.2030000002123	1	207	
191105_1540	1	timelog	1	0	0	0	-1	74	140.1410000000615	5	207	
191105_1540	1	timelog	0	0	0	0	-1	75	140.1560000001919	6	207	
191105_1540	1	timelog	1	0	0	0	-1	76	140.219000000041	9	207	
191105_1540	1	timelog	0	0	0	0	-1	77	140.5	3	207	
191105_1540	1	timelog	0	0	0	0	-1	78	140.563000000082	7	207	
191105_1540	1	timelog	1	0	0	0	-1	79	140.594000000041	10	207	
191105_1540	1	timelog	1	0	0	0	-1	80	140.7350000001025	2	207	
191105_1540	1	timelog	1	0	0	0	-1	81	142.6720000000205	2	207	
191105_1540	1	timelog	0	0	0	0	-1	82	142.8280000002123	8	207	
191105_1540	1	timelog	0	0	0	0	-1	83	143.2030000002123	1	207	
191105_1540	1	timelog	1	0	0	0	-1	84	143.5160000000615	9	207	
191105_1540	1	timelog	0	0	0	0	-1	85	144.2030000002123	10	207	
191105_1540	1	timelog	0	0	0	0	-1	86	144.625	6	207	
191105_1540	1	timelog	0	0	0	0	-1	87	144.6410000000615	3	207	
191105_1540	1	timelog	0	0	0	0	-1	88	145.594000000041	7	207	
191105_1540	1	timelog	1	0	0	0	-1	89	146.0470000000205	2	207	
191105_1540	1	timelog	0	0	0	0	-1	90	146.5780000002123	10	207	
191105_1540	1	timelog	0	0	0	0	-1	91	147.2660000000615	8	207	
191105_1540	1	timelog	0	0	0	0	-1	92	147.3600000001025	6	207	
191105_1540	1	timelog	1	0	0	0	-1	93	147.7030000002123	9	207	
191105_1540	1	timelog	1	0	0	0	-1	94	147.8600000001025	1	207	
191105_1540	1	timelog	0	0	0	0	-1	95	149.5160000000615	7	207	
191105_1540	1	timelog	1	0	0	0	-1	96	149.7660000000615	3	207	
191105_1540	1	timelog	0	0	0	0	-1	97	150.563000000082	9	207	
191105_1540	1	timelog	1	0	0	0	-1	98	151.563000000082	1	207	
191105_1540	1	timelog	0	0	0	0	-1	99	151.7810000001919	10	207	
191105_1540	1	timelog	1	0	0	0	-1	100	152.6410000000615	6	207	
191105_1540	1	timelog	0	0	0	0	-1	101	153.0780000002123	9	207	
